gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493613179|ref|WP_006565480.1|	MULTISPECIES: FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Anaerostipes] 
gi|493613180|ref|WP_006565481.1|	MULTISPECIES: molybdopterin oxidoreductase [Anaerostipes] 
gi|493613182|ref|WP_006565482.1|	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Anaerostipes] 
gi|493613183|ref|WP_006565483.1|	cupin [Anaerostipes caccae] 
gi|493613184|ref|WP_006565484.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613185|ref|WP_006565485.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613186|ref|WP_006565486.1|	asparaginyl-tRNA synthetase [Anaerostipes caccae] 
gi|493613187|ref|WP_006565487.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613188|ref|WP_006565488.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613189|ref|WP_006565489.1|	MULTISPECIES: amidase [Anaerostipes] 
gi|493613190|ref|WP_006565490.1|	glutamate synthase [Anaerostipes caccae] 
gi|493613191|ref|WP_006565491.1|	hydrolase TatD [Anaerostipes caccae] 
gi|493613192|ref|WP_006565492.1|	16S rRNA methyltransferase [Anaerostipes caccae] 
gi|493613193|ref|WP_006565493.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613194|ref|WP_006565494.1|	adenosine deaminase [Anaerostipes caccae] 
gi|493613195|ref|WP_006565495.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613196|ref|WP_006565496.1|	PTS sugar transporter [Anaerostipes caccae] 
gi|493613197|ref|WP_006565497.1|	MULTISPECIES: PTS fructose transporter subunit IIA [Anaerostipes] 
gi|493613198|ref|WP_006565498.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613199|ref|WP_006565499.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Anaerostipes] 
gi|493613200|ref|WP_006565500.1|	MULTISPECIES: aldolase [Anaerostipes] 
gi|493613201|ref|WP_006565501.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613202|ref|WP_006565502.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613203|ref|WP_006565503.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613165|ref|WP_006565466.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613166|ref|WP_006565467.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613204|ref|WP_006565504.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613205|ref|WP_006565505.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613111|ref|WP_006565413.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613206|ref|WP_006565506.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613208|ref|WP_006565507.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613209|ref|WP_006565508.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613210|ref|WP_006565509.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613211|ref|WP_006565510.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613212|ref|WP_006565511.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613107|ref|WP_006565410.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613213|ref|WP_006565512.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613214|ref|WP_006565513.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613215|ref|WP_006565514.1|	flagellar biosynthesis protein FliA [Anaerostipes caccae] 
gi|493613216|ref|WP_006565515.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613217|ref|WP_006565516.1|	cell division protein FtsZ [Anaerostipes caccae] 
gi|493613218|ref|WP_006565517.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613219|ref|WP_006565518.1|	cell division protein [Anaerostipes caccae] 
gi|493613220|ref|WP_006565519.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Anaerostipes caccae] 
gi|493613222|ref|WP_006565520.1|	MULTISPECIES: phospho-N-acetylmuramoyl-pentapeptide-transferase [Clostridiales] 
gi|493613223|ref|WP_006565521.1|	peptidoglycan glycosyltransferase [Anaerostipes caccae] 
gi|493613224|ref|WP_006565522.1|	peptidase [Anaerostipes caccae] 
gi|493613225|ref|WP_006565523.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613226|ref|WP_006565524.1|	16S rRNA methyltransferase [Anaerostipes caccae] 
gi|493613227|ref|WP_006565525.1|	MULTISPECIES: cell division protein MraZ [Anaerostipes] 
gi|493613228|ref|WP_006565526.1|	MULTISPECIES: diacylglyceryl transferase [Anaerostipes] 
gi|493613229|ref|WP_006565527.1|	GTP-binding protein YchF [Anaerostipes caccae] 
gi|493613230|ref|WP_006565528.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613231|ref|WP_006565529.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613232|ref|WP_006565530.1|	MULTISPECIES: aspartate aminotransferase [Anaerostipes] 
gi|493613233|ref|WP_006565531.1|	transcription antitermination regulator [Anaerostipes caccae] 
gi|493613234|ref|WP_006565532.1|	glutamine synthetase [Anaerostipes caccae] 
gi|493613235|ref|WP_006565533.1|	carbamoyl phosphate synthase large subunit [Anaerostipes caccae] 
gi|493613236|ref|WP_006565534.1|	MULTISPECIES: carbamoyl phosphate synthase [Anaerostipes] 
gi|493613237|ref|WP_006565535.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613238|ref|WP_006565536.1|	ABC transporter [Anaerostipes caccae] 
gi|493613239|ref|WP_006565537.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613240|ref|WP_006565538.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613241|ref|WP_006565539.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613243|ref|WP_006565540.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613244|ref|WP_006565541.1|	CRISPR-associated protein [Anaerostipes caccae] 
gi|493613245|ref|WP_006565542.1|	CRISPR-associated protein [Anaerostipes caccae] 
gi|493613246|ref|WP_006565543.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613247|ref|WP_006565544.1|	CRISPR-associated protein [Anaerostipes caccae] 
gi|493613248|ref|WP_006565545.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613249|ref|WP_006565546.1|	CRISPR-associated protein Cmr1 [Anaerostipes caccae] 
gi|493613250|ref|WP_006565547.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613251|ref|WP_006565548.1|	CRISPR-associated protein Cmr4 [Anaerostipes caccae] 
gi|493613252|ref|WP_006565549.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613253|ref|WP_006565550.1|	MULTISPECIES: CRISPR-associated protein Cas2 [Anaerostipes] 
gi|493613254|ref|WP_006565551.1|	CRISPR-associated protein Cas1 [Anaerostipes caccae] 
gi|493613255|ref|WP_006565552.1|	CRISPR-associated protein Cas4 [Anaerostipes caccae] 
gi|493613256|ref|WP_006565553.1|	CRISPR-associated protein Cas3 [Anaerostipes caccae] 
gi|493613257|ref|WP_006565554.1|	CRISPR-associated protein Cas5 [Anaerostipes caccae] 
gi|493613258|ref|WP_006565555.1|	CRISPR-associated protein [Anaerostipes caccae] 
gi|493613259|ref|WP_006565556.1|	CRISPR-associated protein [Anaerostipes caccae] 
gi|493613260|ref|WP_006565557.1|	MULTISPECIES: CRISPR-associated protein Cas6 [Anaerostipes] 
gi|493613261|ref|WP_006565558.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613262|ref|WP_006565559.1|	ferredoxin [Anaerostipes caccae] 
gi|493613263|ref|WP_006565560.1|	16S rRNA methyltransferase [Anaerostipes caccae] 
gi|493613264|ref|WP_006565561.1|	MULTISPECIES: peptidoglycan-binding protein [Anaerostipes] 
gi|493613265|ref|WP_006565562.1|	MerR family transcripitonal regulator [Anaerostipes caccae] 
gi|493613266|ref|WP_006565563.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613267|ref|WP_006565564.1|	potassium transporter [Anaerostipes caccae] 
gi|493613268|ref|WP_006565565.1|	branched-chain amino acid aminotransferase [Anaerostipes caccae] 
gi|493613269|ref|WP_006565566.1|	diacylglycerol kinase [Anaerostipes caccae] 
gi|493613270|ref|WP_006565567.1|	MULTISPECIES: thymidylate synthase [Anaerostipes] 
gi|493613271|ref|WP_006565568.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613273|ref|WP_006565569.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613274|ref|WP_006565570.1|	histidinol-phosphate aminotransferase [Anaerostipes caccae] 
gi|493613275|ref|WP_006565571.1|	aspartate aminotransferase [Anaerostipes caccae] 
gi|493613276|ref|WP_006565572.1|	MULTISPECIES: dihydrodipicolinate reductase [Anaerostipes] 
gi|493613277|ref|WP_006565573.1|	dihydrodipicolinate synthase [Anaerostipes caccae] 
gi|493613278|ref|WP_006565574.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613279|ref|WP_006565575.1|	MULTISPECIES: single-stranded DNA-binding protein [Anaerostipes] 
gi|493613280|ref|WP_006565576.1|	GTP-binding protein [Anaerostipes caccae] 
gi|493613281|ref|WP_006565577.1|	MULTISPECIES: uracil phosphoribosyltransferase [Clostridiales] 
gi|493613282|ref|WP_006565578.1|	biotin synthase [Anaerostipes caccae] 
gi|493613283|ref|WP_006565579.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613284|ref|WP_006565580.1|	MULTISPECIES: acetyltransferase [Clostridiales] 
gi|493613285|ref|WP_006565581.1|	MULTISPECIES: fructose-1,6-bisphosphatase [Clostridiales] 
gi|493613286|ref|WP_006565582.1|	ATPase AAA [Anaerostipes caccae] 
gi|493613287|ref|WP_006565583.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493613289|ref|WP_006565584.1|	peptidyl-prolyl cis-trans isomerase [Anaerostipes caccae] 
gi|493613290|ref|WP_006565585.1|	oxidoreductase [Anaerostipes caccae] 
gi|493613291|ref|WP_006565586.1|	ABC transporter [Anaerostipes caccae] 
gi|493613292|ref|WP_006565587.1|	ABC transporter [Anaerostipes caccae] 
gi|493613293|ref|WP_006565588.1|	MULTISPECIES: MarR family transcripitonal regulator [Anaerostipes] 
gi|493613294|ref|WP_006565589.1|	acetylhydrolase [Anaerostipes caccae] 
gi|493613295|ref|WP_006565590.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613296|ref|WP_006565591.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613297|ref|WP_006565592.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613298|ref|WP_006565593.1|	preprotein translocase SecA [Anaerostipes caccae] 
gi|493613299|ref|WP_006565594.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613301|ref|WP_006565595.1|	membrane protein [Anaerostipes caccae] 
gi|493613302|ref|WP_006565596.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613303|ref|WP_006565597.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613304|ref|WP_006565598.1|	MULTISPECIES: 2,5-diketo-D-gluconic acid reductase [Anaerostipes] 
gi|493613305|ref|WP_006565599.1|	ATPase AAA [Anaerostipes caccae] 
gi|493613307|ref|WP_006565600.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613308|ref|WP_006565601.1|	MULTISPECIES: stage III sporulation protein D [Anaerostipes] 
gi|493613309|ref|WP_006565602.1|	D-alanyl-D-alanine carboxypeptidase [Anaerostipes caccae] 
gi|493613310|ref|WP_006565603.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613311|ref|WP_006565604.1|	cobalamin biosynthesis protein CobW [Anaerostipes caccae] 
gi|493613312|ref|WP_006565605.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613313|ref|WP_006565606.1|	MULTISPECIES: LytTR family transcriptional regulator [Anaerostipes] 
gi|493613314|ref|WP_006565607.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613316|ref|WP_006565608.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613317|ref|WP_006565609.1|	xanthine dehydrogenase subunit A [Anaerostipes caccae] 
gi|493613318|ref|WP_006565610.1|	molybdopterin dehydrogenase [Anaerostipes caccae] 
gi|493613319|ref|WP_006565611.1|	xanthine dehydrogenase [Anaerostipes caccae] 
gi|493613320|ref|WP_006565612.1|	MULTISPECIES: thioesterase [Anaerostipes] 
gi|493613321|ref|WP_006565613.1|	RNA helicase [Anaerostipes caccae] 
gi|493613323|ref|WP_006565614.1|	MULTISPECIES: cold-shock protein [Clostridiales] 
gi|493613324|ref|WP_006565615.1|	DeoR family transcriptional regulator [Anaerostipes caccae] 
gi|493613325|ref|WP_006565616.1|	PTS mannitol transporter subunit IIB [Anaerostipes caccae] 
gi|493613326|ref|WP_006565617.1|	oxidoreductase [Anaerostipes caccae] 
gi|493613327|ref|WP_006565618.1|	deoxyribose-phosphate aldolase [Anaerostipes caccae] 
gi|493613328|ref|WP_006565619.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613329|ref|WP_006565620.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613330|ref|WP_006565621.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613331|ref|WP_006565622.1|	NAD synthetase [Anaerostipes caccae] 
gi|493613332|ref|WP_006565623.1|	peptide chain release factor 1 [Anaerostipes caccae] 
gi|493613333|ref|WP_006565624.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613334|ref|WP_006565625.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613335|ref|WP_006565626.1|	transcription termination factor Rho [Anaerostipes caccae] 
gi|493613336|ref|WP_006565627.1|	MULTISPECIES: RNA polymerase sigma70 [Anaerostipes] 
gi|493613337|ref|WP_006565628.1|	MULTISPECIES: histidine kinase [Anaerostipes] 
gi|493613339|ref|WP_006565629.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493613340|ref|WP_006565630.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613341|ref|WP_006565631.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613342|ref|WP_006565632.1|	valyl-tRNA synthase [Anaerostipes caccae] 
gi|493613343|ref|WP_006565633.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613344|ref|WP_006565634.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613345|ref|WP_006565635.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613346|ref|WP_006565636.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613347|ref|WP_006565637.1|	histidinol-phosphate aminotransferase [Anaerostipes caccae] 
gi|493613348|ref|WP_006565638.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613349|ref|WP_006565639.1|	fibronectin [Anaerostipes caccae] 
gi|493613350|ref|WP_006565640.1|	alpha/beta hydrolase [Anaerostipes caccae] 
gi|493613351|ref|WP_006565641.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613352|ref|WP_006565642.1|	citrate synthase [Anaerostipes caccae] 
gi|493613353|ref|WP_006565643.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Clostridiales] 
gi|493613354|ref|WP_006565644.1|	MULTISPECIES: polar amino acid ABC transporter permease [Anaerostipes] 
gi|493613355|ref|WP_006565645.1|	amino acid ABC transporter substrate-binding protein [Anaerostipes caccae] 
gi|493613356|ref|WP_006565646.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613357|ref|WP_006565647.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613358|ref|WP_006565648.1|	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase [Anaerostipes caccae] 
gi|493613359|ref|WP_006565649.1|	mannosyl-glycoprotein endo-beta-N-acetylglucosamidase [Anaerostipes caccae] 
gi|493613360|ref|WP_006565650.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613361|ref|WP_006565651.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613362|ref|WP_006565652.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613363|ref|WP_006565653.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613365|ref|WP_006565654.1|	MULTISPECIES: RNA polymerase sigma factor RpoD [Anaerostipes] 
gi|493613366|ref|WP_006565655.1|	tryptophan synthase subunit alpha [Anaerostipes caccae] 
gi|493613367|ref|WP_006565656.1|	tryptophan synthase subunit beta [Anaerostipes caccae] 
gi|493613368|ref|WP_006565657.1|	MULTISPECIES: N-(5'-phosphoribosyl)anthranilate isomerase [Anaerostipes] 
gi|493613369|ref|WP_006565658.1|	indole-3-glycerol phosphate synthase [Anaerostipes caccae] 
gi|493613370|ref|WP_006565659.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613371|ref|WP_006565660.1|	anthranilate synthase subunit I [Anaerostipes caccae] 
gi|493613372|ref|WP_006565661.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613373|ref|WP_006565662.1|	isocitrate dehydrogenase [Anaerostipes caccae] 
gi|493613374|ref|WP_006565663.1|	hydrogenase [Anaerostipes caccae] 
gi|493613375|ref|WP_006565664.1|	glutamate synthase [Anaerostipes caccae] 
gi|493613376|ref|WP_006565665.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613377|ref|WP_006565666.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613378|ref|WP_006565667.1|	dihydroxyacetone kinase [Anaerostipes caccae] 
gi|493613379|ref|WP_006565668.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613380|ref|WP_006565669.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613381|ref|WP_006565670.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613382|ref|WP_006565671.1|	MULTISPECIES: UDP-phosphate glucose phosphotransferase [Anaerostipes] 
gi|493613383|ref|WP_006565672.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613384|ref|WP_006565673.1|	MULTISPECIES: SAM-dependent methyltransferase [Anaerostipes] 
gi|493613385|ref|WP_006565674.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613386|ref|WP_006565675.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613387|ref|WP_006565676.1|	4-hydroxybutyrate CoA transferase [Anaerostipes caccae] 
gi|493613388|ref|WP_006565677.1|	4-hydroxybutyrate dehydrogenase [Anaerostipes caccae] 
gi|493613389|ref|WP_006565678.1|	enoyl-CoA hydratase [Anaerostipes caccae] 
gi|493613390|ref|WP_006565679.1|	alcohol dehydrogenase [Anaerostipes caccae] 
gi|493613391|ref|WP_006565680.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613392|ref|WP_006565681.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613393|ref|WP_006565682.1|	2-hydroxyacid dehydrogenase [Anaerostipes caccae] 
gi|493613394|ref|WP_006565683.1|	fructose-bisphosphate aldolase [Anaerostipes caccae] 
gi|493613395|ref|WP_006565684.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Anaerostipes] 
gi|493613396|ref|WP_006565685.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613397|ref|WP_006565686.1|	MULTISPECIES: PTS sugar transporter [Anaerostipes] 
gi|493613398|ref|WP_006565687.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493613399|ref|WP_006565688.1|	aldolase [Anaerostipes caccae] 
gi|493613400|ref|WP_006565689.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613401|ref|WP_006565690.1|	CDP-glycerol glycerophosphotransferase [Anaerostipes caccae] 
