WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_007285326.1	PadR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285327.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007285328.1	PTS beta-glucoside transporter subunit EIIBCA [Intestinibacter bartlettii] 
WP_007285331.1	UV damage endonuclease UvsE [Intestinibacter bartlettii] 
WP_007285332.1	glycosyl hydrolase family 3 [Intestinibacter bartlettii] 
WP_007285333.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285334.1	N-acetylmuramoyl-L-alanine amidase CwlD [Intestinibacter bartlettii] 
WP_007285335.1	prolyl-tRNA editing protein [Intestinibacter bartlettii] 
WP_007285336.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285337.1	pyruvate carboxylase [Intestinibacter bartlettii] 
WP_007285338.1	elongation factor G [Intestinibacter bartlettii] 
WP_007285339.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285340.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285341.1	ATP-dependent Clp protease ATP-binding subunit ClpC [Intestinibacter bartlettii] 
WP_007285343.1	DNA integrity scanning protein DisA [Intestinibacter bartlettii] 
WP_007285344.1	twitching motility protein PilT [Intestinibacter bartlettii] 
WP_007285345.1	methylated-DNA--protein-cysteine methyltransferase [Intestinibacter bartlettii] 
WP_007285347.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285348.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285349.1	MULTISPECIES: PTS sorbose transporter subunit IIB [Clostridiales] 
WP_007285350.1	PTS sorbitol transporter subunit IIC [Intestinibacter bartlettii] 
WP_007285353.1	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha [Intestinibacter bartlettii] 
WP_007285354.1	TPP-dependent acetoin dehydrogenase complex E1 protein subunit beta [Intestinibacter bartlettii] 
WP_007285355.1	MULTISPECIES: 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Clostridiales] 
WP_007285356.1	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Intestinibacter bartlettii] 
WP_007285358.1	MULTISPECIES: glutamate--tRNA ligase [Clostridiales] 
WP_007285359.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285360.1	amino acid permease [Intestinibacter bartlettii] 
WP_007285361.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285362.1	amino acid permease [Intestinibacter bartlettii] 
WP_007285363.1	ABC transporter substrate-binding protein [Intestinibacter bartlettii] 
WP_007285364.1	MULTISPECIES: amino acid ABC transporter substrate-binding protein [Clostridiales] 
WP_007285365.1	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
WP_007285366.1	epimerase [Intestinibacter bartlettii] 
WP_007285367.1	S-ribosylhomocysteinase [Intestinibacter bartlettii] 
WP_007285368.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285370.1	chromate transporter [Intestinibacter bartlettii] 
WP_007285371.1	MULTISPECIES: chromate transporter [Clostridiales] 
WP_007285372.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285373.1	peptidase M29 [Intestinibacter bartlettii] 
WP_007285374.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285375.1	orotidine 5'-phosphate decarboxylase [Intestinibacter bartlettii] 
WP_007285376.1	MULTISPECIES: carbamoyl phosphate synthase small subunit [Clostridiales] 
WP_007285377.1	carbamoyl phosphate synthase large subunit [Intestinibacter bartlettii] 
WP_007285378.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285379.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285380.1	MULTISPECIES: SAM-dependent methyltransferase [Clostridiales] 
WP_007285382.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285383.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285385.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285386.1	regulatory protein [Intestinibacter bartlettii] 
WP_007285387.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285390.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285392.1	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Intestinibacter bartlettii] 
WP_007285393.1	GntR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285394.1	MULTISPECIES: stage II sporulation protein R [Clostridiales] 
WP_007285396.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285397.1	tRNA(Ile)-lysidine synthetase [Intestinibacter bartlettii] 
WP_007285400.1	peptidase [Intestinibacter bartlettii] 
WP_007285401.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285402.1	MULTISPECIES: type III pantothenate kinase [Clostridiales] 
WP_007285403.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285404.1	MULTISPECIES: transcription elongation factor GreA [Clostridiales] 
WP_007285405.1	lysine--tRNA ligase [Intestinibacter bartlettii] 
WP_007285406.1	MULTISPECIES: transcriptional repressor [Clostridiales] 
WP_007285407.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285408.1	ABC transporter [Intestinibacter bartlettii] 
WP_007285409.1	ABC transporter [Intestinibacter bartlettii] 
WP_007285410.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285412.1	excinuclease ABC subunit A [Intestinibacter bartlettii] 
WP_007285413.1	excinuclease ABC subunit C [Intestinibacter bartlettii] 
WP_007285414.1	MULTISPECIES: HPr(Ser) kinase/phosphatase [Clostridiales] 
WP_007285415.1	phosphoesterase [Intestinibacter bartlettii] 
WP_007285416.1	NADH:ubiquinone oxidoreductase [Intestinibacter bartlettii] 
WP_007285417.1	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
WP_007285418.1	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
WP_007285420.1	MULTISPECIES: NADH dehydrogenase [Clostridiales] 
WP_007285423.1	formate dehydrogenase subunit alpha [Intestinibacter bartlettii] 
WP_007285424.1	MULTISPECIES: molybdenum cofactor guanylyltransferase [Clostridiales] 
WP_007285425.1	molybdopterin molybdenumtransferase MoeA [Intestinibacter bartlettii] 
WP_007285426.1	molybdopterin-guanine dinucleotide biosynthesis protein MobB [Intestinibacter bartlettii] 
WP_007285427.1	molybdopterin-binding protein [Intestinibacter bartlettii] 
WP_007285430.1	MULTISPECIES: molybdenum cofactor biosynthesis protein MoaC [Clostridiales] 
WP_007285432.1	electron transporter HydN [Intestinibacter bartlettii] 
WP_007285434.1	MULTISPECIES: oxidoreductase [Clostridiales] 
WP_007285435.1	MULTISPECIES: formate dehydrogenase subunit alpha [Clostridiales] 
WP_007285436.1	MULTISPECIES: spermidine/putrescine ABC transporter substrate-binding protein [Clostridiales] 
WP_007285437.1	L-selenocysteinyl-tRNA(Sec) synthase [Intestinibacter bartlettii] 
WP_007285438.1	selenocysteine-specific translation factor [Intestinibacter bartlettii] 
WP_007285439.1	selenophosphate synthetase [Intestinibacter bartlettii] 
WP_007285440.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007285441.1	formate transporter [Intestinibacter bartlettii] 
WP_007285442.1	MULTISPECIES: UDP-N-acetylenolpyruvoylglucosamine reductase [Clostridiales] 
WP_007285443.1	phosphoesterase [Intestinibacter bartlettii] 
WP_007285444.1	RNase adaptor protein RapZ [Intestinibacter bartlettii] 
WP_007285445.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285446.1	NUDIX hydrolase [Intestinibacter bartlettii] 
WP_007285448.1	DNA polymerase III subunit alpha [Intestinibacter bartlettii] 
WP_007285449.1	6-phosphofructokinase [Intestinibacter bartlettii] 
WP_007285450.1	pyruvate kinase [Intestinibacter bartlettii] 
WP_007285451.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285452.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285454.1	membrane protein [Intestinibacter bartlettii] 
WP_007285455.1	uridine kinase [Intestinibacter bartlettii] 
WP_007285456.1	NUDIX hydrolase [Intestinibacter bartlettii] 
WP_007285457.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285458.1	ABC transporter permease [Intestinibacter bartlettii] 
WP_007285459.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285460.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285461.1	dihydrofolate reductase [Intestinibacter bartlettii] 
WP_007285462.1	DNA ligase (NAD(+)) LigA [Intestinibacter bartlettii] 
WP_007285463.1	MULTISPECIES: ribonuclease PH [Clostridiales] 
WP_007285464.1	phosphodiesterase [Intestinibacter bartlettii] 
WP_007285465.1	MULTISPECIES: trigger factor [Clostridiales] 
WP_007285466.1	MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP [Clostridiales] 
WP_007285467.1	MULTISPECIES: ATP-dependent Clp protease ATP-binding subunit ClpX [Clostridiales] 
WP_007285468.1	endopeptidase La [Intestinibacter bartlettii] 
WP_007285470.1	ATP-binding protein [Intestinibacter bartlettii] 
WP_007285471.1	glutamine amidotransferase subunit PdxT [Intestinibacter bartlettii] 
WP_007285472.1	pyridoxal biosynthesis lyase PdxS [Intestinibacter bartlettii] 
WP_007285473.1	general secretion pathway protein E [Intestinibacter bartlettii] 
WP_007285474.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285475.1	prepilin-type N-terminal cleavage/methylation domain-containing protein [Intestinibacter bartlettii] 
WP_007285476.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285477.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285482.1	Na/Pi cotransporter [Intestinibacter bartlettii] 
WP_007285483.1	MULTISPECIES: glucose-6-phosphate isomerase [Clostridiales] 
WP_007285484.1	protease [Intestinibacter bartlettii] 
WP_007285485.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285486.1	FAD-dependent oxidoreductase [Intestinibacter bartlettii] 
WP_007285487.1	ferrous iron transporter B [Intestinibacter bartlettii] 
WP_007285489.1	MULTISPECIES: heptaprenyl diphosphate synthase subunit I [Clostridiales] 
WP_007285491.1	cation transporter [Intestinibacter bartlettii] 
WP_007285492.1	oligoendopeptidase F [Intestinibacter bartlettii] 
WP_007285493.1	phosphate transport system regulatory protein PhoU [Intestinibacter bartlettii] 
WP_007285495.1	glutamate dehydrogenase [Intestinibacter bartlettii] 
WP_007285496.1	glutamate dehydrogenase [Intestinibacter bartlettii] 
WP_007285497.1	valine--tRNA ligase [Intestinibacter bartlettii] 
WP_007285498.1	bifunctional folylpolyglutamate synthase/dihydrofolate synthase [Intestinibacter bartlettii] 
WP_007285501.1	spore protein [Intestinibacter bartlettii] 
WP_007285502.1	deacetylase [Intestinibacter bartlettii] 
WP_007285503.1	single-stranded DNA-binding protein [Intestinibacter bartlettii] 
WP_007285505.1	MULTISPECIES: ATPase AAA [Clostridiales] 
WP_007285506.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285507.1	MULTISPECIES: hypoxanthine phosphoribosyltransferase [Clostridiales] 
WP_007285509.1	tryptophan--tRNA ligase [Intestinibacter bartlettii] 
WP_007285510.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285511.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285512.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285513.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285514.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285515.1	major facilitator transporter [Intestinibacter bartlettii] 
WP_007285516.1	mannonate dehydratase [Intestinibacter bartlettii] 
WP_007285519.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285520.1	uronate isomerase [Intestinibacter bartlettii] 
WP_007285521.1	bifunctional 2-keto-4-hydroxyglutarate aldolase/2-keto-3-deoxy-6-phosphogluconate aldolase [Intestinibacter bartlettii] 
WP_007285523.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285525.1	aryl-phospho-beta-D-glucosidase [Intestinibacter bartlettii] 
WP_007285526.1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase [Intestinibacter bartlettii] 
WP_007285527.1	4-hydroxy-tetrahydrodipicolinate reductase [Intestinibacter bartlettii] 
WP_007285528.1	MULTISPECIES: 4-hydroxy-tetrahydrodipicolinate synthase [Clostridiales] 
WP_007285529.1	aspartate-semialdehyde dehydrogenase [Intestinibacter bartlettii] 
WP_007285530.1	MULTISPECIES: serine dehydratase [Clostridiales] 
WP_007285531.1	amidohydrolase [Intestinibacter bartlettii] 
WP_007285532.1	MULTISPECIES: nitrogen-fixing protein NifU [Clostridiales] 
WP_007285533.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285534.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285535.1	N-acetylmuramoyl-L-alanine amidase [Intestinibacter bartlettii] 
WP_007285538.1	methyltransferase [Intestinibacter bartlettii] 
WP_007285539.1	molecular chaperone Hsp33 [Intestinibacter bartlettii] 
WP_007285540.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285541.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285542.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285543.1	RNA polymerase sigma-54 factor [Intestinibacter bartlettii] 
WP_007285545.1	MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase [Clostridiales] 
WP_007285546.1	phosphoglycerate kinase [Intestinibacter bartlettii] 
WP_007285547.1	MULTISPECIES: triose-phosphate isomerase [Clostridiales] 
WP_007285548.1	MULTISPECIES: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [Clostridiales] 
WP_007285549.1	phosphopyruvate hydratase [Intestinibacter bartlettii] 
WP_007285550.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285551.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285553.1	transporter [Intestinibacter bartlettii] 
WP_007285554.1	dihydroxy-acid dehydratase [Intestinibacter bartlettii] 
WP_007285555.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007285556.1	ribonuclease R [Intestinibacter bartlettii] 
WP_007285557.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285558.1	MULTISPECIES: SsrA-binding protein [Clostridiales] 
WP_007285560.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285562.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285563.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285564.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285565.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285567.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285568.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285569.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285570.1	hydrogenase [Intestinibacter bartlettii] 
WP_007285571.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285572.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285573.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285575.1	iron-dicitrate ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285576.1	bacitracin resistance protein BacA [Intestinibacter bartlettii] 
WP_007285577.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285578.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285579.1	cobalt transporter [Intestinibacter bartlettii] 
WP_007285580.1	cobalt ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285584.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285585.1	MFS transporter [Intestinibacter bartlettii] 
WP_007285586.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285587.1	multidrug ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285589.1	MULTISPECIES: nitroreductase [Clostridiales] 
WP_007285590.1	nitroreductase [Intestinibacter bartlettii] 
WP_007285592.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285594.1	cupin [Intestinibacter bartlettii] 
WP_007285596.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285599.1	MULTISPECIES: 4Fe-4S ferredoxin [Clostridiales] 
WP_007285600.1	MULTISPECIES: DNA-binding response regulator [Clostridiales] 
WP_007285601.1	two-component sensor histidine kinase [Intestinibacter bartlettii] 
WP_007285602.1	uracil permease [Intestinibacter bartlettii] 
WP_007285606.1	choloylglycine hydrolase [Intestinibacter bartlettii] 
WP_007285608.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285609.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285610.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285611.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285612.1	nickel ABC transporter nickel/metallophore periplasmic binding protein [Intestinibacter bartlettii] 
WP_007285613.1	nickel ABC transporter permease subunit NikB [Intestinibacter bartlettii] 
WP_007285614.1	nickel ABC transporter permease subunit NikC [Intestinibacter bartlettii] 
WP_007285615.1	nickel ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285616.1	peptide ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285618.1	DNA-binding transcriptional regulator [Intestinibacter bartlettii] 
WP_007285619.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285620.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285621.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285622.1	FMN reductase [Intestinibacter bartlettii] 
WP_007285623.1	nitroreductase [Intestinibacter bartlettii] 
WP_007285624.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285625.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285626.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285627.1	hypothetical protein [Intestinibacter bartlettii] 
