gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491802880|ref|WP_005608470.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802882|ref|WP_005608472.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802883|ref|WP_005608473.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802885|ref|WP_005608475.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802887|ref|WP_005608477.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802888|ref|WP_005608478.1|	pilus biosynthesis protein [Ruminococcus lactaris] 
gi|491802890|ref|WP_005608480.1|	type II secretion system protein F [Ruminococcus lactaris] 
gi|491802892|ref|WP_005608482.1|	secretion protein F [Ruminococcus lactaris] 
gi|491802894|ref|WP_005608484.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802896|ref|WP_005608486.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802897|ref|WP_005608487.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802899|ref|WP_005608489.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802906|ref|WP_005608496.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802907|ref|WP_005608497.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802908|ref|WP_005608498.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802909|ref|WP_005608499.1|	histidine kinase [Ruminococcus lactaris] 
gi|491802910|ref|WP_005608500.1|	histidine triad (HIT) protein [Ruminococcus lactaris] 
gi|491802913|ref|WP_005608503.1|	RNA polymerase sigma 70 [Ruminococcus lactaris] 
gi|491802915|ref|WP_005608505.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Ruminococcus lactaris] 
gi|491802916|ref|WP_005608506.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802918|ref|WP_005608508.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802921|ref|WP_005608511.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802923|ref|WP_005608513.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802926|ref|WP_005608516.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802928|ref|WP_005608518.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802929|ref|WP_005608519.1|	6-phosphofructokinase [Ruminococcus lactaris] 
gi|491802931|ref|WP_005608521.1|	DNA polymerase III subunit gamma/tau [Ruminococcus lactaris] 
gi|491802933|ref|WP_005608523.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802935|ref|WP_005608525.1|	recombinase RecR [Ruminococcus lactaris] 
gi|491802936|ref|WP_005608526.1|	transaldolase [Ruminococcus lactaris] 
gi|491802938|ref|WP_005608528.1|	transketolase [Ruminococcus lactaris] 
gi|491802940|ref|WP_005608530.1|	transketolase [Ruminococcus lactaris] 
gi|491802942|ref|WP_005608532.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802944|ref|WP_005608534.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802946|ref|WP_005608536.1|	phosphohydrolase [Ruminococcus lactaris] 
gi|491802947|ref|WP_005608537.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802949|ref|WP_005608539.1|	peptidoglycan-binding protein [Ruminococcus lactaris] 
gi|491802950|ref|WP_005608540.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802952|ref|WP_005608542.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802954|ref|WP_005608544.1|	hydroxylamine reductase [Ruminococcus lactaris] 
gi|491802956|ref|WP_005608546.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491802957|ref|WP_005608547.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802959|ref|WP_005608549.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802960|ref|WP_005608550.1|	MULTISPECIES: MarR family transcriptional regulator [Clostridiales] 
gi|491802962|ref|WP_005608552.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491802964|ref|WP_005608554.1|	radical SAM protein [Ruminococcus lactaris] 
gi|491802966|ref|WP_005608556.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802968|ref|WP_005608558.1|	ArsR family transcriptional regulator [Ruminococcus lactaris] 
gi|491802970|ref|WP_005608560.1|	cadmium transporter [Ruminococcus lactaris] 
gi|491802972|ref|WP_005608562.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802973|ref|WP_005608563.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802975|ref|WP_005608565.1|	FAD-binding protein [Ruminococcus lactaris] 
gi|491802976|ref|WP_005608566.1|	succinate dehydrogenase [Ruminococcus lactaris] 
gi|491802978|ref|WP_005608568.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802979|ref|WP_005608569.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802980|ref|WP_005608570.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802981|ref|WP_005608571.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802982|ref|WP_005608572.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802985|ref|WP_005608575.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802987|ref|WP_005608577.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802988|ref|WP_005608578.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802990|ref|WP_005608580.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802992|ref|WP_005608582.1|	integrase [Ruminococcus lactaris] 
gi|491802994|ref|WP_005608584.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491802997|ref|WP_005608587.1|	glucose-6-phosphate isomerase [Ruminococcus lactaris] 
gi|491802999|ref|WP_005608589.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803001|ref|WP_005608591.1|	UDP-N-acetylmuramoylalanyl-D-glutamyl-2 6-diaminopimelate--D-alanyl-D-alanine ligase [Ruminococcus lactaris] 
gi|491803003|ref|WP_005608593.1|	D-alanine--D-alanine ligase [Ruminococcus lactaris] 
gi|491803005|ref|WP_005608595.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803008|ref|WP_005608598.1|	PA domain protein [Ruminococcus lactaris] 
gi|491803009|ref|WP_005608599.1|	N-acetyltransferase GCN5 [Ruminococcus lactaris] 
gi|491803011|ref|WP_005608601.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803012|ref|WP_005608602.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803013|ref|WP_005608603.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803020|ref|WP_005608610.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803021|ref|WP_005608611.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803023|ref|WP_005608613.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803025|ref|WP_005608615.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803029|ref|WP_005608617.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803032|ref|WP_005608619.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803035|ref|WP_005608621.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803039|ref|WP_005608623.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803051|ref|WP_005608629.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803059|ref|WP_005608633.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803082|ref|WP_005608646.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803086|ref|WP_005608648.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803091|ref|WP_005608651.1|	aminoacyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491803096|ref|WP_005608654.1|	endonuclease [Ruminococcus lactaris] 
gi|491803098|ref|WP_005608655.1|	lactate dehydrogenase [Ruminococcus lactaris] 
gi|491803101|ref|WP_005608657.1|	chromate transporter [Ruminococcus lactaris] 
gi|491803105|ref|WP_005608659.1|	chromate transporter [Ruminococcus lactaris] 
gi|491803107|ref|WP_005608660.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803109|ref|WP_005608661.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491803111|ref|WP_005608662.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803113|ref|WP_005608663.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803118|ref|WP_005608666.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803123|ref|WP_005608669.1|	HAD family hydrolase [Ruminococcus lactaris] 
gi|491803126|ref|WP_005608671.1|	6-phosphofructokinase [Ruminococcus lactaris] 
gi|491803128|ref|WP_005608673.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803130|ref|WP_005608675.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803132|ref|WP_005608677.1|	ribokinase [Ruminococcus lactaris] 
gi|491803134|ref|WP_005608679.1|	sugar isomerase [Ruminococcus lactaris] 
gi|491803136|ref|WP_005608681.1|	PTS mannose transporter subunit IID [Ruminococcus lactaris] 
gi|491803138|ref|WP_005608683.1|	PTS sugar transporter [Ruminococcus lactaris] 
gi|491803146|ref|WP_005608686.1|	PTS sugar transporter [Ruminococcus lactaris] 
gi|491803147|ref|WP_005608687.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803148|ref|WP_005608688.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491803149|ref|WP_005608689.1|	GntR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803150|ref|WP_005608690.1|	transposase [Ruminococcus lactaris] 
gi|491803157|ref|WP_005608692.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491803158|ref|WP_005608693.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803159|ref|WP_005608694.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803160|ref|WP_005608695.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491803161|ref|WP_005608696.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803162|ref|WP_005608697.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803163|ref|WP_005608698.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803164|ref|WP_005608699.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803165|ref|WP_005608700.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803170|ref|WP_005608703.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803177|ref|WP_005608706.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491803291|ref|WP_005608709.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803293|ref|WP_005608710.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803297|ref|WP_005608712.1|	plasmid stabilization protein [Ruminococcus lactaris] 
gi|491803301|ref|WP_005608714.1|	acyl-CoA:6-aminopenicillanic acid acyl transferase [Ruminococcus lactaris] 
gi|491803304|ref|WP_005608716.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803306|ref|WP_005608717.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803309|ref|WP_005608719.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803311|ref|WP_005608720.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803313|ref|WP_005608721.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803315|ref|WP_005608722.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491803317|ref|WP_005608723.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803319|ref|WP_005608724.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491803321|ref|WP_005608725.1|	transcription antiterminator BglG [Ruminococcus lactaris] 
gi|491803323|ref|WP_005608726.1|	PTS glucose transporter subunit IIA [Ruminococcus lactaris] 
gi|491803325|ref|WP_005608727.1|	membrane protein [Ruminococcus lactaris] 
gi|491803327|ref|WP_005608728.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803330|ref|WP_005608730.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803332|ref|WP_005608731.1|	integrase [Ruminococcus lactaris] 
gi|491803339|ref|WP_005608734.1|	restriction endonuclease subunit R [Ruminococcus lactaris] 
gi|491803344|ref|WP_005608737.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803347|ref|WP_005608739.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803350|ref|WP_005608741.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803353|ref|WP_005608743.1|	restriction endonuclease subunit M [Ruminococcus lactaris] 
gi|491803356|ref|WP_005608745.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803359|ref|WP_005608747.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803363|ref|WP_005608749.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803365|ref|WP_005608751.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803367|ref|WP_005608753.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803369|ref|WP_005608754.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803372|ref|WP_005608756.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803375|ref|WP_005608758.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803377|ref|WP_005608759.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803379|ref|WP_005608760.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803072|ref|WP_005608640.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803075|ref|WP_005608642.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803079|ref|WP_005608644.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803388|ref|WP_005608762.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803392|ref|WP_005608764.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803397|ref|WP_005608767.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803403|ref|WP_005608771.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803414|ref|WP_005608777.1|	hydrolase [Ruminococcus lactaris] 
gi|491803417|ref|WP_005608779.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803420|ref|WP_005608780.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803428|ref|WP_005608781.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803430|ref|WP_005608782.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803433|ref|WP_005608783.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803543|ref|WP_005608880.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803545|ref|WP_005608882.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803548|ref|WP_005608885.1|	TetR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803551|ref|WP_005608888.1|	ABC transporter [Ruminococcus lactaris] 
gi|491803554|ref|WP_005608891.1|	ABC transporter [Ruminococcus lactaris] 
gi|491803557|ref|WP_005608894.1|	ArsR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803559|ref|WP_005608896.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803561|ref|WP_005608898.1|	ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803563|ref|WP_005608900.1|	GntR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803567|ref|WP_005608904.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803565|ref|WP_005608902.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803568|ref|WP_005608905.1|	DNA repair protein RadA [Ruminococcus lactaris] 
gi|491803571|ref|WP_005608907.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803572|ref|WP_005608908.1|	ATP-dependent Clp protease ATP-binding protein [Ruminococcus lactaris] 
gi|491803574|ref|WP_005608910.1|	GntR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803576|ref|WP_005608912.1|	histidine kinase [Ruminococcus lactaris] 
gi|491803579|ref|WP_005608915.1|	ArsR family transcriptional regulator [Ruminococcus lactaris] 
gi|491803580|ref|WP_005608916.1|	PhoU family transcriptional regulator [Ruminococcus lactaris] 
gi|491803582|ref|WP_005608918.1|	phosphate ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803583|ref|WP_005608919.1|	phosphate ABC transporter permease [Ruminococcus lactaris] 
gi|491803585|ref|WP_005608921.1|	phosphate ABC transporter permease [Ruminococcus lactaris] 
gi|491803586|ref|WP_005608922.1|	phosphate-binding protein [Ruminococcus lactaris] 
gi|491803588|ref|WP_005608924.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803590|ref|WP_005608926.1|	glutamine amidotransferase [Ruminococcus lactaris] 
gi|491803592|ref|WP_005608928.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803595|ref|WP_005608931.1|	hypothetical protein [Ruminococcus lactaris] 
