gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493773735|ref|WP_006722235.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773736|ref|WP_006722236.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773737|ref|WP_006722237.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773738|ref|WP_006722238.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773739|ref|WP_006722239.1|	formate--tetrahydrofolate ligase [Collinsella intestinalis] 
gi|493773740|ref|WP_006722240.1|	methenyltetrahydrofolate cyclohydrolase [Collinsella intestinalis] 
gi|493773741|ref|WP_006722241.1|	peptidase C69 [Collinsella intestinalis] 
gi|493773742|ref|WP_006722242.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773743|ref|WP_006722243.1|	ABC transporter [Collinsella intestinalis] 
gi|493773744|ref|WP_006722244.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773745|ref|WP_006722245.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773746|ref|WP_006722246.1|	methionyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773747|ref|WP_006722247.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773748|ref|WP_006722248.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773749|ref|WP_006722249.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773750|ref|WP_006722250.1|	S-adenosylmethionine tRNA ribosyltransferase [Collinsella intestinalis] 
gi|493773751|ref|WP_006722251.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773752|ref|WP_006722252.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773753|ref|WP_006722253.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773754|ref|WP_006722254.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773755|ref|WP_006722255.1|	queuine tRNA-ribosyltransferase [Collinsella intestinalis] 
gi|493773756|ref|WP_006722256.1|	peptidase [Collinsella intestinalis] 
gi|493773757|ref|WP_006722257.1|	exodeoxyribonuclease VII large subunit [Collinsella intestinalis] 
gi|493773759|ref|WP_006722258.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773760|ref|WP_006722259.1|	HIT family hydrolase [Collinsella intestinalis] 
gi|493773761|ref|WP_006722260.1|	acetate kinase [Collinsella intestinalis] 
gi|493773762|ref|WP_006722261.1|	phosphotransacetylase [Collinsella intestinalis] 
gi|493773763|ref|WP_006722262.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773764|ref|WP_006722263.1|	UDP-galactopyranose mutase [Collinsella intestinalis] 
gi|493773765|ref|WP_006722264.1|	glycosyl transferase [Collinsella intestinalis] 
gi|493773766|ref|WP_006722265.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773767|ref|WP_006722266.1|	DNA polymerase I [Collinsella intestinalis] 
gi|493773768|ref|WP_006722267.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773769|ref|WP_006722268.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773770|ref|WP_006722269.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773771|ref|WP_006722270.1|	amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493773772|ref|WP_006722271.1|	ABC transporter [Collinsella intestinalis] 
gi|493773773|ref|WP_006722272.1|	argininosuccinate synthase [Collinsella intestinalis] 
gi|493773774|ref|WP_006722273.1|	argininosuccinate lyase [Collinsella intestinalis] 
gi|493773775|ref|WP_006722274.1|	nucleoside diphosphate kinase [Collinsella intestinalis] 
gi|493773776|ref|WP_006722275.1|	membrane protein [Collinsella intestinalis] 
gi|493773777|ref|WP_006722276.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773778|ref|WP_006722277.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773779|ref|WP_006722278.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773780|ref|WP_006722279.1|	diacetylchitobiose-6-phosphate hydrolase [Collinsella intestinalis] 
gi|493773781|ref|WP_006722280.1|	PTS lactose transporter subunit IIB [Collinsella intestinalis] 
gi|493773782|ref|WP_006722281.1|	PTS cellobiose transporter subunit IIC [Collinsella intestinalis] 
gi|493773783|ref|WP_006722282.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773784|ref|WP_006722283.1|	6-phospho-beta-glucosidase [Collinsella intestinalis] 
gi|493773785|ref|WP_006722284.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773786|ref|WP_006722285.1|	PTS cellobiose transporter subunit IIA [Collinsella intestinalis] 
gi|493773787|ref|WP_006722286.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773788|ref|WP_006722287.1|	30S ribosomal protein S1 [Collinsella intestinalis] 
gi|493773789|ref|WP_006722288.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773790|ref|WP_006722289.1|	dipeptidase [Collinsella intestinalis] 
gi|493773791|ref|WP_006722290.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773792|ref|WP_006722291.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773793|ref|WP_006722292.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773794|ref|WP_006722293.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773795|ref|WP_006722294.1|	phosphate-binding protein [Collinsella intestinalis] 
gi|493773796|ref|WP_006722295.1|	phosphate ABC transporter permease [Collinsella intestinalis] 
gi|493773797|ref|WP_006722296.1|	phosphate ABC transporter permease [Collinsella intestinalis] 
gi|493773798|ref|WP_006722297.1|	phosphate ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493773799|ref|WP_006722298.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773800|ref|WP_006722299.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773801|ref|WP_006722300.1|	ABC transporter ATPase [Collinsella intestinalis] 
gi|493773802|ref|WP_006722301.1|	polyphosphate kinase [Collinsella intestinalis] 
gi|493773803|ref|WP_006722302.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773804|ref|WP_006722303.1|	6-phosphofructokinase [Collinsella intestinalis] 
gi|493773805|ref|WP_006722304.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493773806|ref|WP_006722305.1|	histidine kinase [Collinsella intestinalis] 
gi|493773807|ref|WP_006722306.1|	ATPase [Collinsella intestinalis] 
gi|493773808|ref|WP_006722307.1|	potassium-transporting ATPase subunit B [Collinsella intestinalis] 
gi|493773809|ref|WP_006722308.1|	potassium transporter KtrA [Collinsella intestinalis] 
gi|493773810|ref|WP_006722309.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773811|ref|WP_006722310.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773812|ref|WP_006722311.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773813|ref|WP_006722312.1|	CTP synthetase [Collinsella intestinalis] 
gi|493773814|ref|WP_006722313.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773815|ref|WP_006722314.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493773816|ref|WP_006722315.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773817|ref|WP_006722316.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493773819|ref|WP_006722317.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773820|ref|WP_006722318.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773821|ref|WP_006722319.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773822|ref|WP_006722320.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773823|ref|WP_006722321.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Collinsella intestinalis] 
gi|493773824|ref|WP_006722322.1|	LysR family transcriptional regulator [Collinsella intestinalis] 
gi|493773825|ref|WP_006722323.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773826|ref|WP_006722324.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773827|ref|WP_006722325.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773828|ref|WP_006722326.1|	ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493773829|ref|WP_006722327.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773830|ref|WP_006722328.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773831|ref|WP_006722329.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773832|ref|WP_006722330.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773833|ref|WP_006722331.1|	PadR family transcriptional regulator [Collinsella intestinalis] 
gi|493773834|ref|WP_006722332.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773835|ref|WP_006722333.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773836|ref|WP_006722334.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773837|ref|WP_006722335.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773838|ref|WP_006722336.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773839|ref|WP_006722337.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773840|ref|WP_006722338.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773841|ref|WP_006722339.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773842|ref|WP_006722340.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493773843|ref|WP_006722341.1|	methyltransferase [Collinsella intestinalis] 
gi|493773844|ref|WP_006722342.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773845|ref|WP_006722343.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773846|ref|WP_006722344.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773847|ref|WP_006722345.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773848|ref|WP_006722346.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773849|ref|WP_006722347.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773850|ref|WP_006722348.1|	histidine kinase [Collinsella intestinalis] 
gi|493773851|ref|WP_006722349.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773852|ref|WP_006722350.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493773853|ref|WP_006722351.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773854|ref|WP_006722352.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773855|ref|WP_006722353.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493773856|ref|WP_006722354.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773857|ref|WP_006722355.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773858|ref|WP_006722356.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773859|ref|WP_006722357.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773860|ref|WP_006722358.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773861|ref|WP_006722359.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773862|ref|WP_006722360.1|	histidine kinase [Collinsella intestinalis] 
gi|493773863|ref|WP_006722361.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773864|ref|WP_006722362.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773865|ref|WP_006722363.1|	ABC transporter [Collinsella intestinalis] 
gi|493773866|ref|WP_006722364.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493773867|ref|WP_006722365.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773868|ref|WP_006722366.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773869|ref|WP_006722367.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773870|ref|WP_006722368.1|	MFS transporter [Collinsella intestinalis] 
gi|493773871|ref|WP_006722369.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773872|ref|WP_006722370.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773873|ref|WP_006722371.1|	methylated-DNA--protein-cysteine methyltransferase [Collinsella intestinalis] 
gi|493773874|ref|WP_006722372.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773875|ref|WP_006722373.1|	tryptophanyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773876|ref|WP_006722374.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Collinsella intestinalis] 
gi|493773878|ref|WP_006722375.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773879|ref|WP_006722376.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773880|ref|WP_006722377.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773881|ref|WP_006722378.1|	arginine deiminase [Collinsella intestinalis] 
gi|493773882|ref|WP_006722379.1|	ornithine carbamoyltransferase [Collinsella intestinalis] 
gi|493773883|ref|WP_006722380.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773884|ref|WP_006722381.1|	C4-dicarboxylate ABC transporter [Collinsella intestinalis] 
gi|493773885|ref|WP_006722382.1|	amino acid APC transporter [Collinsella intestinalis] 
gi|493773886|ref|WP_006722383.1|	aminotransferase [Collinsella intestinalis] 
gi|493773887|ref|WP_006722384.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773888|ref|WP_006722385.1|	tyrosine recombinase XerD [Collinsella intestinalis] 
gi|493773889|ref|WP_006722386.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773890|ref|WP_006722387.1|	16S rRNA methyltransferase [Collinsella intestinalis] 
gi|493773891|ref|WP_006722388.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773892|ref|WP_006722389.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773893|ref|WP_006722390.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773894|ref|WP_006722391.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Collinsella intestinalis] 
gi|493773895|ref|WP_006722392.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Collinsella intestinalis] 
gi|493773896|ref|WP_006722393.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773897|ref|WP_006722394.1|	UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Collinsella intestinalis] 
gi|493773898|ref|WP_006722395.1|	UDP-N-acetylmuramate--alanine ligase [Collinsella intestinalis] 
gi|493773899|ref|WP_006722396.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Collinsella intestinalis] 
gi|493773900|ref|WP_006722397.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773901|ref|WP_006722398.1|	cell division protein FtsZ [Collinsella intestinalis] 
gi|493773902|ref|WP_006722399.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773903|ref|WP_006722400.1|	multicopper polyphenol oxidase [Collinsella intestinalis] 
gi|493773904|ref|WP_006722401.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773905|ref|WP_006722402.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773906|ref|WP_006722403.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773907|ref|WP_006722404.1|	phosphate ABC transporter permease [Collinsella intestinalis] 
gi|493773908|ref|WP_006722405.1|	phosphate ABC transporter permease [Collinsella intestinalis] 
gi|493773909|ref|WP_006722406.1|	phosphate ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493773910|ref|WP_006722407.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773911|ref|WP_006722408.1|	alanine racemase [Collinsella intestinalis] 
gi|493773912|ref|WP_006722409.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773913|ref|WP_006722410.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773914|ref|WP_006722411.1|	cell division protein DivIVA [Collinsella intestinalis] 
gi|493773915|ref|WP_006722412.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773916|ref|WP_006722413.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773917|ref|WP_006722414.1|	inorganic phosphate transporter PiT [Collinsella intestinalis] 
gi|493773918|ref|WP_006722415.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773919|ref|WP_006722416.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773920|ref|WP_006722417.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773921|ref|WP_006722418.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773922|ref|WP_006722419.1|	O-acetylhomoserine aminocarboxypropyltransferase [Collinsella intestinalis] 
gi|493773923|ref|WP_006722420.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773924|ref|WP_006722421.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773925|ref|WP_006722422.1|	alpha/beta hydrolase [Collinsella intestinalis] 
gi|493773926|ref|WP_006722423.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773927|ref|WP_006722424.1|	diacylglycerol kinase [Collinsella intestinalis] 
gi|493773928|ref|WP_006722425.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773929|ref|WP_006722426.1|	molybdenum cofactor synthesis protein [Collinsella intestinalis] 
gi|493773930|ref|WP_006722427.1|	molybdenum cofactor synthesis protein [Collinsella intestinalis] 
gi|493773931|ref|WP_006722428.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773932|ref|WP_006722429.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773933|ref|WP_006722430.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773934|ref|WP_006722431.1|	ABC transporter [Collinsella intestinalis] 
gi|493773935|ref|WP_006722432.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773936|ref|WP_006722433.1|	glutamate dehydrogenase [Collinsella intestinalis] 
gi|493773937|ref|WP_006722434.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773938|ref|WP_006722435.1|	trigger factor [Collinsella intestinalis] 
gi|493773939|ref|WP_006722436.1|	ATP-dependent Clp protease proteolytic subunit [Collinsella intestinalis] 
gi|493773940|ref|WP_006722437.1|	ATP-dependent protease [Collinsella intestinalis] 
gi|493773941|ref|WP_006722438.1|	valyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773942|ref|WP_006722439.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773944|ref|WP_006722440.1|	folylpolyglutamate synthase [Collinsella intestinalis] 
gi|493773945|ref|WP_006722441.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773946|ref|WP_006722442.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773947|ref|WP_006722443.1|	pyridine nucleotide-disulfide oxidoreductase [Collinsella intestinalis] 
gi|493773948|ref|WP_006722444.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773949|ref|WP_006722445.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773950|ref|WP_006722446.1|	threonyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773951|ref|WP_006722447.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773952|ref|WP_006722448.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773953|ref|WP_006722449.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773954|ref|WP_006722450.1|	inosine 5'-monophosphate dehydrogenase [Collinsella intestinalis] 
gi|493773955|ref|WP_006722451.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773956|ref|WP_006722452.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773957|ref|WP_006722453.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773958|ref|WP_006722454.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773959|ref|WP_006722455.1|	leucyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773960|ref|WP_006722456.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773961|ref|WP_006722457.1|	antitermination factor NusA [Collinsella intestinalis] 
gi|493773962|ref|WP_006722458.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493773963|ref|WP_006722459.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493773964|ref|WP_006722460.1|	ribosome-binding factor A [Collinsella intestinalis] 
gi|493773965|ref|WP_006722461.1|	phosphoesterase RecJ [Collinsella intestinalis] 
gi|493773966|ref|WP_006722462.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773967|ref|WP_006722463.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773968|ref|WP_006722464.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773969|ref|WP_006722465.1|	RNA polymerase sigma70 factor [Collinsella intestinalis] 
gi|493773970|ref|WP_006722466.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773971|ref|WP_006722467.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773972|ref|WP_006722468.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773973|ref|WP_006722469.1|	uracil phosphoribosyltransferase [Collinsella intestinalis] 
gi|493773974|ref|WP_006722470.1|	aspartate carbamoyltransferase [Collinsella intestinalis] 
gi|493773975|ref|WP_006722471.1|	dihydroorotase [Collinsella intestinalis] 
gi|493773976|ref|WP_006722472.1|	oxidoreductase [Collinsella intestinalis] 
gi|493773977|ref|WP_006722473.1|	diguanylate cyclase [Collinsella intestinalis] 
gi|493773978|ref|WP_006722474.1|	orotidine 5'-phosphate decarboxylase [Collinsella intestinalis] 
gi|493773979|ref|WP_006722475.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773980|ref|WP_006722476.1|	guanylate kinase [Collinsella intestinalis] 
gi|493773981|ref|WP_006722477.1|	DNA-directed RNA polymerase subunit omega [Collinsella intestinalis] 
gi|493773982|ref|WP_006722478.1|	thiamine biosynthesis protein ThiI [Collinsella intestinalis] 
gi|493773983|ref|WP_006722479.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773984|ref|WP_006722480.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773985|ref|WP_006722481.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773986|ref|WP_006722482.1|	30S ribosomal protein S20 [Collinsella intestinalis] 
gi|493773987|ref|WP_006722483.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773988|ref|WP_006722484.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773989|ref|WP_006722485.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773990|ref|WP_006722486.1|	isoleucyl-tRNA synthetase [Collinsella intestinalis] 
gi|493773991|ref|WP_006722487.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773992|ref|WP_006722488.1|	pseudouridine synthase [Collinsella intestinalis] 
gi|493773993|ref|WP_006722489.1|	glycosyl transferase [Collinsella intestinalis] 
gi|493773994|ref|WP_006722490.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773995|ref|WP_006722491.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773996|ref|WP_006722492.1|	phosphohydrolase [Collinsella intestinalis] 
gi|493773997|ref|WP_006722493.1|	ATPase AAA [Collinsella intestinalis] 
gi|493773998|ref|WP_006722494.1|	hypothetical protein [Collinsella intestinalis] 
gi|493773999|ref|WP_006722495.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774000|ref|WP_006722496.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774001|ref|WP_006722497.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774002|ref|WP_006722498.1|	alanyl-tRNA synthetase [Collinsella intestinalis] 
gi|493774003|ref|WP_006722499.1|	Holliday junction resolvase [Collinsella intestinalis] 
gi|493774004|ref|WP_006722500.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774005|ref|WP_006722501.1|	haloacid dehalogenase [Collinsella intestinalis] 
gi|493774006|ref|WP_006722502.1|	shikimate kinase [Collinsella intestinalis] 
gi|493774007|ref|WP_006722503.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774008|ref|WP_006722504.1|	peptidase M24 [Collinsella intestinalis] 
gi|493774009|ref|WP_006722505.1|	elongation factor P [Collinsella intestinalis] 
gi|493774010|ref|WP_006722506.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774011|ref|WP_006722507.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774012|ref|WP_006722508.1|	exodeoxyribonuclease VII [Collinsella intestinalis] 
gi|493774013|ref|WP_006722509.1|	hemolysin [Collinsella intestinalis] 
gi|493774014|ref|WP_006722510.1|	ATP-NAD kinase [Collinsella intestinalis] 
gi|493774015|ref|WP_006722511.1|	DNA repair protein RecN [Collinsella intestinalis] 
gi|493774016|ref|WP_006722512.1|	GTP-binding protein LepA [Collinsella intestinalis] 
gi|493774017|ref|WP_006722513.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774018|ref|WP_006722514.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774019|ref|WP_006722515.1|	cytidine deaminase [Collinsella intestinalis] 
gi|493774020|ref|WP_006722516.1|	molecular chaperone DnaJ [Collinsella intestinalis] 
gi|493774022|ref|WP_006722518.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774023|ref|WP_006722519.1|	molecular chaperone DnaJ [Collinsella intestinalis] 
gi|493774024|ref|WP_006722520.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774025|ref|WP_006722521.1|	phosphate starvation protein PhoH [Collinsella intestinalis] 
gi|493774026|ref|WP_006722522.1|	hypothetical protein [Collinsella intestinalis] 
gi|493774027|ref|WP_006722523.1|	diacylglycerol kinase [Collinsella intestinalis] 
gi|493774028|ref|WP_006722524.1|	GTP-binding protein Era [Collinsella intestinalis] 
gi|493774029|ref|WP_006722525.1|	DNA repair protein RecO [Collinsella intestinalis] 
gi|493774030|ref|WP_006722526.1|	hypothetical protein [Collinsella intestinalis] 
