gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490134579|ref|WP_004034940.1|	CTP synthetase [Methanobrevibacter smithii] 
gi|490134581|ref|WP_004034942.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134583|ref|WP_004034944.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133772|ref|WP_004034133.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134586|ref|WP_004034947.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134588|ref|WP_004034949.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134590|ref|WP_004034951.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134592|ref|WP_004034953.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133739|ref|WP_004034100.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133737|ref|WP_004034098.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134595|ref|WP_004034956.1|	MULTISPECIES: exonuclease [Methanobrevibacter] 
gi|490134597|ref|WP_004034958.1|	flagellar protein D/E [Methanobrevibacter smithii] 
gi|490134599|ref|WP_004034960.1|	ferredoxin [Methanobrevibacter smithii] 
gi|490134601|ref|WP_004034962.1|	hydrogenase [Methanobrevibacter smithii] 
gi|490134603|ref|WP_004034964.1|	peptidase M42 [Methanobrevibacter smithii] 
gi|490134606|ref|WP_004034967.1|	thioesterase [Methanobrevibacter smithii] 
gi|490133729|ref|WP_004034090.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134608|ref|WP_004034969.1|	molybdenum-pterin-binding protein [Methanobrevibacter smithii] 
gi|490133727|ref|WP_004034088.1|	molybdenum cofactor biosynthesis protein MoaE [Methanobrevibacter smithii] 
gi|490134610|ref|WP_004034971.1|	nicotinamide-nucleotide adenylyltransferase [Methanobrevibacter smithii] 
gi|490134612|ref|WP_004034973.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134614|ref|WP_004034975.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133721|ref|WP_004034082.1|	MULTISPECIES: ribosome biogenesis protein MJ0708 [Methanobrevibacter] 
gi|490133711|ref|WP_004034072.1|	MULTISPECIES: 50S ribosomal protein L40 [Methanobrevibacter] 
gi|490134617|ref|WP_004034978.1|	geranylgeranyl pyrophosphate synthase [Methanobrevibacter smithii] 
gi|490134619|ref|WP_004034980.1|	nuclease [Methanobrevibacter smithii] 
gi|490134621|ref|WP_004034982.1|	ATPase [Methanobrevibacter smithii] 
gi|490134623|ref|WP_004034984.1|	metallophosphatase [Methanobrevibacter smithii] 
gi|490134626|ref|WP_004034987.1|	recombinase RecF [Methanobrevibacter smithii] 
gi|490133705|ref|WP_004034066.1|	MULTISPECIES: nuclease [Methanobrevibacter] 
gi|490134628|ref|WP_004034989.1|	MULTISPECIES: UDP-N-acetylmuramoylalanine--D-glutamate ligase [Methanobrevibacter] 
gi|490134630|ref|WP_004034991.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133702|ref|WP_004034063.1|	molybdopterin-guanine dinucleotide biosynthesis protein MobA [Methanobrevibacter smithii] 
gi|490133701|ref|WP_004034062.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134632|ref|WP_004034993.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134634|ref|WP_004034995.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490134636|ref|WP_004034997.1|	DEAD/DEAH box helicase [Methanobrevibacter smithii] 
gi|490134637|ref|WP_004034998.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133687|ref|WP_004034048.1|	hydrogenase expression protein HupG [Methanobrevibacter smithii] 
gi|490133686|ref|WP_004034047.1|	MULTISPECIES: hydrogenase nickel incorporation protein HypB [Methanobrevibacter] 
gi|490134638|ref|WP_004034999.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134639|ref|WP_004035000.1|	membrane protein [Methanobrevibacter smithii] 
gi|490133683|ref|WP_004034044.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133682|ref|WP_004034043.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133671|ref|WP_004034032.1|	MULTISPECIES: methionine synthase [Methanobrevibacter] 
gi|490134640|ref|WP_004035001.1|	cobalt-precorrin-4 C(11)-methyltransferase [Methanobrevibacter smithii] 
gi|490134641|ref|WP_004035002.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134642|ref|WP_004035003.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133663|ref|WP_004034024.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490134644|ref|WP_004035005.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133659|ref|WP_004034020.1|	MULTISPECIES: UDP-diphosphate synthase [Methanobrevibacter] 
gi|490133657|ref|WP_004034018.1|	MULTISPECIES: phosphotransacetylase [Methanobrevibacter] 
gi|490134647|ref|WP_004035008.1|	TetR family transcriptional regulator [Methanobrevibacter smithii] 
gi|490134649|ref|WP_004035010.1|	membrane protein [Methanobrevibacter smithii] 
gi|490134650|ref|WP_004035011.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134652|ref|WP_004035013.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134654|ref|WP_004035015.1|	2,3-diphosphoglycerate synthetase [Methanobrevibacter smithii] 
gi|490134656|ref|WP_004035017.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490134658|ref|WP_004035019.1|	pyrroline-5-carboxylate reductase [Methanobrevibacter smithii] 
gi|490134660|ref|WP_004035021.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490133643|ref|WP_004034004.1|	phosphosulfolactate synthase [Methanobrevibacter smithii] 
gi|490134663|ref|WP_004035024.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490133639|ref|WP_004034000.1|	MULTISPECIES: heterodisulfide reductase subunit C [Methanobrevibacter] 
gi|490133635|ref|WP_004033996.1|	heterodisulfide reductase subunit B [Methanobrevibacter smithii] 
gi|490134666|ref|WP_004035027.1|	disulfide reductase [Methanobrevibacter smithii] 
gi|490134667|ref|WP_004035028.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490134669|ref|WP_004035030.1|	sulfopyruvate decarboxylase subunit alpha [Methanobrevibacter smithii] 
gi|490134671|ref|WP_004035032.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490134673|ref|WP_004035034.1|	dolichol kinase [Methanobrevibacter smithii] 
gi|490134675|ref|WP_004035036.1|	hypothetical protein [Methanobrevibacter smithii] 
