gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677736|ref|WP_005920182.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677737|ref|WP_005920183.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492677738|ref|WP_005920184.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677739|ref|WP_005920185.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677740|ref|WP_005920186.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677741|ref|WP_005920187.1|	sugar phosphate isomerase [Faecalibacterium prausnitzii] 
gi|492677742|ref|WP_005920188.1|	endo-1,4-beta-xylanase [Faecalibacterium prausnitzii] 
gi|492677743|ref|WP_005920189.1|	beta-galactosidase [Faecalibacterium prausnitzii] 
gi|492677744|ref|WP_005920190.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677745|ref|WP_005920191.1|	glycoside hydrolase family 1 [Faecalibacterium prausnitzii] 
gi|492677746|ref|WP_005920192.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677747|ref|WP_005920193.1|	3-oxoacyl-ACP reductase [Faecalibacterium prausnitzii] 
gi|492677748|ref|WP_005920194.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677749|ref|WP_005920195.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492677750|ref|WP_005920196.1|	rhamnulose-1-phosphate aldolase [Faecalibacterium prausnitzii] 
gi|492677751|ref|WP_005920197.1|	rhamnose isomerase [Faecalibacterium prausnitzii] 
gi|492677752|ref|WP_005920198.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677754|ref|WP_005920200.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677756|ref|WP_005920202.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677757|ref|WP_005920203.1|	hypothetical protein partial [Faecalibacterium prausnitzii] 
gi|492677761|ref|WP_005920207.1|	recombinase [Faecalibacterium prausnitzii] 
gi|488632548|ref|WP_002569233.1|	MULTISPECIES: chorismate synthase [Bacteria] 
gi|492677775|ref|WP_005920221.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677777|ref|WP_005920223.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677787|ref|WP_005920231.1|	translation initiation factor 3 [Faecalibacterium prausnitzii] 
gi|492677790|ref|WP_005920233.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677794|ref|WP_005920235.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492677798|ref|WP_005920237.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677800|ref|WP_005920238.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677802|ref|WP_005920240.1|	transporter [Faecalibacterium prausnitzii] 
gi|492677804|ref|WP_005920242.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [Faecalibacterium prausnitzii] 
gi|492677807|ref|WP_005920245.1|	GTP-binding protein Der [Faecalibacterium prausnitzii] 
gi|492677809|ref|WP_005920247.1|	peptide-binding protein [Faecalibacterium prausnitzii] 
gi|492677813|ref|WP_005920250.1|	50S ribosomal protein L32 [Faecalibacterium prausnitzii] 
gi|492677816|ref|WP_005920252.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677819|ref|WP_005920254.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677822|ref|WP_005920256.1|	glucose-6-phosphate isomerase [Faecalibacterium prausnitzii] 
gi|492677825|ref|WP_005920258.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677835|ref|WP_005920260.1|	D-Ala-D-Ala carboxypeptidase [Faecalibacterium prausnitzii] 
gi|492678908|ref|WP_005920262.1|	tRNA modifying enzyme [Faecalibacterium prausnitzii] 
gi|492678911|ref|WP_005920265.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492678917|ref|WP_005920271.1|	iron hydrogenase [Faecalibacterium prausnitzii] 
gi|492678923|ref|WP_005920276.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492678926|ref|WP_005920279.1|	pilin [Faecalibacterium prausnitzii] 
gi|492678928|ref|WP_005920281.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492678931|ref|WP_005920284.1|	pyridoxamine kinase [Faecalibacterium prausnitzii] 
gi|492678933|ref|WP_005920286.1|	RNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492679935|ref|WP_005920288.1|	6-phosphogluconate dehydratase [Faecalibacterium prausnitzii] 
gi|492679937|ref|WP_005920290.1|	homoserine O-succinyltransferase [Faecalibacterium prausnitzii] 
gi|492679939|ref|WP_005920292.1|	O-acetylhomoserine aminocarboxypropyltransferase [Faecalibacterium prausnitzii] 
gi|492679941|ref|WP_005920294.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492679943|ref|WP_005920296.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492679945|ref|WP_005920298.1|	methionine ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492679946|ref|WP_005920299.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679948|ref|WP_005920301.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679949|ref|WP_005920302.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492679950|ref|WP_005920303.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679953|ref|WP_005920306.1|	nitroreductase [Faecalibacterium prausnitzii] 
gi|492679955|ref|WP_005920308.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679958|ref|WP_005920311.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492679960|ref|WP_005920313.1|	amino acid ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492679964|ref|WP_005920317.1|	peptide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492679966|ref|WP_005920319.1|	3-isopropylmalate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492679967|ref|WP_005920320.1|	3-isopropylmalate dehydratase small subunit [Faecalibacterium prausnitzii] 
gi|492679970|ref|WP_005920323.1|	3-isopropylmalate dehydratase large subunit [Faecalibacterium prausnitzii] 
gi|492679972|ref|WP_005920325.1|	2-isopropylmalate synthase [Faecalibacterium prausnitzii] 
gi|492679973|ref|WP_005920326.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679974|ref|WP_005920327.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679976|ref|WP_005920329.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679977|ref|WP_005920330.1|	cell division protein FtsH [Faecalibacterium prausnitzii] 
gi|492679979|ref|WP_005920332.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679980|ref|WP_005920333.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679982|ref|WP_005920335.1|	O-acetylhomoserine aminocarboxypropyltransferase [Faecalibacterium prausnitzii] 
gi|492679984|ref|WP_005920337.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679986|ref|WP_005920339.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679987|ref|WP_005920340.1|	MFS transporter [Faecalibacterium prausnitzii] 
gi|492679989|ref|WP_005920342.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679990|ref|WP_005920343.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492679992|ref|WP_005920345.1|	glycerol-3-phosphate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492679994|ref|WP_005920347.1|	cysteine ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492679996|ref|WP_005920349.1|	arginine ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492679998|ref|WP_005920351.1|	amino acid ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492680000|ref|WP_005920353.1|	PadR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680002|ref|WP_005920355.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680004|ref|WP_005920357.1|	excinuclease ABC subunit C [Faecalibacterium prausnitzii] 
gi|492680012|ref|WP_005920365.1|	MULTISPECIES: PTS sugar transporter subunit IIA [Faecalibacterium] 
gi|492680014|ref|WP_005920367.1|	tRNA (guanine-N1)-methyltransferase [Faecalibacterium prausnitzii] 
gi|492680016|ref|WP_005920369.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680018|ref|WP_005920371.1|	MULTISPECIES: RNA-binding protein [Faecalibacterium] 
gi|492680020|ref|WP_005920373.1|	30S ribosomal protein S16 [Faecalibacterium prausnitzii] 
gi|492680022|ref|WP_005920375.1|	signal recognition particle protein Srp54 [Faecalibacterium prausnitzii] 
gi|492680023|ref|WP_005920376.1|	signal peptide protein [Faecalibacterium prausnitzii] 
gi|492680024|ref|WP_005920377.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680025|ref|WP_005920378.1|	multidrug transporter MatE [Faecalibacterium prausnitzii] 
gi|492680027|ref|WP_005920380.1|	uracil phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492680029|ref|WP_005920382.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680032|ref|WP_005920385.1|	ribose 5-phosphate isomerase [Faecalibacterium prausnitzii] 
gi|492680034|ref|WP_005920387.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680036|ref|WP_005920389.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680038|ref|WP_005920391.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680040|ref|WP_005920393.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680041|ref|WP_005920394.1|	cell division protein [Faecalibacterium prausnitzii] 
gi|492680042|ref|WP_005920395.1|	ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492680043|ref|WP_005920396.1|	nitrate ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680044|ref|WP_005920397.1|	branched-chain amino acid transporter [Faecalibacterium prausnitzii] 
gi|492680045|ref|WP_005920398.1|	peptide deformylase [Faecalibacterium prausnitzii] 
gi|492680046|ref|WP_005920399.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680047|ref|WP_005920400.1|	sugar ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680048|ref|WP_005920401.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680049|ref|WP_005920402.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492680050|ref|WP_005920403.1|	LacI family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680051|ref|WP_005920404.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680053|ref|WP_005920406.1|	glycosyl transferase [Faecalibacterium prausnitzii] 
gi|492680055|ref|WP_005920408.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680057|ref|WP_005920410.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680059|ref|WP_005920412.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680061|ref|WP_005920414.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680063|ref|WP_005920416.1|	hydroxyethylthiazole kinase [Faecalibacterium prausnitzii] 
gi|492680065|ref|WP_005920418.1|	thiamine-phosphate synthase [Faecalibacterium prausnitzii] 
gi|492680066|ref|WP_005920419.1|	phosphomethylpyrimidine synthase [Faecalibacterium prausnitzii] 
gi|492680068|ref|WP_005920421.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680071|ref|WP_005920424.1|	amino acid carrier protein [Faecalibacterium prausnitzii] 
gi|492680074|ref|WP_005920427.1|	OmpA/MotB [Faecalibacterium prausnitzii] 
gi|492680077|ref|WP_005920430.1|	RNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492680080|ref|WP_005920433.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680083|ref|WP_005920436.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680085|ref|WP_005920437.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680087|ref|WP_005920439.1|	fructose-bisphosphate aldolase [Faecalibacterium prausnitzii] 
gi|492680089|ref|WP_005920441.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677641|ref|WP_005920087.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492677639|ref|WP_005920085.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677637|ref|WP_005920083.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492677635|ref|WP_005920081.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680092|ref|WP_005920444.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680093|ref|WP_005920445.1|	CAAX amino terminal protease [Faecalibacterium prausnitzii] 
gi|492677627|ref|WP_005920073.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680095|ref|WP_005920447.1|	MerR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680097|ref|WP_005920449.1|	RNA helicase [Faecalibacterium prausnitzii] 
gi|492680099|ref|WP_005920451.1|	host integration factor subunit beta [Faecalibacterium prausnitzii] 
gi|492680101|ref|WP_005920453.1|	carbamoyl phosphate synthase large subunit [Faecalibacterium prausnitzii] 
gi|492680103|ref|WP_005920455.1|	carbamoyl phosphate synthase [Faecalibacterium prausnitzii] 
gi|492680105|ref|WP_005920457.1|	orotate phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492680107|ref|WP_005920459.1|	diguanylate cyclase [Faecalibacterium prausnitzii] 
gi|492680109|ref|WP_005920461.1|	dihydroorotate oxidase [Faecalibacterium prausnitzii] 
gi|492680111|ref|WP_005920463.1|	orotidine 5'-phosphate decarboxylase [Faecalibacterium prausnitzii] 
gi|492680113|ref|WP_005920465.1|	dihydroorotase [Faecalibacterium prausnitzii] 
gi|492680115|ref|WP_005920467.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680117|ref|WP_005920469.1|	serine O-acetyltransferase [Faecalibacterium prausnitzii] 
gi|492680119|ref|WP_005920471.1|	diguanylate cyclase [Faecalibacterium prausnitzii] 
gi|492680121|ref|WP_005920473.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680124|ref|WP_005920476.1|	cell division protein FtsZ [Faecalibacterium prausnitzii] 
gi|492680126|ref|WP_005920478.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Faecalibacterium prausnitzii] 
gi|492680128|ref|WP_005920480.1|	cell division protein FtsW [Faecalibacterium prausnitzii] 
gi|492680130|ref|WP_005920482.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492680131|ref|WP_005920483.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680133|ref|WP_005920485.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680135|ref|WP_005920487.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680137|ref|WP_005920489.1|	xanthine phosphoribosyltransferase [Faecalibacterium prausnitzii] 
gi|492680138|ref|WP_005920490.1|	serine protease [Faecalibacterium prausnitzii] 
gi|492680139|ref|WP_005920491.1|	50S ribosomal protein L7/L12 [Faecalibacterium prausnitzii] 
gi|492680140|ref|WP_005920492.1|	50S ribosomal protein L10 [Faecalibacterium prausnitzii] 
gi|492680142|ref|WP_005920494.1|	50S ribosomal protein L1 [Faecalibacterium prausnitzii] 
gi|492680144|ref|WP_005920496.1|	50S ribosomal protein L11 [Faecalibacterium prausnitzii] 
gi|492680145|ref|WP_005920497.1|	antitermination factor NusG [Faecalibacterium prausnitzii] 
gi|492680147|ref|WP_005920499.1|	preprotein translocase subunit SecE [Faecalibacterium prausnitzii] 
gi|492680149|ref|WP_005920501.1|	MULTISPECIES: 50S ribosomal protein L33 [Faecalibacterium] 
gi|492680151|ref|WP_005920503.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680153|ref|WP_005920505.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680155|ref|WP_005920507.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680156|ref|WP_005920508.1|	arginyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492680158|ref|WP_005920510.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680161|ref|WP_005920513.1|	phosphohydrolase [Faecalibacterium prausnitzii] 
gi|492680163|ref|WP_005920515.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680165|ref|WP_005920517.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492680167|ref|WP_005920518.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680170|ref|WP_005920520.1|	ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492680173|ref|WP_005920522.1|	HAD family hydrolase [Faecalibacterium prausnitzii] 
gi|492680176|ref|WP_005920524.1|	GntR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680178|ref|WP_005920525.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680181|ref|WP_005920527.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680184|ref|WP_005920529.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680188|ref|WP_005920531.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680191|ref|WP_005920533.1|	asparagine synthase [Faecalibacterium prausnitzii] 
gi|492680194|ref|WP_005920535.1|	elongation factor G [Faecalibacterium prausnitzii] 
gi|492680197|ref|WP_005920537.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680200|ref|WP_005920539.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680203|ref|WP_005920541.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680206|ref|WP_005920543.1|	cytidine deaminase [Faecalibacterium prausnitzii] 
gi|492680209|ref|WP_005920545.1|	ornithine carbamoyltransferase [Faecalibacterium prausnitzii] 
gi|492680213|ref|WP_005920547.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680217|ref|WP_005920549.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680220|ref|WP_005920551.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680223|ref|WP_005920553.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680226|ref|WP_005920555.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680229|ref|WP_005920557.1|	dioxygenase [Faecalibacterium prausnitzii] 
gi|492680232|ref|WP_005920559.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680235|ref|WP_005920561.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680239|ref|WP_005920563.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680242|ref|WP_005920565.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680245|ref|WP_005920567.1|	riboflavin biosynthesis protein RibD [Faecalibacterium prausnitzii] 
gi|492680248|ref|WP_005920569.1|	riboflavin synthase subunit alpha [Faecalibacterium prausnitzii] 
gi|492680251|ref|WP_005920571.1|	GTP cyclohydrolase [Faecalibacterium prausnitzii] 
gi|492680254|ref|WP_005920573.1|	6,7-dimethyl-8-ribityllumazine synthase [Faecalibacterium prausnitzii] 
gi|492680257|ref|WP_005920575.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680260|ref|WP_005920577.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680263|ref|WP_005920579.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680267|ref|WP_005920581.1|	integrase [Faecalibacterium prausnitzii] 
gi|492680270|ref|WP_005920583.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680273|ref|WP_005920585.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680276|ref|WP_005920587.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680278|ref|WP_005920588.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680281|ref|WP_005920590.1|	primase [Faecalibacterium prausnitzii] 
gi|492680284|ref|WP_005920592.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680288|ref|WP_005920595.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680291|ref|WP_005920597.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680294|ref|WP_005920599.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680300|ref|WP_005920602.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680303|ref|WP_005920604.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680306|ref|WP_005920606.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680310|ref|WP_005920609.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680314|ref|WP_005920611.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680317|ref|WP_005920613.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680320|ref|WP_005920615.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680322|ref|WP_005920616.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680325|ref|WP_005920618.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680328|ref|WP_005920620.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680331|ref|WP_005920622.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680334|ref|WP_005920624.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680337|ref|WP_005920626.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680339|ref|WP_005920627.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680342|ref|WP_005920629.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492680345|ref|WP_005920631.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680347|ref|WP_005920632.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680350|ref|WP_005920634.1|	integrase [Faecalibacterium prausnitzii] 
gi|492680352|ref|WP_005920635.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680355|ref|WP_005920637.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680357|ref|WP_005920638.1|	primase [Faecalibacterium prausnitzii] 
gi|492680360|ref|WP_005920640.1|	arsenate reductase [Faecalibacterium prausnitzii] 
gi|492680362|ref|WP_005920641.1|	arsenic transporter [Faecalibacterium prausnitzii] 
gi|492680365|ref|WP_005920643.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680367|ref|WP_005920644.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492680370|ref|WP_005920646.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680372|ref|WP_005920647.1|	lysyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492680375|ref|WP_005920649.1|	transcription elongation factor GreA [Faecalibacterium prausnitzii] 
gi|492680378|ref|WP_005920651.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680381|ref|WP_005920653.1|	hypothetical protein [Faecalibacterium prausnitzii] 
