gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423370|ref|WP_004295580.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423372|ref|WP_004295581.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423373|ref|WP_004295582.1|	MULTISPECIES: ferredoxin [Bacteroides] 
gi|490423374|ref|WP_004295583.1|	MULTISPECIES: electron transporter RnfC [Bacteroides] 
gi|490423375|ref|WP_004295584.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423376|ref|WP_004295585.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423377|ref|WP_004295586.1|	MULTISPECIES: electron transporter RsxE [Bacteroides] 
gi|490423378|ref|WP_004295587.1|	MULTISPECIES: electron transport complex RsxE subunit [Bacteroides] 
gi|490423379|ref|WP_004295588.1|	MULTISPECIES: UDP-galactose-4-epimerase [Bacteroides] 
gi|490423380|ref|WP_004295589.1|	MULTISPECIES: toxin RelE [Bacteroides] 
gi|490423381|ref|WP_004295590.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroides] 
gi|490423382|ref|WP_004295591.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Bacteroides ovatus] 
gi|490423383|ref|WP_004295592.1|	MULTISPECIES: replicative DNA helicase [Bacteroides] 
gi|490423384|ref|WP_004295593.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423385|ref|WP_004295594.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit beta [Bacteroides] 
gi|490423386|ref|WP_004295595.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423387|ref|WP_004295596.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423388|ref|WP_004295597.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423389|ref|WP_004295598.1|	exodeoxyribonuclease III [Bacteroides ovatus] 
gi|490423390|ref|WP_004295599.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423391|ref|WP_004295600.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423392|ref|WP_004295601.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423393|ref|WP_004295602.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423394|ref|WP_004295603.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423395|ref|WP_004295604.1|	GTP-binding protein LepA [Bacteroides ovatus] 
gi|490423396|ref|WP_004295605.1|	sodium:proton antiporter [Bacteroides ovatus] 
gi|490423397|ref|WP_004295606.1|	DNA recombination protein RmuC [Bacteroides ovatus] 
gi|490423398|ref|WP_004295607.1|	MULTISPECIES: methionine aminopeptidase [Bacteroides] 
gi|490423399|ref|WP_004295608.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423400|ref|WP_004295609.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423401|ref|WP_004295610.1|	Fe-S osidoreductase [Bacteroides ovatus] 
gi|490423402|ref|WP_004295611.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423403|ref|WP_004295612.1|	RNA pseudouridylate synthase [Bacteroides ovatus] 
gi|490423404|ref|WP_004295613.1|	RNA methyltransferase [Bacteroides ovatus] 
gi|490423405|ref|WP_004295614.1|	pyruvate phosphate dikinase [Bacteroides ovatus] 
gi|490423406|ref|WP_004295615.1|	MULTISPECIES: transposase [Bacteroides] 
gi|490423407|ref|WP_004295616.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423408|ref|WP_004295617.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423409|ref|WP_004295618.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423410|ref|WP_004295619.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423411|ref|WP_004295620.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423412|ref|WP_004295621.1|	MULTISPECIES: mobilization protein [Bacteroides] 
gi|490423413|ref|WP_004295622.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423414|ref|WP_004295623.1|	MULTISPECIES: chromosome partitioning protein ParA [Bacteroides] 
gi|490423415|ref|WP_004295624.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423416|ref|WP_004295625.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423417|ref|WP_004295626.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423418|ref|WP_004295627.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423419|ref|WP_004295628.1|	MULTISPECIES: transposase [Bacteroides] 
gi|490423420|ref|WP_004295629.1|	MULTISPECIES: plasmid transfer protein [Bacteroides] 
gi|490423421|ref|WP_004295630.1|	ATPase [Bacteroides ovatus] 
gi|490423422|ref|WP_004295631.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490423423|ref|WP_004295632.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423424|ref|WP_004295633.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423425|ref|WP_004295634.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490423426|ref|WP_004295635.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423427|ref|WP_004295636.1|	mobilization protein [Bacteroides ovatus] 
gi|490423428|ref|WP_004295637.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423429|ref|WP_004295638.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423430|ref|WP_004295639.1|	oxidoreductase [Bacteroides ovatus] 
gi|490423431|ref|WP_004295640.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423432|ref|WP_004295641.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423433|ref|WP_004295642.1|	conjugal transfer protein TraG [Bacteroides ovatus] 
gi|490423434|ref|WP_004295643.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423435|ref|WP_004295644.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423436|ref|WP_004295645.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423437|ref|WP_004295646.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423438|ref|WP_004295647.1|	MULTISPECIES: conjugal transfer protein TraK [Bacteroides] 
gi|490423439|ref|WP_004295648.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423440|ref|WP_004295649.1|	MULTISPECIES: conjugal transfer protein TraM [Bacteroides] 
gi|490423441|ref|WP_004295650.1|	conjugal transfer protein TraN [Bacteroides ovatus] 
gi|490423442|ref|WP_004295651.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423443|ref|WP_004295652.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423444|ref|WP_004295653.1|	MULTISPECIES: mobilization protein [Bacteroides] 
gi|490423445|ref|WP_004295654.1|	MULTISPECIES: conjugal transfer protein TraX [Bacteroides] 
gi|490423446|ref|WP_004295655.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423447|ref|WP_004295656.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423448|ref|WP_004295657.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423449|ref|WP_004295658.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423450|ref|WP_004295659.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423451|ref|WP_004295660.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423452|ref|WP_004295661.1|	DNA mismatch repair protein MutS [Bacteroides ovatus] 
gi|490423453|ref|WP_004295662.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423454|ref|WP_004295663.1|	MULTISPECIES: DNA primase [Bacteroides] 
gi|490423455|ref|WP_004295664.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423456|ref|WP_004295665.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423457|ref|WP_004295666.1|	MULTISPECIES: DNA topoisomerase I [Bacteroides] 
gi|490423458|ref|WP_004295667.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423459|ref|WP_004295668.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423460|ref|WP_004295669.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423461|ref|WP_004295670.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423462|ref|WP_004295671.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423463|ref|WP_004295672.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423464|ref|WP_004295673.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423465|ref|WP_004295674.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423466|ref|WP_004295675.1|	MULTISPECIES: DNA methylase [Bacteroides] 
gi|490423467|ref|WP_004295676.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423468|ref|WP_004295677.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423469|ref|WP_004295678.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423470|ref|WP_004295679.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423471|ref|WP_004295680.1|	MULTISPECIES: haloacid dehalogenase [Bacteroides] 
gi|490423472|ref|WP_004295681.1|	MULTISPECIES: phosphoribosyltransferase [Bacteroides] 
gi|490423473|ref|WP_004295682.1|	MULTISPECIES: DNA processing protein DprA [Bacteroides] 
gi|490423474|ref|WP_004295683.1|	MULTISPECIES: helicase [Bacteroides] 
gi|490423475|ref|WP_004295684.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423477|ref|WP_004295685.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423478|ref|WP_004295686.1|	MULTISPECIES: sulfide-quinone reductase [Bacteroides] 
gi|490423479|ref|WP_004295687.1|	glyoxalase [Bacteroides ovatus] 
gi|490423482|ref|WP_004295689.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423483|ref|WP_004295690.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423484|ref|WP_004295691.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423485|ref|WP_004295692.1|	MULTISPECIES: serine/threonine phosphatase [Bacteroides] 
gi|490423486|ref|WP_004295693.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423487|ref|WP_004295694.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423488|ref|WP_004295695.1|	MULTISPECIES: hydroxymyristoyl-ACP dehydratase [Bacteroides] 
gi|490423489|ref|WP_004295696.1|	DNA primase [Bacteroides ovatus] 
gi|490423490|ref|WP_004295697.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423491|ref|WP_004295698.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423492|ref|WP_004295699.1|	MULTISPECIES: XRE family transcriptional regulator [Bacteroides] 
gi|490423493|ref|WP_004295700.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423494|ref|WP_004295701.1|	MULTISPECIES: hisitdine kinase [Bacteroides] 
gi|490423495|ref|WP_004295702.1|	MULTISPECIES: thiamine phosphate pyrophosphorylase [Bacteroides] 
gi|490423496|ref|WP_004295703.1|	molybdopterin biosynthesis protein [Bacteroides ovatus] 
gi|490423497|ref|WP_004295704.1|	MULTISPECIES: thiamine biosynthesis protein ThiH [Bacteroides] 
gi|490423498|ref|WP_004295705.1|	phosphomethylpyrimidine synthase [Bacteroides ovatus] 
gi|490423499|ref|WP_004295706.1|	MULTISPECIES: thiazole synthase [Bacteroides] 
gi|490423500|ref|WP_004295707.1|	thiamine-phosphate pyrophosphorylase [Bacteroides ovatus] 
gi|490423501|ref|WP_004295708.1|	thiamine biosynthesis protein ThiS [Bacteroides ovatus] 
gi|490423502|ref|WP_004295709.1|	ATPase [Bacteroides ovatus] 
gi|490423503|ref|WP_004295710.1|	MULTISPECIES: superoxide dismutase [Bacteroides] 
gi|490423504|ref|WP_004295711.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423505|ref|WP_004295712.1|	ATP-dependent DNA helicase [Bacteroides ovatus] 
gi|490423506|ref|WP_004295713.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423507|ref|WP_004295714.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423508|ref|WP_004295715.1|	energry transducer TonB [Bacteroides ovatus] 
gi|490423509|ref|WP_004295716.1|	NADP oxidoreductase [Bacteroides ovatus] 
gi|490423510|ref|WP_004295717.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423511|ref|WP_004295718.1|	MULTISPECIES: carboxynorspermidine decarboxylase [Bacteroides] 
gi|490423512|ref|WP_004295719.1|	MULTISPECIES: N-acetylglucosamine-6-phosphate deacetylase [Bacteroides] 
gi|490423513|ref|WP_004295720.1|	N-acetylglucosamine-6-phosphate deacetylase [Bacteroides ovatus] 
gi|490423514|ref|WP_004295721.1|	MULTISPECIES: thioredoxin [Bacteroides] 
gi|490423515|ref|WP_004295722.1|	MULTISPECIES: cation transporter [Bacteroides] 
gi|490423516|ref|WP_004295723.1|	hemolysin D [Bacteroides ovatus] 
gi|490423517|ref|WP_004295724.1|	cation transporter [Bacteroides ovatus] 
gi|490423518|ref|WP_004295725.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490423519|ref|WP_004295726.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490423520|ref|WP_004295727.1|	alpha-glucosidase [Bacteroides ovatus] 
gi|490423521|ref|WP_004295728.1|	MULTISPECIES: long-chain fatty acid--CoA ligase [Bacteroides] 
gi|490423522|ref|WP_004295729.1|	MULTISPECIES: potassium transporter CPA [Bacteroides] 
gi|490423523|ref|WP_004295730.1|	MULTISPECIES: uracil permease [Bacteroides] 
gi|490423524|ref|WP_004295731.1|	MULTISPECIES: hydroxylamine reductase [Bacteroides] 
gi|490423525|ref|WP_004295732.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490423526|ref|WP_004295733.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490423527|ref|WP_004295734.1|	ATPase AAA [Bacteroides ovatus] 
gi|490423528|ref|WP_004295735.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423529|ref|WP_004295736.1|	phosphoesterase [Bacteroides ovatus] 
gi|490423530|ref|WP_004295737.1|	ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490423531|ref|WP_004295738.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|490423532|ref|WP_004295739.1|	MULTISPECIES: multidrug ABC transporter substrate-binding protein [Bacteroides] 
gi|490423533|ref|WP_004295740.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|490423534|ref|WP_004295741.1|	MULTISPECIES: phosphatase [Bacteroides] 
gi|490423535|ref|WP_004295742.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423536|ref|WP_004295743.1|	MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase [Bacteroides] 
gi|490423537|ref|WP_004295744.1|	major facilitator transporter [Bacteroides ovatus] 
gi|490423538|ref|WP_004295745.1|	MFS transporter [Bacteroides ovatus] 
gi|490423539|ref|WP_004295746.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423540|ref|WP_004295747.1|	MULTISPECIES: chloramphenicol acetyltransferase [Bacteroides] 
gi|490423541|ref|WP_004295748.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423542|ref|WP_004295749.1|	MULTISPECIES: regulatory protein [Bacteroides] 
gi|490423543|ref|WP_004295750.1|	acyltransferase [Bacteroides ovatus] 
gi|490423544|ref|WP_004295751.1|	MULTISPECIES: GNAT family acetyltransferase [Bacteroides] 
gi|490423545|ref|WP_004295752.1|	phosphoribosylglycinamide formyltransferase [Bacteroides ovatus] 
gi|490423546|ref|WP_004295753.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423547|ref|WP_004295754.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Bacteroides] 
gi|490423548|ref|WP_004295755.1|	MULTISPECIES: ATP synthase subunit epsilon [Bacteroides] 
gi|490423549|ref|WP_004295756.1|	membrane protein [Bacteroides ovatus] 
gi|490423550|ref|WP_004295757.1|	ATP synthase subunit A [Bacteroides ovatus] 
gi|490423551|ref|WP_004295758.1|	MULTISPECIES: ATP synthase subunit C [Bacteroides] 
gi|490423552|ref|WP_004295759.1|	MULTISPECIES: ATP synthase subunit B [Bacteroides] 
gi|490423553|ref|WP_004295760.1|	MULTISPECIES: F0F1 ATP synthase subunit delta [Bacteroides] 
gi|490423554|ref|WP_004295761.1|	MULTISPECIES: F0F1 ATP synthase subunit alpha [Bacteroides] 
gi|490423555|ref|WP_004295762.1|	F0F1 ATP synthase subunit gamma [Bacteroides ovatus] 
gi|490423556|ref|WP_004295763.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423557|ref|WP_004295764.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423558|ref|WP_004295765.1|	helicase [Bacteroides ovatus] 
gi|490423560|ref|WP_004295766.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423562|ref|WP_004295768.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423564|ref|WP_004295769.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423565|ref|WP_004295770.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Bacteroides] 
gi|490423566|ref|WP_004295771.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423567|ref|WP_004295772.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423568|ref|WP_004295773.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423569|ref|WP_004295774.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423570|ref|WP_004295775.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423571|ref|WP_004295776.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423572|ref|WP_004295777.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423573|ref|WP_004295778.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423574|ref|WP_004295779.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423575|ref|WP_004295780.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423576|ref|WP_004295781.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490423577|ref|WP_004295782.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423578|ref|WP_004295783.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|490423579|ref|WP_004295784.1|	MULTISPECIES: transporter [Bacteroides] 
gi|490423580|ref|WP_004295785.1|	MULTISPECIES: formate--tetrahydrofolate ligase [Bacteroides] 
gi|490423581|ref|WP_004295786.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423582|ref|WP_004295787.1|	MULTISPECIES: serine hydroxymethyltransferase [Bacteroides] 
gi|490423583|ref|WP_004295788.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423584|ref|WP_004295789.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423585|ref|WP_004295790.1|	flavin reductase [Bacteroides ovatus] 
gi|490423586|ref|WP_004295791.1|	MULTISPECIES: aspartate carbamoyltransferase [Bacteroides] 
gi|490423587|ref|WP_004295792.1|	aspartate carbamoyltransferase catalytic subunit [Bacteroides ovatus] 
gi|490423588|ref|WP_004295793.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423589|ref|WP_004295794.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423590|ref|WP_004295795.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423591|ref|WP_004295796.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423592|ref|WP_004295797.1|	MULTISPECIES: integrase [Bacteroides] 
gi|490423593|ref|WP_004295798.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423594|ref|WP_004295799.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423595|ref|WP_004295800.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423596|ref|WP_004295801.1|	MULTISPECIES: acyltransferase [Bacteroides] 
gi|490423597|ref|WP_004295802.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423598|ref|WP_004295803.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423599|ref|WP_004295804.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423600|ref|WP_004295805.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423601|ref|WP_004295806.1|	MULTISPECIES: glycosyltransferase [Bacteroides] 
gi|490423602|ref|WP_004295807.1|	MULTISPECIES: transferase [Bacteroides] 
gi|490423603|ref|WP_004295808.1|	MULTISPECIES: glycosyltransferase family 1 [Bacteroides] 
gi|490423604|ref|WP_004295809.1|	MULTISPECIES: nitroreductase [Bacteroides] 
gi|490423605|ref|WP_004295810.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423606|ref|WP_004295811.1|	MULTISPECIES: glycosyltransferase [Bacteroides] 
gi|490423607|ref|WP_004295812.1|	MULTISPECIES: epimerase [Bacteroides] 
gi|490423608|ref|WP_004295813.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|490423609|ref|WP_004295814.1|	MULTISPECIES: glycosyl transferase [Bacteroides] 
gi|490423610|ref|WP_004295815.1|	MULTISPECIES: sugar transporter [Bacteroides] 
gi|490423611|ref|WP_004295816.1|	MULTISPECIES: tyrosine protein kinase [Bacteroides] 
gi|490423612|ref|WP_004295817.1|	ATPase AAA [Bacteroides ovatus] 
gi|490423613|ref|WP_004295818.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490423614|ref|WP_004295819.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423615|ref|WP_004295820.1|	MULTISPECIES: penicillin-binding protein 1A [Bacteroides] 
gi|490423616|ref|WP_004295821.1|	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Bacteroides ovatus] 
gi|490423617|ref|WP_004295822.1|	3-deoxy-manno-octulosonate cytidylyltransferase [Bacteroides ovatus] 
gi|490423618|ref|WP_004295823.1|	peptidase M16 [Bacteroides ovatus] 
gi|490423619|ref|WP_004295824.1|	phosphatidylinositol-4-phosphate 5-kinase [Bacteroides ovatus] 
gi|490423620|ref|WP_004295825.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423621|ref|WP_004295826.1|	MULTISPECIES: ribose-phosphate pyrophosphokinase [Bacteroides] 
gi|490423622|ref|WP_004295827.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490423623|ref|WP_004295828.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|490423624|ref|WP_004295829.1|	transporter [Bacteroides ovatus] 
gi|490423625|ref|WP_004295830.1|	RNA polymerase [Bacteroides ovatus] 
gi|490423626|ref|WP_004295831.1|	MULTISPECIES: iron dicitrate transporter FecR [Bacteroides] 
gi|490423627|ref|WP_004295832.1|	collagen-binding protein [Bacteroides ovatus] 
gi|490423628|ref|WP_004295833.1|	starch-binding protein [Bacteroides ovatus] 
gi|490423629|ref|WP_004295834.1|	iduronate-2-sulfatase [Bacteroides ovatus] 
gi|490423630|ref|WP_004295835.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490423631|ref|WP_004295836.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423632|ref|WP_004295837.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423633|ref|WP_004295838.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423634|ref|WP_004295839.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423635|ref|WP_004295840.1|	para-aminobenzoate synthase [Bacteroides ovatus] 
gi|490423637|ref|WP_004295841.1|	4-amino-4-deoxychorismate lyase [Bacteroides ovatus] 
gi|490423638|ref|WP_004295842.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423639|ref|WP_004295843.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423640|ref|WP_004295844.1|	1,4-alpha-glucan branching protein [Bacteroides ovatus] 
gi|490423641|ref|WP_004295845.1|	membrane protein [Bacteroides ovatus] 
gi|490423643|ref|WP_004295847.1|	alpha-amylase [Bacteroides ovatus] 
gi|490423645|ref|WP_004295848.1|	MULTISPECIES: phospholipase [Bacteroides] 
gi|490423646|ref|WP_004295849.1|	ferredoxin [Bacteroides ovatus] 
gi|490423647|ref|WP_004295850.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423648|ref|WP_004295851.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423649|ref|WP_004295852.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423650|ref|WP_004295853.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423651|ref|WP_004295854.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423652|ref|WP_004295855.1|	MULTISPECIES: aldo/keto reductase [Bacteroides] 
gi|490423653|ref|WP_004295856.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423654|ref|WP_004295857.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423655|ref|WP_004295858.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423656|ref|WP_004295859.1|	MULTISPECIES: glutamine synthetase [Bacteroides] 
gi|490423657|ref|WP_004295860.1|	hisitdine kinase [Bacteroides ovatus] 
gi|490423658|ref|WP_004295861.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|490423659|ref|WP_004295862.1|	histidine kinase [Bacteroides ovatus] 
gi|490423660|ref|WP_004295863.1|	transcriptional regulator [Bacteroides ovatus] 
gi|490423661|ref|WP_004295864.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
