gi|491472322|ref|WP_005330076.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472391|ref|WP_005330145.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472394|ref|WP_005330148.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472397|ref|WP_005330151.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472400|ref|WP_005330154.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472403|ref|WP_005330157.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472405|ref|WP_005330159.1|	DNA damage-inducible protein D [Dorea formicigenerans] 
gi|491472409|ref|WP_005330163.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472412|ref|WP_005330166.1|	nitrate ABC transporter substrate-binding protein [Dorea formicigenerans] 
gi|491472413|ref|WP_005330167.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472415|ref|WP_005330169.1|	glycine/betaine ABC transporter permease [Dorea formicigenerans] 
gi|491472416|ref|WP_005330170.1|	glycine reductase complex protein B subunit gamma [Dorea formicigenerans] 
gi|491472418|ref|WP_005330172.1|	beta-aspartate methyltransferase [Dorea formicigenerans] 
gi|491472420|ref|WP_005330174.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472424|ref|WP_005330178.1|	membrane protein [Dorea formicigenerans] 
gi|491472426|ref|WP_005330180.1|	MULTISPECIES: glycine reductase complex protein B subunit gamma [Firmicutes] 
gi|491472428|ref|WP_005330182.1|	beta-aspartate methyltransferase [Dorea formicigenerans] 
gi|491472430|ref|WP_005330184.1|	beta-aspartyl peptidase [Dorea formicigenerans] 
gi|491472433|ref|WP_005330187.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472436|ref|WP_005330190.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472438|ref|WP_005330192.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472440|ref|WP_005330194.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472443|ref|WP_005330197.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472444|ref|WP_005330198.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472445|ref|WP_005330199.1|	LuxR family transcriptional regulator [Dorea formicigenerans] 
gi|491472446|ref|WP_005330200.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472447|ref|WP_005330201.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472448|ref|WP_005330202.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472449|ref|WP_005330203.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472450|ref|WP_005330204.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472451|ref|WP_005330205.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472453|ref|WP_005330207.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472456|ref|WP_005330210.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472458|ref|WP_005330212.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472460|ref|WP_005330214.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472462|ref|WP_005330216.1|	stage III sporulation protein AA [Dorea formicigenerans] 
gi|491472464|ref|WP_005330218.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472468|ref|WP_005330222.1|	stage III sporulation protein AC [Dorea formicigenerans] 
gi|491472470|ref|WP_005330224.1|	stage III sporulation protein AD [Dorea formicigenerans] 
gi|491472472|ref|WP_005330226.1|	stage III sporulation protein AF [Dorea formicigenerans] 
gi|491472476|ref|WP_005330230.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472478|ref|WP_005330232.1|	stage III sporulation protein AG [Dorea formicigenerans] 
gi|491472479|ref|WP_005330233.1|	MULTISPECIES: stage III sporulation protein AH [Dorea] 
gi|491472481|ref|WP_005330235.1|	MULTISPECIES: peptide chain release factor 3 [Dorea] 
gi|491472483|ref|WP_005330237.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472487|ref|WP_005330241.1|	transcription antitermination protein NusB [Dorea formicigenerans] 
gi|491472488|ref|WP_005330242.1|	exodeoxyribonuclease VII [Dorea formicigenerans] 
gi|491472489|ref|WP_005330243.1|	MULTISPECIES: exodeoxyribonuclease VII [Dorea] 
gi|491472490|ref|WP_005330244.1|	farnesyl-diphosphate synthase [Dorea formicigenerans] 
gi|491472491|ref|WP_005330245.1|	1-deoxy-D-xylulose-5-phosphate synthase [Dorea formicigenerans] 
gi|491472492|ref|WP_005330246.1|	RNA methyltransferase [Dorea formicigenerans] 
gi|491472494|ref|WP_005330248.1|	inorganic polyphosphate/ATP-NAD kinase [Dorea formicigenerans] 
gi|491472496|ref|WP_005330250.1|	arginine repressor ArgR [Dorea formicigenerans] 
gi|491472497|ref|WP_005330251.1|	DNA repair protein RecN [Dorea formicigenerans] 
gi|491472502|ref|WP_005330256.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472500|ref|WP_005330254.1|	stage IV sporulation protein B [Dorea formicigenerans] 
gi|491472503|ref|WP_005330257.1|	MULTISPECIES: sporulation protein [Dorea] 
gi|491472506|ref|WP_005330260.1|	glycogen synthase [Dorea formicigenerans] 
gi|491472508|ref|WP_005330262.1|	5,10-methylenetetrahydrofolate reductase [Dorea formicigenerans] 
gi|491472511|ref|WP_005330265.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472525|ref|WP_005330279.1|	homocysteine methyltransferase [Dorea formicigenerans] 
gi|491472527|ref|WP_005330281.1|	asparagine synthase [Dorea formicigenerans] 
gi|491472529|ref|WP_005330283.1|	alanyl-tRNA synthase [Dorea formicigenerans] 
gi|491472531|ref|WP_005330285.1|	amino acid permease [Dorea formicigenerans] 
gi|491472532|ref|WP_005330286.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472537|ref|WP_005330291.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472538|ref|WP_005330292.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472539|ref|WP_005330293.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472540|ref|WP_005330294.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472541|ref|WP_005330295.1|	peptide ABC transporter substrate-binding protein [Dorea formicigenerans] 
gi|491472542|ref|WP_005330296.1|	glutathione ABC transporter permease [Dorea formicigenerans] 
gi|491472543|ref|WP_005330297.1|	peptide ABC transporter permease [Dorea formicigenerans] 
gi|491472552|ref|WP_005330306.1|	peptide ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491472553|ref|WP_005330307.1|	peptide ABC transporter substrate-binding protein [Dorea formicigenerans] 
gi|491472554|ref|WP_005330308.1|	mandelate racemase [Dorea formicigenerans] 
gi|491472558|ref|WP_005330312.1|	transglutaminase [Dorea formicigenerans] 
gi|491472559|ref|WP_005330313.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472561|ref|WP_005330315.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472562|ref|WP_005330316.1|	septum formation inhibitor Maf [Dorea formicigenerans] 
gi|491472567|ref|WP_005330321.1|	aminoacyl-tRNA synthetase [Dorea formicigenerans] 
gi|491472569|ref|WP_005330323.1|	isopentenyl-diphosphate delta-isomerase [Dorea formicigenerans] 
gi|491472571|ref|WP_005330325.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472572|ref|WP_005330326.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472573|ref|WP_005330327.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472576|ref|WP_005330330.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472574|ref|WP_005330328.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472579|ref|WP_005330333.1|	D-Ala-D-Ala carboxypeptidase [Dorea formicigenerans] 
gi|491472581|ref|WP_005330335.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472582|ref|WP_005330336.1|	peptidase M24 [Dorea formicigenerans] 
gi|491472583|ref|WP_005330337.1|	haloacid dehalogenase [Dorea formicigenerans] 
gi|491472585|ref|WP_005330339.1|	Ser/Thr phosphatase [Dorea formicigenerans] 
gi|491472586|ref|WP_005330340.1|	MULTISPECIES: chromosome segregation and condensation protein ScpA [Dorea] 
gi|491472589|ref|WP_005330343.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472593|ref|WP_005330347.1|	ribokinase [Dorea formicigenerans] 
gi|491472596|ref|WP_005330350.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472597|ref|WP_005330351.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472599|ref|WP_005330353.1|	ribose operon repressor [Dorea formicigenerans] 
gi|491472600|ref|WP_005330354.1|	DNA-directed RNA polymerase subunit beta [Dorea formicigenerans] 
gi|491472602|ref|WP_005330356.1|	DNA-directed RNA polymerase subunit beta' [Dorea formicigenerans] 
gi|491472603|ref|WP_005330357.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472605|ref|WP_005330359.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472606|ref|WP_005330360.1|	MULTISPECIES: iron transporter FeoA [Dorea] 
gi|491472607|ref|WP_005330361.1|	iron transporter FeoA [Dorea formicigenerans] 
gi|491472610|ref|WP_005330364.1|	iron transporter FeoB [Dorea formicigenerans] 
gi|491472614|ref|WP_005330368.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472615|ref|WP_005330369.1|	DNA mismatch repair protein MutS [Dorea formicigenerans] 
gi|491472620|ref|WP_005330374.1|	MULTISPECIES: PhoP family transcriptional regulator [Dorea] 
gi|491472622|ref|WP_005330376.1|	histidine kinase [Dorea formicigenerans] 
gi|491472624|ref|WP_005330378.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472626|ref|WP_005330380.1|	hydrolase [Dorea formicigenerans] 
gi|491472629|ref|WP_005330383.1|	RNA methyltransferase [Dorea formicigenerans] 
gi|491472631|ref|WP_005330385.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472634|ref|WP_005330388.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472635|ref|WP_005330389.1|	potassium transporter TrkH [Dorea formicigenerans] 
gi|491472636|ref|WP_005330390.1|	MULTISPECIES: potassium transporter TrkA [Lachnospiraceae] 
gi|491472638|ref|WP_005330392.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472641|ref|WP_005330395.1|	histidine kinase [Dorea formicigenerans] 
gi|491472642|ref|WP_005330396.1|	XRE family transcriptional regulator [Dorea formicigenerans] 
gi|491472643|ref|WP_005330397.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472644|ref|WP_005330398.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491472645|ref|WP_005330399.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472646|ref|WP_005330400.1|	ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491472647|ref|WP_005330401.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472648|ref|WP_005330402.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472649|ref|WP_005330403.1|	nitroreductase [Dorea formicigenerans] 
gi|491472650|ref|WP_005330404.1|	ATP-binding protein [Dorea formicigenerans] 
gi|491472651|ref|WP_005330405.1|	biotin synthase [Dorea formicigenerans] 
gi|491472652|ref|WP_005330406.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472658|ref|WP_005330411.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472660|ref|WP_005330413.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472662|ref|WP_005330415.1|	diguanylate cyclase [Dorea formicigenerans] 
gi|491472663|ref|WP_005330416.1|	chemotaxis protein CheY [Dorea formicigenerans] 
gi|491472664|ref|WP_005330417.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472665|ref|WP_005330418.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472666|ref|WP_005330419.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472669|ref|WP_005330422.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472671|ref|WP_005330424.1|	peroxiredoxin [Dorea formicigenerans] 
gi|491472674|ref|WP_005330427.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472675|ref|WP_005330428.1|	MULTISPECIES: Fur family transcriptional regulator [Dorea] 
gi|491472678|ref|WP_005330431.1|	rubrerythrin [Dorea formicigenerans] 
gi|491472680|ref|WP_005330433.1|	lactate dehydrogenase [Dorea formicigenerans] 
gi|491472682|ref|WP_005330435.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472683|ref|WP_005330436.1|	rubredoxin [Dorea formicigenerans] 
gi|491472684|ref|WP_005330437.1|	short-chain dehydrogenase [Dorea formicigenerans] 
gi|491472686|ref|WP_005330439.1|	thiol-disulfide isomerase [Dorea formicigenerans] 
gi|491472688|ref|WP_005330441.1|	rhodanese [Dorea formicigenerans] 
gi|491472690|ref|WP_005330443.1|	NADH dehydrogenase [Dorea formicigenerans] 
gi|491472692|ref|WP_005330445.1|	Crp/Fnr family transcriptional regulator [Dorea formicigenerans] 
gi|491472696|ref|WP_005330449.1|	MULTISPECIES: thioredoxin [Clostridiales] 
gi|491472698|ref|WP_005330451.1|	thioredoxin reductase [Dorea formicigenerans] 
gi|491472700|ref|WP_005330453.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472702|ref|WP_005330455.1|	growth inhibitor PemK [Dorea formicigenerans] 
gi|491472704|ref|WP_005330457.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472705|ref|WP_005330458.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472706|ref|WP_005330459.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472707|ref|WP_005330460.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472708|ref|WP_005330461.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472709|ref|WP_005330462.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472710|ref|WP_005330463.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472712|ref|WP_005330465.1|	MULTISPECIES: beta-lactamase [Clostridiales] 
gi|491472714|ref|WP_005330467.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472715|ref|WP_005330468.1|	transcriptional regulator [Dorea formicigenerans] 
gi|491472717|ref|WP_005330470.1|	excinuclease ABC subunit B [Dorea formicigenerans] 
gi|491472719|ref|WP_005330472.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472720|ref|WP_005330473.1|	DNA-binding protein [Dorea formicigenerans] 
gi|491472721|ref|WP_005330474.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472722|ref|WP_005330475.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472723|ref|WP_005330476.1|	excinuclease ABC subunit B [Dorea formicigenerans] 
gi|491472724|ref|WP_005330477.1|	excinuclease ABC subunit A [Dorea formicigenerans] 
gi|491472725|ref|WP_005330478.1|	MULTISPECIES: rod shape-determining protein Mbl [Dorea] 
gi|491472726|ref|WP_005330479.1|	ATPase AAA [Dorea formicigenerans] 
gi|491472727|ref|WP_005330480.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472731|ref|WP_005330484.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472733|ref|WP_005330486.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472735|ref|WP_005330488.1|	MULTISPECIES: membrane protein [Dorea] 
gi|491472738|ref|WP_005330491.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472740|ref|WP_005330493.1|	PTS glucose transporter subunit IIABC [Dorea formicigenerans] 
gi|491472742|ref|WP_005330495.1|	AMP-dependent synthetase [Dorea formicigenerans] 
gi|491472743|ref|WP_005330496.1|	diaminopimelate decarboxylase [Dorea formicigenerans] 
gi|491472746|ref|WP_005330499.1|	MULTISPECIES: acyl carrier protein [Dorea] 
gi|491472748|ref|WP_005330501.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472751|ref|WP_005330504.1|	hypothetical protein partial [Dorea formicigenerans] 
gi|491472760|ref|WP_005330513.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472763|ref|WP_005330516.1|	LysR family transcriptional regulator [Dorea formicigenerans] 
gi|491472765|ref|WP_005330518.1|	cation transporter [Dorea formicigenerans] 
gi|491472767|ref|WP_005330520.1|	tartrate dehydratase subunit alpha [Dorea formicigenerans] 
gi|491472768|ref|WP_005330521.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472770|ref|WP_005330523.1|	FAD-dependent oxidoreductase [Dorea formicigenerans] 
gi|491472772|ref|WP_005330525.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Dorea formicigenerans] 
gi|491472778|ref|WP_005330531.1|	NAD(FAD)-dependent dehydrogenase [Dorea formicigenerans] 
gi|491472780|ref|WP_005330533.1|	glycerol kinase [Dorea formicigenerans] 
gi|491472781|ref|WP_005330534.1|	alpha/beta hydrolase [Dorea formicigenerans] 
gi|491472782|ref|WP_005330535.1|	hydroxylase accessory protein YqeC [Dorea formicigenerans] 
gi|491472783|ref|WP_005330536.1|	pseudouridine synthase [Dorea formicigenerans] 
gi|491472784|ref|WP_005330537.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472785|ref|WP_005330538.1|	MULTISPECIES: thiol-disulfide isomerase [Dorea] 
gi|491472786|ref|WP_005330539.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472787|ref|WP_005330540.1|	carbamate kinase [Dorea formicigenerans] 
gi|491472789|ref|WP_005330542.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472791|ref|WP_005330544.1|	MULTISPECIES: NrdR family transcriptional regulator [Dorea] 
gi|491472792|ref|WP_005330545.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472794|ref|WP_005330547.1|	MULTISPECIES: exodeoxyribonuclease III [Dorea] 
gi|491472796|ref|WP_005330549.1|	aminotransferase V [Dorea formicigenerans] 
gi|491472798|ref|WP_005330551.1|	chitooligosaccharide deacetylase [Dorea formicigenerans] 
gi|491472799|ref|WP_005330552.1|	pyruvate synthase [Dorea formicigenerans] 
gi|491472812|ref|WP_005330565.1|	MULTISPECIES: ferredoxin [Dorea] 
gi|491472817|ref|WP_005330570.1|	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha [Dorea formicigenerans] 
gi|491472819|ref|WP_005330572.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472820|ref|WP_005330573.1|	propanediol utilization phosphotransacylase [Dorea formicigenerans] 
gi|491472823|ref|WP_005330576.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472824|ref|WP_005330577.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472825|ref|WP_005330578.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472826|ref|WP_005330579.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472829|ref|WP_005330582.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491472830|ref|WP_005330583.1|	transposase [Dorea formicigenerans] 
gi|491472831|ref|WP_005330584.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472832|ref|WP_005330585.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472833|ref|WP_005330586.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472834|ref|WP_005330587.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472835|ref|WP_005330588.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472836|ref|WP_005330589.1|	glutamine synthetase [Dorea formicigenerans] 
gi|491472837|ref|WP_005330590.1|	MULTISPECIES: transcription antitermination regulator [Dorea] 
gi|491472838|ref|WP_005330591.1|	diaminopimelate epimerase [Dorea formicigenerans] 
gi|491472839|ref|WP_005330592.1|	aspartate aminotransferase [Dorea formicigenerans] 
gi|491472840|ref|WP_005330593.1|	hypothetical protein [Dorea formicigenerans] 
gi|490752337|ref|WP_004614645.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490981772|ref|WP_004843530.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490752335|ref|WP_004614643.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490752334|ref|WP_004614642.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490752333|ref|WP_004614641.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490752332|ref|WP_004614640.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|490752331|ref|WP_004614639.1|	MULTISPECIES: GNAT family acetyltransferase [Lachnospiraceae] 
gi|491472841|ref|WP_005330594.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472842|ref|WP_005330595.1|	glutamate racemase [Dorea formicigenerans] 
gi|491472843|ref|WP_005330596.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472846|ref|WP_005330599.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472851|ref|WP_005330604.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472867|ref|WP_005330620.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472869|ref|WP_005330622.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472871|ref|WP_005330624.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472873|ref|WP_005330626.1|	aspartyl-tRNA synthetase [Dorea formicigenerans] 
gi|491472875|ref|WP_005330628.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472877|ref|WP_005330630.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit C [Dorea] 
gi|491472878|ref|WP_005330631.1|	glutamyl-tRNA(Gln) amidotransferase [Dorea formicigenerans] 
gi|491472880|ref|WP_005330633.1|	MULTISPECIES: aspartyl/glutamyl-tRNA amidotransferase subunit B [Dorea] 
gi|491472882|ref|WP_005330635.1|	amidophosphoribosyltransferase [Dorea formicigenerans] 
gi|491472883|ref|WP_005330636.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472884|ref|WP_005330637.1|	prevent-host-death protein [Dorea formicigenerans] 
gi|491472885|ref|WP_005330638.1|	macrolide ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491472886|ref|WP_005330639.1|	cell division protein FtsX [Dorea formicigenerans] 
gi|491472887|ref|WP_005330640.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472888|ref|WP_005330641.1|	multidrug transporter MatE [Dorea formicigenerans] 
gi|491472890|ref|WP_005330643.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472893|ref|WP_005330646.1|	riboflavin biosynthesis protein RibD [Dorea formicigenerans] 
gi|491472896|ref|WP_005330649.1|	riboflavin synthase subunit alpha [Dorea formicigenerans] 
gi|491472899|ref|WP_005330652.1|	GTP cyclohydrolase [Dorea formicigenerans] 
gi|491472902|ref|WP_005330655.1|	6,7-dimethyl-8-ribityllumazine synthase [Dorea formicigenerans] 
gi|491472905|ref|WP_005330658.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472907|ref|WP_005330660.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472910|ref|WP_005330663.1|	pseudouridylate synthase [Dorea formicigenerans] 
gi|491472913|ref|WP_005330666.1|	DNA ligase [Dorea formicigenerans] 
gi|491472915|ref|WP_005330668.1|	ATPase AAA [Dorea formicigenerans] 
gi|491472916|ref|WP_005330669.1|	peptidase [Dorea formicigenerans] 
gi|491472918|ref|WP_005330671.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472920|ref|WP_005330673.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472927|ref|WP_005330680.1|	MULTISPECIES: argininosuccinate synthase [Dorea] 
gi|491472930|ref|WP_005330683.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472932|ref|WP_005330685.1|	membrane protein [Dorea formicigenerans] 
gi|491472935|ref|WP_005330688.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|491472938|ref|WP_005330690.1|	PadR family transcriptional regulator [Dorea formicigenerans] 
gi|491472944|ref|WP_005330696.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472946|ref|WP_005330698.1|	hydrolase [Dorea formicigenerans] 
gi|491472948|ref|WP_005330700.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472950|ref|WP_005330702.1|	sulfonate ABC transporter ATP-binding protein [Dorea formicigenerans] 
gi|491472952|ref|WP_005330704.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472953|ref|WP_005330705.1|	ABC transporter permease [Dorea formicigenerans] 
gi|491472956|ref|WP_005330708.1|	mandelate racemase [Dorea formicigenerans] 
gi|491472958|ref|WP_005330710.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472960|ref|WP_005330712.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472962|ref|WP_005330714.1|	2-hydroxyglutaryl-CoA dehydratase [Dorea formicigenerans] 
gi|491472965|ref|WP_005330717.1|	MULTISPECIES: CoA activase [Dorea] 
gi|491472967|ref|WP_005330719.1|	MULTISPECIES: GntR family transcriptional regulator [Dorea] 
gi|491472969|ref|WP_005330721.1|	ATP-dependent Clp protease ATP-binding protein [Dorea formicigenerans] 
gi|491472971|ref|WP_005330723.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472972|ref|WP_005330724.1|	DNA repair protein RadA [Dorea formicigenerans] 
gi|491472974|ref|WP_005330726.1|	hypothetical protein [Dorea formicigenerans] 
gi|491472975|ref|WP_005330727.1|	metallophosphoesterase [Dorea formicigenerans] 
gi|491472976|ref|WP_005330728.1|	hypothetical protein [Dorea formicigenerans] 
