gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108042|ref|WP_007048826.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108043|ref|WP_007048827.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108044|ref|WP_007048828.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108045|ref|WP_007048829.1|	Holliday junction DNA helicase RuvB [Anaerofustis stercorihominis] 
gi|494108046|ref|WP_007048830.1|	S-adenosylmethionine tRNA ribosyltransferase [Anaerofustis stercorihominis] 
gi|494108047|ref|WP_007048831.1|	aspartate aminotransferase [Anaerofustis stercorihominis] 
gi|494108048|ref|WP_007048832.1|	adenylosuccinate lyase [Anaerofustis stercorihominis] 
gi|494108049|ref|WP_007048833.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108050|ref|WP_007048834.1|	glutamyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108051|ref|WP_007048835.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108052|ref|WP_007048836.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108053|ref|WP_007048837.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108054|ref|WP_007048838.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108055|ref|WP_007048839.1|	MerR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108056|ref|WP_007048840.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108057|ref|WP_007048841.1|	acetyltransferase [Anaerofustis stercorihominis] 
gi|494108058|ref|WP_007048842.1|	cysteine synthase [Anaerofustis stercorihominis] 
gi|494108059|ref|WP_007048843.1|	O-acetylhomoserine aminocarboxypropyltransferase [Anaerofustis stercorihominis] 
gi|494108060|ref|WP_007048844.1|	Rrf2 family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108061|ref|WP_007048845.1|	iron transporter FeoA [Anaerofustis stercorihominis] 
gi|494108062|ref|WP_007048846.1|	iron transporter FeoA [Anaerofustis stercorihominis] 
gi|494108063|ref|WP_007048847.1|	iron transporter FeoB [Anaerofustis stercorihominis] 
gi|494108064|ref|WP_007048848.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108065|ref|WP_007048849.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108066|ref|WP_007048850.1|	glutamate synthase [Anaerofustis stercorihominis] 
gi|494108067|ref|WP_007048851.1|	zinc permease [Anaerofustis stercorihominis] 
gi|494108068|ref|WP_007048852.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108069|ref|WP_007048853.1|	PhoB family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108070|ref|WP_007048854.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108071|ref|WP_007048855.1|	transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108072|ref|WP_007048856.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108073|ref|WP_007048857.1|	cell wall hydrolase [Anaerofustis stercorihominis] 
gi|494108074|ref|WP_007048858.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108075|ref|WP_007048859.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108076|ref|WP_007048860.1|	thiamine ABC transporter permease [Anaerofustis stercorihominis] 
gi|494108077|ref|WP_007048861.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108078|ref|WP_007048862.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108079|ref|WP_007048863.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494108080|ref|WP_007048864.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108081|ref|WP_007048865.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108082|ref|WP_007048866.1|	TPP-dependent acetoin dehydrogenase complex E1 protein subunit beta [Anaerofustis stercorihominis] 
gi|494108083|ref|WP_007048867.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108084|ref|WP_007048868.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108085|ref|WP_007048869.1|	hisitidine kinase [Anaerofustis stercorihominis] 
gi|494108086|ref|WP_007048870.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108087|ref|WP_007048871.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494108088|ref|WP_007048872.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494108089|ref|WP_007048873.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108090|ref|WP_007048874.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108091|ref|WP_007048875.1|	DNA polymerase IV [Anaerofustis stercorihominis] 
gi|494108092|ref|WP_007048876.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108093|ref|WP_007048877.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108094|ref|WP_007048878.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108095|ref|WP_007048879.1|	peptidase [Anaerofustis stercorihominis] 
gi|494108096|ref|WP_007048880.1|	diaminopimelate decarboxylase [Anaerofustis stercorihominis] 
gi|494108097|ref|WP_007048881.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108098|ref|WP_007048882.1|	ribosomal large subunit pseudouridine synthase B [Anaerofustis stercorihominis] 
gi|494108099|ref|WP_007048883.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108100|ref|WP_007048884.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Anaerofustis stercorihominis] 
gi|494108101|ref|WP_007048885.1|	DNA mismatch repair protein MutS [Anaerofustis stercorihominis] 
gi|494108102|ref|WP_007048886.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108103|ref|WP_007048887.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Anaerofustis stercorihominis] 
gi|494108104|ref|WP_007048888.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108105|ref|WP_007048889.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108106|ref|WP_007048890.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108107|ref|WP_007048891.1|	RNA polymerase sigma 70 [Anaerofustis stercorihominis] 
gi|494108108|ref|WP_007048892.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108109|ref|WP_007048893.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108110|ref|WP_007048894.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108111|ref|WP_007048895.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108112|ref|WP_007048896.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108113|ref|WP_007048897.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108114|ref|WP_007048898.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108115|ref|WP_007048899.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108116|ref|WP_007048900.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108117|ref|WP_007048901.1|	potassium transporter TrkA [Anaerofustis stercorihominis] 
gi|494108118|ref|WP_007048902.1|	Trk system potassium transporter TrkH [Anaerofustis stercorihominis] 
gi|494108119|ref|WP_007048903.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108120|ref|WP_007048904.1|	glycyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108121|ref|WP_007048905.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108122|ref|WP_007048906.1|	pyruvate dikinase [Anaerofustis stercorihominis] 
gi|494108123|ref|WP_007048907.1|	pyruvate dikinase [Anaerofustis stercorihominis] 
gi|494108124|ref|WP_007048908.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108125|ref|WP_007048909.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108126|ref|WP_007048910.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108127|ref|WP_007048911.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108128|ref|WP_007048912.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108129|ref|WP_007048913.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108130|ref|WP_007048914.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108131|ref|WP_007048915.1|	sodium:proton antiporter [Anaerofustis stercorihominis] 
gi|494108132|ref|WP_007048916.1|	ABC transporter substrate-binding protein [Anaerofustis stercorihominis] 
gi|494108133|ref|WP_007048917.1|	polar amino acid ABC transporter permease [Anaerofustis stercorihominis] 
gi|494108134|ref|WP_007048918.1|	arginine ABC transporter ATP-binding protein [Anaerofustis stercorihominis] 
gi|494108135|ref|WP_007048919.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108136|ref|WP_007048920.1|	MerR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108137|ref|WP_007048921.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494108138|ref|WP_007048922.1|	ABC transporter [Anaerofustis stercorihominis] 
gi|494108139|ref|WP_007048923.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108140|ref|WP_007048924.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108141|ref|WP_007048925.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108142|ref|WP_007048926.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108143|ref|WP_007048927.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108144|ref|WP_007048928.1|	PTS galactitol transporter subunit IIC [Anaerofustis stercorihominis] 
gi|494108145|ref|WP_007048929.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108146|ref|WP_007048930.1|	L-ribulose-5-phosphate 4-epimerase [Anaerofustis stercorihominis] 
gi|494108147|ref|WP_007048931.1|	RNA methyltransferase [Anaerofustis stercorihominis] 
gi|494108148|ref|WP_007048932.1|	recombinase [Anaerofustis stercorihominis] 
gi|494108149|ref|WP_007048933.1|	stage II sporulation protein R [Anaerofustis stercorihominis] 
gi|494108150|ref|WP_007048934.1|	seryl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108151|ref|WP_007048935.1|	plasmid stablization protein ParB [Anaerofustis stercorihominis] 
gi|494108152|ref|WP_007048936.1|	recombinase [Anaerofustis stercorihominis] 
gi|494108153|ref|WP_007048937.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108154|ref|WP_007048938.1|	RNA polymerase [Anaerofustis stercorihominis] 
gi|494108155|ref|WP_007048939.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108156|ref|WP_007048940.1|	RNA polymerase sigma factor [Anaerofustis stercorihominis] 
gi|494108157|ref|WP_007048941.1|	conjugal transfer protein [Anaerofustis stercorihominis] 
gi|494108158|ref|WP_007048942.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108159|ref|WP_007048943.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108160|ref|WP_007048944.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108161|ref|WP_007048945.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108162|ref|WP_007048946.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108163|ref|WP_007048947.1|	TspO and MBR [Anaerofustis stercorihominis] 
gi|494108164|ref|WP_007048948.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108165|ref|WP_007048949.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108166|ref|WP_007048950.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108167|ref|WP_007048951.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108168|ref|WP_007048952.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108169|ref|WP_007048953.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108170|ref|WP_007048954.1|	asparaginase [Anaerofustis stercorihominis] 
gi|494108171|ref|WP_007048955.1|	transporter [Anaerofustis stercorihominis] 
gi|494108172|ref|WP_007048956.1|	hydrolase [Anaerofustis stercorihominis] 
gi|494108173|ref|WP_007048957.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108174|ref|WP_007048958.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108175|ref|WP_007048959.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494108176|ref|WP_007048960.1|	glycosyl transferase [Anaerofustis stercorihominis] 
gi|494108177|ref|WP_007048961.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108178|ref|WP_007048962.1|	cold-shock protein [Anaerofustis stercorihominis] 
gi|494108179|ref|WP_007048963.1|	N-acetyltransferase GCN5 [Anaerofustis stercorihominis] 
gi|494108180|ref|WP_007048964.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Anaerofustis stercorihominis] 
gi|494108181|ref|WP_007048965.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108182|ref|WP_007048966.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108183|ref|WP_007048967.1|	3-methyladenine DNA glycosylase [Anaerofustis stercorihominis] 
gi|494108184|ref|WP_007048968.1|	carbonate dehydratase [Anaerofustis stercorihominis] 
gi|494108185|ref|WP_007048969.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108186|ref|WP_007048970.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108187|ref|WP_007048971.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108188|ref|WP_007048972.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108189|ref|WP_007048973.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108190|ref|WP_007048974.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108191|ref|WP_007048975.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108192|ref|WP_007048976.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108193|ref|WP_007048977.1|	transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108194|ref|WP_007048978.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108195|ref|WP_007048979.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108196|ref|WP_007048980.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108197|ref|WP_007048981.1|	competence protein TfoX [Anaerofustis stercorihominis] 
gi|494108198|ref|WP_007048982.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108199|ref|WP_007048983.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108200|ref|WP_007048984.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108201|ref|WP_007048985.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108202|ref|WP_007048986.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108203|ref|WP_007048987.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108204|ref|WP_007048988.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108205|ref|WP_007048989.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108206|ref|WP_007048990.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108207|ref|WP_007048991.1|	glutaminyl-tRNA synthetase [Anaerofustis stercorihominis] 
gi|494108208|ref|WP_007048992.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108209|ref|WP_007048993.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108210|ref|WP_007048994.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108211|ref|WP_007048995.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108212|ref|WP_007048996.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108213|ref|WP_007048997.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108214|ref|WP_007048998.1|	FAD-dependent oxidoreductase [Anaerofustis stercorihominis] 
gi|494108215|ref|WP_007048999.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Anaerofustis stercorihominis] 
gi|494108216|ref|WP_007049000.1|	NAD(FAD)-dependent dehydrogenase [Anaerofustis stercorihominis] 
gi|494108217|ref|WP_007049001.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108218|ref|WP_007049002.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108219|ref|WP_007049003.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108220|ref|WP_007049004.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108221|ref|WP_007049005.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108222|ref|WP_007049006.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108223|ref|WP_007049007.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108224|ref|WP_007049008.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108225|ref|WP_007049009.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108226|ref|WP_007049010.1|	deoxyguanosinetriphosphate triphosphohydrolase [Anaerofustis stercorihominis] 
gi|494108227|ref|WP_007049011.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108228|ref|WP_007049012.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108229|ref|WP_007049013.1|	RNA polymerase sigma factor RpoD [Anaerofustis stercorihominis] 
gi|494108230|ref|WP_007049014.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108231|ref|WP_007049015.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108232|ref|WP_007049016.1|	TetR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108233|ref|WP_007049017.1|	acetyltransferase [Anaerofustis stercorihominis] 
gi|494108234|ref|WP_007049018.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108235|ref|WP_007049019.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108236|ref|WP_007049020.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108237|ref|WP_007049021.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108238|ref|WP_007049022.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108239|ref|WP_007049023.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108240|ref|WP_007049024.1|	isochorismatase hydrolase [Anaerofustis stercorihominis] 
gi|494108241|ref|WP_007049025.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108242|ref|WP_007049026.1|	ATPase AAA [Anaerofustis stercorihominis] 
gi|494108243|ref|WP_007049027.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108244|ref|WP_007049028.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108245|ref|WP_007049029.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108246|ref|WP_007049030.1|	inorganic pyrophosphatase [Anaerofustis stercorihominis] 
gi|494108247|ref|WP_007049031.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108248|ref|WP_007049032.1|	recombinase [Anaerofustis stercorihominis] 
gi|494108249|ref|WP_007049033.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108250|ref|WP_007049034.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108251|ref|WP_007049035.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108252|ref|WP_007049036.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108253|ref|WP_007049037.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108254|ref|WP_007049038.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108255|ref|WP_007049039.1|	DNA-binding protein [Anaerofustis stercorihominis] 
gi|494108256|ref|WP_007049040.1|	type III restriction endonuclease subunit M [Anaerofustis stercorihominis] 
gi|494108257|ref|WP_007049041.1|	type III restriction endonuclease subunit R [Anaerofustis stercorihominis] 
gi|494108258|ref|WP_007049042.1|	abortive phage infection protein [Anaerofustis stercorihominis] 
gi|494108259|ref|WP_007049043.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108260|ref|WP_007049044.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108261|ref|WP_007049045.1|	4-hydroxybutyrate dehydrogenase [Anaerofustis stercorihominis] 
gi|494108262|ref|WP_007049046.1|	glycerol-3-phosphate dehydrogenase [Anaerofustis stercorihominis] 
gi|494108263|ref|WP_007049047.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108264|ref|WP_007049048.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108265|ref|WP_007049049.1|	PTS galactitol transporter subunit IIC [Anaerofustis stercorihominis] 
gi|494108266|ref|WP_007049050.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108267|ref|WP_007049051.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108268|ref|WP_007049052.1|	fructose-bisphosphate aldolase [Anaerofustis stercorihominis] 
gi|494108269|ref|WP_007049053.1|	alcohol dehydrogenase [Anaerofustis stercorihominis] 
gi|494108270|ref|WP_007049054.1|	2-hydroxyacid dehydrogenase [Anaerofustis stercorihominis] 
gi|494108271|ref|WP_007049055.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108272|ref|WP_007049056.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108273|ref|WP_007049057.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108274|ref|WP_007049058.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494108275|ref|WP_007049059.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108276|ref|WP_007049060.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108277|ref|WP_007049061.1|	N-acetyltransferase GCN5 [Anaerofustis stercorihominis] 
gi|494108278|ref|WP_007049062.1|	radical SAM protein [Anaerofustis stercorihominis] 
gi|494108279|ref|WP_007049063.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108280|ref|WP_007049064.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108281|ref|WP_007049065.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108282|ref|WP_007049066.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108283|ref|WP_007049067.1|	nitrogen-fixing protein NifU [Anaerofustis stercorihominis] 
gi|494108284|ref|WP_007049068.1|	DtxR family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108285|ref|WP_007049069.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108286|ref|WP_007049070.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108287|ref|WP_007049071.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108288|ref|WP_007049072.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108289|ref|WP_007049073.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108290|ref|WP_007049074.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108291|ref|WP_007049075.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108292|ref|WP_007049076.1|	flavodoxin [Anaerofustis stercorihominis] 
gi|494108293|ref|WP_007049077.1|	cell surface protein [Anaerofustis stercorihominis] 
gi|494108294|ref|WP_007049078.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108295|ref|WP_007049079.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108296|ref|WP_007049080.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108297|ref|WP_007049081.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108298|ref|WP_007049082.1|	Cro/Cl family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108299|ref|WP_007049083.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108300|ref|WP_007049084.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108301|ref|WP_007049085.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108302|ref|WP_007049086.1|	3-hexulose-6-phosphate isomerase [Anaerofustis stercorihominis] 
gi|494108303|ref|WP_007049087.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108304|ref|WP_007049088.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108305|ref|WP_007049089.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108306|ref|WP_007049090.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108307|ref|WP_007049091.1|	peptidase [Anaerofustis stercorihominis] 
gi|494108308|ref|WP_007049092.1|	3-dehydroquinate dehydratase [Anaerofustis stercorihominis] 
gi|494108309|ref|WP_007049093.1|	guanine permease [Anaerofustis stercorihominis] 
gi|494108310|ref|WP_007049094.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108311|ref|WP_007049095.1|	hypothetical protein [Anaerofustis stercorihominis] 
