gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470984|ref|WP_006426054.1|	RNA methyltransferase [Dorea longicatena] 
gi|493470985|ref|WP_006426055.1|	16S rRNA methyltransferase [Dorea longicatena] 
gi|493470986|ref|WP_006426056.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470987|ref|WP_006426057.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493470988|ref|WP_006426058.1|	uracil-xanthine permease [Dorea longicatena] 
gi|493470990|ref|WP_006426060.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470991|ref|WP_006426061.1|	hypothetical protein [Dorea longicatena] 
gi|493470992|ref|WP_006426062.1|	transcriptional regulator [Dorea longicatena] 
gi|493470993|ref|WP_006426063.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470994|ref|WP_006426064.1|	hypothetical protein [Dorea longicatena] 
gi|493470995|ref|WP_006426065.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470996|ref|WP_006426066.1|	hypothetical protein partial [Dorea longicatena] 
gi|493470997|ref|WP_006426067.1|	cupin [Dorea longicatena] 
gi|493470998|ref|WP_006426068.1|	hypothetical protein [Dorea longicatena] 
gi|493470999|ref|WP_006426069.1|	hypothetical protein [Dorea longicatena] 
gi|493471000|ref|WP_006426070.1|	hypothetical protein [Dorea longicatena] 
gi|493471001|ref|WP_006426071.1|	transposase [Dorea longicatena] 
gi|493471002|ref|WP_006426072.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471003|ref|WP_006426073.1|	phosphate starvation protein PhoH [Dorea longicatena] 
gi|493471004|ref|WP_006426074.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471005|ref|WP_006426075.1|	hypothetical protein [Dorea longicatena] 
gi|493471079|ref|WP_006426148.1|	transcriptional regulator [Dorea longicatena] 
gi|493471080|ref|WP_006426149.1|	ABC transporter permease [Dorea longicatena] 
gi|493471081|ref|WP_006426150.1|	hypothetical protein [Dorea longicatena] 
gi|493471082|ref|WP_006426151.1|	ABC transporter [Dorea longicatena] 
gi|493471083|ref|WP_006426152.1|	LrgA [Dorea longicatena] 
gi|493471084|ref|WP_006426153.1|	membrane protein [Dorea longicatena] 
gi|493471085|ref|WP_006426154.1|	hypothetical protein [Dorea longicatena] 
gi|493471086|ref|WP_006426155.1|	hypothetical protein [Dorea longicatena] 
gi|493471087|ref|WP_006426156.1|	hypothetical protein [Dorea longicatena] 
gi|493471088|ref|WP_006426157.1|	alcohol dehydrogenase [Dorea longicatena] 
gi|493471089|ref|WP_006426158.1|	aldehyde dehydrogenase [Dorea longicatena] 
gi|493471006|ref|WP_006426076.1|	hypothetical protein [Dorea longicatena] 
gi|493471007|ref|WP_006426077.1|	hypothetical protein [Dorea longicatena] 
gi|493471008|ref|WP_006426078.1|	phosphopentomutase [Dorea longicatena] 
gi|493471009|ref|WP_006426079.1|	hypothetical protein [Dorea longicatena] 
gi|493471010|ref|WP_006426080.1|	glycerate kinase [Dorea longicatena] 
gi|493471011|ref|WP_006426081.1|	hypothetical protein [Dorea longicatena] 
gi|493471012|ref|WP_006426082.1|	hypothetical protein [Dorea longicatena] 
gi|493471013|ref|WP_006426083.1|	hypothetical protein [Dorea longicatena] 
gi|493471014|ref|WP_006426084.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471015|ref|WP_006426085.1|	hypothetical protein [Dorea longicatena] 
gi|493471016|ref|WP_006426086.1|	hypothetical protein [Dorea longicatena] 
gi|493471017|ref|WP_006426087.1|	hypothetical protein [Dorea longicatena] 
gi|493471018|ref|WP_006426088.1|	hypothetical protein [Dorea longicatena] 
gi|493471019|ref|WP_006426089.1|	DEAD/DEAH box helicase [Dorea longicatena] 
gi|493471020|ref|WP_006426090.1|	phosphoglycerate mutase [Dorea longicatena] 
gi|493471021|ref|WP_006426091.1|	oxidoreductase [Dorea longicatena] 
gi|493471022|ref|WP_006426092.1|	hypothetical protein [Dorea longicatena] 
gi|493471023|ref|WP_006426093.1|	hypothetical protein [Dorea longicatena] 
gi|493471024|ref|WP_006426094.1|	iron-only hydrogenase system regulator [Dorea longicatena] 
gi|493471025|ref|WP_006426095.1|	hydrogenase [Dorea longicatena] 
gi|493471026|ref|WP_006426096.1|	hydrogenase formation protein HypD [Dorea longicatena] 
gi|493471027|ref|WP_006426097.1|	hydrogenase assembly protein HypC [Dorea longicatena] 
gi|493471028|ref|WP_006426098.1|	carbamoyltransferase [Dorea longicatena] 
gi|493471029|ref|WP_006426099.1|	hypothetical protein [Dorea longicatena] 
gi|493471030|ref|WP_006426100.1|	oxidoreductase [Dorea longicatena] 
gi|493471032|ref|WP_006426102.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471034|ref|WP_006426104.1|	hypothetical protein [Dorea longicatena] 
gi|493471036|ref|WP_006426105.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471037|ref|WP_006426106.1|	phosphohydrolase [Dorea longicatena] 
gi|493471038|ref|WP_006426107.1|	phosphate starvation protein PhoH [Dorea longicatena] 
gi|493471039|ref|WP_006426108.1|	hypothetical protein [Dorea longicatena] 
gi|493471040|ref|WP_006426109.1|	transposase IS116/IS110/IS902 family [Dorea longicatena] 
gi|493471041|ref|WP_006426110.1|	hypothetical protein [Dorea longicatena] 
gi|493471042|ref|WP_006426111.1|	MULTISPECIES: peptide deformylase [Dorea] 
gi|493471043|ref|WP_006426112.1|	hypothetical protein [Dorea longicatena] 
gi|493471044|ref|WP_006426113.1|	hypothetical protein [Dorea longicatena] 
gi|493471045|ref|WP_006426114.1|	hypothetical protein [Dorea longicatena] 
gi|493471046|ref|WP_006426115.1|	hypothetical protein [Dorea longicatena] 
gi|493471047|ref|WP_006426116.1|	CRISPR-associated protein Cas2 [Dorea longicatena] 
gi|493471048|ref|WP_006426117.1|	CRISPR-associated protein Cas1 [Dorea longicatena] 
gi|493471049|ref|WP_006426118.1|	hypothetical protein [Dorea longicatena] 
gi|493471050|ref|WP_006426119.1|	sodium:dicarboxylate symporter [Dorea longicatena] 
gi|493471051|ref|WP_006426120.1|	proline dipeptidase [Dorea longicatena] 
gi|493471052|ref|WP_006426121.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471053|ref|WP_006426122.1|	hypothetical protein [Dorea longicatena] 
gi|493471054|ref|WP_006426123.1|	hypothetical protein [Dorea longicatena] 
gi|493471055|ref|WP_006426124.1|	hypothetical protein [Dorea longicatena] 
gi|493471056|ref|WP_006426125.1|	peptidase [Dorea longicatena] 
gi|493471057|ref|WP_006426126.1|	MULTISPECIES: NAD(FAD)-dependent dehydrogenase [Dorea] 
gi|493471058|ref|WP_006426127.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Dorea longicatena] 
gi|493471059|ref|WP_006426128.1|	FAD-dependent oxidoreductase [Dorea longicatena] 
gi|493471060|ref|WP_006426129.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471061|ref|WP_006426130.1|	glycerol kinase [Dorea longicatena] 
gi|493471062|ref|WP_006426131.1|	MULTISPECIES: glycerol uptake operon antiterminator [Dorea] 
gi|493471063|ref|WP_006426132.1|	hypothetical protein [Dorea longicatena] 
gi|493471064|ref|WP_006426133.1|	hypothetical protein [Dorea longicatena] 
gi|493471065|ref|WP_006426134.1|	hypothetical protein [Dorea longicatena] 
gi|493471066|ref|WP_006426135.1|	arginine ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493471067|ref|WP_006426136.1|	ABC transporter permease [Dorea longicatena] 
gi|493471068|ref|WP_006426137.1|	hypothetical protein [Dorea longicatena] 
gi|493471069|ref|WP_006426138.1|	hypothetical protein [Dorea longicatena] 
gi|493471070|ref|WP_006426139.1|	hypothetical protein [Dorea longicatena] 
gi|493471071|ref|WP_006426140.1|	hypothetical protein [Dorea longicatena] 
gi|493471072|ref|WP_006426141.1|	C4-dicarboxylate ABC transporter [Dorea longicatena] 
gi|493471073|ref|WP_006426142.1|	oxidoreductase [Dorea longicatena] 
gi|493471074|ref|WP_006426143.1|	hypothetical protein [Dorea longicatena] 
gi|493471075|ref|WP_006426144.1|	divalent cation transporter [Dorea longicatena] 
gi|493471076|ref|WP_006426145.1|	hypothetical protein [Dorea longicatena] 
gi|493471077|ref|WP_006426146.1|	hypothetical protein [Dorea longicatena] 
gi|493471078|ref|WP_006426147.1|	sulfate permease [Dorea longicatena] 
gi|493471091|ref|WP_006426159.1|	hydrolase [Dorea longicatena] 
gi|493471092|ref|WP_006426160.1|	hypothetical protein [Dorea longicatena] 
gi|491500708|ref|WP_005358400.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493471093|ref|WP_006426161.1|	hypothetical protein [Dorea longicatena] 
gi|493471094|ref|WP_006426162.1|	hypothetical protein [Dorea longicatena] 
gi|493471095|ref|WP_006426163.1|	hypothetical protein [Dorea longicatena] 
gi|493471096|ref|WP_006426164.1|	hypothetical protein [Dorea longicatena] 
gi|493471097|ref|WP_006426165.1|	transglycosylase [Dorea longicatena] 
gi|493471098|ref|WP_006426166.1|	hypothetical protein [Dorea longicatena] 
gi|493471099|ref|WP_006426167.1|	hypothetical protein [Dorea longicatena] 
gi|493471100|ref|WP_006426168.1|	hypothetical protein [Dorea longicatena] 
gi|493471101|ref|WP_006426169.1|	hypothetical protein [Dorea longicatena] 
gi|493471102|ref|WP_006426170.1|	hypothetical protein [Dorea longicatena] 
gi|493471103|ref|WP_006426171.1|	MULTISPECIES: glutamyl-tRNA amidotransferase subunit A [Clostridiales] 
gi|493471105|ref|WP_006426172.1|	conjugal transfer protein TraG [Dorea longicatena] 
gi|493471106|ref|WP_006426173.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493471107|ref|WP_006426174.1|	hypothetical protein [Dorea longicatena] 
gi|493471108|ref|WP_006426175.1|	hypothetical protein [Dorea longicatena] 
gi|493471109|ref|WP_006426176.1|	hypothetical protein [Dorea longicatena] 
gi|493471110|ref|WP_006426177.1|	hypothetical protein [Dorea longicatena] 
gi|493471111|ref|WP_006426178.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491485013|ref|WP_005342754.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471112|ref|WP_006426179.1|	hypothetical protein [Dorea longicatena] 
gi|493471113|ref|WP_006426180.1|	hypothetical protein [Dorea longicatena] 
gi|493471114|ref|WP_006426181.1|	topoisomerase [Dorea longicatena] 
gi|493471115|ref|WP_006426182.1|	hypothetical protein [Dorea longicatena] 
gi|491483992|ref|WP_005341733.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471116|ref|WP_006426183.1|	hypothetical protein [Dorea longicatena] 
gi|493471117|ref|WP_006426184.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471118|ref|WP_006426185.1|	ATPase AAA [Dorea longicatena] 
gi|493471120|ref|WP_006426187.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|491483981|ref|WP_005341722.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471122|ref|WP_006426189.1|	hypothetical protein [Dorea longicatena] 
gi|493471124|ref|WP_006426191.1|	collagen-binding protein [Dorea longicatena] 
gi|493471126|ref|WP_006426192.1|	hypothetical protein [Dorea longicatena] 
gi|493471127|ref|WP_006426193.1|	plasmid stablization protein ParB [Dorea longicatena] 
gi|493471128|ref|WP_006426194.1|	chromosome partitioning protein ParA [Dorea longicatena] 
gi|493471129|ref|WP_006426195.1|	hypothetical protein [Dorea longicatena] 
gi|493471130|ref|WP_006426196.1|	hypothetical protein [Dorea longicatena] 
gi|493471131|ref|WP_006426197.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471132|ref|WP_006426198.1|	excinuclease ABC subunit B [Dorea longicatena] 
gi|493471133|ref|WP_006426199.1|	hypothetical protein [Dorea longicatena] 
gi|493471134|ref|WP_006426200.1|	hypothetical protein [Dorea longicatena] 
gi|493471135|ref|WP_006426201.1|	AraC family transcriptional regulator [Dorea longicatena] 
gi|493471136|ref|WP_006426202.1|	hypothetical protein [Dorea longicatena] 
gi|493471137|ref|WP_006426203.1|	beta-galactosidase [Dorea longicatena] 
gi|493471138|ref|WP_006426204.1|	AraC family transcriptional regulator [Dorea longicatena] 
gi|493471139|ref|WP_006426205.1|	hypothetical protein [Dorea longicatena] 
gi|493471140|ref|WP_006426206.1|	hypothetical protein [Dorea longicatena] 
gi|493471141|ref|WP_006426207.1|	beta-lactamase [Dorea longicatena] 
gi|493471143|ref|WP_006426208.1|	MULTISPECIES: formate acetyltransferase [Dorea] 
gi|493471144|ref|WP_006426209.1|	ferredoxin [Dorea longicatena] 
gi|493471145|ref|WP_006426210.1|	hypothetical protein [Dorea longicatena] 
gi|493471146|ref|WP_006426211.1|	GTP-binding protein EngB [Dorea longicatena] 
gi|493471147|ref|WP_006426212.1|	Lon protease [Dorea longicatena] 
gi|493471148|ref|WP_006426213.1|	MULTISPECIES: ATP-dependent protease [Dorea] 
gi|493471149|ref|WP_006426214.1|	ATP-dependent Clp protease proteolytic subunit [Dorea longicatena] 
gi|493471150|ref|WP_006426215.1|	trigger factor [Dorea longicatena] 
gi|493471151|ref|WP_006426216.1|	MULTISPECIES: 4-methyl-5(B-hydroxyethyl)-thiazole monophosphate biosynthesis protein [Dorea] 
gi|493471152|ref|WP_006426217.1|	MULTISPECIES: adenylate cyclase [Dorea] 
gi|493471153|ref|WP_006426218.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471154|ref|WP_006426219.1|	aspartate kinase [Dorea longicatena] 
gi|493471155|ref|WP_006426220.1|	homoserine dehydrogenase [Dorea longicatena] 
gi|493471156|ref|WP_006426221.1|	MULTISPECIES: peptide chain release factor 2 [Dorea] 
gi|493471157|ref|WP_006426222.1|	preprotein translocase subunit SecA [Dorea longicatena] 
gi|493471158|ref|WP_006426223.1|	MULTISPECIES: phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [Dorea] 
gi|493471162|ref|WP_006426226.1|	hypothetical protein [Dorea longicatena] 
gi|493471163|ref|WP_006426227.1|	fructose-1,6-bisphosphatase [Dorea longicatena] 
gi|493471164|ref|WP_006426228.1|	MULTISPECIES: dihydrodipicolinate reductase [Dorea] 
gi|493471165|ref|WP_006426229.1|	dihydrodipicolinate synthase [Dorea longicatena] 
gi|493471166|ref|WP_006426230.1|	single-stranded DNA-binding protein [Dorea longicatena] 
gi|493471167|ref|WP_006426231.1|	MULTISPECIES: GTP-binding protein [Dorea] 
gi|493471168|ref|WP_006426232.1|	hypothetical protein [Dorea longicatena] 
gi|493471169|ref|WP_006426233.1|	transporter [Dorea longicatena] 
gi|493471170|ref|WP_006426234.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471171|ref|WP_006426235.1|	hypothetical protein [Dorea longicatena] 
gi|493471172|ref|WP_006426236.1|	glycosyl transferase [Dorea longicatena] 
gi|493471173|ref|WP_006426237.1|	MULTISPECIES: glucokinase [Dorea] 
gi|493471174|ref|WP_006426238.1|	MULTISPECIES: HPr kinase [Dorea] 
gi|493471175|ref|WP_006426239.1|	excinuclease ABC subunit C [Dorea longicatena] 
gi|493471176|ref|WP_006426240.1|	precorrin-2 C20-methyltransferase [Dorea longicatena] 
gi|493471177|ref|WP_006426241.1|	hypothetical protein [Dorea longicatena] 
gi|493471178|ref|WP_006426242.1|	MULTISPECIES: ATPase AAA [Dorea] 
gi|493471179|ref|WP_006426243.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471180|ref|WP_006426244.1|	CTP synthetase [Dorea longicatena] 
gi|493471183|ref|WP_006426246.1|	hypothetical protein [Dorea longicatena] 
gi|493471184|ref|WP_006426247.1|	nuclease SbcCD subunit D [Dorea longicatena] 
gi|493471185|ref|WP_006426248.1|	hypothetical protein [Dorea longicatena] 
gi|493471186|ref|WP_006426249.1|	hypothetical protein [Dorea longicatena] 
gi|493471187|ref|WP_006426250.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471188|ref|WP_006426251.1|	hypothetical protein [Dorea longicatena] 
gi|493471189|ref|WP_006426252.1|	MULTISPECIES: leucyl-tRNA synthetase [Dorea] 
gi|493471190|ref|WP_006426253.1|	hypothetical protein [Dorea longicatena] 
gi|493471191|ref|WP_006426254.1|	hypothetical protein [Dorea longicatena] 
gi|493471192|ref|WP_006426255.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471193|ref|WP_006426256.1|	capsular polysaccharide biosynthesis protein [Dorea longicatena] 
gi|493471194|ref|WP_006426257.1|	autotransporter [Dorea longicatena] 
gi|493471195|ref|WP_006426258.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471196|ref|WP_006426259.1|	potassium transporter KefA [Dorea longicatena] 
gi|493471197|ref|WP_006426260.1|	MULTISPECIES: potassium transporter TrkA [Dorea] 
gi|493471198|ref|WP_006426261.1|	elongation factor G [Dorea longicatena] 
gi|493471199|ref|WP_006426262.1|	prephenate dehydrogenase [Dorea longicatena] 
gi|493471200|ref|WP_006426263.1|	hypothetical protein [Dorea longicatena] 
gi|493471201|ref|WP_006426264.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471202|ref|WP_006426265.1|	iron ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493471203|ref|WP_006426266.1|	iron ABC transporter permease [Dorea longicatena] 
gi|493471204|ref|WP_006426267.1|	iron ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493471205|ref|WP_006426268.1|	hypothetical protein [Dorea longicatena] 
gi|493471206|ref|WP_006426269.1|	hypothetical protein [Dorea longicatena] 
gi|493471207|ref|WP_006426270.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493471208|ref|WP_006426271.1|	membrane protein [Dorea longicatena] 
gi|493471209|ref|WP_006426272.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493471210|ref|WP_006426273.1|	hypothetical protein [Dorea longicatena] 
gi|493471211|ref|WP_006426274.1|	hypothetical protein [Dorea longicatena] 
gi|493471212|ref|WP_006426275.1|	cobyric acid synthase [Dorea longicatena] 
gi|493471213|ref|WP_006426276.1|	hypothetical protein [Dorea longicatena] 
gi|493471214|ref|WP_006426277.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471215|ref|WP_006426278.1|	hypothetical protein [Dorea longicatena] 
gi|493471216|ref|WP_006426279.1|	alpha-ribazole-5-phosphate phosphatase [Dorea longicatena] 
gi|493471217|ref|WP_006426280.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471218|ref|WP_006426281.1|	cobalamin-5-phosphate synthase [Dorea longicatena] 
gi|493471219|ref|WP_006426282.1|	cobalamin biosynthesis protein [Dorea longicatena] 
gi|493471220|ref|WP_006426283.1|	MULTISPECIES: nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [Dorea] 
gi|493471221|ref|WP_006426284.1|	cobyrinic acid a,c-diamide synthase [Dorea longicatena] 
gi|493471222|ref|WP_006426285.1|	precorrin-6X reductase [Dorea longicatena] 
gi|493471223|ref|WP_006426286.1|	precorrin-3B C17-methyltransferase [Dorea longicatena] 
gi|493471224|ref|WP_006426287.1|	hypothetical protein [Dorea longicatena] 
gi|493471226|ref|WP_006426289.1|	cobalt-precorrin-4 C(11)-methyltransferase [Dorea longicatena] 
gi|493471227|ref|WP_006426290.1|	cobalt-precorrin-6A synthase [Dorea longicatena] 
gi|493471228|ref|WP_006426291.1|	hypothetical protein [Dorea longicatena] 
gi|493471229|ref|WP_006426292.1|	S-adenosylmethionine tRNA ribosyltransferase [Dorea longicatena] 
gi|493471230|ref|WP_006426293.1|	hypothetical protein [Dorea longicatena] 
gi|493471231|ref|WP_006426294.1|	hypothetical protein [Dorea longicatena] 
gi|493471232|ref|WP_006426295.1|	signal peptide peptidase SppA [Dorea longicatena] 
gi|493471233|ref|WP_006426296.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit beta [Dorea] 
gi|493471234|ref|WP_006426297.1|	MULTISPECIES: phenylalanyl-tRNA synthase subunit alpha [Dorea] 
gi|493471235|ref|WP_006426298.1|	hypothetical protein [Dorea longicatena] 
gi|493471236|ref|WP_006426299.1|	hypothetical protein [Dorea longicatena] 
gi|493471237|ref|WP_006426300.1|	phosphoenolpyruvate carboxykinase [Dorea longicatena] 
gi|493471238|ref|WP_006426301.1|	threonine synthase [Dorea longicatena] 
gi|493471239|ref|WP_006426302.1|	3-isopropylmalate dehydratase small subunit [Dorea longicatena] 
gi|493471244|ref|WP_006426306.1|	3-isopropylmalate dehydratase large subunit [Dorea longicatena] 
gi|493471245|ref|WP_006426307.1|	MULTISPECIES: isoleucyl-tRNA synthetase [Dorea] 
gi|493471246|ref|WP_006426308.1|	hypothetical protein [Dorea longicatena] 
gi|493471247|ref|WP_006426309.1|	hypothetical protein [Dorea longicatena] 
gi|493471248|ref|WP_006426310.1|	hypothetical protein [Dorea longicatena] 
gi|493471249|ref|WP_006426311.1|	phosphoenolpyruvate synthase [Dorea longicatena] 
gi|493471250|ref|WP_006426312.1|	cytidylate kinase [Dorea longicatena] 
gi|493471251|ref|WP_006426313.1|	MULTISPECIES: DeoR family transcriptional regulator [Dorea] 
gi|493471252|ref|WP_006426314.1|	nicotinate-nucleotide pyrophosphorylase [Dorea longicatena] 
gi|493471253|ref|WP_006426315.1|	L-aspartate oxidase [Dorea longicatena] 
gi|493471254|ref|WP_006426316.1|	hypothetical protein [Dorea longicatena] 
gi|493471255|ref|WP_006426317.1|	MULTISPECIES: aryl-phospho-beta-D-glucosidase [Dorea] 
gi|493471256|ref|WP_006426318.1|	PTS beta-glucoside transporter subunit IIABC [Dorea longicatena] 
gi|493471257|ref|WP_006426319.1|	hypothetical protein [Dorea longicatena] 
gi|493471258|ref|WP_006426320.1|	hypothetical protein [Dorea longicatena] 
gi|493471259|ref|WP_006426321.1|	ABC transporter permease [Dorea longicatena] 
gi|493471260|ref|WP_006426322.1|	MULTISPECIES: ABC transporter ATP-binding protein [Dorea] 
gi|493471261|ref|WP_006426323.1|	histidine kinase [Dorea longicatena] 
gi|493471262|ref|WP_006426324.1|	MULTISPECIES: transcriptional regulator [Dorea] 
gi|493471263|ref|WP_006426325.1|	hypothetical protein [Dorea longicatena] 
gi|493471264|ref|WP_006426326.1|	hypothetical protein [Dorea longicatena] 
gi|493471265|ref|WP_006426327.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471266|ref|WP_006426328.1|	hypothetical protein [Dorea longicatena] 
gi|493471267|ref|WP_006426329.1|	hypothetical protein [Dorea longicatena] 
gi|493471268|ref|WP_006426330.1|	hypothetical protein [Dorea longicatena] 
gi|493471269|ref|WP_006426331.1|	hypothetical protein [Dorea longicatena] 
gi|493471270|ref|WP_006426332.1|	daunorubicin resistance protein DrrC [Dorea longicatena] 
gi|493471271|ref|WP_006426333.1|	acetyltransferase [Dorea longicatena] 
gi|493471272|ref|WP_006426334.1|	hypothetical protein [Dorea longicatena] 
gi|493471273|ref|WP_006426335.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|493471274|ref|WP_006426336.1|	hypothetical protein [Dorea longicatena] 
gi|493471275|ref|WP_006426337.1|	transcriptional regulator [Dorea longicatena] 
gi|491485082|ref|WP_005342823.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471276|ref|WP_006426338.1|	hypothetical protein [Dorea longicatena] 
gi|493471277|ref|WP_006426339.1|	hypothetical protein [Dorea longicatena] 
gi|493471278|ref|WP_006426340.1|	hypothetical protein [Dorea longicatena] 
gi|493471279|ref|WP_006426341.1|	hypothetical protein [Dorea longicatena] 
gi|493471280|ref|WP_006426342.1|	Cro/Cl family transcriptional regulator [Dorea longicatena] 
gi|493471281|ref|WP_006426343.1|	pyruvate phosphate dikinase [Dorea longicatena] 
gi|493471282|ref|WP_006426344.1|	aminopeptidase [Dorea longicatena] 
gi|493471283|ref|WP_006426345.1|	2-amino-3-ketobutyrate CoA ligase [Dorea longicatena] 
