gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493396797|ref|WP_006352912.1|	exodeoxyribonuclease III [[Clostridium] methylpentosum] 
gi|493396798|ref|WP_006352913.1|	oxidoreductase [[Clostridium] methylpentosum] 
gi|493396799|ref|WP_006352914.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396800|ref|WP_006352915.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396801|ref|WP_006352916.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396802|ref|WP_006352917.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396803|ref|WP_006352918.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396804|ref|WP_006352919.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396805|ref|WP_006352920.1|	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [[Clostridium] methylpentosum] 
gi|493396806|ref|WP_006352921.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396807|ref|WP_006352922.1|	UDP-galactose-4-epimerase [[Clostridium] methylpentosum] 
gi|493396808|ref|WP_006352923.1|	multidrug transporter MatE [[Clostridium] methylpentosum] 
gi|493396809|ref|WP_006352924.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396810|ref|WP_006352925.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396811|ref|WP_006352926.1|	radical SAM protein [[Clostridium] methylpentosum] 
gi|493396812|ref|WP_006352927.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396813|ref|WP_006352928.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396814|ref|WP_006352929.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396815|ref|WP_006352930.1|	lactoylglutathione lyase [[Clostridium] methylpentosum] 
gi|493396816|ref|WP_006352931.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396817|ref|WP_006352932.1|	sodium:proton antiporter [[Clostridium] methylpentosum] 
gi|493396818|ref|WP_006352933.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396819|ref|WP_006352934.1|	RNA methyltransferase [[Clostridium] methylpentosum] 
gi|493396820|ref|WP_006352935.1|	fumarate hydratase [[Clostridium] methylpentosum] 
gi|493396821|ref|WP_006352936.1|	amidohydrolase [[Clostridium] methylpentosum] 
gi|493396822|ref|WP_006352937.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396823|ref|WP_006352938.1|	cysteine synthase [[Clostridium] methylpentosum] 
gi|493396824|ref|WP_006352939.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396825|ref|WP_006352940.1|	thiouridylase [[Clostridium] methylpentosum] 
gi|493396826|ref|WP_006352941.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396827|ref|WP_006352942.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396828|ref|WP_006352943.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493396829|ref|WP_006352944.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396830|ref|WP_006352945.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396831|ref|WP_006352946.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396832|ref|WP_006352947.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396833|ref|WP_006352948.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396834|ref|WP_006352949.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396835|ref|WP_006352950.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396836|ref|WP_006352951.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396837|ref|WP_006352952.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396838|ref|WP_006352953.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396839|ref|WP_006352954.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396840|ref|WP_006352955.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396841|ref|WP_006352956.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396842|ref|WP_006352957.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396843|ref|WP_006352958.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396844|ref|WP_006352959.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396845|ref|WP_006352960.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396846|ref|WP_006352961.1|	lysyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493396847|ref|WP_006352962.1|	transcription elongation factor GreA [[Clostridium] methylpentosum] 
gi|493396848|ref|WP_006352963.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396849|ref|WP_006352964.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396850|ref|WP_006352965.1|	fructose-bisphosphate aldolase [[Clostridium] methylpentosum] 
gi|493396851|ref|WP_006352966.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493396852|ref|WP_006352967.1|	GNAT family acetyltransferase [[Clostridium] methylpentosum] 
gi|493396853|ref|WP_006352968.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396854|ref|WP_006352969.1|	teichoic acid ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493396855|ref|WP_006352970.1|	ABC transporter [[Clostridium] methylpentosum] 
gi|493396856|ref|WP_006352971.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [[Clostridium] methylpentosum] 
gi|493396857|ref|WP_006352972.1|	dTDP-glucose 4,6-dehydratase [[Clostridium] methylpentosum] 
gi|493396858|ref|WP_006352973.1|	dTDP-4-dehydrorhamnose reductase [[Clostridium] methylpentosum] 
gi|493396859|ref|WP_006352974.1|	glucose-1-phosphate thymidylyltransferase [[Clostridium] methylpentosum] 
gi|493396860|ref|WP_006352975.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396861|ref|WP_006352976.1|	glycosyltransferase family 2 [[Clostridium] methylpentosum] 
gi|493396862|ref|WP_006352977.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396863|ref|WP_006352978.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396864|ref|WP_006352979.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396865|ref|WP_006352980.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396866|ref|WP_006352981.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396867|ref|WP_006352982.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396868|ref|WP_006352983.1|	arabinose isomerase [[Clostridium] methylpentosum] 
gi|493396869|ref|WP_006352984.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396870|ref|WP_006352985.1|	oxidoreductase [[Clostridium] methylpentosum] 
gi|493396871|ref|WP_006352986.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396872|ref|WP_006352987.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396873|ref|WP_006352988.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396874|ref|WP_006352989.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396875|ref|WP_006352990.1|	50S ribosomal protein L17 [[Clostridium] methylpentosum] 
gi|493396876|ref|WP_006352991.1|	DNA-directed RNA polymerase subunit alpha [[Clostridium] methylpentosum] 
gi|493396877|ref|WP_006352992.1|	30S ribosomal protein S4 [[Clostridium] methylpentosum] 
gi|493396878|ref|WP_006352993.1|	30S ribosomal protein S11 [[Clostridium] methylpentosum] 
gi|493396879|ref|WP_006352994.1|	30S ribosomal protein S13 [[Clostridium] methylpentosum] 
gi|493396880|ref|WP_006352995.1|	translation initiation factor IF-1 [[Clostridium] methylpentosum] 
gi|493396881|ref|WP_006352996.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396882|ref|WP_006352997.1|	methionine aminopeptidase [[Clostridium] methylpentosum] 
gi|493396883|ref|WP_006352998.1|	adenylate kinase [[Clostridium] methylpentosum] 
gi|493396884|ref|WP_006352999.1|	preprotein translocase subunit SecY [[Clostridium] methylpentosum] 
gi|493396885|ref|WP_006353000.1|	50S ribosomal protein L15 [[Clostridium] methylpentosum] 
gi|493396886|ref|WP_006353001.1|	50S ribosomal protein L30 [[Clostridium] methylpentosum] 
gi|493396887|ref|WP_006353002.1|	30S ribosomal protein S5 [[Clostridium] methylpentosum] 
gi|493396888|ref|WP_006353003.1|	50S ribosomal protein L18 [[Clostridium] methylpentosum] 
gi|493396889|ref|WP_006353004.1|	50S ribosomal protein L6 [[Clostridium] methylpentosum] 
gi|493396890|ref|WP_006353005.1|	30S ribosomal protein S8 [[Clostridium] methylpentosum] 
gi|493396891|ref|WP_006353006.1|	30S ribosomal protein S14 [[Clostridium] methylpentosum] 
gi|493396892|ref|WP_006353007.1|	50S ribosomal protein L5 [[Clostridium] methylpentosum] 
gi|493396893|ref|WP_006353008.1|	50S ribosomal protein L24 [[Clostridium] methylpentosum] 
gi|493396894|ref|WP_006353009.1|	50S ribosomal protein L14 [[Clostridium] methylpentosum] 
gi|493396895|ref|WP_006353010.1|	30S ribosomal protein S17 [[Clostridium] methylpentosum] 
gi|493396896|ref|WP_006353011.1|	50S ribosomal protein L29 [[Clostridium] methylpentosum] 
gi|493396897|ref|WP_006353012.1|	50S ribosomal protein L16 [[Clostridium] methylpentosum] 
gi|493396898|ref|WP_006353013.1|	30S ribosomal protein S3 [[Clostridium] methylpentosum] 
gi|493396899|ref|WP_006353014.1|	50S ribosomal protein L22 [[Clostridium] methylpentosum] 
gi|493396900|ref|WP_006353015.1|	30S ribosomal protein S19 [[Clostridium] methylpentosum] 
gi|493396901|ref|WP_006353016.1|	50S ribosomal protein L2 [[Clostridium] methylpentosum] 
gi|493396902|ref|WP_006353017.1|	50S ribosomal protein L23 [[Clostridium] methylpentosum] 
gi|493396903|ref|WP_006353018.1|	50S ribosomal protein L4 [[Clostridium] methylpentosum] 
gi|493396904|ref|WP_006353019.1|	50S ribosomal protein L3 [[Clostridium] methylpentosum] 
gi|493396905|ref|WP_006353020.1|	30S ribosomal protein S10 [[Clostridium] methylpentosum] 
gi|493396906|ref|WP_006353021.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396907|ref|WP_006353022.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396908|ref|WP_006353023.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396909|ref|WP_006353024.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396910|ref|WP_006353025.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396911|ref|WP_006353026.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396912|ref|WP_006353027.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396913|ref|WP_006353028.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396914|ref|WP_006353029.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396915|ref|WP_006353030.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396916|ref|WP_006353031.1|	Mg chelatase [[Clostridium] methylpentosum] 
gi|493396917|ref|WP_006353032.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396918|ref|WP_006353033.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396919|ref|WP_006353034.1|	transposase [[Clostridium] methylpentosum] 
gi|493396920|ref|WP_006353035.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396921|ref|WP_006353036.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396922|ref|WP_006353037.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493396923|ref|WP_006353038.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396924|ref|WP_006353039.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396925|ref|WP_006353040.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396926|ref|WP_006353041.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396927|ref|WP_006353042.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396928|ref|WP_006353043.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493396929|ref|WP_006353044.1|	peptidase [[Clostridium] methylpentosum] 
gi|493396930|ref|WP_006353045.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396931|ref|WP_006353046.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396932|ref|WP_006353047.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396933|ref|WP_006353048.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396934|ref|WP_006353049.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396935|ref|WP_006353050.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396936|ref|WP_006353051.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396937|ref|WP_006353052.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396938|ref|WP_006353053.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396939|ref|WP_006353054.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396940|ref|WP_006353055.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396941|ref|WP_006353056.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396942|ref|WP_006353057.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396943|ref|WP_006353058.1|	transporter [[Clostridium] methylpentosum] 
gi|493396944|ref|WP_006353059.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493396945|ref|WP_006353060.1|	ketoacyl reductase [[Clostridium] methylpentosum] 
gi|493396946|ref|WP_006353061.1|	elongation factor G [[Clostridium] methylpentosum] 
gi|493396947|ref|WP_006353062.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396948|ref|WP_006353063.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396949|ref|WP_006353064.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396950|ref|WP_006353065.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396951|ref|WP_006353066.1|	ribonuclease M5 [[Clostridium] methylpentosum] 
gi|493396952|ref|WP_006353067.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396953|ref|WP_006353068.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396954|ref|WP_006353069.1|	restriction-modification system control element Bcll [[Clostridium] methylpentosum] 
gi|493396955|ref|WP_006353070.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396956|ref|WP_006353071.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396957|ref|WP_006353072.1|	diaminopimelate aminotransferase [[Clostridium] methylpentosum] 
gi|493396958|ref|WP_006353073.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396959|ref|WP_006353074.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396960|ref|WP_006353075.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396961|ref|WP_006353076.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396962|ref|WP_006353077.1|	transposase [[Clostridium] methylpentosum] 
gi|493396963|ref|WP_006353078.1|	transposase [[Clostridium] methylpentosum] 
gi|493396964|ref|WP_006353079.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396965|ref|WP_006353080.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396966|ref|WP_006353081.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396967|ref|WP_006353082.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396968|ref|WP_006353083.1|	molecular chaperone DnaJ [[Clostridium] methylpentosum] 
gi|493396969|ref|WP_006353084.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396970|ref|WP_006353085.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396971|ref|WP_006353086.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396972|ref|WP_006353087.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396973|ref|WP_006353088.1|	pyruvate kinase [[Clostridium] methylpentosum] 
gi|493396974|ref|WP_006353089.1|	spermidine/putrescine ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493396975|ref|WP_006353090.1|	sulfonate ABC transporter permease [[Clostridium] methylpentosum] 
gi|493396976|ref|WP_006353091.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396977|ref|WP_006353092.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396978|ref|WP_006353093.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396979|ref|WP_006353094.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396980|ref|WP_006353095.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396981|ref|WP_006353096.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396982|ref|WP_006353097.1|	phosphoribosylamine--glycine ligase [[Clostridium] methylpentosum] 
gi|493396983|ref|WP_006353098.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [[Clostridium] methylpentosum] 
gi|493396984|ref|WP_006353099.1|	inosine monophosphate cyclohydrolase [[Clostridium] methylpentosum] 
gi|493396985|ref|WP_006353100.1|	phosphoribosylglycinamide formyltransferase [[Clostridium] methylpentosum] 
gi|493396986|ref|WP_006353101.1|	phosphoribosylaminoimidazole synthetase [[Clostridium] methylpentosum] 
gi|493396987|ref|WP_006353102.1|	amidophosphoribosyltransferase [[Clostridium] methylpentosum] 
gi|493396988|ref|WP_006353103.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [[Clostridium] methylpentosum] 
gi|493396989|ref|WP_006353104.1|	N5-carboxyaminoimidazole ribonucleotide mutase [[Clostridium] methylpentosum] 
gi|493396990|ref|WP_006353105.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396991|ref|WP_006353106.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396992|ref|WP_006353107.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396993|ref|WP_006353108.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396994|ref|WP_006353109.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396995|ref|WP_006353110.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396996|ref|WP_006353111.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493396997|ref|WP_006353112.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493396998|ref|WP_006353113.1|	plasmid stabilization protein [[Clostridium] methylpentosum] 
gi|493396999|ref|WP_006353114.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397000|ref|WP_006353115.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397001|ref|WP_006353116.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397002|ref|WP_006353117.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397003|ref|WP_006353118.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397004|ref|WP_006353119.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397005|ref|WP_006353120.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397006|ref|WP_006353121.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397007|ref|WP_006353122.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397008|ref|WP_006353123.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397009|ref|WP_006353124.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397010|ref|WP_006353125.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397011|ref|WP_006353126.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397012|ref|WP_006353127.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397013|ref|WP_006353128.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397014|ref|WP_006353129.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397015|ref|WP_006353130.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397016|ref|WP_006353131.1|	O-sialoglycoprotein endopeptidase [[Clostridium] methylpentosum] 
gi|493397017|ref|WP_006353132.1|	DNA glycosylase [[Clostridium] methylpentosum] 
gi|493397018|ref|WP_006353133.1|	enolase [[Clostridium] methylpentosum] 
gi|493397019|ref|WP_006353134.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397020|ref|WP_006353135.1|	hypothetical protein [[Clostridium] methylpentosum] 
