gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770814|ref|WP_006719346.1|	hypothetical protein [Collinsella stercoris] 
gi|493770816|ref|WP_006719348.1|	hypothetical protein [Collinsella stercoris] 
gi|493770818|ref|WP_006719350.1|	hypothetical protein [Collinsella stercoris] 
gi|493770820|ref|WP_006719352.1|	hypothetical protein [Collinsella stercoris] 
gi|493770822|ref|WP_006719354.1|	hypothetical protein [Collinsella stercoris] 
gi|493770825|ref|WP_006719357.1|	DNA glycosylase [Collinsella stercoris] 
gi|493770826|ref|WP_006719358.1|	hypothetical protein [Collinsella stercoris] 
gi|493770828|ref|WP_006719360.1|	hypothetical protein [Collinsella stercoris] 
gi|493770831|ref|WP_006719363.1|	hypothetical protein [Collinsella stercoris] 
gi|493770833|ref|WP_006719365.1|	hypothetical protein [Collinsella stercoris] 
gi|493770835|ref|WP_006719367.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770837|ref|WP_006719369.1|	hypothetical protein [Collinsella stercoris] 
gi|493770840|ref|WP_006719372.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770841|ref|WP_006719373.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770843|ref|WP_006719375.1|	phenylalanyl-tRNA synthetase subunit beta [Collinsella stercoris] 
gi|493770845|ref|WP_006719377.1|	hypothetical protein [Collinsella stercoris] 
gi|493770848|ref|WP_006719380.1|	hypothetical protein [Collinsella stercoris] 
gi|493770849|ref|WP_006719381.1|	hypothetical protein [Collinsella stercoris] 
gi|493770852|ref|WP_006719383.1|	hypothetical protein [Collinsella stercoris] 
gi|493770854|ref|WP_006719385.1|	pyruvate kinase [Collinsella stercoris] 
gi|493770855|ref|WP_006719386.1|	ATPase [Collinsella stercoris] 
gi|493770858|ref|WP_006719389.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770860|ref|WP_006719391.1|	hypothetical protein [Collinsella stercoris] 
gi|493770862|ref|WP_006719393.1|	hypothetical protein [Collinsella stercoris] 
gi|493770864|ref|WP_006719395.1|	hypothetical protein [Collinsella stercoris] 
gi|493770866|ref|WP_006719397.1|	pilus assembly protein CpaB [Collinsella stercoris] 
gi|493770868|ref|WP_006719399.1|	hypothetical protein [Collinsella stercoris] 
gi|493770870|ref|WP_006719401.1|	type II secretion system protein E [Collinsella stercoris] 
gi|493770871|ref|WP_006719402.1|	hypothetical protein [Collinsella stercoris] 
gi|493770874|ref|WP_006719405.1|	hypothetical protein [Collinsella stercoris] 
gi|493770875|ref|WP_006719406.1|	hypothetical protein [Collinsella stercoris] 
gi|493770877|ref|WP_006719408.1|	hypothetical protein [Collinsella stercoris] 
gi|493770880|ref|WP_006719411.1|	hypothetical protein [Collinsella stercoris] 
gi|493770882|ref|WP_006719413.1|	pilus biosynthesis protein TadE [Collinsella stercoris] 
gi|493770883|ref|WP_006719414.1|	hypothetical protein [Collinsella stercoris] 
gi|493770885|ref|WP_006719416.1|	hypothetical protein [Collinsella stercoris] 
gi|493770886|ref|WP_006719417.1|	hypothetical protein [Collinsella stercoris] 
gi|493770889|ref|WP_006719420.1|	hypothetical protein [Collinsella stercoris] 
gi|493770891|ref|WP_006719422.1|	uroporphyrin-III methyltransferase [Collinsella stercoris] 
gi|493770893|ref|WP_006719424.1|	hypothetical protein [Collinsella stercoris] 
gi|493770895|ref|WP_006719426.1|	methionyl-tRNA synthetase [Collinsella stercoris] 
gi|493770898|ref|WP_006719429.1|	hypothetical protein [Collinsella stercoris] 
gi|493770900|ref|WP_006719431.1|	hypothetical protein [Collinsella stercoris] 
gi|493770903|ref|WP_006719434.1|	dimethyladenosine transferase [Collinsella stercoris] 
gi|493770905|ref|WP_006719436.1|	hypothetical protein [Collinsella stercoris] 
gi|493770906|ref|WP_006719437.1|	hypothetical protein [Collinsella stercoris] 
gi|493770908|ref|WP_006719439.1|	hypothetical protein [Collinsella stercoris] 
gi|493770910|ref|WP_006719441.1|	hypothetical protein [Collinsella stercoris] 
gi|493770912|ref|WP_006719443.1|	hypothetical protein [Collinsella stercoris] 
gi|493770914|ref|WP_006719445.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770916|ref|WP_006719447.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770918|ref|WP_006719449.1|	glutamine ABC transporter permease [Collinsella stercoris] 
gi|493770921|ref|WP_006719452.1|	amino acid ABC transporter permease [Collinsella stercoris] 
gi|493770922|ref|WP_006719453.1|	hypothetical protein [Collinsella stercoris] 
gi|493770924|ref|WP_006719455.1|	hypothetical protein [Collinsella stercoris] 
gi|493770926|ref|WP_006719457.1|	hypothetical protein [Collinsella stercoris] 
gi|493770928|ref|WP_006719459.1|	heat shock protein Hsp20 [Collinsella stercoris] 
gi|493770930|ref|WP_006719461.1|	hypothetical protein [Collinsella stercoris] 
gi|493770932|ref|WP_006719463.1|	MFS transporter [Collinsella stercoris] 
gi|493770934|ref|WP_006719465.1|	hypothetical protein [Collinsella stercoris] 
gi|493770936|ref|WP_006719467.1|	hypothetical protein [Collinsella stercoris] 
gi|493770938|ref|WP_006719469.1|	hypothetical protein [Collinsella stercoris] 
gi|493770940|ref|WP_006719471.1|	hypothetical protein [Collinsella stercoris] 
gi|493770942|ref|WP_006719473.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770952|ref|WP_006719483.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770957|ref|WP_006719488.1|	hypoxanthine phosphoribosyltransferase [Collinsella stercoris] 
gi|493770958|ref|WP_006719489.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770959|ref|WP_006719490.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493770961|ref|WP_006719491.1|	hypothetical protein [Collinsella stercoris] 
gi|493770975|ref|WP_006719505.1|	hypothetical protein [Collinsella stercoris] 
gi|493770986|ref|WP_006719516.1|	aspartate aminotransferase [Collinsella stercoris] 
gi|493770996|ref|WP_006719526.1|	hypothetical protein [Collinsella stercoris] 
gi|493770998|ref|WP_006719528.1|	phosphoesterase [Collinsella stercoris] 
gi|493770999|ref|WP_006719529.1|	hypothetical protein [Collinsella stercoris] 
gi|493771000|ref|WP_006719530.1|	hypothetical protein [Collinsella stercoris] 
gi|493771014|ref|WP_006719543.1|	hypothetical protein [Collinsella stercoris] 
gi|493771015|ref|WP_006719544.1|	23S rRNA methyltransferase [Collinsella stercoris] 
gi|493771018|ref|WP_006719546.1|	hypothetical protein [Collinsella stercoris] 
gi|493771019|ref|WP_006719547.1|	ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493771055|ref|WP_006719582.1|	hypothetical protein [Collinsella stercoris] 
gi|493771056|ref|WP_006719583.1|	polar amino acid ABC transporter permease [Collinsella stercoris] 
gi|493771057|ref|WP_006719584.1|	arginine ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771058|ref|WP_006719585.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771059|ref|WP_006719586.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771060|ref|WP_006719587.1|	GTP-binding protein [Collinsella stercoris] 
gi|493771061|ref|WP_006719588.1|	phosphate ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771062|ref|WP_006719589.1|	ArsR family transcriptional regulator [Collinsella stercoris] 
gi|493771063|ref|WP_006719590.1|	hypothetical protein [Collinsella stercoris] 
gi|493771064|ref|WP_006719591.1|	hypothetical protein [Collinsella stercoris] 
gi|493771065|ref|WP_006719592.1|	transaldolase [Collinsella stercoris] 
gi|493771066|ref|WP_006719593.1|	transketolase [Collinsella stercoris] 
gi|493771067|ref|WP_006719594.1|	transketolase [Collinsella stercoris] 
gi|493771068|ref|WP_006719595.1|	hypothetical protein [Collinsella stercoris] 
gi|493771069|ref|WP_006719596.1|	hypothetical protein [Collinsella stercoris] 
gi|493771070|ref|WP_006719597.1|	hypothetical protein [Collinsella stercoris] 
gi|493771071|ref|WP_006719598.1|	heat shock protein 90 [Collinsella stercoris] 
gi|493771072|ref|WP_006719599.1|	hypothetical protein [Collinsella stercoris] 
gi|493771073|ref|WP_006719600.1|	hypothetical protein [Collinsella stercoris] 
gi|493771074|ref|WP_006719601.1|	hypothetical protein [Collinsella stercoris] 
gi|493771075|ref|WP_006719602.1|	hypothetical protein [Collinsella stercoris] 
gi|493771076|ref|WP_006719603.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771077|ref|WP_006719604.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771078|ref|WP_006719605.1|	transcriptional regulator [Collinsella stercoris] 
gi|493771079|ref|WP_006719606.1|	hypothetical protein [Collinsella stercoris] 
gi|493771080|ref|WP_006719607.1|	hypothetical protein [Collinsella stercoris] 
gi|493771081|ref|WP_006719608.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771082|ref|WP_006719609.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771083|ref|WP_006719610.1|	hypothetical protein [Collinsella stercoris] 
gi|493771084|ref|WP_006719611.1|	nitrogen fixation protein NifU [Collinsella stercoris] 
gi|493771085|ref|WP_006719612.1|	prolipoprotein diacylglyceryl transferase [Collinsella stercoris] 
gi|493771086|ref|WP_006719613.1|	transcriptional regulator [Collinsella stercoris] 
gi|493771087|ref|WP_006719614.1|	hypothetical protein [Collinsella stercoris] 
gi|493771088|ref|WP_006719615.1|	hypothetical protein [Collinsella stercoris] 
gi|493771089|ref|WP_006719616.1|	hypothetical protein [Collinsella stercoris] 
gi|493771095|ref|WP_006719622.1|	hypothetical protein [Collinsella stercoris] 
gi|493771098|ref|WP_006719625.1|	hypothetical protein [Collinsella stercoris] 
gi|493771101|ref|WP_006719628.1|	hypothetical protein [Collinsella stercoris] 
gi|493771104|ref|WP_006719630.1|	hypothetical protein [Collinsella stercoris] 
gi|493771106|ref|WP_006719632.1|	ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771108|ref|WP_006719634.1|	methionine ABC transporter permease [Collinsella stercoris] 
gi|493771110|ref|WP_006719636.1|	ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493771113|ref|WP_006719639.1|	membrane protein [Collinsella stercoris] 
gi|493771114|ref|WP_006719640.1|	transposase [Collinsella stercoris] 
gi|493771117|ref|WP_006719643.1|	GTP-binding protein [Collinsella stercoris] 
gi|493771119|ref|WP_006719645.1|	hypothetical protein [Collinsella stercoris] 
gi|493771121|ref|WP_006719647.1|	hypothetical protein [Collinsella stercoris] 
gi|493771123|ref|WP_006719649.1|	molybdenum cofactor biosynthesis protein MoeA [Collinsella stercoris] 
gi|493771125|ref|WP_006719651.1|	hypothetical protein [Collinsella stercoris] 
gi|493771127|ref|WP_006719653.1|	hypothetical protein [Collinsella stercoris] 
gi|493771130|ref|WP_006719656.1|	ATPase AAA [Collinsella stercoris] 
gi|493771132|ref|WP_006719658.1|	RpiR family transcriptional regulator [Collinsella stercoris] 
gi|493771134|ref|WP_006719660.1|	hypothetical protein [Collinsella stercoris] 
gi|493771135|ref|WP_006719661.1|	fucose isomerase [Collinsella stercoris] 
gi|493771137|ref|WP_006719663.1|	transketolase [Collinsella stercoris] 
gi|493771139|ref|WP_006719665.1|	transketolase [Collinsella stercoris] 
gi|493771141|ref|WP_006719667.1|	carbohydrate kinase [Collinsella stercoris] 
gi|493771144|ref|WP_006719670.1|	S-ribosylhomocysteinase [Collinsella stercoris] 
gi|493771145|ref|WP_006719671.1|	hypothetical protein [Collinsella stercoris] 
gi|493771146|ref|WP_006719672.1|	beta-glucosidase [Collinsella stercoris] 
gi|493771147|ref|WP_006719673.1|	hypothetical protein [Collinsella stercoris] 
gi|493771148|ref|WP_006719674.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493771149|ref|WP_006719675.1|	hypothetical protein [Collinsella stercoris] 
gi|493771150|ref|WP_006719676.1|	hypothetical protein [Collinsella stercoris] 
gi|493771151|ref|WP_006719677.1|	hypothetical protein [Collinsella stercoris] 
gi|493771152|ref|WP_006719678.1|	hypothetical protein [Collinsella stercoris] 
gi|493771154|ref|WP_006719680.1|	hypothetical protein [Collinsella stercoris] 
gi|493771156|ref|WP_006719682.1|	hypothetical protein [Collinsella stercoris] 
gi|493771158|ref|WP_006719684.1|	hypothetical protein [Collinsella stercoris] 
gi|493771160|ref|WP_006719686.1|	hypothetical protein [Collinsella stercoris] 
gi|493771162|ref|WP_006719688.1|	hypothetical protein [Collinsella stercoris] 
gi|493771164|ref|WP_006719690.1|	transporter [Collinsella stercoris] 
gi|493771166|ref|WP_006719692.1|	hypothetical protein [Collinsella stercoris] 
gi|493771167|ref|WP_006719693.1|	ROK family transcriptional regulator [Collinsella stercoris] 
gi|493771169|ref|WP_006719695.1|	hypothetical protein [Collinsella stercoris] 
gi|493771170|ref|WP_006719696.1|	LacI family transcriptional regulator [Collinsella stercoris] 
gi|493771172|ref|WP_006719698.1|	phosphoketolase [Collinsella stercoris] 
gi|493771173|ref|WP_006719699.1|	universal stress protein UspA [Collinsella stercoris] 
gi|493771175|ref|WP_006719701.1|	UDP-diphosphatase [Collinsella stercoris] 
gi|493771177|ref|WP_006719703.1|	hypothetical protein [Collinsella stercoris] 
gi|493771179|ref|WP_006719705.1|	ArsC family transcriptional regulator [Collinsella stercoris] 
gi|493771181|ref|WP_006719707.1|	hypothetical protein [Collinsella stercoris] 
gi|493771182|ref|WP_006719708.1|	hypothetical protein [Collinsella stercoris] 
gi|493771185|ref|WP_006719711.1|	hypothetical protein [Collinsella stercoris] 
gi|493771187|ref|WP_006719713.1|	phosphopentomutase [Collinsella stercoris] 
gi|493771189|ref|WP_006719715.1|	deoxyribose-phosphate aldolase [Collinsella stercoris] 
gi|493771192|ref|WP_006719718.1|	pyrimidine-nucleoside phosphorylase [Collinsella stercoris] 
gi|493771194|ref|WP_006719720.1|	cytidine deaminase [Collinsella stercoris] 
gi|493771196|ref|WP_006719722.1|	branched-chain amino acid ABC transporter permease [Collinsella stercoris] 
gi|493771198|ref|WP_006719724.1|	ABC transporter permease [Collinsella stercoris] 
gi|493771201|ref|WP_006719727.1|	heme ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771203|ref|WP_006719729.1|	membrane protein [Collinsella stercoris] 
gi|493771205|ref|WP_006719731.1|	purine nucleoside phosphorylase [Collinsella stercoris] 
gi|493771207|ref|WP_006719733.1|	hypothetical protein [Collinsella stercoris] 
gi|493771209|ref|WP_006719735.1|	ABC transporter [Collinsella stercoris] 
gi|493771211|ref|WP_006719737.1|	formate acetyltransferase [Collinsella stercoris] 
gi|493771213|ref|WP_006719739.1|	hypothetical protein [Collinsella stercoris] 
gi|493771215|ref|WP_006719741.1|	hypothetical protein [Collinsella stercoris] 
gi|493771217|ref|WP_006719743.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771219|ref|WP_006719745.1|	hypothetical protein [Collinsella stercoris] 
gi|493771222|ref|WP_006719748.1|	hypothetical protein [Collinsella stercoris] 
gi|493771223|ref|WP_006719749.1|	hypothetical protein [Collinsella stercoris] 
gi|493771225|ref|WP_006719751.1|	hypothetical protein [Collinsella stercoris] 
gi|493771227|ref|WP_006719753.1|	pyruvate formate lyase-activating protein [Collinsella stercoris] 
gi|493771229|ref|WP_006719755.1|	hypothetical protein [Collinsella stercoris] 
gi|493771231|ref|WP_006719757.1|	hypothetical protein [Collinsella stercoris] 
gi|493771234|ref|WP_006719759.1|	hypothetical protein [Collinsella stercoris] 
gi|493771236|ref|WP_006719761.1|	hypothetical protein [Collinsella stercoris] 
gi|493771238|ref|WP_006719763.1|	PTS lactose transporter subunit IIA [Collinsella stercoris] 
gi|493771240|ref|WP_006719765.1|	PTS lactose transporter subunit IIB [Collinsella stercoris] 
gi|493771242|ref|WP_006719767.1|	hypothetical protein [Collinsella stercoris] 
gi|493771244|ref|WP_006719769.1|	PTS cellobiose transporter subunit IIC [Collinsella stercoris] 
gi|493771246|ref|WP_006719771.1|	6-phospho-beta-glucosidase [Collinsella stercoris] 
gi|493771248|ref|WP_006719773.1|	hypothetical protein [Collinsella stercoris] 
gi|493771249|ref|WP_006719774.1|	hypothetical protein [Collinsella stercoris] 
gi|493771251|ref|WP_006719776.1|	aldo/keto reductase [Collinsella stercoris] 
gi|493771253|ref|WP_006719778.1|	prevent-host-death protein [Collinsella stercoris] 
gi|493771255|ref|WP_006719780.1|	hypothetical protein [Collinsella stercoris] 
gi|493771258|ref|WP_006719783.1|	homoserine kinase [Collinsella stercoris] 
gi|493771260|ref|WP_006719785.1|	hypothetical protein [Collinsella stercoris] 
gi|493771261|ref|WP_006719786.1|	hypothetical protein [Collinsella stercoris] 
gi|493771263|ref|WP_006719788.1|	threonine synthase [Collinsella stercoris] 
gi|493771265|ref|WP_006719790.1|	aspartate kinase [Collinsella stercoris] 
gi|493771268|ref|WP_006719793.1|	aspartate-semialdehyde dehydrogenase [Collinsella stercoris] 
gi|493771270|ref|WP_006719795.1|	hypothetical protein [Collinsella stercoris] 
gi|493771272|ref|WP_006719797.1|	hypothetical protein [Collinsella stercoris] 
gi|493771275|ref|WP_006719800.1|	hypothetical protein [Collinsella stercoris] 
gi|493771277|ref|WP_006719802.1|	ATPase AAA [Collinsella stercoris] 
gi|493771279|ref|WP_006719804.1|	macrolide ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771281|ref|WP_006719806.1|	hypothetical protein [Collinsella stercoris] 
gi|493771284|ref|WP_006719809.1|	hypothetical protein [Collinsella stercoris] 
gi|493771286|ref|WP_006719811.1|	hypothetical protein [Collinsella stercoris] 
gi|493771289|ref|WP_006719814.1|	multidrug MFS transporter [Collinsella stercoris] 
gi|493771292|ref|WP_006719817.1|	hypothetical protein [Collinsella stercoris] 
gi|493771294|ref|WP_006719819.1|	hypothetical protein [Collinsella stercoris] 
gi|493771296|ref|WP_006719821.1|	ABC transporter substrate-binding protein [Collinsella stercoris] 
gi|493771298|ref|WP_006719823.1|	amino acid ABC transporter permease [Collinsella stercoris] 
gi|493771300|ref|WP_006719825.1|	amino acid ABC transporter permease [Collinsella stercoris] 
gi|493771302|ref|WP_006719827.1|	arginine ABC transporter ATP-binding protein [Collinsella stercoris] 
gi|493771304|ref|WP_006719829.1|	hypothetical protein [Collinsella stercoris] 
gi|493771306|ref|WP_006719831.1|	NADPH-dependent FMN reductase [Collinsella stercoris] 
gi|493771308|ref|WP_006719833.1|	hypothetical protein [Collinsella stercoris] 
gi|493771310|ref|WP_006719835.1|	hypothetical protein [Collinsella stercoris] 
gi|493771313|ref|WP_006719838.1|	hypothetical protein [Collinsella stercoris] 
gi|493771315|ref|WP_006719840.1|	hypothetical protein [Collinsella stercoris] 
gi|493771317|ref|WP_006719842.1|	tRNA synthetase subunit beta [Collinsella stercoris] 
gi|493771319|ref|WP_006719844.1|	hypothetical protein [Collinsella stercoris] 
gi|493771322|ref|WP_006719847.1|	hypothetical protein [Collinsella stercoris] 
gi|493771324|ref|WP_006719849.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771325|ref|WP_006719850.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771327|ref|WP_006719852.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella stercoris] 
gi|493771330|ref|WP_006719855.1|	aminopeptidase [Collinsella stercoris] 
gi|493771332|ref|WP_006719857.1|	formylmethionine deformylase [Collinsella stercoris] 
gi|493771334|ref|WP_006719859.1|	hypothetical protein [Collinsella stercoris] 
gi|493771336|ref|WP_006719861.1|	hypothetical protein [Collinsella stercoris] 
gi|493771339|ref|WP_006719864.1|	hypothetical protein [Collinsella stercoris] 
gi|493771341|ref|WP_006719866.1|	hypothetical protein [Collinsella stercoris] 
gi|493771343|ref|WP_006719868.1|	amidohydrolase [Collinsella stercoris] 
gi|493771344|ref|WP_006719869.1|	hypothetical protein [Collinsella stercoris] 
gi|493771345|ref|WP_006719870.1|	beta-galactosidase [Collinsella stercoris] 
gi|493771346|ref|WP_006719871.1|	PTS mannose transporter subunit IIAB [Collinsella stercoris] 
gi|493771348|ref|WP_006719873.1|	PTS fructose transporter subunit IIC [Collinsella stercoris] 
gi|493771350|ref|WP_006719875.1|	PTS fructose transporter subunit IID [Collinsella stercoris] 
gi|493771352|ref|WP_006719877.1|	hypothetical protein [Collinsella stercoris] 
gi|493771354|ref|WP_006719879.1|	hypothetical protein [Collinsella stercoris] 
gi|493771356|ref|WP_006719881.1|	hypothetical protein [Collinsella stercoris] 
gi|493771358|ref|WP_006719883.1|	PTS fructose transporter subunit IIA [Collinsella stercoris] 
gi|493771361|ref|WP_006719886.1|	GntR family transcriptional regulator [Collinsella stercoris] 
gi|493771363|ref|WP_006719888.1|	tagatose-6-phosphate ketose [Collinsella stercoris] 
gi|493771365|ref|WP_006719890.1|	hypothetical protein [Collinsella stercoris] 
gi|493771367|ref|WP_006719892.1|	N-acetylglucosamine-6-phosphate deacetylase [Collinsella stercoris] 
gi|493771369|ref|WP_006719894.1|	galactose-1-phosphate uridylyltransferase [Collinsella stercoris] 
gi|493771371|ref|WP_006719896.1|	galactokinase [Collinsella stercoris] 
gi|493771374|ref|WP_006719899.1|	aldose epimerase [Collinsella stercoris] 
gi|493771375|ref|WP_006719900.1|	LacI family transcriptional regulator [Collinsella stercoris] 
gi|493771376|ref|WP_006719901.1|	hypothetical protein [Collinsella stercoris] 
gi|493771378|ref|WP_006719903.1|	6-phospho-beta-galactosidase [Collinsella stercoris] 
gi|493771381|ref|WP_006719906.1|	PTS lactose transporter subunit IIC [Collinsella stercoris] 
gi|493771383|ref|WP_006719908.1|	hypothetical protein [Collinsella stercoris] 
gi|493771385|ref|WP_006719910.1|	hypothetical protein [Collinsella stercoris] 
gi|493771387|ref|WP_006719912.1|	hypothetical protein [Collinsella stercoris] 
gi|493771390|ref|WP_006719915.1|	hypothetical protein [Collinsella stercoris] 
gi|493771392|ref|WP_006719917.1|	hypothetical protein [Collinsella stercoris] 
gi|493771394|ref|WP_006719919.1|	hypothetical protein [Collinsella stercoris] 
gi|493771397|ref|WP_006719922.1|	hypothetical protein [Collinsella stercoris] 
gi|493771399|ref|WP_006719924.1|	hypothetical protein [Collinsella stercoris] 
gi|493771401|ref|WP_006719926.1|	hypothetical protein [Collinsella stercoris] 
gi|493771403|ref|WP_006719928.1|	PTS sugar transporter [Collinsella stercoris] 
gi|493771405|ref|WP_006719930.1|	PTS sorbose transporter subunit IIC [Collinsella stercoris] 
gi|493771407|ref|WP_006719932.1|	PTS mannose transporter subunit IID [Collinsella stercoris] 
gi|493771410|ref|WP_006719935.1|	hypothetical protein [Collinsella stercoris] 
gi|493771412|ref|WP_006719937.1|	arylsulfatase [Collinsella stercoris] 
gi|493771414|ref|WP_006719939.1|	hypothetical protein [Collinsella stercoris] 
gi|493771416|ref|WP_006719941.1|	hypothetical protein [Collinsella stercoris] 
gi|493771418|ref|WP_006719943.1|	6-phospho-beta-galactosidase [Collinsella stercoris] 
gi|493771420|ref|WP_006719945.1|	galactose-6-phosphate isomerase [Collinsella stercoris] 
gi|493771422|ref|WP_006719947.1|	galactose-6-phosphate isomerase [Collinsella stercoris] 
gi|493771424|ref|WP_006719949.1|	hypothetical protein [Collinsella stercoris] 
gi|493771426|ref|WP_006719951.1|	hypothetical protein [Collinsella stercoris] 
gi|493771428|ref|WP_006719953.1|	hypothetical protein [Collinsella stercoris] 
gi|493771429|ref|WP_006719954.1|	hypothetical protein [Collinsella stercoris] 
gi|493771432|ref|WP_006719957.1|	DeoR family transcriptional regulator [Collinsella stercoris] 
gi|493771434|ref|WP_006719959.1|	fructose-bisphosphate aldolase [Collinsella stercoris] 
gi|493771436|ref|WP_006719961.1|	hypothetical protein [Collinsella stercoris] 
gi|493771438|ref|WP_006719963.1|	ROK family transcriptional regulator [Collinsella stercoris] 
gi|493771440|ref|WP_006719965.1|	hypothetical protein [Collinsella stercoris] 
gi|493771442|ref|WP_006719967.1|	hypothetical protein [Collinsella stercoris] 
gi|493771444|ref|WP_006719969.1|	aminotransferase [Collinsella stercoris] 
gi|493771445|ref|WP_006719970.1|	hypothetical protein [Collinsella stercoris] 
gi|493771447|ref|WP_006719972.1|	anti-sigma factor antagonist [Collinsella stercoris] 
gi|493771449|ref|WP_006719974.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771451|ref|WP_006719975.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771452|ref|WP_006719976.1|	preprotein translocase subunit TatC [Collinsella stercoris] 
gi|493771453|ref|WP_006719977.1|	hydrogenase nickel incorporation protein HypA [Collinsella stercoris] 
gi|493771454|ref|WP_006719978.1|	hydantoin utilization protein A [Collinsella stercoris] 
gi|493771456|ref|WP_006719980.1|	hypothetical protein [Collinsella stercoris] 
gi|493771458|ref|WP_006719982.1|	DNA topoisomerase [Collinsella stercoris] 
gi|493771460|ref|WP_006719984.1|	integrase [Collinsella stercoris] 
gi|493771462|ref|WP_006719986.1|	hypothetical protein [Collinsella stercoris] 
gi|493771465|ref|WP_006719989.1|	hypothetical protein [Collinsella stercoris] 
gi|493771466|ref|WP_006719990.1|	hypothetical protein [Collinsella stercoris] 
gi|493771467|ref|WP_006719991.1|	hypothetical protein [Collinsella stercoris] 
gi|493771468|ref|WP_006719992.1|	hypothetical protein [Collinsella stercoris] 
gi|493771469|ref|WP_006719993.1|	hypothetical protein [Collinsella stercoris] 
gi|493771470|ref|WP_006719994.1|	thymidylate kinase [Collinsella stercoris] 
gi|493771471|ref|WP_006719995.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771472|ref|WP_006719996.1|	hypothetical protein partial [Collinsella stercoris] 
