gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490978356|ref|WP_004840119.1|	helicase [[Ruminococcus] gnavus] 
gi|490978357|ref|WP_004840120.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490978358|ref|WP_004840121.1|	MULTISPECIES: PadR family transcriptional regulator [Clostridiales] 
gi|490978359|ref|WP_004840122.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978360|ref|WP_004840123.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978361|ref|WP_004840124.1|	MULTISPECIES: phage-shock protein [Clostridiales] 
gi|490978362|ref|WP_004840125.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978363|ref|WP_004840126.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978364|ref|WP_004840127.1|	MULTISPECIES: ATPase [Lachnospiraceae] 
gi|490978365|ref|WP_004840128.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978366|ref|WP_004840129.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978367|ref|WP_004840130.1|	MULTISPECIES: CdaR family transcriptional regulator [Lachnospiraceae] 
gi|490978368|ref|WP_004840131.1|	cell division protein FtsE [[Ruminococcus] gnavus] 
gi|490978369|ref|WP_004840132.1|	cell division protein FtsX [[Ruminococcus] gnavus] 
gi|490978370|ref|WP_004840133.1|	MULTISPECIES: peptidase M23 [Lachnospiraceae] 
gi|490978371|ref|WP_004840134.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978372|ref|WP_004840135.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978373|ref|WP_004840136.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978374|ref|WP_004840137.1|	MULTISPECIES: GNAT family acetyltransferase [Lachnospiraceae] 
gi|490978375|ref|WP_004840138.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978376|ref|WP_004840139.1|	heat shock protein Hsp90 [[Ruminococcus] gnavus] 
gi|490978377|ref|WP_004840140.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978379|ref|WP_004840142.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978378|ref|WP_004840141.1|	MULTISPECIES: TetR family transcriptional regulator [Lachnospiraceae] 
gi|490978380|ref|WP_004840143.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978381|ref|WP_004840144.1|	phospholipase [[Ruminococcus] gnavus] 
gi|490978382|ref|WP_004840145.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978383|ref|WP_004840146.1|	MULTISPECIES: alginate regulatory protein [Lachnospiraceae] 
gi|490978384|ref|WP_004840147.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978385|ref|WP_004840148.1|	pseudouridylate synthase [[Ruminococcus] gnavus] 
gi|490978386|ref|WP_004840149.1|	MULTISPECIES: DNA ligase [Lachnospiraceae] 
gi|490978387|ref|WP_004840150.1|	ATPase AAA [[Ruminococcus] gnavus] 
gi|490978388|ref|WP_004840151.1|	sodium:proton antiporter [[Ruminococcus] gnavus] 
gi|490978389|ref|WP_004840152.1|	peptidase [[Ruminococcus] gnavus] 
gi|490978390|ref|WP_004840153.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978391|ref|WP_004840154.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978392|ref|WP_004840155.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978393|ref|WP_004840156.1|	zinc ribbon NADH pyrophosphatase [[Ruminococcus] gnavus] 
gi|490978394|ref|WP_004840157.1|	MULTISPECIES: hemerythrin [Clostridiales] 
gi|490978395|ref|WP_004840158.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978396|ref|WP_004840159.1|	MULTISPECIES: peptidase T [Clostridiales] 
gi|490978397|ref|WP_004840160.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|490978398|ref|WP_004840161.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490978399|ref|WP_004840162.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978401|ref|WP_004840164.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978400|ref|WP_004840163.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978402|ref|WP_004840165.1|	ATP-dependent Clp protease ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978403|ref|WP_004840166.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978404|ref|WP_004840167.1|	acyltransferase [[Ruminococcus] gnavus] 
gi|490978405|ref|WP_004840168.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978406|ref|WP_004840169.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978407|ref|WP_004840170.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978408|ref|WP_004840171.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978409|ref|WP_004840172.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978410|ref|WP_004840173.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978411|ref|WP_004840174.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978412|ref|WP_004840175.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978413|ref|WP_004840176.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978414|ref|WP_004840177.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978415|ref|WP_004840178.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978416|ref|WP_004840179.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978417|ref|WP_004840180.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978418|ref|WP_004840181.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978419|ref|WP_004840182.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978420|ref|WP_004840183.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978421|ref|WP_004840184.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978422|ref|WP_004840185.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978423|ref|WP_004840186.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978424|ref|WP_004840187.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978425|ref|WP_004840188.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978426|ref|WP_004840189.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978427|ref|WP_004840190.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978428|ref|WP_004840191.1|	nuclease [[Ruminococcus] gnavus] 
gi|490978429|ref|WP_004840192.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978430|ref|WP_004840193.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978431|ref|WP_004840194.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978432|ref|WP_004840195.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978433|ref|WP_004840196.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978434|ref|WP_004840197.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978435|ref|WP_004840198.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978436|ref|WP_004840199.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978437|ref|WP_004840200.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978438|ref|WP_004840201.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978439|ref|WP_004840202.1|	single-stranded DNA-binding protein [[Ruminococcus] gnavus] 
gi|490978440|ref|WP_004840203.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978441|ref|WP_004840204.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978442|ref|WP_004840205.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978443|ref|WP_004840206.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978444|ref|WP_004840207.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978445|ref|WP_004840208.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978446|ref|WP_004840209.1|	terminase [[Ruminococcus] gnavus] 
gi|490978447|ref|WP_004840210.1|	peptidyl-prolyl cis-trans isomerase [[Ruminococcus] gnavus] 
gi|490978448|ref|WP_004840211.1|	phage portal protein [[Ruminococcus] gnavus] 
gi|490978449|ref|WP_004840212.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978450|ref|WP_004840213.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978451|ref|WP_004840214.1|	DNA breaking-rejoining protein [[Ruminococcus] gnavus] 
gi|490978452|ref|WP_004840215.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978453|ref|WP_004840216.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978454|ref|WP_004840217.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978455|ref|WP_004840218.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978456|ref|WP_004840219.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978457|ref|WP_004840220.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978458|ref|WP_004840221.1|	phage tail protein [[Ruminococcus] gnavus] 
gi|490978459|ref|WP_004840222.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978460|ref|WP_004840223.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978461|ref|WP_004840224.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978462|ref|WP_004840225.1|	phage tail protein [[Ruminococcus] gnavus] 
gi|490978463|ref|WP_004840226.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978464|ref|WP_004840227.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978465|ref|WP_004840228.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978466|ref|WP_004840229.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978467|ref|WP_004840230.1|	phage tail protein [[Ruminococcus] gnavus] 
gi|490978468|ref|WP_004840231.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978469|ref|WP_004840232.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978470|ref|WP_004840233.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978471|ref|WP_004840234.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978472|ref|WP_004840235.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978473|ref|WP_004840236.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978474|ref|WP_004840237.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978475|ref|WP_004840238.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978476|ref|WP_004840239.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978477|ref|WP_004840240.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978478|ref|WP_004840241.1|	cell division protein FtsX [[Ruminococcus] gnavus] 
gi|490978479|ref|WP_004840242.1|	MULTISPECIES: stage III sporulation protein AA [Lachnospiraceae] 
gi|490978480|ref|WP_004840243.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978481|ref|WP_004840244.1|	MULTISPECIES: stage III sporulation protein AC [Clostridiales] 
gi|490978482|ref|WP_004840245.1|	stage III sporulation protein AD [[Ruminococcus] gnavus] 
gi|490978483|ref|WP_004840246.1|	stage III sporulation protein AF [[Ruminococcus] gnavus] 
gi|490978484|ref|WP_004840247.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978485|ref|WP_004840248.1|	stage III sporulation protein AG [[Ruminococcus] gnavus] 
gi|490978486|ref|WP_004840249.1|	MULTISPECIES: stage III sporulation protein AH [Clostridiales] 
gi|490978487|ref|WP_004840250.1|	peptide chain release factor 3 [[Ruminococcus] gnavus] 
gi|490978488|ref|WP_004840251.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978490|ref|WP_004840253.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978489|ref|WP_004840252.1|	transcription antitermination protein NusB [[Ruminococcus] gnavus] 
gi|490978491|ref|WP_004840254.1|	exodeoxyribonuclease VII [[Ruminococcus] gnavus] 
gi|490978492|ref|WP_004840255.1|	exodeoxyribonuclease VII [[Ruminococcus] gnavus] 
gi|490978493|ref|WP_004840256.1|	farnesyl-diphosphate synthase [[Ruminococcus] gnavus] 
gi|490978494|ref|WP_004840257.1|	1-deoxy-D-xylulose-5-phosphate synthase [[Ruminococcus] gnavus] 
gi|490978495|ref|WP_004840258.1|	MULTISPECIES: RNA methyltransferase [Lachnospiraceae] 
gi|490978496|ref|WP_004840259.1|	MULTISPECIES: inorganic polyphosphate/ATP-NAD kinase [Clostridiales] 
gi|490978497|ref|WP_004840260.1|	MULTISPECIES: arginine repressor ArgR [Clostridiales] 
gi|490978498|ref|WP_004840261.1|	DNA repair protein RecN [[Ruminococcus] gnavus] 
gi|490978499|ref|WP_004840262.1|	stage IV sporulation protein B [[Ruminococcus] gnavus] 
gi|490978500|ref|WP_004840263.1|	MULTISPECIES: sporulation protein [Clostridiales] 
gi|490978501|ref|WP_004840264.1|	glycogen synthase [[Ruminococcus] gnavus] 
gi|490978502|ref|WP_004840265.1|	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Clostridiales] 
gi|490978503|ref|WP_004840266.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978504|ref|WP_004840267.1|	homocysteine methyltransferase [[Ruminococcus] gnavus] 
gi|490978505|ref|WP_004840268.1|	iron hydrogenase [[Ruminococcus] gnavus] 
gi|490978506|ref|WP_004840269.1|	alanyl-tRNA synthase [[Ruminococcus] gnavus] 
gi|490155554|ref|WP_004054229.1|	MULTISPECIES: 30S ribosomal protein S21 [Bacteria] 
gi|490978507|ref|WP_004840270.1|	MULTISPECIES: glutamate dehydrogenase [Clostridiales] 
gi|490978508|ref|WP_004840271.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978509|ref|WP_004840272.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978511|ref|WP_004840274.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978513|ref|WP_004840276.1|	MULTISPECIES: PadR family transcriptional regulator [Lachnospiraceae] 
gi|490978515|ref|WP_004840278.1|	serine dehydratase [[Ruminococcus] gnavus] 
gi|490978516|ref|WP_004840279.1|	MULTISPECIES: serine dehydratase [Lachnospiraceae] 
gi|490978518|ref|WP_004840281.1|	ATPase [[Ruminococcus] gnavus] 
gi|490978520|ref|WP_004840283.1|	MULTISPECIES: glutamine amidotransferase [Clostridiales] 
gi|490978521|ref|WP_004840284.1|	MULTISPECIES: ligase [Lachnospiraceae] 
gi|490978523|ref|WP_004840286.1|	ATPase P [[Ruminococcus] gnavus] 
gi|490978524|ref|WP_004840287.1|	MULTISPECIES: ethanolamine utilization protein EutP [Clostridiales] 
gi|490978526|ref|WP_004840289.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978527|ref|WP_004840290.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978530|ref|WP_004840293.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978531|ref|WP_004840294.1|	amino acid ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490978533|ref|WP_004840296.1|	MULTISPECIES: polar amino acid ABC transporter permease [Clostridiales] 
gi|490978535|ref|WP_004840298.1|	arginine ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978536|ref|WP_004840299.1|	helicase [[Ruminococcus] gnavus] 
gi|490978537|ref|WP_004840300.1|	MULTISPECIES: DNA mismatch repair protein MutT [Lachnospiraceae] 
gi|490978538|ref|WP_004840301.1|	hypothetical protein [[Ruminococcus] gnavus] 
