gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490373734|ref|WP_004253337.1|	hypothetical protein [Providencia rettgeri] 
gi|490373737|ref|WP_004253340.1|	hypothetical protein [Providencia rettgeri] 
gi|490373741|ref|WP_004253344.1|	sensor protein PhoQ [Providencia rettgeri] 
gi|490373747|ref|WP_004253350.1|	PhoP family transcriptional regulator [Providencia rettgeri] 
gi|490373750|ref|WP_004253353.1|	membrane protein [Providencia rettgeri] 
gi|490373753|ref|WP_004253356.1|	adenylosuccinate lyase [Providencia rettgeri] 
gi|490373756|ref|WP_004253359.1|	lysogenization regulator [Providencia rettgeri] 
gi|490373760|ref|WP_004253363.1|	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase partial [Providencia rettgeri] 
gi|490373763|ref|WP_004253366.1|	MutT/NUDIX family protein partial [Providencia rettgeri] 
gi|490373765|ref|WP_004253368.1|	ribosomal large subunit pseudouridine synthase E [Providencia rettgeri] 
gi|490373768|ref|WP_004253371.1|	isocitrate dehydrogenase [Providencia rettgeri] 
gi|490373771|ref|WP_004253374.1|	hypothetical protein [Providencia rettgeri] 
gi|490373774|ref|WP_004253377.1|	hypothetical protein [Providencia rettgeri] 
gi|490373777|ref|WP_004253380.1|	hypothetical protein [Providencia rettgeri] 
gi|490373780|ref|WP_004253383.1|	glycine cleavage system P protein subunit 2 [Providencia rettgeri] 
gi|490373783|ref|WP_004253386.1|	hypothetical protein [Providencia rettgeri] 
gi|490373786|ref|WP_004253389.1|	hypothetical protein [Providencia rettgeri] 
gi|490373788|ref|WP_004253391.1|	protein UmuC [Providencia rettgeri] 
gi|490373791|ref|WP_004253394.1|	hypothetical protein [Providencia rettgeri] 
gi|490373793|ref|WP_004253396.1|	putative methyltransferase [Providencia rettgeri] 
gi|490373797|ref|WP_004253400.1|	hypothetical protein [Providencia rettgeri] 
gi|490373802|ref|WP_004253405.1|	transcriptional regulator Cro/CI family [Providencia rettgeri] 
gi|490373805|ref|WP_004253408.1|	toxin-antitoxin system antitoxin component Xre family [Providencia rettgeri] 
gi|490373807|ref|WP_004253410.1|	hypothetical protein [Providencia rettgeri] 
gi|490373809|ref|WP_004253412.1|	MmcQ protein [Providencia rettgeri] 
gi|490373812|ref|WP_004253415.1|	trans-aconitate 2-methyltransferase [Providencia rettgeri] 
gi|490373815|ref|WP_004253418.1|	phenazine biosynthesis protein PhzF [Providencia rettgeri] 
gi|490373817|ref|WP_004253420.1|	hypothetical protein [Providencia rettgeri] 
gi|490373819|ref|WP_004253422.1|	hypothetical protein [Providencia rettgeri] 
gi|490373821|ref|WP_004253424.1|	beta-lactamase [Providencia rettgeri] 
gi|490373823|ref|WP_004253426.1|	chemotaxis protein [Providencia rettgeri] 
gi|490373824|ref|WP_004253427.1|	membrane protein [Providencia rettgeri] 
gi|490373827|ref|WP_004253430.1|	hypothetical protein [Providencia rettgeri] 
gi|490373829|ref|WP_004253432.1|	methyltransferase [Providencia rettgeri] 
gi|490373832|ref|WP_004253435.1|	hypothetical protein [Providencia rettgeri] 
gi|490373835|ref|WP_004253438.1|	membrane protein [Providencia rettgeri] 
gi|490373838|ref|WP_004253441.1|	aminotransferase class I [Providencia rettgeri] 
gi|490373841|ref|WP_004253444.1|	hypothetical protein [Providencia rettgeri] 
gi|490373844|ref|WP_004253447.1|	hypothetical protein [Providencia rettgeri] 
gi|490373847|ref|WP_004253450.1|	hypothetical protein [Providencia rettgeri] 
gi|490373850|ref|WP_004253453.1|	hypothetical protein [Providencia rettgeri] 
gi|490373853|ref|WP_004253456.1|	hypothetical protein [Providencia rettgeri] 
gi|490373856|ref|WP_004253459.1|	hypothetical protein [Providencia rettgeri] 
gi|490373859|ref|WP_004253462.1|	penicillin-binding protein [Providencia rettgeri] 
gi|490373864|ref|WP_004253467.1|	sodium:alanine symporter [Providencia rettgeri] 
gi|490373868|ref|WP_004253471.1|	aromatic amino acid exporter [Providencia rettgeri] 
gi|490373871|ref|WP_004253474.1|	sugar phosphate phosphatase [Providencia rettgeri] 
gi|490373874|ref|WP_004253477.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490373877|ref|WP_004253480.1|	hypothetical protein [Providencia rettgeri] 
gi|490373879|ref|WP_004253482.1|	hypothetical protein [Providencia rettgeri] 
gi|490373882|ref|WP_004253485.1|	aromatic amino acid transporter [Providencia rettgeri] 
gi|490373884|ref|WP_004253487.1|	phospholipid:lipid A palmitoyltransferase [Providencia rettgeri] 
gi|490373886|ref|WP_004253489.1|	hypothetical protein [Providencia rettgeri] 
gi|490373889|ref|WP_004253492.1|	pyruvate formate lyase-activating protein [Providencia rettgeri] 
gi|490373892|ref|WP_004253495.1|	bifunctional hydroxy-methylpyrimidine kinase/ hydroxy-phosphomethylpyrimidine kinase [Providencia rettgeri] 
gi|490373905|ref|WP_004253508.1|	lipid kinase [Providencia rettgeri] 
gi|490373908|ref|WP_004253511.1|	protease [Providencia rettgeri] 
gi|490373910|ref|WP_004253513.1|	transcriptional regulator [Providencia rettgeri] 
gi|490373912|ref|WP_004253515.1|	histidine kinase [Providencia rettgeri] 
gi|490373914|ref|WP_004253517.1|	multidrug transporter [Providencia rettgeri] 
gi|490373917|ref|WP_004253520.1|	multidrug transporter [Providencia rettgeri] 
gi|490373920|ref|WP_004253523.1|	multidrug transporter [Providencia rettgeri] 
gi|490373925|ref|WP_004253528.1|	MFS transporter [Providencia rettgeri] 
gi|490373928|ref|WP_004253531.1|	hypothetical protein [Providencia rettgeri] 
gi|490373930|ref|WP_004253533.1|	dihydroorotate dehydrogenase [Providencia rettgeri] 
gi|490373932|ref|WP_004253535.1|	exopolyphosphatase [Providencia rettgeri] 
gi|490373934|ref|WP_004253537.1|	polyphosphate kinase [Providencia rettgeri] 
gi|490373935|ref|WP_004253538.1|	spermidine N1-acetyltransferase [Providencia rettgeri] 
gi|490373936|ref|WP_004253539.1|	phosphoribosylglycinamide formyltransferase [Providencia rettgeri] 
gi|490373937|ref|WP_004253540.1|	phosphoribosylaminoimidazole synthetase [Providencia rettgeri] 
gi|490373939|ref|WP_004253541.1|	uracil phosphoribosyltransferase [Providencia rettgeri] 
gi|490373940|ref|WP_004253542.1|	uracil transporter [Providencia rettgeri] 
gi|490373941|ref|WP_004253543.1|	hypothetical protein [Providencia rettgeri] 
gi|490373942|ref|WP_004253544.1|	DNA replication initiation factor [Providencia rettgeri] 
gi|490373943|ref|WP_004253545.1|	arsenate reductase [Providencia rettgeri] 
gi|490373944|ref|WP_004253546.1|	hypothetical protein [Providencia rettgeri] 
gi|490373945|ref|WP_004253547.1|	permase [Providencia rettgeri] 
gi|490373946|ref|WP_004253548.1|	thioredoxin-dependent thiol peroxidase [Providencia rettgeri] 
gi|490373947|ref|WP_004253549.1|	glycine cleavage system regulatory protein [Providencia rettgeri] 
gi|490373948|ref|WP_004253550.1|	dihydrodipicolinate synthase [Providencia rettgeri] 
gi|490373949|ref|WP_004253551.1|	lipoprotein [Providencia rettgeri] 
gi|490373950|ref|WP_004253552.1|	hypothetical protein [Providencia rettgeri] 
gi|490373951|ref|WP_004253553.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Providencia rettgeri] 
gi|490373952|ref|WP_004253554.1|	cobalt ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490373953|ref|WP_004253555.1|	cobalt ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490373954|ref|WP_004253556.1|	cobalt ABC transporter permease [Providencia rettgeri] 
gi|490373955|ref|WP_004253557.1|	putative formate hydrogenlyase membrane subunit subunit HyfD [Providencia rettgeri] 
gi|490373959|ref|WP_004253561.1|	membrane protein [Providencia rettgeri] 
gi|490373963|ref|WP_004253565.1|	hypothetical protein [Providencia rettgeri] 
gi|490373967|ref|WP_004253569.1|	DNA-binding protein [Providencia rettgeri] 
gi|490373970|ref|WP_004253572.1|	membrane protein [Providencia rettgeri] 
gi|490373972|ref|WP_004253574.1|	acetyltransferase [Providencia rettgeri] 
gi|490373975|ref|WP_004253577.1|	membrane protein [Providencia rettgeri] 
gi|490373980|ref|WP_004253582.1|	hypothetical protein [Providencia rettgeri] 
gi|490373983|ref|WP_004253585.1|	hypothetical protein [Providencia rettgeri] 
gi|490373986|ref|WP_004253588.1|	membrane protein [Providencia rettgeri] 
gi|490373987|ref|WP_004253589.1|	peptidase M15 [Providencia rettgeri] 
gi|490373988|ref|WP_004253590.1|	succinyl-diaminopimelate desuccinylase [Providencia rettgeri] 
gi|490373989|ref|WP_004253591.1|	reductase [Providencia rettgeri] 
gi|490373990|ref|WP_004253592.1|	transcriptional regulator [Providencia rettgeri] 
gi|490373991|ref|WP_004253593.1|	NADP-dependent malic enzyme [Providencia rettgeri] 
gi|490373995|ref|WP_004253597.1|	putative lipoprotein [Providencia rettgeri] 
gi|490373999|ref|WP_004253601.1|	periplasmic colicin Js sensitivity protein CjrB [Providencia rettgeri] 
gi|490374002|ref|WP_004253604.1|	protease [Providencia rettgeri] 
gi|490374003|ref|WP_004253605.1|	colicin Js-sensitive receptor protein [Providencia rettgeri] 
gi|490374004|ref|WP_004253606.1|	exodeoxyribonuclease VII large subunit [Providencia rettgeri] 
gi|490374005|ref|WP_004253607.1|	inosine 5'-monophosphate dehydrogenase [Providencia rettgeri] 
gi|490374006|ref|WP_004253608.1|	GMP synthase [Providencia rettgeri] 
gi|490374009|ref|WP_004253611.1|	integrase [Providencia rettgeri] 
gi|490374011|ref|WP_004253613.1|	hypothetical protein [Providencia rettgeri] 
gi|490374014|ref|WP_004253616.1|	DNA methyltransferase [Providencia rettgeri] 
gi|490374017|ref|WP_004253619.1|	hypothetical protein [Providencia rettgeri] 
gi|490374022|ref|WP_004253624.1|	hypothetical protein [Providencia rettgeri] 
gi|490374027|ref|WP_004253629.1|	putative aminomethyltransferase [Providencia rettgeri] 
gi|490374030|ref|WP_004253632.1|	hypothetical protein [Providencia rettgeri] 
gi|490374034|ref|WP_004253636.1|	hypothetical protein [Providencia rettgeri] 
gi|490374037|ref|WP_004253639.1|	hook protein [Providencia rettgeri] 
gi|490374040|ref|WP_004253642.1|	hypothetical protein [Providencia rettgeri] 
gi|490374042|ref|WP_004253644.1|	DNA methyltransferase [Providencia rettgeri] 
gi|490374044|ref|WP_004253646.1|	putative phage DNA adenine methylase [Providencia rettgeri] 
gi|490374046|ref|WP_004253648.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Providencia rettgeri] 
gi|490374049|ref|WP_004253651.1|	enterohemolysin [Providencia rettgeri] 
gi|490374054|ref|WP_004253656.1|	DNA breaking-rejoining protein [Providencia rettgeri] 
gi|490374057|ref|WP_004253659.1|	hypothetical protein [Providencia rettgeri] 
gi|490374059|ref|WP_004253661.1|	DNA-binding protein [Providencia rettgeri] 
gi|490374062|ref|WP_004253664.1|	hypothetical protein [Providencia rettgeri] 
gi|490374066|ref|WP_004253668.1|	hypothetical protein [Providencia rettgeri] 
gi|490374069|ref|WP_004253671.1|	hypothetical protein [Providencia rettgeri] 
gi|490374073|ref|WP_004253675.1|	replication protein [Providencia rettgeri] 
gi|490374076|ref|WP_004253678.1|	hypothetical protein [Providencia rettgeri] 
gi|490374079|ref|WP_004253681.1|	endodeoxyribonuclease RusA [Providencia rettgeri] 
gi|490374096|ref|WP_004253698.1|	hypothetical protein [Providencia rettgeri] 
gi|490374100|ref|WP_004253702.1|	hypothetical protein [Providencia rettgeri] 
gi|490374103|ref|WP_004253705.1|	membrane protein [Providencia rettgeri] 
gi|490374106|ref|WP_004253708.1|	hypothetical protein [Providencia rettgeri] 
gi|490374109|ref|WP_004253711.1|	hypothetical protein [Providencia rettgeri] 
gi|490374110|ref|WP_004253712.1|	toxin-antitoxin system toxin component PIN family [Providencia rettgeri] 
gi|490374112|ref|WP_004253714.1|	terminase [Providencia rettgeri] 
gi|490374114|ref|WP_004253716.1|	terminase [Providencia rettgeri] 
gi|490374118|ref|WP_004253720.1|	hypothetical protein [Providencia rettgeri] 
gi|490374123|ref|WP_004253725.1|	tail protein [Providencia rettgeri] 
gi|490374125|ref|WP_004253727.1|	hypothetical protein [Providencia rettgeri] 
gi|490374133|ref|WP_004253735.1|	peptidase [Providencia rettgeri] 
gi|490374135|ref|WP_004253737.1|	hypothetical protein [Providencia rettgeri] 
gi|490374137|ref|WP_004253739.1|	hypothetical protein [Providencia rettgeri] 
gi|490374139|ref|WP_004253741.1|	hypothetical protein [Providencia rettgeri] 
gi|490374141|ref|WP_004253743.1|	hypothetical protein [Providencia rettgeri] 
gi|490374143|ref|WP_004253745.1|	hypothetical protein [Providencia rettgeri] 
gi|490374145|ref|WP_004253747.1|	hypothetical protein [Providencia rettgeri] 
gi|490374148|ref|WP_004253750.1|	hypothetical protein [Providencia rettgeri] 
gi|490374150|ref|WP_004253752.1|	hypothetical protein [Providencia rettgeri] 
gi|490374153|ref|WP_004253755.1|	hypothetical protein [Providencia rettgeri] 
gi|490374155|ref|WP_004253757.1|	hypothetical protein [Providencia rettgeri] 
gi|490374157|ref|WP_004253759.1|	Fe2+/Zn2+ uptake regulation protein [Providencia rettgeri] 
gi|490374160|ref|WP_004253762.1|	hypothetical protein [Providencia rettgeri] 
gi|490374166|ref|WP_004253768.1|	toxin-antitoxin system toxin component Bro family [Providencia rettgeri] 
gi|490374171|ref|WP_004253773.1|	hypothetical protein [Providencia rettgeri] 
gi|490374175|ref|WP_004253777.1|	interferon-induced guanylate-binding protein 2(Guanine nucleotide-binding protein 2) [Providencia rettgeri] 
gi|490374180|ref|WP_004253782.1|	hypothetical protein [Providencia rettgeri] 
gi|490374182|ref|WP_004253784.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490374187|ref|WP_004253789.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490374191|ref|WP_004253793.1|	hypothetical protein [Providencia rettgeri] 
gi|490374194|ref|WP_004253796.1|	holin [Providencia rettgeri] 
gi|490374195|ref|WP_004253797.1|	hypothetical protein [Providencia rettgeri] 
gi|490374198|ref|WP_004253800.1|	hypothetical protein [Providencia rettgeri] 
gi|490374201|ref|WP_004253803.1|	glutathione peroxidase [Providencia rettgeri] 
gi|490374219|ref|WP_004253821.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490374222|ref|WP_004253824.1|	aldo/keto reductase [Providencia rettgeri] 
gi|490374225|ref|WP_004253827.1|	outer membrane porin protein C [Providencia rettgeri] 
gi|490374228|ref|WP_004253830.1|	alanine racemase [Providencia rettgeri] 
gi|490374237|ref|WP_004253839.1|	hydrolase [Providencia rettgeri] 
gi|490374238|ref|WP_004253840.1|	N-acetyltransferase GCN5 [Providencia rettgeri] 
gi|490374239|ref|WP_004253841.1|	23S rRNA methyltransferase [Providencia rettgeri] 
gi|490374240|ref|WP_004253842.1|	membrane protein [Providencia rettgeri] 
gi|490374242|ref|WP_004253844.1|	membrane protein [Providencia rettgeri] 
gi|490374246|ref|WP_004253848.1|	PTS mannose transporter subunit IID [Providencia rettgeri] 
gi|490374249|ref|WP_004253851.1|	PTS mannose transporter subunit IIC [Providencia rettgeri] 
gi|490374251|ref|WP_004253853.1|	PTS mannose transporter subunit IIAB [Providencia rettgeri] 
gi|490374254|ref|WP_004253856.1|	L-serine dehydratase [Providencia rettgeri] 
gi|490374267|ref|WP_004253869.1|	NUDIX hydrolase [Providencia rettgeri] 
gi|490374271|ref|WP_004253873.1|	aminodeoxychorismate synthase subunit I [Providencia rettgeri] 
gi|490374275|ref|WP_004253877.1|	hypothetical protein [Providencia rettgeri] 
gi|490374278|ref|WP_004253880.1|	hypothetical protein [Providencia rettgeri] 
gi|490374283|ref|WP_004253885.1|	DNA polymerase III subunit theta [Providencia rettgeri] 
gi|490374290|ref|WP_004253892.1|	ferritin [Providencia rettgeri] 
gi|490374293|ref|WP_004253895.1|	hypothetical protein [Providencia rettgeri] 
gi|490374296|ref|WP_004253898.1|	copper resistance protein CopD [Providencia rettgeri] 
gi|490374298|ref|WP_004253900.1|	hypothetical protein [Providencia rettgeri] 
gi|490374300|ref|WP_004253902.1|	hypothetical protein [Providencia rettgeri] 
gi|490374304|ref|WP_004253906.1|	hypothetical protein [Providencia rettgeri] 
gi|490374306|ref|WP_004253908.1|	membrane protein [Providencia rettgeri] 
gi|490374309|ref|WP_004253911.1|	diguanylate cyclase [Providencia rettgeri] 
gi|490374312|ref|WP_004253914.1|	prop expression regulator [Providencia rettgeri] 
gi|490374314|ref|WP_004253916.1|	carboxy-terminal protease [Providencia rettgeri] 
gi|490374315|ref|WP_004253917.1|	hypothetical protein [Providencia rettgeri] 
gi|490374316|ref|WP_004253918.1|	heat shock protein HtpX [Providencia rettgeri] 
gi|490374317|ref|WP_004253919.1|	amino acid carrier protein partial [Providencia rettgeri] 
gi|490374318|ref|WP_004253920.1|	amino acid carrier protein partial [Providencia rettgeri] 
gi|490374319|ref|WP_004253921.1|	hypothetical protein [Providencia rettgeri] 
gi|490374320|ref|WP_004253922.1|	hypothetical protein [Providencia rettgeri] 
gi|490374359|ref|WP_004253961.1|	hypothetical protein [Providencia rettgeri] 
gi|490374412|ref|WP_004254014.1|	major facilitator family transporter partial [Providencia rettgeri] 
gi|490374415|ref|WP_004254017.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490374421|ref|WP_004254023.1|	major facilitator family transporter partial [Providencia rettgeri] 
gi|490374425|ref|WP_004254027.1|	multidrug DMT transporter [Providencia rettgeri] 
gi|490374426|ref|WP_004254028.1|	hypothetical protein [Providencia rettgeri] 
gi|490374427|ref|WP_004254029.1|	oxidoreductase [Providencia rettgeri] 
gi|490374428|ref|WP_004254030.1|	dihydrolipoamide acyltransferase [Providencia rettgeri] 
gi|490374429|ref|WP_004254031.1|	sodium:proton antiporter [Providencia rettgeri] 
gi|490374430|ref|WP_004254032.1|	fatty acid metabolism regulator [Providencia rettgeri] 
gi|490374431|ref|WP_004254033.1|	hypothetical protein [Providencia rettgeri] 
gi|490374433|ref|WP_004254035.1|	D-amino acid dehydrogenase small subunit [Providencia rettgeri] 
gi|490374436|ref|WP_004254038.1|	alanine racemase [Providencia rettgeri] 
gi|490374439|ref|WP_004254041.1|	structural protein MipA [Providencia rettgeri] 
gi|490374444|ref|WP_004254046.1|	glucose-6-phosphate 1-epimerase [Providencia rettgeri] 
gi|490374447|ref|WP_004254049.1|	glyceraldehyde-3-phosphate dehydrogenase [Providencia rettgeri] 
gi|490374451|ref|WP_004254053.1|	methionine sulfoxide reductase B [Providencia rettgeri] 
gi|490374454|ref|WP_004254056.1|	transcriptional regulator [Providencia rettgeri] 
gi|490374457|ref|WP_004254059.1|	nicotinamidase/pyrazinamidase [Providencia rettgeri] 
gi|490374461|ref|WP_004254063.1|	cytoplasmic asparaginase I [Providencia rettgeri] 
gi|490374466|ref|WP_004254068.1|	protease [Providencia rettgeri] 
gi|490374470|ref|WP_004254072.1|	oxidoreductase [Providencia rettgeri] 
gi|490374475|ref|WP_004254077.1|	selenophosphate synthetase [Providencia rettgeri] 
gi|490374479|ref|WP_004254081.1|	DNA topoisomerase III [Providencia rettgeri] 
gi|490374482|ref|WP_004254084.1|	exonuclease III [Providencia rettgeri] 
gi|490374485|ref|WP_004254087.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490374488|ref|WP_004254090.1|	formyltetrahydrofolate deformylase [Providencia rettgeri] 
gi|490374490|ref|WP_004254092.1|	hypothetical protein [Providencia rettgeri] 
gi|490374493|ref|WP_004254095.1|	protein hnr [Providencia rettgeri] 
gi|490374501|ref|WP_004254103.1|	UTP--glucose-1-phosphate uridylyltransferase subunit GalU [Providencia rettgeri] 
gi|490374504|ref|WP_004254106.1|	DNA-binding protein [Providencia rettgeri] 
gi|490374506|ref|WP_004254108.1|	thymidine kinase [Providencia rettgeri] 
gi|490374508|ref|WP_004254110.1|	acetaldehyde dehydrogenase [Providencia rettgeri] 
gi|490374510|ref|WP_004254112.1|	membrane protein [Providencia rettgeri] 
gi|490374512|ref|WP_004254114.1|	peptide ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490374513|ref|WP_004254115.1|	peptide ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490374514|ref|WP_004254116.1|	peptide ABC transporter permease [Providencia rettgeri] 
gi|490374515|ref|WP_004254117.1|	peptide ABC transporter permease [Providencia rettgeri] 
gi|490374516|ref|WP_004254118.1|	peptide ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490374517|ref|WP_004254119.1|	peptide ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490374521|ref|WP_004254123.1|	hypothetical protein [Providencia rettgeri] 
gi|490374523|ref|WP_004254125.1|	cardiolipin synthetase [Providencia rettgeri] 
gi|490374524|ref|WP_004254126.1|	cardiolipin synthetase [Providencia rettgeri] 
gi|490374525|ref|WP_004254127.1|	hypothetical protein [Providencia rettgeri] 
gi|490374532|ref|WP_004254134.1|	protein TonB [Providencia rettgeri] 
gi|490374534|ref|WP_004254136.1|	acyl-CoA esterase [Providencia rettgeri] 
gi|490374537|ref|WP_004254139.1|	membrane protein [Providencia rettgeri] 
gi|490374540|ref|WP_004254142.1|	intracellular septation protein A [Providencia rettgeri] 
gi|490374542|ref|WP_004254144.1|	sulfate permease [Providencia rettgeri] 
gi|490374546|ref|WP_004254148.1|	membrane protein [Providencia rettgeri] 
gi|490374549|ref|WP_004254151.1|	outer membrane protein W [Providencia rettgeri] 
gi|490374552|ref|WP_004254154.1|	hemolysin activator/exporter TPS family [Providencia rettgeri] 
gi|490374556|ref|WP_004254158.1|	putative member of ShlA/HecA/FhaA exoprotein [Providencia rettgeri] 
gi|490374558|ref|WP_004254160.1|	tryptophan synthase subunit alpha [Providencia rettgeri] 
gi|490374560|ref|WP_004254162.1|	tryptophan synthase subunit beta [Providencia rettgeri] 
gi|490374561|ref|WP_004254163.1|	phosphoribosylanthranilate isomerase [Providencia rettgeri] 
gi|490374562|ref|WP_004254164.1|	anthranilate phosphoribosyltransferase [Providencia rettgeri] 
gi|490374563|ref|WP_004254165.1|	anthranilate synthase subunit II [Providencia rettgeri] 
gi|490374564|ref|WP_004254166.1|	anthranilate synthase subunit I [Providencia rettgeri] 
