gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456796|ref|WP_004327558.1|	hypothetical protein [Alistipes putredinis] 
gi|490456797|ref|WP_004327559.1|	DNA recombination protein RmuC [Alistipes putredinis] 
gi|490456798|ref|WP_004327560.1|	acetyltransferase [Alistipes putredinis] 
gi|490456799|ref|WP_004327561.1|	transcriptional regulator [Alistipes putredinis] 
gi|490456800|ref|WP_004327562.1|	MULTISPECIES: ACP S-malonyltransferase [Alistipes] 
gi|490456801|ref|WP_004327563.1|	hypothetical protein [Alistipes putredinis] 
gi|490456802|ref|WP_004327564.1|	beta-lactamase [Alistipes putredinis] 
gi|490456803|ref|WP_004327565.1|	collagen-binding protein [Alistipes putredinis] 
gi|490456804|ref|WP_004327566.1|	magnesium transporter [Alistipes putredinis] 
gi|490456805|ref|WP_004327567.1|	MULTISPECIES: sodium:proton antiporter [Alistipes] 
gi|490456806|ref|WP_004327568.1|	hypothetical protein [Alistipes putredinis] 
gi|490456807|ref|WP_004327569.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456808|ref|WP_004327570.1|	hypothetical protein [Alistipes putredinis] 
gi|490456809|ref|WP_004327571.1|	hypothetical protein [Alistipes putredinis] 
gi|490456810|ref|WP_004327572.1|	hypothetical protein [Alistipes putredinis] 
gi|490456811|ref|WP_004327573.1|	hypothetical protein [Alistipes putredinis] 
gi|490456812|ref|WP_004327574.1|	hypothetical protein [Alistipes putredinis] 
gi|490456813|ref|WP_004327575.1|	hypothetical protein [Alistipes putredinis] 
gi|490456814|ref|WP_004327576.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456816|ref|WP_004327578.1|	hypothetical protein [Alistipes putredinis] 
gi|490456818|ref|WP_004327580.1|	hypothetical protein [Alistipes putredinis] 
gi|490456820|ref|WP_004327582.1|	hypothetical protein [Alistipes putredinis] 
gi|490456822|ref|WP_004327584.1|	hypothetical protein [Alistipes putredinis] 
gi|490456825|ref|WP_004327586.1|	hypothetical protein [Alistipes putredinis] 
gi|490456826|ref|WP_004327587.1|	hypothetical protein [Alistipes putredinis] 
gi|490456827|ref|WP_004327588.1|	beta-galactosidase [Alistipes putredinis] 
gi|490456828|ref|WP_004327589.1|	type I restriction endonuclease subunit R [Alistipes putredinis] 
gi|490456829|ref|WP_004327590.1|	hypothetical protein [Alistipes putredinis] 
gi|490456831|ref|WP_004327591.1|	hypothetical protein [Alistipes putredinis] 
gi|490456832|ref|WP_004327592.1|	transcriptional regulator [Alistipes putredinis] 
gi|490456833|ref|WP_004327593.1|	regulator [Alistipes putredinis] 
gi|490456834|ref|WP_004327594.1|	hypothetical protein [Alistipes putredinis] 
gi|490456835|ref|WP_004327595.1|	MULTISPECIES: long-chain fatty acid--CoA ligase [Alistipes] 
gi|490456838|ref|WP_004327598.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456843|ref|WP_004327602.1|	hypothetical protein [Alistipes putredinis] 
gi|490456844|ref|WP_004327603.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [Alistipes putredinis] 
gi|490456845|ref|WP_004327604.1|	hypothetical protein [Alistipes putredinis] 
gi|490456846|ref|WP_004327605.1|	hypothetical protein [Alistipes putredinis] 
gi|490456848|ref|WP_004327606.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Alistipes putredinis] 
gi|490456849|ref|WP_004327607.1|	RNA helicase [Alistipes putredinis] 
gi|490456850|ref|WP_004327608.1|	MULTISPECIES: catalase [Alistipes] 
gi|490456851|ref|WP_004327609.1|	hypothetical protein [Alistipes putredinis] 
gi|490456852|ref|WP_004327610.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456853|ref|WP_004327611.1|	hypothetical protein [Alistipes putredinis] 
gi|490456854|ref|WP_004327612.1|	hypothetical protein [Alistipes putredinis] 
gi|490456855|ref|WP_004327613.1|	hypothetical protein [Alistipes putredinis] 
gi|490456856|ref|WP_004327614.1|	hypothetical protein [Alistipes putredinis] 
gi|490456857|ref|WP_004327615.1|	hypothetical protein [Alistipes putredinis] 
gi|490456858|ref|WP_004327616.1|	hypothetical protein [Alistipes putredinis] 
gi|490456709|ref|WP_004327476.1|	hypothetical protein [Alistipes putredinis] 
gi|490456859|ref|WP_004327617.1|	hypothetical protein [Alistipes putredinis] 
gi|490456860|ref|WP_004327618.1|	hypothetical protein [Alistipes putredinis] 
gi|490456862|ref|WP_004327620.1|	hypothetical protein [Alistipes putredinis] 
gi|490456864|ref|WP_004327622.1|	hypothetical protein [Alistipes putredinis] 
gi|490456866|ref|WP_004327624.1|	hypothetical protein [Alistipes putredinis] 
gi|490456868|ref|WP_004327626.1|	hypothetical protein [Alistipes putredinis] 
gi|490456870|ref|WP_004327628.1|	hypothetical protein [Alistipes putredinis] 
gi|490456872|ref|WP_004327629.1|	hypothetical protein [Alistipes putredinis] 
gi|490456873|ref|WP_004327630.1|	hypothetical protein [Alistipes putredinis] 
gi|490456874|ref|WP_004327631.1|	hypothetical protein [Alistipes putredinis] 
gi|490456875|ref|WP_004327632.1|	hypothetical protein [Alistipes putredinis] 
gi|490456876|ref|WP_004327633.1|	hypothetical protein [Alistipes putredinis] 
gi|490456877|ref|WP_004327634.1|	hypothetical protein [Alistipes putredinis] 
gi|490456878|ref|WP_004327635.1|	hypothetical protein [Alistipes putredinis] 
gi|490456879|ref|WP_004327636.1|	hypothetical protein [Alistipes putredinis] 
gi|490456880|ref|WP_004327637.1|	hypothetical protein [Alistipes putredinis] 
gi|490456881|ref|WP_004327638.1|	hypothetical protein [Alistipes putredinis] 
gi|490456882|ref|WP_004327639.1|	hypothetical protein [Alistipes putredinis] 
gi|490456883|ref|WP_004327640.1|	hypothetical protein [Alistipes putredinis] 
gi|490456884|ref|WP_004327641.1|	hypothetical protein [Alistipes putredinis] 
gi|490456885|ref|WP_004327642.1|	hypothetical protein [Alistipes putredinis] 
gi|490456886|ref|WP_004327643.1|	radical SAM protein [Alistipes putredinis] 
gi|490456887|ref|WP_004327644.1|	hypothetical protein [Alistipes putredinis] 
gi|490456888|ref|WP_004327645.1|	chromosome partitioning protein ParB [Alistipes putredinis] 
gi|490456889|ref|WP_004327646.1|	hypothetical protein [Alistipes putredinis] 
gi|490456890|ref|WP_004327647.1|	hypothetical protein [Alistipes putredinis] 
gi|490456891|ref|WP_004327648.1|	hypothetical protein [Alistipes putredinis] 
gi|490456892|ref|WP_004327649.1|	hypothetical protein [Alistipes putredinis] 
gi|490456893|ref|WP_004327650.1|	hypothetical protein [Alistipes putredinis] 
gi|490456894|ref|WP_004327651.1|	hypothetical protein [Alistipes putredinis] 
gi|490456895|ref|WP_004327652.1|	hypothetical protein [Alistipes putredinis] 
gi|490456896|ref|WP_004327653.1|	hypothetical protein [Alistipes putredinis] 
gi|490456898|ref|WP_004327654.1|	hypothetical protein [Alistipes putredinis] 
gi|490456899|ref|WP_004327655.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456900|ref|WP_004327656.1|	hypothetical protein [Alistipes putredinis] 
gi|490456901|ref|WP_004327657.1|	hypothetical protein [Alistipes putredinis] 
gi|490456902|ref|WP_004327658.1|	hypothetical protein [Alistipes putredinis] 
gi|490456903|ref|WP_004327659.1|	hypothetical protein [Alistipes putredinis] 
gi|490456904|ref|WP_004327660.1|	hypothetical protein [Alistipes putredinis] 
gi|490456905|ref|WP_004327661.1|	hypothetical protein [Alistipes putredinis] 
gi|490456906|ref|WP_004327662.1|	hypothetical protein [Alistipes putredinis] 
gi|490456907|ref|WP_004327663.1|	hypothetical protein [Alistipes putredinis] 
gi|490456908|ref|WP_004327664.1|	hypothetical protein [Alistipes putredinis] 
gi|490456909|ref|WP_004327665.1|	hypothetical protein [Alistipes putredinis] 
gi|490456910|ref|WP_004327666.1|	hypothetical protein [Alistipes putredinis] 
gi|490456911|ref|WP_004327667.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456912|ref|WP_004327668.1|	hypothetical protein [Alistipes putredinis] 
gi|490456913|ref|WP_004327669.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490456914|ref|WP_004327670.1|	hypothetical protein [Alistipes putredinis] 
gi|490456915|ref|WP_004327671.1|	hypothetical protein [Alistipes putredinis] 
gi|490456916|ref|WP_004327672.1|	hypothetical protein [Alistipes putredinis] 
gi|490456917|ref|WP_004327673.1|	hypothetical protein [Alistipes putredinis] 
gi|490456918|ref|WP_004327674.1|	hypothetical protein [Alistipes putredinis] 
gi|490456919|ref|WP_004327675.1|	hypothetical protein [Alistipes putredinis] 
gi|490456920|ref|WP_004327676.1|	hypothetical protein [Alistipes putredinis] 
gi|490456921|ref|WP_004327677.1|	HicB [Alistipes putredinis] 
gi|490456922|ref|WP_004327678.1|	hexulose-6-phosphate isomerase [Alistipes putredinis] 
gi|490456923|ref|WP_004327679.1|	hypothetical protein [Alistipes putredinis] 
gi|490456924|ref|WP_004327680.1|	hypothetical protein [Alistipes putredinis] 
gi|490456925|ref|WP_004327681.1|	hypothetical protein [Alistipes putredinis] 
gi|490456926|ref|WP_004327682.1|	hypothetical protein [Alistipes putredinis] 
gi|490456927|ref|WP_004327683.1|	hypothetical protein [Alistipes putredinis] 
gi|490456928|ref|WP_004327684.1|	hypothetical protein [Alistipes putredinis] 
gi|490456929|ref|WP_004327685.1|	hypothetical protein [Alistipes putredinis] 
gi|490456930|ref|WP_004327686.1|	hypothetical protein [Alistipes putredinis] 
gi|490456931|ref|WP_004327687.1|	hypothetical protein [Alistipes putredinis] 
gi|490456932|ref|WP_004327688.1|	hypothetical protein [Alistipes putredinis] 
gi|490456933|ref|WP_004327689.1|	hypothetical protein [Alistipes putredinis] 
gi|490456935|ref|WP_004327691.1|	hypothetical protein [Alistipes putredinis] 
gi|490456937|ref|WP_004327693.1|	hypothetical protein [Alistipes putredinis] 
gi|490456938|ref|WP_004327694.1|	hypothetical protein [Alistipes putredinis] 
gi|490456940|ref|WP_004327696.1|	hypothetical protein [Alistipes putredinis] 
gi|490456942|ref|WP_004327698.1|	phage portal protein [Alistipes putredinis] 
gi|490456944|ref|WP_004327699.1|	hypothetical protein [Alistipes putredinis] 
gi|490456945|ref|WP_004327700.1|	hypothetical protein [Alistipes putredinis] 
gi|490456946|ref|WP_004327701.1|	GTP-binding protein Der [Alistipes putredinis] 
gi|490456947|ref|WP_004327702.1|	hypothetical protein [Alistipes putredinis] 
gi|490456948|ref|WP_004327703.1|	sodium/hydrogen exchanger [Alistipes putredinis] 
gi|490456949|ref|WP_004327704.1|	hypothetical protein [Alistipes putredinis] 
gi|490456950|ref|WP_004327705.1|	hypothetical protein [Alistipes putredinis] 
gi|490456951|ref|WP_004327706.1|	hypothetical protein [Alistipes putredinis] 
gi|490456952|ref|WP_004327707.1|	phosphate starvation protein PhoH [Alistipes putredinis] 
gi|490456953|ref|WP_004327708.1|	aminoacyl-histidine dipeptidase [Alistipes putredinis] 
gi|490456954|ref|WP_004327709.1|	lipid kinase [Alistipes putredinis] 
gi|490456955|ref|WP_004327710.1|	hypothetical protein [Alistipes putredinis] 
gi|490456956|ref|WP_004327711.1|	hypothetical protein [Alistipes putredinis] 
gi|490456957|ref|WP_004327712.1|	MULTISPECIES: GTP-binding protein YchF [Alistipes] 
gi|490456958|ref|WP_004327713.1|	hypothetical protein [Alistipes putredinis] 
gi|490456959|ref|WP_004327714.1|	hypothetical protein [Alistipes putredinis] 
gi|490456960|ref|WP_004327715.1|	glutamyl-tRNA synthetase [Alistipes putredinis] 
gi|490456961|ref|WP_004327716.1|	galactose mutarotase [Alistipes putredinis] 
gi|490456962|ref|WP_004327717.1|	membrane protein [Alistipes putredinis] 
gi|490456963|ref|WP_004327718.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456965|ref|WP_004327719.1|	hypothetical protein [Alistipes putredinis] 
gi|490456966|ref|WP_004327720.1|	hypothetical protein [Alistipes putredinis] 
gi|490456967|ref|WP_004327721.1|	16S rRNA methyltransferase [Alistipes putredinis] 
gi|490456968|ref|WP_004327722.1|	membrane protein [Alistipes putredinis] 
gi|490456969|ref|WP_004327723.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456970|ref|WP_004327724.1|	glycosyl transferase family 2 [Alistipes putredinis] 
gi|490456971|ref|WP_004327725.1|	MULTISPECIES: dolichyl-phosphate beta-D-mannosyltransferase [Alistipes] 
gi|490456972|ref|WP_004327726.1|	GNAT family acetyltransferase [Alistipes putredinis] 
gi|490456973|ref|WP_004327727.1|	glutaminyl-tRNA synthetase [Alistipes putredinis] 
gi|490456974|ref|WP_004327728.1|	hypothetical protein [Alistipes putredinis] 
gi|490456975|ref|WP_004327729.1|	RNA methyltransferase [Alistipes putredinis] 
gi|490456976|ref|WP_004327730.1|	MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase [Alistipes] 
gi|490456977|ref|WP_004327731.1|	hypothetical protein [Alistipes putredinis] 
gi|490456978|ref|WP_004327732.1|	transposase [Alistipes putredinis] 
gi|490456979|ref|WP_004327733.1|	transposase [Alistipes putredinis] 
gi|490456980|ref|WP_004327734.1|	hypothetical protein [Alistipes putredinis] 
gi|490456981|ref|WP_004327735.1|	hypothetical protein [Alistipes putredinis] 
gi|490456982|ref|WP_004327736.1|	inosine 5'-monophosphate dehydrogenase [Alistipes putredinis] 
gi|490456983|ref|WP_004327737.1|	hypothetical protein [Alistipes putredinis] 
gi|490456984|ref|WP_004327738.1|	GMP synthase [Alistipes putredinis] 
gi|490456985|ref|WP_004327739.1|	oligo-1,6-glucosidase [Alistipes putredinis] 
gi|490456986|ref|WP_004327740.1|	hypothetical protein [Alistipes putredinis] 
gi|490456987|ref|WP_004327741.1|	MULTISPECIES: pyridoxal phosphate-dependent aminotransferase [Alistipes] 
gi|490456988|ref|WP_004327742.1|	MULTISPECIES: sugar transferase [Alistipes] 
gi|490456989|ref|WP_004327743.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456990|ref|WP_004327744.1|	hypothetical protein [Alistipes putredinis] 
gi|490456991|ref|WP_004327745.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456992|ref|WP_004327746.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456993|ref|WP_004327747.1|	glycosyl transferase [Alistipes putredinis] 
gi|490456994|ref|WP_004327748.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490456995|ref|WP_004327749.1|	capsule biosynthesis protein [Alistipes putredinis] 
gi|490456996|ref|WP_004327750.1|	hypothetical protein [Alistipes putredinis] 
gi|490456997|ref|WP_004327751.1|	hypothetical protein [Alistipes putredinis] 
gi|490456998|ref|WP_004327752.1|	hypothetical protein [Alistipes putredinis] 
gi|490456999|ref|WP_004327753.1|	hypothetical protein [Alistipes putredinis] 
gi|490457000|ref|WP_004327754.1|	nucleoside-diphosphate sugar epimerase [Alistipes putredinis] 
gi|490457001|ref|WP_004327755.1|	hypothetical protein [Alistipes putredinis] 
gi|490457002|ref|WP_004327756.1|	hypothetical protein [Alistipes putredinis] 
gi|490457003|ref|WP_004327757.1|	hypothetical protein [Alistipes putredinis] 
gi|490457004|ref|WP_004327758.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457005|ref|WP_004327759.1|	hypothetical protein [Alistipes putredinis] 
gi|490457006|ref|WP_004327760.1|	UDP-glucose 6-dehydrogenase [Alistipes putredinis] 
gi|490457008|ref|WP_004327762.1|	dTDP-glucose 4,6-dehydratase [Alistipes putredinis] 
gi|490457010|ref|WP_004327764.1|	dTDP-4-dehydrorhamnose reductase [Alistipes putredinis] 
gi|490457012|ref|WP_004327766.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Alistipes putredinis] 
gi|490457014|ref|WP_004327768.1|	glucose-1-phosphate thymidylyltransferase [Alistipes putredinis] 
gi|490457015|ref|WP_004327769.1|	capsular polysaccharide biosynthesis protein CapD [Alistipes putredinis] 
gi|490457017|ref|WP_004327770.1|	transcriptional regulator [Alistipes putredinis] 
gi|490457018|ref|WP_004327771.1|	hypothetical protein [Alistipes putredinis] 
gi|490457019|ref|WP_004327772.1|	sulfatase [Alistipes putredinis] 
gi|490457020|ref|WP_004327773.1|	hypothetical protein [Alistipes putredinis] 
gi|490457021|ref|WP_004327774.1|	cysteine desulfurase activator complex subunit SufB [Alistipes putredinis] 
gi|490457022|ref|WP_004327775.1|	transporter [Alistipes putredinis] 
gi|490457023|ref|WP_004327776.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457024|ref|WP_004327777.1|	cysteine desulfurase [Alistipes putredinis] 
gi|490457025|ref|WP_004327778.1|	thymidylate kinase [Alistipes putredinis] 
gi|490457026|ref|WP_004327779.1|	hypothetical protein [Alistipes putredinis] 
gi|490457027|ref|WP_004327780.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457028|ref|WP_004327781.1|	hypothetical protein [Alistipes putredinis] 
gi|490457029|ref|WP_004327782.1|	hypothetical protein [Alistipes putredinis] 
gi|490457030|ref|WP_004327783.1|	hypothetical protein [Alistipes putredinis] 
gi|490457031|ref|WP_004327784.1|	prephenate dehydratase [Alistipes putredinis] 
gi|490457032|ref|WP_004327785.1|	cytochrome C4 [Alistipes putredinis] 
gi|490457033|ref|WP_004327786.1|	aminotransferase [Alistipes putredinis] 
gi|490457034|ref|WP_004327787.1|	hypothetical protein [Alistipes putredinis] 
gi|490457035|ref|WP_004327788.1|	hypothetical protein [Alistipes putredinis] 
gi|490457036|ref|WP_004327789.1|	hypothetical protein [Alistipes putredinis] 
gi|490457038|ref|WP_004327790.1|	chorismate synthase [Alistipes putredinis] 
gi|490457039|ref|WP_004327791.1|	aminodeoxychorismate lyase [Alistipes putredinis] 
gi|490457040|ref|WP_004327792.1|	translation factor Sua5 [Alistipes putredinis] 
gi|490457041|ref|WP_004327793.1|	hypothetical protein [Alistipes putredinis] 
gi|490457042|ref|WP_004327794.1|	glycosyl transferase family 2 [Alistipes putredinis] 
gi|490457043|ref|WP_004327795.1|	hypothetical protein [Alistipes putredinis] 
gi|490457044|ref|WP_004327796.1|	hypothetical protein [Alistipes putredinis] 
gi|490457045|ref|WP_004327797.1|	hypothetical protein [Alistipes putredinis] 
gi|490457046|ref|WP_004327798.1|	nuclease [Alistipes putredinis] 
gi|490457047|ref|WP_004327799.1|	collagen-binding protein [Alistipes putredinis] 
gi|490457048|ref|WP_004327800.1|	hypothetical protein [Alistipes putredinis] 
gi|490457049|ref|WP_004327801.1|	hypothetical protein [Alistipes putredinis] 
gi|490457050|ref|WP_004327802.1|	hypothetical protein [Alistipes putredinis] 
gi|490457051|ref|WP_004327803.1|	transcriptional regulator [Alistipes putredinis] 
gi|490457052|ref|WP_004327804.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457053|ref|WP_004327805.1|	hypothetical protein [Alistipes putredinis] 
gi|490457054|ref|WP_004327806.1|	hypothetical protein [Alistipes putredinis] 
gi|490457055|ref|WP_004327807.1|	acyl-ACP thioesterase [Alistipes putredinis] 
gi|490457056|ref|WP_004327808.1|	cytochrome B [Alistipes putredinis] 
gi|490457057|ref|WP_004327809.1|	thiol:disulfide interchange protein [Alistipes putredinis] 
gi|490457058|ref|WP_004327810.1|	glycosyltransferase [Alistipes putredinis] 
gi|490457059|ref|WP_004327811.1|	transporter [Alistipes putredinis] 
gi|490457060|ref|WP_004327812.1|	hypothetical protein [Alistipes putredinis] 
gi|490457061|ref|WP_004327813.1|	GTPase Era [Alistipes putredinis] 
gi|490457062|ref|WP_004327814.1|	hypothetical protein [Alistipes putredinis] 
gi|490457063|ref|WP_004327815.1|	signal recognition particle [Alistipes putredinis] 
gi|490457064|ref|WP_004327816.1|	hypothetical protein [Alistipes putredinis] 
gi|490457065|ref|WP_004327817.1|	hypothetical protein [Alistipes putredinis] 
gi|490457066|ref|WP_004327818.1|	hypothetical protein [Alistipes putredinis] 
gi|490457067|ref|WP_004327819.1|	hypothetical protein [Alistipes putredinis] 
