gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491500811|ref|WP_005358502.1|	RNA pseudouridine synthase [Eubacterium ventriosum] 
gi|491500812|ref|WP_005358503.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500813|ref|WP_005358504.1|	endoribonuclease L-PSP [Eubacterium ventriosum] 
gi|491500816|ref|WP_005358507.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500817|ref|WP_005358508.1|	ABC transporter [Eubacterium ventriosum] 
gi|491500819|ref|WP_005358510.1|	ABC transporter [Eubacterium ventriosum] 
gi|491500821|ref|WP_005358512.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500823|ref|WP_005358514.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500825|ref|WP_005358516.1|	DNA polymerase I [Eubacterium ventriosum] 
gi|491500827|ref|WP_005358518.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500828|ref|WP_005358519.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500830|ref|WP_005358521.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500832|ref|WP_005358523.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500834|ref|WP_005358525.1|	membrane protein [Eubacterium ventriosum] 
gi|491500836|ref|WP_005358527.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500838|ref|WP_005358529.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Eubacterium ventriosum] 
gi|491500840|ref|WP_005358531.1|	hydrogenase nickel incorporation protein HypB [Eubacterium ventriosum] 
gi|491500841|ref|WP_005358532.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500843|ref|WP_005358534.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500846|ref|WP_005358537.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500844|ref|WP_005358535.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500849|ref|WP_005358540.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500850|ref|WP_005358541.1|	hydrolase [Eubacterium ventriosum] 
gi|491500852|ref|WP_005358543.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500855|ref|WP_005358546.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500858|ref|WP_005358549.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500861|ref|WP_005358552.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500870|ref|WP_005358561.1|	Holliday junction DNA helicase RuvB [Eubacterium ventriosum] 
gi|491500872|ref|WP_005358563.1|	Holliday junction DNA helicase RuvA [Eubacterium ventriosum] 
gi|491500873|ref|WP_005358564.1|	heptaprenyl diphosphate synthase subunit I [Eubacterium ventriosum] 
gi|491500875|ref|WP_005358566.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500877|ref|WP_005358568.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500880|ref|WP_005358571.1|	stage V sporulation protein AF [Eubacterium ventriosum] 
gi|491500883|ref|WP_005358574.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500886|ref|WP_005358577.1|	ferredoxin [Eubacterium ventriosum] 
gi|491500908|ref|WP_005358598.1|	electron transport complex RsxE subunit [Eubacterium ventriosum] 
gi|491500909|ref|WP_005358599.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500910|ref|WP_005358600.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500911|ref|WP_005358601.1|	NADH:ubiquinone oxidoreductase [Eubacterium ventriosum] 
gi|491500912|ref|WP_005358602.1|	electron transporter RnfC [Eubacterium ventriosum] 
gi|491500913|ref|WP_005358603.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500914|ref|WP_005358604.1|	alpha/beta hydrolase [Eubacterium ventriosum] 
gi|491500915|ref|WP_005358605.1|	UDP-N-acetylmuramoylalanyl-D-glutamyl-2 6-diaminopimelate--D-alanyl-D-alanine ligase [Eubacterium ventriosum] 
gi|491500926|ref|WP_005358616.1|	D-alanine--D-alanine ligase [Eubacterium ventriosum] 
gi|491500927|ref|WP_005358617.1|	ATP-dependent DNA helicase RecG [Eubacterium ventriosum] 
gi|491500929|ref|WP_005358619.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500931|ref|WP_005358621.1|	molecular chaperone GroEL [Eubacterium ventriosum] 
gi|491500932|ref|WP_005358622.1|	co-chaperonin GroES [Eubacterium ventriosum] 
gi|491500934|ref|WP_005358624.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500935|ref|WP_005358625.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500936|ref|WP_005358626.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500938|ref|WP_005358628.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500939|ref|WP_005358629.1|	glutaminyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491500942|ref|WP_005358632.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500944|ref|WP_005358634.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500946|ref|WP_005358636.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500947|ref|WP_005358637.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500950|ref|WP_005358640.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500952|ref|WP_005358642.1|	dipicolinate synthase [Eubacterium ventriosum] 
gi|491500954|ref|WP_005358644.1|	asparagine synthase [Eubacterium ventriosum] 
gi|491500955|ref|WP_005358645.1|	translation elongation factor G [Eubacterium ventriosum] 
gi|491500964|ref|WP_005358654.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500967|ref|WP_005358657.1|	ATPase AAA [Eubacterium ventriosum] 
gi|491500970|ref|WP_005358660.1|	rod shape-determining protein Mbl [Eubacterium ventriosum] 
gi|491500976|ref|WP_005358666.1|	stage III sporulation protein D [Eubacterium ventriosum] 
gi|491500979|ref|WP_005358669.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500982|ref|WP_005358672.1|	peptidase M24 [Eubacterium ventriosum] 
gi|491500985|ref|WP_005358675.1|	inorganic pyrophosphatase [Eubacterium ventriosum] 
gi|491500987|ref|WP_005358677.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500989|ref|WP_005358679.1|	transcription elongation factor GreA [Eubacterium ventriosum] 
gi|491500993|ref|WP_005358683.1|	citrate synthase [Eubacterium ventriosum] 
gi|491500996|ref|WP_005358686.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500998|ref|WP_005358688.1|	gamma-glutamyl phosphate reductase [Eubacterium ventriosum] 
gi|491501000|ref|WP_005358690.1|	gamma-glutamyl kinase [Eubacterium ventriosum] 
gi|491501002|ref|WP_005358692.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501004|ref|WP_005358694.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501006|ref|WP_005358696.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501008|ref|WP_005358698.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501009|ref|WP_005358699.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501012|ref|WP_005358702.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501014|ref|WP_005358704.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501016|ref|WP_005358706.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501018|ref|WP_005358708.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501021|ref|WP_005358710.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501024|ref|WP_005358713.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501025|ref|WP_005358714.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501027|ref|WP_005358716.1|	2-hydroxyacid dehydrogenase [Eubacterium ventriosum] 
gi|491501029|ref|WP_005358718.1|	V-type ATP synthase subunit D [Eubacterium ventriosum] 
gi|491501031|ref|WP_005358720.1|	V-type ATP synthase subunit B [Eubacterium ventriosum] 
gi|491501036|ref|WP_005358725.1|	V-type ATP synthase subunit A [Eubacterium ventriosum] 
gi|491501037|ref|WP_005358726.1|	V-type ATP synthase subunit F [Eubacterium ventriosum] 
gi|491501038|ref|WP_005358727.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501039|ref|WP_005358728.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501040|ref|WP_005358729.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501041|ref|WP_005358730.1|	V-type ATP synthase subunit K [Eubacterium ventriosum] 
gi|491501043|ref|WP_005358732.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501044|ref|WP_005358733.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501046|ref|WP_005358735.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501048|ref|WP_005358737.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501050|ref|WP_005358739.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501051|ref|WP_005358740.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501054|ref|WP_005358743.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491501056|ref|WP_005358745.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501058|ref|WP_005358747.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501059|ref|WP_005358748.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501061|ref|WP_005358750.1|	PTS N-acetylgalactosamine transporter subunit IIB [Eubacterium ventriosum] 
gi|491501063|ref|WP_005358752.1|	PTS mannose transporter subunit IID [Eubacterium ventriosum] 
gi|491501065|ref|WP_005358754.1|	PTS sucrose transporter subunit IIBC [Eubacterium ventriosum] 
gi|491501067|ref|WP_005358756.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501068|ref|WP_005358757.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501069|ref|WP_005358758.1|	serine protease [Eubacterium ventriosum] 
gi|491501070|ref|WP_005358759.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501071|ref|WP_005358760.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501072|ref|WP_005358761.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501073|ref|WP_005358762.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501074|ref|WP_005358763.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501075|ref|WP_005358764.1|	cellobiose-phosphorylase [Eubacterium ventriosum] 
gi|491501076|ref|WP_005358765.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501077|ref|WP_005358766.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501078|ref|WP_005358767.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501079|ref|WP_005358768.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491501080|ref|WP_005358769.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501082|ref|WP_005358771.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501084|ref|WP_005358773.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501087|ref|WP_005358776.1|	ABC transporter permease [Eubacterium ventriosum] 
gi|491501091|ref|WP_005358780.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501094|ref|WP_005358783.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501098|ref|WP_005358787.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501100|ref|WP_005358789.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501103|ref|WP_005358792.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501106|ref|WP_005358795.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Eubacterium ventriosum] 
gi|491501109|ref|WP_005358798.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501111|ref|WP_005358800.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501114|ref|WP_005358803.1|	glutamate racemase [Eubacterium ventriosum] 
gi|491501117|ref|WP_005358806.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501120|ref|WP_005358809.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Eubacterium ventriosum] 
gi|491501124|ref|WP_005358813.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501127|ref|WP_005358816.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501129|ref|WP_005358818.1|	phosphoglucomutase [Eubacterium ventriosum] 
gi|491501132|ref|WP_005358821.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501134|ref|WP_005358823.1|	polynucleotide adenylyltransferase [Eubacterium ventriosum] 
gi|491501138|ref|WP_005358827.1|	GntR family transcriptional regulator [Eubacterium ventriosum] 
gi|491501140|ref|WP_005358829.1|	pyridoxal kinase [Eubacterium ventriosum] 
gi|491501143|ref|WP_005358832.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501146|ref|WP_005358835.1|	S-adenosylmethionine synthetase [Eubacterium ventriosum] 
gi|491501148|ref|WP_005358837.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501150|ref|WP_005358839.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501152|ref|WP_005358841.1|	2-isopropylmalate synthase [Eubacterium ventriosum] 
gi|491501154|ref|WP_005358843.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Eubacterium ventriosum] 
gi|491501156|ref|WP_005358845.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501157|ref|WP_005358846.1|	shikimate kinase [Eubacterium ventriosum] 
gi|491501160|ref|WP_005358849.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501164|ref|WP_005358853.1|	flavin reductase [Eubacterium ventriosum] 
gi|491501173|ref|WP_005358861.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501174|ref|WP_005358862.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501176|ref|WP_005358864.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501177|ref|WP_005358865.1|	4-alpha-glucanotransferase [Eubacterium ventriosum] 
gi|491501179|ref|WP_005358867.1|	serine dehydratase [Eubacterium ventriosum] 
gi|491501181|ref|WP_005358869.1|	serine dehydratase [Eubacterium ventriosum] 
gi|491501187|ref|WP_005358875.1|	membrane protein [Eubacterium ventriosum] 
gi|491501189|ref|WP_005358877.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501191|ref|WP_005358879.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501192|ref|WP_005358880.1|	adenylate cyclase [Eubacterium ventriosum] 
gi|491501193|ref|WP_005358881.1|	transketolase [Eubacterium ventriosum] 
gi|491501194|ref|WP_005358882.1|	transketolase [Eubacterium ventriosum] 
gi|491501195|ref|WP_005358883.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501197|ref|WP_005358885.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501198|ref|WP_005358886.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501200|ref|WP_005358888.1|	recombinase RecR [Eubacterium ventriosum] 
gi|491501203|ref|WP_005358891.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501204|ref|WP_005358892.1|	DNA polymerase III subunit gamma/tau [Eubacterium ventriosum] 
gi|491501207|ref|WP_005358895.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501208|ref|WP_005358896.1|	adenosine deaminase [Eubacterium ventriosum] 
gi|491501209|ref|WP_005358897.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501210|ref|WP_005358898.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501211|ref|WP_005358899.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501212|ref|WP_005358900.1|	RNA methyltransferase [Eubacterium ventriosum] 
gi|491501213|ref|WP_005358901.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501214|ref|WP_005358902.1|	potassium transporter KtrB [Eubacterium ventriosum] 
gi|491501215|ref|WP_005358903.1|	DNA polymerase III subunit alpha [Eubacterium ventriosum] 
gi|491501216|ref|WP_005358904.1|	exodeoxyribonuclease III [Eubacterium ventriosum] 
gi|491501217|ref|WP_005358905.1|	HPr kinase [Eubacterium ventriosum] 
gi|491501218|ref|WP_005358906.1|	sporulation protein [Eubacterium ventriosum] 
gi|491501219|ref|WP_005358907.1|	glmZ(sRNA)-inactivating NTPase [Eubacterium ventriosum] 
gi|491501220|ref|WP_005358908.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Eubacterium ventriosum] 
gi|491501222|ref|WP_005358910.1|	glucokinase [Eubacterium ventriosum] 
gi|491501224|ref|WP_005358912.1|	HPr kinase [Eubacterium ventriosum] 
gi|491501225|ref|WP_005358913.1|	excinuclease ABC subunit C [Eubacterium ventriosum] 
gi|491501227|ref|WP_005358915.1|	ATPase AAA [Eubacterium ventriosum] 
gi|491501233|ref|WP_005358921.1|	CTP synthetase [Eubacterium ventriosum] 
gi|491501235|ref|WP_005358923.1|	DeoR family transcriptional regulator [Eubacterium ventriosum] 
gi|491501237|ref|WP_005358925.1|	nicotinate-nucleotide pyrophosphorylase [Eubacterium ventriosum] 
gi|491501239|ref|WP_005358927.1|	L-aspartate oxidase [Eubacterium ventriosum] 
gi|491501241|ref|WP_005358929.1|	peptidase M20 [Eubacterium ventriosum] 
gi|491501242|ref|WP_005358930.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501244|ref|WP_005358932.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501246|ref|WP_005358934.1|	peptide transporter [Eubacterium ventriosum] 
gi|491501248|ref|WP_005358936.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501251|ref|WP_005358939.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501254|ref|WP_005358942.1|	prolyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491501255|ref|WP_005358943.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501258|ref|WP_005358946.1|	CarD family transcriptional regulator [Eubacterium ventriosum] 
gi|491501261|ref|WP_005358949.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501263|ref|WP_005358951.1|	homoserine O-succinyltransferase [Eubacterium ventriosum] 
gi|491501266|ref|WP_005358954.1|	damage-inducible protein CinA [Eubacterium ventriosum] 
gi|491501269|ref|WP_005358957.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501271|ref|WP_005358959.1|	membrane protein [Eubacterium ventriosum] 
gi|491501273|ref|WP_005358961.1|	arginine ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491501278|ref|WP_005358966.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501281|ref|WP_005358969.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501284|ref|WP_005358972.1|	phosphatidylserine decarboxylase [Eubacterium ventriosum] 
gi|491501285|ref|WP_005358973.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501286|ref|WP_005358974.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501287|ref|WP_005358975.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501288|ref|WP_005358976.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Eubacterium ventriosum] 
gi|491501289|ref|WP_005358977.1|	inosine monophosphate cyclohydrolase [Eubacterium ventriosum] 
gi|491501290|ref|WP_005358978.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501291|ref|WP_005358979.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501293|ref|WP_005358981.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501298|ref|WP_005358986.1|	cobalt ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491501301|ref|WP_005358989.1|	cobalt ABC transporter permease [Eubacterium ventriosum] 
gi|491501303|ref|WP_005358991.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501306|ref|WP_005358994.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501308|ref|WP_005358996.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Eubacterium ventriosum] 
gi|491501310|ref|WP_005358998.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501313|ref|WP_005359001.1|	membrane protein [Eubacterium ventriosum] 
gi|491501316|ref|WP_005359003.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501319|ref|WP_005359006.1|	sugar ABC transporter ATPase [Eubacterium ventriosum] 
gi|491501321|ref|WP_005359008.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501323|ref|WP_005359010.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501325|ref|WP_005359012.1|	ABC transporter [Eubacterium ventriosum] 
gi|491501327|ref|WP_005359014.1|	ABC transporter [Eubacterium ventriosum] 
gi|491501329|ref|WP_005359016.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501330|ref|WP_005359017.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501332|ref|WP_005359019.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501335|ref|WP_005359022.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501337|ref|WP_005359024.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501340|ref|WP_005359027.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501342|ref|WP_005359029.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501344|ref|WP_005359031.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501346|ref|WP_005359033.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501351|ref|WP_005359038.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501354|ref|WP_005359041.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501357|ref|WP_005359044.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501360|ref|WP_005359047.1|	phosphoglycerate mutase [Eubacterium ventriosum] 
gi|491501362|ref|WP_005359049.1|	ABC transporter substrate-binding protein [Eubacterium ventriosum] 
gi|491501366|ref|WP_005359053.1|	methionine ABC transporter permease [Eubacterium ventriosum] 
gi|491501369|ref|WP_005359056.1|	ABC transporter [Eubacterium ventriosum] 
gi|491501372|ref|WP_005359059.1|	LysR family transcriptional regulator [Eubacterium ventriosum] 
gi|491501375|ref|WP_005359062.1|	aminotransferase [Eubacterium ventriosum] 
gi|491501377|ref|WP_005359064.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501381|ref|WP_005359068.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501382|ref|WP_005359069.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501384|ref|WP_005359071.1|	multidrug ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491501395|ref|WP_005359082.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501404|ref|WP_005359091.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501406|ref|WP_005359093.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501409|ref|WP_005359096.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501411|ref|WP_005359098.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501415|ref|WP_005359102.1|	carbon starvation protein CstA [Eubacterium ventriosum] 
gi|491501418|ref|WP_005359105.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501421|ref|WP_005359108.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501422|ref|WP_005359109.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501424|ref|WP_005359111.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501429|ref|WP_005359116.1|	ATPase AAA [Eubacterium ventriosum] 
gi|491501432|ref|WP_005359118.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501437|ref|WP_005359123.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501439|ref|WP_005359125.1|	galactose mutarotase [Eubacterium ventriosum] 
gi|491501446|ref|WP_005359132.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501448|ref|WP_005359134.1|	FAD-dependent oxidoreductase [Eubacterium ventriosum] 
gi|491501450|ref|WP_005359136.1|	choloylglycine hydrolase [Eubacterium ventriosum] 
gi|491501451|ref|WP_005359137.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501452|ref|WP_005359138.1|	hypothetical protein [Eubacterium ventriosum] 
