gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489924475|ref|WP_003827818.1|	transposase [Bifidobacterium breve] 
gi|489924476|ref|WP_003827819.1|	transposase [Bifidobacterium breve] 
gi|489924477|ref|WP_003827820.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489924478|ref|WP_003827821.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489924479|ref|WP_003827822.1|	D-ribose transporter ATP binding protein [Bifidobacterium breve] 
gi|489924480|ref|WP_003827823.1|	ribose ABC transporter permease [Bifidobacterium breve] 
gi|489924481|ref|WP_003827824.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924482|ref|WP_003827825.1|	integrase [Bifidobacterium breve] 
gi|489924483|ref|WP_003827826.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924484|ref|WP_003827827.1|	sugar ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924485|ref|WP_003827828.1|	UbiC transcription regulator-associated protein [Bifidobacterium breve] 
gi|489924486|ref|WP_003827829.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924487|ref|WP_003827830.1|	PTS ascorbate transporter subunit IIC [Bifidobacterium breve] 
gi|489924488|ref|WP_003827831.1|	PTS lactose transporter subunit IIB [Bifidobacterium breve] 
gi|489924489|ref|WP_003827832.1|	PTS sugar transporter subunit IIA [Bifidobacterium breve] 
gi|489924490|ref|WP_003827833.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924491|ref|WP_003827834.1|	LytTR family transcriptional regulator [Bifidobacterium breve] 
gi|489924492|ref|WP_003827835.1|	histidine kinase [Bifidobacterium breve] 
gi|489924493|ref|WP_003827836.1|	ribonucleotide-diphosphate reductase subunit beta [Bifidobacterium breve] 
gi|489924494|ref|WP_003827837.1|	ribonucleotide-diphosphate reductase subunit alpha [Bifidobacterium breve] 
gi|489924495|ref|WP_003827838.1|	ribonucleotide reductase [Bifidobacterium breve] 
gi|489924496|ref|WP_003827839.1|	glutaredoxin [Bifidobacterium breve] 
gi|489924497|ref|WP_003827840.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924498|ref|WP_003827841.1|	beta-glucosidase [Bifidobacterium breve] 
gi|489924499|ref|WP_003827842.1|	XRE family transcriptional regulator [Bifidobacterium breve] 
gi|489924500|ref|WP_003827843.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924501|ref|WP_003827844.1|	Ion channel protein [Bifidobacterium breve] 
gi|489924502|ref|WP_003827845.1|	glycosyl hydrolase [Bifidobacterium breve] 
gi|489924503|ref|WP_003827846.1|	protein kinase [Bifidobacterium breve] 
gi|489924504|ref|WP_003827847.1|	DSBA oxidoreductase [Bifidobacterium breve] 
gi|489924505|ref|WP_003827848.1|	lytic transglycosylase [Bifidobacterium breve] 
gi|489924506|ref|WP_003827849.1|	16S rRNA methyltransferase [Bifidobacterium breve] 
gi|489924507|ref|WP_003827850.1|	4-diphosphocytidyl-2C-methyl-D-erythritol kinase [Bifidobacterium breve] 
gi|489924508|ref|WP_003827851.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924509|ref|WP_003827852.1|	RNA nucleotidyltransferase [Bifidobacterium breve] 
gi|489924510|ref|WP_003827853.1|	DNA mismatch repair protein MutT [Bifidobacterium breve] 
gi|489924511|ref|WP_003827854.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924512|ref|WP_003827855.1|	membrane protein [Bifidobacterium breve] 
gi|489924513|ref|WP_003827856.1|	thioredoxin reductase [Bifidobacterium breve] 
gi|489924514|ref|WP_003827857.1|	chromosome partitioning protein ParB [Bifidobacterium breve] 
gi|489924515|ref|WP_003827858.1|	chromosome partitioning protein [Bifidobacterium breve] 
gi|489924517|ref|WP_003827860.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924519|ref|WP_003827861.1|	16S rRNA methyltransferase [Bifidobacterium breve] 
gi|489924520|ref|WP_003827862.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924521|ref|WP_003827863.1|	membrane protein [Bifidobacterium breve] 
gi|489924522|ref|WP_003827864.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924523|ref|WP_003827865.1|	ribonuclease P [Bifidobacterium breve] 
gi|489924524|ref|WP_003827866.1|	50S ribosomal protein L34 [Bifidobacterium breve] 
gi|489924525|ref|WP_003827867.1|	chromosomal replication initiation protein [Bifidobacterium breve] 
gi|489924526|ref|WP_003827868.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924527|ref|WP_003827869.1|	DNA polymerase III subunit beta [Bifidobacterium breve] 
gi|489924528|ref|WP_003827870.1|	DNA repair protein RecF [Bifidobacterium breve] 
gi|489924529|ref|WP_003827871.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924530|ref|WP_003827872.1|	DNA gyrase subunit B [Bifidobacterium breve] 
gi|489924531|ref|WP_003827873.1|	DNA gyrase subunit A [Bifidobacterium breve] 
gi|489924532|ref|WP_003827874.1|	membrane protein [Bifidobacterium breve] 
gi|489924533|ref|WP_003827875.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924534|ref|WP_003827876.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924535|ref|WP_003827877.1|	lactose permease [Bifidobacterium breve] 
gi|489924536|ref|WP_003827878.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924537|ref|WP_003827879.1|	beta-galactosidase [Bifidobacterium breve] 
gi|489924538|ref|WP_003827880.1|	teicoplanin resistance protein VanZ [Bifidobacterium breve] 
gi|489924539|ref|WP_003827881.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924540|ref|WP_003827882.1|	glutamate dehydrogenase [Bifidobacterium breve] 
gi|489924541|ref|WP_003827883.1|	membrane protein [Bifidobacterium breve] 
gi|489924542|ref|WP_003827884.1|	metal-dependent hydrolase [Bifidobacterium breve] 
gi|489924543|ref|WP_003827885.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924544|ref|WP_003827886.1|	nicotinate-nucleotide pyrophosphorylase [Bifidobacterium breve] 
gi|489924545|ref|WP_003827887.1|	ATPase AAA [Bifidobacterium breve] 
gi|489924546|ref|WP_003827888.1|	DNA polymerase sliding clamp subunit [Bifidobacterium breve] 
gi|489924547|ref|WP_003827889.1|	membrane protein [Bifidobacterium breve] 
gi|489924548|ref|WP_003827890.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924549|ref|WP_003827891.1|	carbonate dehydratase [Bifidobacterium breve] 
gi|489924550|ref|WP_003827892.1|	peroxiredoxin [Bifidobacterium breve] 
gi|489924551|ref|WP_003827893.1|	thioredoxin reductase [Bifidobacterium breve] 
gi|489924552|ref|WP_003827894.1|	nucleoside-diphosphate sugar epimerase [Bifidobacterium breve] 
gi|489924553|ref|WP_003827895.1|	membrane protein [Bifidobacterium breve] 
gi|489924554|ref|WP_003827896.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924555|ref|WP_003827897.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924556|ref|WP_003827898.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924557|ref|WP_003827899.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924558|ref|WP_003827900.1|	spore coat protein CotH [Bifidobacterium breve] 
gi|489924559|ref|WP_003827901.1|	transporter [Bifidobacterium breve] 
gi|489924560|ref|WP_003827902.1|	membrane protein [Bifidobacterium breve] 
gi|489924561|ref|WP_003827903.1|	diguanylate cyclase [Bifidobacterium breve] 
gi|489924562|ref|WP_003827904.1|	ATPase [Bifidobacterium breve] 
gi|489924563|ref|WP_003827905.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489924564|ref|WP_003827906.1|	phosphoenolpyruvate carboxylase [Bifidobacterium breve] 
gi|489924565|ref|WP_003827907.1|	membrane protein [Bifidobacterium breve] 
gi|489924566|ref|WP_003827908.1|	proline:sodium symporter [Bifidobacterium breve] 
gi|489924567|ref|WP_003827909.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924568|ref|WP_003827910.1|	amidohydrolase [Bifidobacterium breve] 
gi|489924569|ref|WP_003827911.1|	MULTISPECIES: tryptophanyl-tRNA synthetase [Bifidobacterium] 
gi|489924570|ref|WP_003827912.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924571|ref|WP_003827913.1|	LuxR family transcriptional regulator [Bifidobacterium breve] 
gi|489924572|ref|WP_003827914.1|	histidine kinase [Bifidobacterium breve] 
gi|489924573|ref|WP_003827915.1|	MFS transporter [Bifidobacterium breve] 
gi|489924574|ref|WP_003827916.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924575|ref|WP_003827917.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924576|ref|WP_003827918.1|	glycogen phosphorylase [Bifidobacterium breve] 
gi|489924577|ref|WP_003827919.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924578|ref|WP_003827920.1|	membrane protein [Bifidobacterium breve] 
gi|489924579|ref|WP_003827921.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924580|ref|WP_003827922.1|	septation inhibitor protein [Bifidobacterium breve] 
gi|489924581|ref|WP_003827923.1|	membrane protein [Bifidobacterium breve] 
gi|489924582|ref|WP_003827924.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924583|ref|WP_003827925.1|	para-aminobenzoate synthase [Bifidobacterium breve] 
gi|489924584|ref|WP_003827926.1|	serine/threonine protein kinase [Bifidobacterium breve] 
gi|489924585|ref|WP_003827927.1|	serine/threonine protein kinase [Bifidobacterium breve] 
gi|489924586|ref|WP_003827928.1|	penicillin-binding protein [Bifidobacterium breve] 
gi|489924587|ref|WP_003827929.1|	cell division protein FtsW [Bifidobacterium breve] 
gi|489924588|ref|WP_003827930.1|	phosphoprotein phosphatase [Bifidobacterium breve] 
gi|489924589|ref|WP_003827931.1|	signal peptide protein [Bifidobacterium breve] 
gi|489924590|ref|WP_003827932.1|	signal peptide protein [Bifidobacterium breve] 
gi|489924591|ref|WP_003827933.1|	cytochrome C [Bifidobacterium breve] 
gi|489924592|ref|WP_003827934.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924593|ref|WP_003827935.1|	lysophospholipase [Bifidobacterium breve] 
gi|489924594|ref|WP_003827936.1|	molecular chaperone Hsp20 [Bifidobacterium breve] 
gi|489924595|ref|WP_003827937.1|	membrane protein [Bifidobacterium breve] 
gi|489924596|ref|WP_003827938.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924597|ref|WP_003827939.1|	esterase [Bifidobacterium breve] 
gi|489924598|ref|WP_003827940.1|	membrane protein [Bifidobacterium breve] 
gi|489924599|ref|WP_003827941.1|	peptide methionine sulfoxide reductase MsrB [Bifidobacterium breve] 
gi|489924600|ref|WP_003827942.1|	flavin-nucleotide-binding protein [Bifidobacterium breve] 
gi|489924601|ref|WP_003827943.1|	cell division protein Fic [Bifidobacterium breve] 
gi|489924602|ref|WP_003827944.1|	glycosyl transferase family A [Bifidobacterium breve] 
gi|489924603|ref|WP_003827945.1|	RNA helicase [Bifidobacterium breve] 
gi|489924604|ref|WP_003827946.1|	DNA mismatch repair protein MutT [Bifidobacterium breve] 
gi|489924605|ref|WP_003827947.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924606|ref|WP_003827948.1|	hemolysin III [Bifidobacterium breve] 
gi|489924607|ref|WP_003827949.1|	queuine tRNA-ribosyltransferase [Bifidobacterium breve] 
gi|489924608|ref|WP_003827950.1|	peptidase [Bifidobacterium breve] 
gi|489924609|ref|WP_003827951.1|	cadmium-exporting ATPase [Bifidobacterium breve] 
gi|489924610|ref|WP_003827952.1|	glutamate synthase [Bifidobacterium breve] 
gi|489924611|ref|WP_003827953.1|	prepilin peptidase [Bifidobacterium breve] 
gi|489924612|ref|WP_003827954.1|	heat shock protein HtpX [Bifidobacterium breve] 
gi|489924613|ref|WP_003827955.1|	membrane protein [Bifidobacterium breve] 
gi|489924614|ref|WP_003827956.1|	fructose-bisphosphate aldolase [Bifidobacterium breve] 
gi|489924615|ref|WP_003827957.1|	adenylosuccinate synthetase [Bifidobacterium breve] 
gi|489924616|ref|WP_003827958.1|	sodium:proton antiporter [Bifidobacterium breve] 
gi|489924617|ref|WP_003827959.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924618|ref|WP_003827960.1|	chromosome condensation protein CrcB [Bifidobacterium breve] 
gi|489924619|ref|WP_003827961.1|	MULTISPECIES: chromosome condensation protein CrcB [Bifidobacterium] 
gi|489924620|ref|WP_003827962.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924621|ref|WP_003827963.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924622|ref|WP_003827964.1|	sucrose phosphorylase [Bifidobacterium breve] 
gi|489924623|ref|WP_003827965.1|	sodium:solute symporter [Bifidobacterium breve] 
gi|489924624|ref|WP_003827966.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924625|ref|WP_003827967.1|	MFS transporter [Bifidobacterium breve] 
gi|489924626|ref|WP_003827968.1|	ketol-acid reductoisomerase [Bifidobacterium breve] 
gi|489924627|ref|WP_003827969.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924628|ref|WP_003827970.1|	ketol-acid reductoisomerase [Bifidobacterium breve] 
gi|489924629|ref|WP_003827971.1|	alpha-amylase [Bifidobacterium breve] 
gi|489924630|ref|WP_003827972.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924631|ref|WP_003827973.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Bifidobacterium breve] 
gi|489924632|ref|WP_003827974.1|	collagen-binding protein [Bifidobacterium breve] 
gi|489924633|ref|WP_003827975.1|	collagen-binding protein [Bifidobacterium breve] 
gi|489924634|ref|WP_003827976.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924635|ref|WP_003827977.1|	sortase [Bifidobacterium breve] 
gi|489924636|ref|WP_003827978.1|	4-alpha-glucanotransferase [Bifidobacterium breve] 
gi|489924637|ref|WP_003827979.1|	alpha-amylase [Bifidobacterium breve] 
gi|489924638|ref|WP_003827980.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924639|ref|WP_003827981.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924640|ref|WP_003827982.1|	sugar ABC transporter permease [Bifidobacterium breve] 
gi|489924641|ref|WP_003827983.1|	sugar ABC transporter permease [Bifidobacterium breve] 
gi|489924642|ref|WP_003827984.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924643|ref|WP_003827985.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924644|ref|WP_003827986.1|	pullulanase [Bifidobacterium breve] 
gi|489924645|ref|WP_003827987.1|	molecular chaperone DnaK [Bifidobacterium breve] 
gi|489924646|ref|WP_003827988.1|	heat shock protein GrpE [Bifidobacterium breve] 
gi|489924647|ref|WP_003827989.1|	molecular chaperone DnaJ partial [Bifidobacterium breve] 
gi|489924648|ref|WP_003827990.1|	MerR family transcriptional regulator [Bifidobacterium breve] 
gi|489924649|ref|WP_003827991.1|	xanthine permease [Bifidobacterium breve] 
gi|489924650|ref|WP_003827992.1|	acyl-CoA reductase [Bifidobacterium breve] 
gi|489924651|ref|WP_003827993.1|	3-oxoacyl-ACP reductase [Bifidobacterium breve] 
gi|489924652|ref|WP_003827994.1|	HAD family hydrolase [Bifidobacterium breve] 
gi|489924653|ref|WP_003827995.1|	membrane protein [Bifidobacterium breve] 
gi|489924654|ref|WP_003827996.1|	cobyric acid synthase [Bifidobacterium breve] 
gi|489924655|ref|WP_003827997.1|	pilus biosynthesis protein [Bifidobacterium breve] 
gi|489924656|ref|WP_003827998.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924657|ref|WP_003827999.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924658|ref|WP_003828000.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924659|ref|WP_003828001.1|	pilus assembly protein TadE [Bifidobacterium breve] 
gi|489924660|ref|WP_003828002.1|	pilus assembly protein TadE [Bifidobacterium breve] 
gi|489924661|ref|WP_003828003.1|	DeoR family transcriptional regulator [Bifidobacterium breve] 
gi|489924662|ref|WP_003828004.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489924663|ref|WP_003828005.1|	DNA polymerase III subunit gamma/tau [Bifidobacterium breve] 
gi|489924664|ref|WP_003828006.1|	recombinase RecR [Bifidobacterium breve] 
gi|489924665|ref|WP_003828007.1|	ATPase [Bifidobacterium breve] 
gi|489924666|ref|WP_003828008.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924667|ref|WP_003828009.1|	sortase [Bifidobacterium breve] 
gi|489924668|ref|WP_003828010.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924669|ref|WP_003828011.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924670|ref|WP_003828012.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489924671|ref|WP_003828013.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924672|ref|WP_003828014.1|	aspartokinase [Bifidobacterium breve] 
gi|489924673|ref|WP_003828015.1|	aspartokinase [Bifidobacterium breve] 
gi|489924674|ref|WP_003828016.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924675|ref|WP_003828017.1|	aspartate-semialdehyde dehydrogenase [Bifidobacterium breve] 
gi|489924676|ref|WP_003828018.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924677|ref|WP_003828019.1|	UDP-N-acetylglucosamine diphosphorylase [Bifidobacterium breve] 
gi|489924678|ref|WP_003828020.1|	putative glucokinase partial [Bifidobacterium breve] 
gi|489924679|ref|WP_003828021.1|	ROK family protein partial [Bifidobacterium breve] 
gi|489924680|ref|WP_003828022.1|	N-acetylmannosamine-6-P epimerase partial [Bifidobacterium breve] 
gi|489924681|ref|WP_003828023.1|	alpha/beta hydrolase [Bifidobacterium breve] 
gi|489924682|ref|WP_003828024.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924683|ref|WP_003828025.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924684|ref|WP_003828026.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924685|ref|WP_003828027.1|	ABC transporter [Bifidobacterium breve] 
gi|489924686|ref|WP_003828028.1|	ABC transporter [Bifidobacterium breve] 
gi|489924687|ref|WP_003828029.1|	glucose dehydrogenase [Bifidobacterium breve] 
gi|489924688|ref|WP_003828030.1|	glucosamine-6-phosphate deaminase [Bifidobacterium breve] 
gi|489924689|ref|WP_003828031.1|	N-acetylglucosamine-6-phosphate deacetylase partial [Bifidobacterium breve] 
gi|489924690|ref|WP_003828032.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924691|ref|WP_003828033.1|	ATPase AAA [Bifidobacterium breve] 
gi|489924692|ref|WP_003828034.1|	GntR family transcriptional regulator [Bifidobacterium breve] 
gi|489924693|ref|WP_003828035.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924694|ref|WP_003828036.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924695|ref|WP_003828037.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924696|ref|WP_003828038.1|	Ser/Thr protein phosphatase [Bifidobacterium breve] 
gi|489924697|ref|WP_003828039.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924698|ref|WP_003828040.1|	2-isopropylmalate synthase [Bifidobacterium breve] 
gi|489924699|ref|WP_003828041.1|	penicillin-binding protein [Bifidobacterium breve] 
gi|489924700|ref|WP_003828042.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924701|ref|WP_003828043.1|	PAP2 family phosphoesterase [Bifidobacterium breve] 
gi|489924702|ref|WP_003828044.1|	DNA topoisomerase I [Bifidobacterium breve] 
gi|489924703|ref|WP_003828045.1|	thymidylate kinase [Bifidobacterium breve] 
gi|489924704|ref|WP_003828046.1|	DNA polymerase III subunit delta' [Bifidobacterium breve] 
gi|489924705|ref|WP_003828047.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489924706|ref|WP_003828048.1|	phosphotransferase [Bifidobacterium breve] 
gi|489924707|ref|WP_003828049.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924708|ref|WP_003828050.1|	phosphoenolpyruvate-protein phosphotransferase [Bifidobacterium breve] 
gi|489924709|ref|WP_003828051.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924710|ref|WP_003828052.1|	acid shock protein [Bifidobacterium breve] 
gi|489924711|ref|WP_003828053.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924712|ref|WP_003828054.1|	Raf [Bifidobacterium breve] 
gi|489924713|ref|WP_003828055.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924714|ref|WP_003828056.1|	peptidase C69 [Bifidobacterium breve] 
gi|489924715|ref|WP_003828057.1|	formate--tetrahydrofolate ligase [Bifidobacterium breve] 
gi|489924716|ref|WP_003828058.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924717|ref|WP_003828059.1|	sugar translocase [Bifidobacterium breve] 
gi|489924718|ref|WP_003828060.1|	MFS transporter [Bifidobacterium breve] 
gi|489924719|ref|WP_003828061.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924720|ref|WP_003828062.1|	phosphoglycerate mutase [Bifidobacterium breve] 
gi|489924721|ref|WP_003828063.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924722|ref|WP_003828064.1|	carboxy-cis,cis-muconate cyclase [Bifidobacterium breve] 
gi|489924723|ref|WP_003828065.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924724|ref|WP_003828066.1|	glutamyl-tRNA synthetase [Bifidobacterium breve] 
gi|489924725|ref|WP_003828067.1|	glutamate--tRNA ligase [Bifidobacterium breve] 
gi|489924726|ref|WP_003828068.1|	integrase [Bifidobacterium breve] 
gi|489924727|ref|WP_003828069.1|	iron permease [Bifidobacterium breve] 
gi|489924728|ref|WP_003828070.1|	amino acid ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924729|ref|WP_003828071.1|	membrane protein [Bifidobacterium breve] 
gi|489924730|ref|WP_003828072.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924731|ref|WP_003828073.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924732|ref|WP_003828074.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924733|ref|WP_003828075.1|	FMN-binding protein [Bifidobacterium breve] 
gi|489924734|ref|WP_003828076.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924735|ref|WP_003828077.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489924736|ref|WP_003828078.1|	phage infection protein [Bifidobacterium breve] 
gi|489924737|ref|WP_003828079.1|	membrane protein [Bifidobacterium breve] 
gi|489924738|ref|WP_003828080.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924739|ref|WP_003828081.1|	membrane protein [Bifidobacterium breve] 
gi|489924740|ref|WP_003828082.1|	6-phosphogluconate dehydrogenase [Bifidobacterium breve] 
gi|489924741|ref|WP_003828083.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924742|ref|WP_003828084.1|	6-phosphogluconolactonase [Bifidobacterium breve] 
gi|489924743|ref|WP_003828085.1|	oxidoreductase [Bifidobacterium breve] 
gi|489924744|ref|WP_003828086.1|	glucose-6-phosphate 1-dehydrogenase [Bifidobacterium breve] 
gi|489924745|ref|WP_003828087.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924746|ref|WP_003828088.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924747|ref|WP_003828089.1|	beta-lactamase [Bifidobacterium breve] 
gi|489924748|ref|WP_003828090.1|	peptidase C69 [Bifidobacterium breve] 
gi|489924749|ref|WP_003828091.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924750|ref|WP_003828092.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489924751|ref|WP_003828093.1|	cell division protein FtsY [Bifidobacterium breve] 
gi|489924754|ref|WP_003828095.1|	MULTISPECIES: ammonium transporter [Bifidobacterium] 
gi|489924755|ref|WP_003828096.1|	MULTISPECIES: nitrogen regulatory protein P-II 1 [Bifidobacterium] 
gi|489924756|ref|WP_003828097.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924757|ref|WP_003828098.1|	protein-P-II uridylyltransferase [Bifidobacterium breve] 
gi|489924758|ref|WP_003828099.1|	multidrug transporter MatE [Bifidobacterium breve] 
gi|489924759|ref|WP_003828100.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924760|ref|WP_003828101.1|	DNA helicase [Bifidobacterium breve] 
gi|489924761|ref|WP_003828102.1|	glutamate ligase [Bifidobacterium breve] 
gi|489924762|ref|WP_003828103.1|	glutamine amidotransferase [Bifidobacterium breve] 
gi|489924763|ref|WP_003828104.1|	hypothetical protein [Bifidobacterium breve] 
