gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489622921|ref|WP_003527361.1|	hypothetical protein [[Clostridium] leptum] 
gi|488489464|ref|WP_002532950.1|	MULTISPECIES: membrane protein [Bacteria] 
gi|489622923|ref|WP_003527363.1|	membrane protein [[Clostridium] leptum] 
gi|489622926|ref|WP_003527366.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|488475567|ref|WP_002519237.1|	MULTISPECIES: pilus biosynthesis protein TadE [Bacteria] 
gi|489622944|ref|WP_003527384.1|	peptidoglycan-binding protein LysM [[Clostridium] leptum] 
gi|489622946|ref|WP_003527386.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622948|ref|WP_003527388.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622950|ref|WP_003527390.1|	hypothetical protein [[Clostridium] leptum] 
gi|488502821|ref|WP_002546260.1|	MULTISPECIES: Tat pathway signal sequence [Bacteria] 
gi|489622952|ref|WP_003527392.1|	molecular chaperone DnaJ [[Clostridium] leptum] 
gi|488475785|ref|WP_002519455.1|	MULTISPECIES: toxin-antitoxin system protein [Bacteria] 
gi|488475787|ref|WP_002519457.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622960|ref|WP_003527400.1|	decarboxylase [[Clostridium] leptum] 
gi|488480657|ref|WP_002524327.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622968|ref|WP_003527408.1|	antitoxin HicB [[Clostridium] leptum] 
gi|488480655|ref|WP_002524325.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|489622969|ref|WP_003527409.1|	hypothetical protein [[Clostridium] leptum] 
gi|488481510|ref|WP_002525180.1|	MULTISPECIES: deoxyribonuclease [Bacteria] 
gi|489622970|ref|WP_003527410.1|	exonuclease [[Clostridium] leptum] 
gi|489622978|ref|WP_003527418.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|489622980|ref|WP_003527420.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622981|ref|WP_003527421.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622982|ref|WP_003527422.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622984|ref|WP_003527424.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622986|ref|WP_003527426.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622988|ref|WP_003527428.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622990|ref|WP_003527430.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622992|ref|WP_003527432.1|	hypothetical protein [[Clostridium] leptum] 
gi|489622997|ref|WP_003527437.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623001|ref|WP_003527441.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623003|ref|WP_003527443.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623005|ref|WP_003527445.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623007|ref|WP_003527447.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623010|ref|WP_003527450.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623012|ref|WP_003527452.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623024|ref|WP_003527464.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623025|ref|WP_003527465.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623027|ref|WP_003527467.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623029|ref|WP_003527469.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623030|ref|WP_003527470.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623031|ref|WP_003527471.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623032|ref|WP_003527472.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623033|ref|WP_003527473.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623034|ref|WP_003527474.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623035|ref|WP_003527475.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623036|ref|WP_003527476.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623038|ref|WP_003527478.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623040|ref|WP_003527480.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623041|ref|WP_003527481.1|	pyruvate dehydrogenase E1 subunit alpha [[Clostridium] leptum] 
gi|489623043|ref|WP_003527483.1|	MULTISPECIES: TPP-dependent acetoin dehydrogenase complex E1 protein subunit beta [Clostridiales] 
gi|489623045|ref|WP_003527485.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623047|ref|WP_003527487.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623049|ref|WP_003527489.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623051|ref|WP_003527491.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623053|ref|WP_003527493.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623055|ref|WP_003527495.1|	ATPase [[Clostridium] leptum] 
gi|489623057|ref|WP_003527497.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623059|ref|WP_003527499.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623061|ref|WP_003527501.1|	ROK family transcriptional regulator [[Clostridium] leptum] 
gi|489623063|ref|WP_003527503.1|	carbohydrate kinase [[Clostridium] leptum] 
gi|489623065|ref|WP_003527505.1|	iditol 2-dehydrogenase [[Clostridium] leptum] 
gi|489623067|ref|WP_003527507.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623069|ref|WP_003527509.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623071|ref|WP_003527511.1|	preprotein translocase subunit SecA [[Clostridium] leptum] 
gi|489623073|ref|WP_003527513.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623077|ref|WP_003527517.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623075|ref|WP_003527515.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623079|ref|WP_003527519.1|	L-ribulose-5-phosphate 4-epimerase [[Clostridium] leptum] 
gi|489623081|ref|WP_003527521.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623083|ref|WP_003527523.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623085|ref|WP_003527525.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623087|ref|WP_003527527.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623089|ref|WP_003527529.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623090|ref|WP_003527530.1|	3-isopropylmalate dehydratase small subunit [[Clostridium] leptum] 
gi|489623092|ref|WP_003527532.1|	3-isopropylmalate dehydratase large subunit [[Clostridium] leptum] 
gi|489623093|ref|WP_003527533.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623096|ref|WP_003527536.1|	citrate synthase [[Clostridium] leptum] 
gi|489623098|ref|WP_003527538.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623100|ref|WP_003527540.1|	transferase [[Clostridium] leptum] 
gi|489623102|ref|WP_003527542.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623104|ref|WP_003527544.1|	acetolactate synthase [[Clostridium] leptum] 
gi|489623105|ref|WP_003527545.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623107|ref|WP_003527547.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623108|ref|WP_003527548.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623109|ref|WP_003527549.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623110|ref|WP_003527550.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623111|ref|WP_003527551.1|	fructokinase [[Clostridium] leptum] 
gi|489623112|ref|WP_003527552.1|	phosphoglucomutase [[Clostridium] leptum] 
gi|489623114|ref|WP_003527554.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623116|ref|WP_003527556.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623118|ref|WP_003527558.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623128|ref|WP_003527568.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623132|ref|WP_003527572.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623134|ref|WP_003527574.1|	ABC transporter permease [[Clostridium] leptum] 
gi|489623136|ref|WP_003527576.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489623138|ref|WP_003527578.1|	family 31 glucosidase [[Clostridium] leptum] 
gi|489623140|ref|WP_003527580.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623142|ref|WP_003527582.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623143|ref|WP_003527583.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623151|ref|WP_003527591.1|	multidrug MFS transporter [[Clostridium] leptum] 
gi|489623153|ref|WP_003527593.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623155|ref|WP_003527595.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623157|ref|WP_003527597.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623159|ref|WP_003527599.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623161|ref|WP_003527601.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623162|ref|WP_003527602.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623163|ref|WP_003527603.1|	phosphoenolpyruvate decarboxylase [[Clostridium] leptum] 
gi|489623164|ref|WP_003527604.1|	nucleotidyltransferase [[Clostridium] leptum] 
gi|489623165|ref|WP_003527605.1|	MULTISPECIES: phosphoenolpyruvate phosphomutase [Clostridiales] 
gi|489623167|ref|WP_003527607.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623169|ref|WP_003527609.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623170|ref|WP_003527610.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623171|ref|WP_003527611.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623172|ref|WP_003527612.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623178|ref|WP_003527618.1|	histidine kinase [[Clostridium] leptum] 
gi|489623179|ref|WP_003527619.1|	MULTISPECIES: PhoB family transcriptional regulator [Clostridiales] 
gi|489623185|ref|WP_003527625.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623186|ref|WP_003527626.1|	fumarate hydratase [[Clostridium] leptum] 
gi|489623187|ref|WP_003527627.1|	MULTISPECIES: fumarate hydratase [Clostridiales] 
gi|489623188|ref|WP_003527628.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623189|ref|WP_003527629.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623190|ref|WP_003527630.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623191|ref|WP_003527631.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623192|ref|WP_003527632.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600422|ref|WP_004465442.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600424|ref|WP_004465444.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600426|ref|WP_004465446.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600428|ref|WP_004465448.1|	30S ribosomal protein S9 [[Clostridium] leptum] 
gi|490600430|ref|WP_004465450.1|	50S ribosomal protein L13 [[Clostridium] leptum] 
gi|490600431|ref|WP_004465451.1|	ATPase [[Clostridium] leptum] 
gi|490600433|ref|WP_004465453.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600435|ref|WP_004465455.1|	MULTISPECIES: ATP-dependent Clp protease ATP-binding protein [Clostridiales] 
gi|490600437|ref|WP_004465457.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600438|ref|WP_004465458.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600440|ref|WP_004465460.1|	tryptophanyl-tRNA synthetase [[Clostridium] leptum] 
gi|490600443|ref|WP_004465463.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600442|ref|WP_004465462.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600446|ref|WP_004465466.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600448|ref|WP_004465468.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600450|ref|WP_004465470.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600452|ref|WP_004465472.1|	alanine racemase [[Clostridium] leptum] 
gi|490600453|ref|WP_004465473.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600455|ref|WP_004465475.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600457|ref|WP_004465477.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600459|ref|WP_004465479.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600461|ref|WP_004465481.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600463|ref|WP_004465483.1|	peptidyl-tRNA hydrolase [[Clostridium] leptum] 
gi|490600465|ref|WP_004465485.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600467|ref|WP_004465487.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600469|ref|WP_004465489.1|	ribose-phosphate pyrophosphokinase [[Clostridium] leptum] 
gi|490600471|ref|WP_004465491.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600476|ref|WP_004465496.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600474|ref|WP_004465494.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600478|ref|WP_004465498.1|	pyruvate phosphate dikinase [[Clostridium] leptum] 
gi|490600480|ref|WP_004465500.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600482|ref|WP_004465502.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600484|ref|WP_004465504.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600485|ref|WP_004465505.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600487|ref|WP_004465507.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600490|ref|WP_004465510.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600492|ref|WP_004465512.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600493|ref|WP_004465513.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600495|ref|WP_004465515.1|	permease [[Clostridium] leptum] 
gi|490600496|ref|WP_004465516.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600498|ref|WP_004465518.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600499|ref|WP_004465519.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600501|ref|WP_004465521.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600503|ref|WP_004465523.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600504|ref|WP_004465524.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600506|ref|WP_004465526.1|	iron transporter FeoA [[Clostridium] leptum] 
gi|490600507|ref|WP_004465527.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600510|ref|WP_004465530.1|	fructose-bisphosphate aldolase [[Clostridium] leptum] 
gi|490600512|ref|WP_004465532.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600514|ref|WP_004465534.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|490600516|ref|WP_004465536.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600520|ref|WP_004465540.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600518|ref|WP_004465538.1|	hypothetical protein [[Clostridium] leptum] 
