gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494396274|ref|WP_007209428.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|488626048|ref|WP_002562754.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396279|ref|WP_007209429.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396282|ref|WP_007209430.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396284|ref|WP_007209431.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396286|ref|WP_007209432.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396288|ref|WP_007209433.1|	protease [Bacteroides cellulosilyticus] 
gi|494396290|ref|WP_007209434.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396293|ref|WP_007209435.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396295|ref|WP_007209436.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396297|ref|WP_007209437.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396299|ref|WP_007209438.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396301|ref|WP_007209439.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|488626032|ref|WP_002562738.1|	MULTISPECIES: toxin RelE [Bacteroides] 
gi|494396304|ref|WP_007209440.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396306|ref|WP_007209441.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|488626029|ref|WP_002562735.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|488626028|ref|WP_002562734.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396309|ref|WP_007209442.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396311|ref|WP_007209443.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396313|ref|WP_007209444.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396315|ref|WP_007209445.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396317|ref|WP_007209446.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396320|ref|WP_007209447.1|	flavodoxin [Bacteroides cellulosilyticus] 
gi|494396323|ref|WP_007209448.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396325|ref|WP_007209449.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396327|ref|WP_007209450.1|	DNA repair protein RadA [Bacteroides cellulosilyticus] 
gi|494396329|ref|WP_007209451.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396331|ref|WP_007209452.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396333|ref|WP_007209453.1|	beta-glucosidase [Bacteroides cellulosilyticus] 
gi|494396335|ref|WP_007209454.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396337|ref|WP_007209455.1|	heat-shock protein Hsp90 [Bacteroides cellulosilyticus] 
gi|494396339|ref|WP_007209456.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396341|ref|WP_007209457.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396343|ref|WP_007209458.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396345|ref|WP_007209459.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396347|ref|WP_007209460.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396349|ref|WP_007209461.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396351|ref|WP_007209462.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396354|ref|WP_007209463.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396356|ref|WP_007209464.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396358|ref|WP_007209465.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396360|ref|WP_007209466.1|	1-alkyl-2-acetylglycerophosphocholine esterase [Bacteroides cellulosilyticus] 
gi|494396362|ref|WP_007209467.1|	MULTISPECIES: aspartokinase [Bacteroides] 
gi|494396365|ref|WP_007209468.1|	phosphoglycerate mutase [Bacteroides cellulosilyticus] 
gi|494396367|ref|WP_007209469.1|	threonine synthase [Bacteroides cellulosilyticus] 
gi|494396369|ref|WP_007209470.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396371|ref|WP_007209471.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396374|ref|WP_007209472.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396377|ref|WP_007209473.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396379|ref|WP_007209474.1|	permease [Bacteroides cellulosilyticus] 
gi|494396381|ref|WP_007209475.1|	thiamine pyrophosphokinase [Bacteroides cellulosilyticus] 
gi|494396383|ref|WP_007209476.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494396386|ref|WP_007209477.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494396388|ref|WP_007209478.1|	MULTISPECIES: mechanosensitive ion channel protein [Bacteroides] 
gi|494396390|ref|WP_007209479.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396392|ref|WP_007209480.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396394|ref|WP_007209481.1|	prevent-host-death protein [Bacteroides cellulosilyticus] 
gi|494396396|ref|WP_007209482.1|	anti-sigma factor [Bacteroides cellulosilyticus] 
gi|494396398|ref|WP_007209483.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396400|ref|WP_007209484.1|	RNA polymerase [Bacteroides cellulosilyticus] 
gi|494396402|ref|WP_007209485.1|	rhamnogalacturonan acetylesterase [Bacteroides cellulosilyticus] 
gi|494396404|ref|WP_007209486.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396406|ref|WP_007209487.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396410|ref|WP_007209488.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396412|ref|WP_007209489.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396414|ref|WP_007209490.1|	glycosyl hydrolase family 2 [Bacteroides cellulosilyticus] 
gi|494396416|ref|WP_007209491.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396417|ref|WP_007209492.1|	glycosyl hydrolase family 2 [Bacteroides cellulosilyticus] 
gi|494396419|ref|WP_007209493.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396422|ref|WP_007209494.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396425|ref|WP_007209495.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396428|ref|WP_007209496.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396430|ref|WP_007209497.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396431|ref|WP_007209498.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396433|ref|WP_007209499.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396435|ref|WP_007209500.1|	glycosyl hydrolase family 3 [Bacteroides cellulosilyticus] 
gi|494396437|ref|WP_007209501.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494396439|ref|WP_007209502.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396441|ref|WP_007209503.1|	9-O-acetylesterase [Bacteroides cellulosilyticus] 
gi|494396443|ref|WP_007209504.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396445|ref|WP_007209505.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396447|ref|WP_007209506.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396449|ref|WP_007209507.1|	alpha-1 2-mannosidase [Bacteroides cellulosilyticus] 
gi|494396452|ref|WP_007209508.1|	glycosyl hydrolase family 3 [Bacteroides cellulosilyticus] 
gi|494396455|ref|WP_007209509.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396457|ref|WP_007209510.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396459|ref|WP_007209511.1|	TonB-linked outer membrane protein [Bacteroides cellulosilyticus] 
gi|494396461|ref|WP_007209512.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396464|ref|WP_007209513.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396467|ref|WP_007209514.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396469|ref|WP_007209515.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396471|ref|WP_007209516.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396473|ref|WP_007209517.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396475|ref|WP_007209518.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396477|ref|WP_007209519.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396479|ref|WP_007209520.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396481|ref|WP_007209521.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396483|ref|WP_007209522.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396485|ref|WP_007209523.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396487|ref|WP_007209524.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396489|ref|WP_007209525.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396491|ref|WP_007209526.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396493|ref|WP_007209527.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396495|ref|WP_007209528.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396498|ref|WP_007209529.1|	heparan N-sulfatase [Bacteroides cellulosilyticus] 
gi|494396500|ref|WP_007209530.1|	acetyltransferase [Bacteroides cellulosilyticus] 
gi|494396502|ref|WP_007209531.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396505|ref|WP_007209532.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396507|ref|WP_007209533.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396509|ref|WP_007209534.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|494396511|ref|WP_007209535.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396513|ref|WP_007209536.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396515|ref|WP_007209537.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396517|ref|WP_007209538.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396519|ref|WP_007209539.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396522|ref|WP_007209540.1|	sugar ABC transporter [Bacteroides cellulosilyticus] 
gi|494396524|ref|WP_007209541.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396526|ref|WP_007209542.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396528|ref|WP_007209543.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396530|ref|WP_007209544.1|	starch-binding protein [Bacteroides cellulosilyticus] 
gi|494396532|ref|WP_007209545.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396534|ref|WP_007209546.1|	glycoside hydrolase family 20 [Bacteroides cellulosilyticus] 
gi|494396536|ref|WP_007209547.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494396538|ref|WP_007209548.1|	methyltransferase type 11 [Bacteroides cellulosilyticus] 
gi|494396540|ref|WP_007209549.1|	ribosome biogenesis GTPase RsgA [Bacteroides cellulosilyticus] 
gi|494396542|ref|WP_007209550.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|494396545|ref|WP_007209551.1|	cation transporter [Bacteroides cellulosilyticus] 
gi|494396547|ref|WP_007209552.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396549|ref|WP_007209553.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396551|ref|WP_007209554.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396553|ref|WP_007209555.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396555|ref|WP_007209556.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396557|ref|WP_007209557.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396559|ref|WP_007209558.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396561|ref|WP_007209559.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396563|ref|WP_007209560.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396565|ref|WP_007209561.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396567|ref|WP_007209562.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396569|ref|WP_007209563.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396571|ref|WP_007209564.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396573|ref|WP_007209565.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396575|ref|WP_007209566.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396577|ref|WP_007209567.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396579|ref|WP_007209568.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396581|ref|WP_007209569.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396583|ref|WP_007209570.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396585|ref|WP_007209571.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396587|ref|WP_007209572.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396589|ref|WP_007209573.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396591|ref|WP_007209574.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396593|ref|WP_007209575.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396595|ref|WP_007209576.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396597|ref|WP_007209577.1|	integrase [Bacteroides cellulosilyticus] 
gi|494396599|ref|WP_007209578.1|	TetR family transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494396601|ref|WP_007209579.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Bacteroides] 
gi|494396603|ref|WP_007209580.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396605|ref|WP_007209581.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494396608|ref|WP_007209582.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494396610|ref|WP_007209583.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|494396612|ref|WP_007209584.1|	peptidase [Bacteroides cellulosilyticus] 
gi|494396614|ref|WP_007209585.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396616|ref|WP_007209586.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396618|ref|WP_007209587.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396620|ref|WP_007209588.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396622|ref|WP_007209589.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396624|ref|WP_007209590.1|	peptidase M6 [Bacteroides cellulosilyticus] 
gi|494396626|ref|WP_007209591.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396628|ref|WP_007209592.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396630|ref|WP_007209593.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396632|ref|WP_007209594.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396634|ref|WP_007209595.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396636|ref|WP_007209596.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396639|ref|WP_007209597.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396641|ref|WP_007209598.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396644|ref|WP_007209599.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396646|ref|WP_007209600.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396648|ref|WP_007209601.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396650|ref|WP_007209602.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396653|ref|WP_007209603.1|	ABC transporter ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494396655|ref|WP_007209604.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396657|ref|WP_007209605.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396659|ref|WP_007209606.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396661|ref|WP_007209607.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396663|ref|WP_007209608.1|	helicase [Bacteroides cellulosilyticus] 
gi|494396665|ref|WP_007209609.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396668|ref|WP_007209610.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396670|ref|WP_007209611.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Bacteroides] 
gi|494396672|ref|WP_007209612.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396674|ref|WP_007209613.1|	multidrug transporter MatE [Bacteroides cellulosilyticus] 
gi|494396676|ref|WP_007209614.1|	sensor histidine kinase [Bacteroides cellulosilyticus] 
gi|494396678|ref|WP_007209615.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396680|ref|WP_007209616.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396682|ref|WP_007209617.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396684|ref|WP_007209618.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494396686|ref|WP_007209619.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396688|ref|WP_007209620.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396690|ref|WP_007209621.1|	ABC transporter ATP-binding protein [Bacteroides cellulosilyticus] 
gi|494396692|ref|WP_007209622.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396694|ref|WP_007209623.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396696|ref|WP_007209624.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396698|ref|WP_007209625.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396700|ref|WP_007209626.1|	beta-galactosidase [Bacteroides cellulosilyticus] 
gi|494396702|ref|WP_007209627.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396704|ref|WP_007209628.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396706|ref|WP_007209629.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396708|ref|WP_007209630.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396711|ref|WP_007209631.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|494396713|ref|WP_007209632.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396715|ref|WP_007209633.1|	heat-shock protein Hsp90 [Bacteroides cellulosilyticus] 
gi|494396717|ref|WP_007209634.1|	glycosyl transferase family 2 [Bacteroides cellulosilyticus] 
gi|494396719|ref|WP_007209635.1|	peptidase M13 [Bacteroides cellulosilyticus] 
gi|494396721|ref|WP_007209636.1|	MULTISPECIES: phosphoribosylaminoimidazolecarboxamide formyltransferase [Bacteroides] 
gi|494396723|ref|WP_007209637.1|	MULTISPECIES: rod shape-determining protein MreB [Bacteroides] 
gi|494396725|ref|WP_007209638.1|	rod shape-determining protein MreC [Bacteroides cellulosilyticus] 
gi|494396727|ref|WP_007209639.1|	rod shape-determining protein MreD [Bacteroides cellulosilyticus] 
gi|494396729|ref|WP_007209640.1|	MULTISPECIES: penicillin-binding protein 2 [Bacteroides] 
gi|494396731|ref|WP_007209641.1|	rod shape-determining protein RodA [Bacteroides cellulosilyticus] 
gi|494396733|ref|WP_007209642.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396735|ref|WP_007209643.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396737|ref|WP_007209644.1|	DNA polymerase III subunit delta [Bacteroides cellulosilyticus] 
gi|494396739|ref|WP_007209645.1|	5,10-methylenetetrahydrofolate reductase [Bacteroides cellulosilyticus] 
gi|494396741|ref|WP_007209646.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396743|ref|WP_007209647.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396745|ref|WP_007209648.1|	MULTISPECIES: homoserine O-succinyltransferase [Bacteroides] 
gi|494396748|ref|WP_007209649.1|	protease [Bacteroides cellulosilyticus] 
gi|494396750|ref|WP_007209650.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396752|ref|WP_007209651.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396754|ref|WP_007209652.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396781|ref|WP_007209653.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396783|ref|WP_007209654.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|490423292|ref|WP_004295507.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490456666|ref|WP_004327436.1|	MULTISPECIES: txe/YoeB family addiction module toxin [Bacteria] 
gi|494396836|ref|WP_007209655.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396838|ref|WP_007209656.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|490423296|ref|WP_004295511.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490423295|ref|WP_004295510.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|494396845|ref|WP_007209657.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396847|ref|WP_007209658.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396864|ref|WP_007209659.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396866|ref|WP_007209660.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396869|ref|WP_007209661.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396871|ref|WP_007209662.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396873|ref|WP_007209663.1|	ATPase AAA [Bacteroides cellulosilyticus] 
gi|494396875|ref|WP_007209664.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396877|ref|WP_007209665.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396879|ref|WP_007209666.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396881|ref|WP_007209667.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396884|ref|WP_007209668.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396886|ref|WP_007209669.1|	adenosylmethionine-8-amino-7-oxononanoate aminotransferase [Bacteroides cellulosilyticus] 
gi|494396888|ref|WP_007209670.1|	8-amino-7-oxononanoate synthase [Bacteroides cellulosilyticus] 
gi|494396890|ref|WP_007209671.1|	biotin synthase [Bacteroides cellulosilyticus] 
gi|494396892|ref|WP_007209672.1|	malonyl-CoA O-methyltransferase [Bacteroides cellulosilyticus] 
gi|494396894|ref|WP_007209673.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396899|ref|WP_007209674.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396901|ref|WP_007209675.1|	alanine dehydrogenase [Bacteroides cellulosilyticus] 
gi|494396903|ref|WP_007209676.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|494396914|ref|WP_007209677.1|	MULTISPECIES: glutamate decarboxylase [Bacteroides] 
gi|494396916|ref|WP_007209678.1|	MULTISPECIES: glutaminase [Bacteroides] 
gi|494396918|ref|WP_007209679.1|	MULTISPECIES: potassium channel protein [Bacteroides] 
gi|494396920|ref|WP_007209680.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396922|ref|WP_007209681.1|	MULTISPECIES: 2-nitropropane dioxygenase [Bacteroides] 
gi|494396924|ref|WP_007209682.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396928|ref|WP_007209683.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396930|ref|WP_007209684.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396936|ref|WP_007209685.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|494396938|ref|WP_007209686.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396940|ref|WP_007209687.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396943|ref|WP_007209688.1|	MULTISPECIES: nicotinate-nucleotide pyrophosphorylase [Bacteroides] 
gi|494396945|ref|WP_007209689.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494396947|ref|WP_007209690.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396949|ref|WP_007209691.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494396951|ref|WP_007209692.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
