gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495106127|ref|WP_007830950.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|495106129|ref|WP_007830952.1|	starch-binding protein [Bacteroides dorei] 
gi|495106130|ref|WP_007830953.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495106134|ref|WP_007830957.1|	hypothetical protein [Bacteroides dorei] 
gi|495106137|ref|WP_007830960.1|	MULTISPECIES: 3,4-dihydroxy-2-butanone 4-phosphate synthase [Bacteroides] 
gi|492431274|ref|WP_005842359.1|	MULTISPECIES: alkaline phosphatase [Bacteroides] 
gi|495106139|ref|WP_007830962.1|	MULTISPECIES: transketolase [Bacteroides] 
gi|495106140|ref|WP_007830963.1|	MULTISPECIES: transketolase [Bacteroides] 
gi|495106141|ref|WP_007830964.1|	glycerol kinase [Bacteroides dorei] 
gi|495106151|ref|WP_007830974.1|	MULTISPECIES: fucose isomerase [Bacteroides] 
gi|495106155|ref|WP_007830978.1|	membrane protein [Bacteroides dorei] 
gi|495106157|ref|WP_007830980.1|	sugar ABC transporter [Bacteroides dorei] 
gi|495106170|ref|WP_007830993.1|	histidyl-tRNA synthase [Bacteroides dorei] 
gi|495106172|ref|WP_007830995.1|	GTP-binding protein [Bacteroides dorei] 
gi|495106174|ref|WP_007830997.1|	thiamine biosynthesis protein ThiH [Bacteroides dorei] 
gi|495106176|ref|WP_007830999.1|	biotin synthase [Bacteroides dorei] 
gi|495106178|ref|WP_007831001.1|	hydrogenase [Bacteroides dorei] 
gi|492431230|ref|WP_005842331.1|	MULTISPECIES: molecular chaperone GroES [Bacteroidales] 
gi|492431223|ref|WP_005842327.1|	MULTISPECIES: molecular chaperone GroEL [Bacteroides] 
gi|495106180|ref|WP_007831003.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|495106187|ref|WP_007831010.1|	MULTISPECIES: cAMP-binding protein [Bacteroides] 
gi|495106189|ref|WP_007831012.1|	MULTISPECIES: carbonate dehydratase [Bacteroides] 
gi|495106190|ref|WP_007831013.1|	MULTISPECIES: glycosyl hydrolase family 109 [Bacteroides] 
gi|495106192|ref|WP_007831015.1|	hypothetical protein [Bacteroides dorei] 
gi|495106195|ref|WP_007831018.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106198|ref|WP_007831021.1|	general stress protein [Bacteroides dorei] 
gi|495106200|ref|WP_007831023.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106202|ref|WP_007831025.1|	hypothetical protein [Bacteroides dorei] 
gi|495106203|ref|WP_007831026.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106204|ref|WP_007831027.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106205|ref|WP_007831028.1|	NTP pyrophosphohydrolase [Bacteroides dorei] 
gi|495106206|ref|WP_007831029.1|	MULTISPECIES: histidine ammonia-lyase [Bacteroides] 
gi|495106208|ref|WP_007831031.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106214|ref|WP_007831037.1|	MULTISPECIES: imidazolonepropionase [Bacteroides] 
gi|495106215|ref|WP_007831038.1|	glutamate formiminotransferase [Bacteroides dorei] 
gi|495106219|ref|WP_007831042.1|	urocanate hydratase [Bacteroides dorei] 
gi|495106224|ref|WP_007831047.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106225|ref|WP_007831048.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106230|ref|WP_007831053.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106231|ref|WP_007831054.1|	hypothetical protein [Bacteroides dorei] 
gi|495106232|ref|WP_007831055.1|	hypothetical protein [Bacteroides dorei] 
gi|495106233|ref|WP_007831056.1|	hypothetical protein [Bacteroides dorei] 
gi|495106234|ref|WP_007831057.1|	MULTISPECIES: S-adenosylmethionine tRNA ribosyltransferase [Bacteroides] 
gi|495106235|ref|WP_007831058.1|	MULTISPECIES: mannonate oxidoreductase [Bacteroides] 
gi|495106243|ref|WP_007831066.1|	MULTISPECIES: phenylacetic acid degradation protein [Bacteroides] 
gi|495106245|ref|WP_007831068.1|	MULTISPECIES: histidine decarboxylase [Bacteroides] 
gi|495106248|ref|WP_007831071.1|	MULTISPECIES: acyl-CoA dehydrogenase [Bacteroides] 
gi|495106249|ref|WP_007831072.1|	MULTISPECIES: electron transfer flavoprotein subunit alpha [Bacteroides] 
gi|495106250|ref|WP_007831073.1|	electron transfer flavoprotein subunit beta [Bacteroides dorei] 
gi|495106251|ref|WP_007831074.1|	hypothetical protein [Bacteroides dorei] 
gi|495106252|ref|WP_007831075.1|	hypothetical protein [Bacteroides dorei] 
gi|495106253|ref|WP_007831076.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106255|ref|WP_007831078.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106257|ref|WP_007831080.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106259|ref|WP_007831082.1|	transporter [Bacteroides dorei] 
gi|495106261|ref|WP_007831084.1|	hemolysin D [Bacteroides dorei] 
gi|495106262|ref|WP_007831085.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495106263|ref|WP_007831086.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106264|ref|WP_007831087.1|	MULTISPECIES: histidine kinase [Bacteroides] 
gi|495106265|ref|WP_007831088.1|	MULTISPECIES: TonB-dependent receptor [Bacteroides] 
gi|495106266|ref|WP_007831089.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106268|ref|WP_007831091.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106270|ref|WP_007831093.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106271|ref|WP_007831094.1|	MULTISPECIES: methylmalonyl-CoA mutase [Bacteroides] 
gi|495106272|ref|WP_007831095.1|	methylmalonyl-CoA mutase [Bacteroides dorei] 
gi|495106273|ref|WP_007831096.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495106274|ref|WP_007831097.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|495106275|ref|WP_007831098.1|	RNA polymerase sigma 70 [Bacteroides dorei] 
gi|495106276|ref|WP_007831099.1|	anti-sigma factor [Bacteroides dorei] 
gi|495106278|ref|WP_007831101.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106279|ref|WP_007831102.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106280|ref|WP_007831103.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106285|ref|WP_007831108.1|	beta-galactosidase [Bacteroides dorei] 
gi|495106287|ref|WP_007831110.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106289|ref|WP_007831112.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106291|ref|WP_007831114.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106298|ref|WP_007831121.1|	hypothetical protein [Bacteroides dorei] 
gi|492462719|ref|WP_005853009.1|	MULTISPECIES: dTDP-glucose 4,6-dehydratase [Bacteroides] 
gi|495106302|ref|WP_007831125.1|	MULTISPECIES: phosphoesterase [Bacteroides] 
gi|495106304|ref|WP_007831127.1|	MULTISPECIES: polyphosphate kinase [Bacteroides] 
gi|495106306|ref|WP_007831129.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106310|ref|WP_007831133.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106311|ref|WP_007831134.1|	hypothetical protein [Bacteroides dorei] 
gi|492443390|ref|WP_005845663.1|	MULTISPECIES: peptidase C39 family [Bacteroides] 
gi|495106312|ref|WP_007831135.1|	MULTISPECIES: radical SAM protein [Bacteroides] 
gi|495106313|ref|WP_007831136.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106316|ref|WP_007831139.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|495106319|ref|WP_007831142.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|495106328|ref|WP_007831151.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492462759|ref|WP_005853034.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492462762|ref|WP_005853036.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106330|ref|WP_007831153.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106331|ref|WP_007831154.1|	radical SAM protein [Bacteroides dorei] 
gi|495106332|ref|WP_007831155.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106333|ref|WP_007831156.1|	hypothetical protein [Bacteroides dorei] 
gi|495106334|ref|WP_007831157.1|	radical SAM protein [Bacteroides dorei] 
gi|495106335|ref|WP_007831158.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|495106336|ref|WP_007831159.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106337|ref|WP_007831160.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106338|ref|WP_007831161.1|	hypothetical protein [Bacteroides dorei] 
gi|495106339|ref|WP_007831162.1|	hypothetical protein [Bacteroides dorei] 
gi|495106340|ref|WP_007831163.1|	hypothetical protein [Bacteroides dorei] 
gi|495106341|ref|WP_007831164.1|	hypothetical protein [Bacteroides dorei] 
gi|495106342|ref|WP_007831165.1|	hypothetical protein [Bacteroides dorei] 
gi|495106344|ref|WP_007831167.1|	hypothetical protein [Bacteroides dorei] 
gi|495106345|ref|WP_007831168.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106347|ref|WP_007831170.1|	hypothetical protein [Bacteroides dorei] 
gi|492443329|ref|WP_005845633.1|	MULTISPECIES: cytidylate kinase [Bacteroides] 
gi|495106350|ref|WP_007831173.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|495106352|ref|WP_007831175.1|	MULTISPECIES: serine protease [Bacteroides] 
gi|495106353|ref|WP_007831176.1|	exodeoxyribonuclease VII large subunit [Bacteroides dorei] 
gi|495106354|ref|WP_007831177.1|	MULTISPECIES: exodeoxyribonuclease VII [Bacteroides] 
gi|495106355|ref|WP_007831178.1|	hypothetical protein [Bacteroides dorei] 
gi|495106356|ref|WP_007831179.1|	MULTISPECIES: branched-chain amino acid aminotransferase [Bacteroides] 
gi|495106357|ref|WP_007831180.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106358|ref|WP_007831181.1|	tRNA (guanine-N(7)-)-methyltransferase [Bacteroides dorei] 
gi|495106360|ref|WP_007831183.1|	sodium:proton antiporter [Bacteroides dorei] 
gi|495106362|ref|WP_007831185.1|	energry transducer TonB [Bacteroides dorei] 
gi|495106363|ref|WP_007831186.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495106365|ref|WP_007831188.1|	hypothetical protein [Bacteroides dorei] 
gi|495106366|ref|WP_007831189.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106368|ref|WP_007831191.1|	membrane protein [Bacteroides dorei] 
gi|495106370|ref|WP_007831193.1|	MULTISPECIES: hemolysin secretion protein D [Bacteroides] 
gi|495106381|ref|WP_007831204.1|	MULTISPECIES: alkaline protease [Bacteroides] 
gi|495106384|ref|WP_007831207.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106386|ref|WP_007831209.1|	MULTISPECIES: malate dehydrogenase [Bacteroides] 
gi|495106389|ref|WP_007831212.1|	hypothetical protein [Bacteroides dorei] 
gi|492443257|ref|WP_005845588.1|	MULTISPECIES: chromosome partitioning protein ParB [Bacteroides] 
gi|495106391|ref|WP_007831214.1|	MULTISPECIES: phosphoadenosine phosphosulfate reductase [Bacteroides] 
gi|495106393|ref|WP_007831216.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492443251|ref|WP_005845584.1|	MULTISPECIES: glutamate dehydrogenase [Bacteroides] 
gi|495106397|ref|WP_007831220.1|	MULTISPECIES: phosphoenolpyruvate synthase [Bacteroides] 
gi|495106398|ref|WP_007831221.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106400|ref|WP_007831223.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106402|ref|WP_007831225.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106403|ref|WP_007831226.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106405|ref|WP_007831228.1|	MULTISPECIES: glutamate dehydrogenase [Bacteroides] 
gi|495106407|ref|WP_007831230.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106409|ref|WP_007831232.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106410|ref|WP_007831233.1|	hemolysin D [Bacteroides dorei] 
gi|495106411|ref|WP_007831234.1|	MULTISPECIES: multidrug transporter AcrB [Bacteroides] 
gi|495106412|ref|WP_007831235.1|	multidrug transporter [Bacteroides dorei] 
gi|495106413|ref|WP_007831236.1|	MULTISPECIES: UDP-N-acetylglucosamine acyltransferase [Bacteroides] 
gi|495106414|ref|WP_007831237.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495106415|ref|WP_007831238.1|	MULTISPECIES: transporter [Bacteroides] 
gi|495106416|ref|WP_007831239.1|	MULTISPECIES: RND transporter MFP subunit [Bacteroides] 
gi|495106417|ref|WP_007831240.1|	multidrug transporter AcrB [Bacteroides dorei] 
gi|495106418|ref|WP_007831241.1|	hypothetical protein [Bacteroides dorei] 
gi|495106419|ref|WP_007831242.1|	hypothetical protein [Bacteroides dorei] 
gi|495106420|ref|WP_007831243.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106421|ref|WP_007831244.1|	alginate O-acetyltransferase [Bacteroides dorei] 
gi|495106422|ref|WP_007831245.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106423|ref|WP_007831246.1|	hypothetical protein [Bacteroides dorei] 
gi|495106424|ref|WP_007831247.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106425|ref|WP_007831248.1|	hypothetical protein [Bacteroides dorei] 
gi|495106440|ref|WP_007831263.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106441|ref|WP_007831264.1|	MULTISPECIES: flagellar motor protein MotA [Bacteroides] 
gi|495106442|ref|WP_007831265.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106443|ref|WP_007831266.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106444|ref|WP_007831267.1|	MULTISPECIES: cell envelope biogenesis protein TonB [Bacteroides] 
gi|495106446|ref|WP_007831269.1|	MULTISPECIES: phosphate ABC transporter substrate-binding protein [Bacteroides] 
gi|495106448|ref|WP_007831271.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106451|ref|WP_007831274.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|495106453|ref|WP_007831276.1|	membrane protein [Bacteroides dorei] 
gi|495106456|ref|WP_007831279.1|	GntR family transcriptional regulator [Bacteroides dorei] 
gi|495106458|ref|WP_007831281.1|	MULTISPECIES: aminopeptidase [Bacteroides] 
gi|495106457|ref|WP_007831280.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106459|ref|WP_007831282.1|	MULTISPECIES: multidrug transporter MatE [Bacteroides] 
gi|495106460|ref|WP_007831283.1|	MULTISPECIES: adenylosuccinate lyase [Bacteroides] 
gi|495106461|ref|WP_007831284.1|	hypothetical protein [Bacteroides dorei] 
gi|495106463|ref|WP_007831286.1|	hypothetical protein [Bacteroides dorei] 
gi|495106465|ref|WP_007831288.1|	MULTISPECIES: asparaginyl-tRNA synthetase [Bacteroides] 
gi|495106467|ref|WP_007831290.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106468|ref|WP_007831291.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106469|ref|WP_007831292.1|	hypothetical protein [Bacteroides dorei] 
gi|495106470|ref|WP_007831293.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106471|ref|WP_007831294.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492422521|ref|WP_005839194.1|	MULTISPECIES: 50S ribosomal protein L13 [Bacteroides] 
gi|492422524|ref|WP_005839197.1|	MULTISPECIES: 30S ribosomal protein S9 [Bacteroides] 
gi|495106475|ref|WP_007831298.1|	MULTISPECIES: 30S ribosomal protein S2 [Bacteroides] 
gi|495106477|ref|WP_007831300.1|	MULTISPECIES: elongation factor Ts [Bacteroides] 
gi|495106478|ref|WP_007831301.1|	MULTISPECIES: translation initiation factor SUI1 [Bacteroides] 
gi|495106480|ref|WP_007831303.1|	MULTISPECIES: REX family transcriptional regulator [Bacteroides] 
gi|495106481|ref|WP_007831304.1|	2-hydroxyhepta-2,4-diene-1,7-dioate isomerase [Bacteroides dorei] 
gi|495106482|ref|WP_007831305.1|	MULTISPECIES: 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [Bacteroides] 
gi|495106483|ref|WP_007831306.1|	MULTISPECIES: 1,4-dihydroxy-2-naphthoate prenyltransferase [Bacteroides] 
gi|495106484|ref|WP_007831307.1|	metallophosphatase [Bacteroides dorei] 
gi|495106485|ref|WP_007831308.1|	hypothetical protein [Bacteroides dorei] 
gi|495106493|ref|WP_007831316.1|	nicotinate-nucleotide adenylyltransferase [Bacteroides dorei] 
gi|495106494|ref|WP_007831317.1|	hypothetical protein [Bacteroides dorei] 
gi|495106495|ref|WP_007831318.1|	MULTISPECIES: guanylate kinase [Bacteroides] 
gi|495106496|ref|WP_007831319.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106498|ref|WP_007831321.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106500|ref|WP_007831323.1|	MULTISPECIES: glycoprotease [Bacteroides] 
gi|495106502|ref|WP_007831325.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106504|ref|WP_007831327.1|	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Bacteroides] 
gi|495106507|ref|WP_007831330.1|	MULTISPECIES: 16S rRNA-processing protein RimM [Bacteroides] 
gi|492422563|ref|WP_005839236.1|	MULTISPECIES: peptidase M23 [Bacteroides] 
gi|495106509|ref|WP_007831332.1|	MULTISPECIES: 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Bacteroides] 
gi|495106514|ref|WP_007831337.1|	MULTISPECIES: zinc metalloprotease [Bacteroides] 
gi|495106516|ref|WP_007831339.1|	MULTISPECIES: ribonucleoside-triphosphate reductase [Bacteroides] 
gi|495106518|ref|WP_007831341.1|	ribonucleoside triphosphate reductase [Bacteroides dorei] 
gi|495106520|ref|WP_007831343.1|	MULTISPECIES: hemolysin III [Bacteroides] 
gi|495106522|ref|WP_007831345.1|	tRNA nucleotidyltransferase [Bacteroides dorei] 
gi|495106524|ref|WP_007831347.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106526|ref|WP_007831349.1|	MULTISPECIES: Holliday junction DNA helicase RuvA [Bacteroides] 
gi|495106528|ref|WP_007831351.1|	MULTISPECIES: oxidoreductase [Bacteroidales] 
gi|495106530|ref|WP_007831353.1|	MULTISPECIES: prolipoprotein diacylglyceryl transferase [Bacteroides] 
gi|495106532|ref|WP_007831355.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|495106534|ref|WP_007831357.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106545|ref|WP_007831368.1|	2,6-beta-D-fructofuranosidase [Bacteroides dorei] 
gi|495106547|ref|WP_007831370.1|	2,6-beta-D-fructofuranosidase [Bacteroides dorei] 
gi|495106549|ref|WP_007831372.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|495106552|ref|WP_007831375.1|	2-dehydro-3-deoxygluconokinase [Bacteroides dorei] 
gi|495106555|ref|WP_007831378.1|	sensor histidine kinase [Bacteroides dorei] 
gi|495106556|ref|WP_007831379.1|	amino acid-binding protein [Bacteroides dorei] 
gi|495106557|ref|WP_007831380.1|	MULTISPECIES: phenylacetate-CoA ligase [Bacteroides] 
gi|495106558|ref|WP_007831381.1|	hypothetical protein [Bacteroides dorei] 
gi|495106559|ref|WP_007831382.1|	50S ribosomal protein L31 [Bacteroides dorei] 
gi|495106560|ref|WP_007831383.1|	MULTISPECIES: fructose-bisphosphate aldolase [Bacteroides] 
gi|495106561|ref|WP_007831384.1|	AraC family transcriptional regulator [Bacteroides dorei] 
gi|495106562|ref|WP_007831385.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|495106563|ref|WP_007831386.1|	hypothetical protein [Bacteroides dorei] 
gi|495106564|ref|WP_007831387.1|	hypothetical protein [Bacteroides dorei] 
gi|495106565|ref|WP_007831388.1|	multidrug transporter [Bacteroides dorei] 
gi|495106566|ref|WP_007831389.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106567|ref|WP_007831390.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106570|ref|WP_007831393.1|	oxalate:formate antiporter [Bacteroides dorei] 
