gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979110|ref|WP_007705134.1|	16S rRNA methyltransferase [[Clostridium] asparagiforme] 
gi|494979124|ref|WP_007705148.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979125|ref|WP_007705149.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979127|ref|WP_007705151.1|	MULTISPECIES: endonuclease IV [Clostridiales] 
gi|494979128|ref|WP_007705152.1|	alpha/beta hydrolase [[Clostridium] asparagiforme] 
gi|494979130|ref|WP_007705154.1|	MULTISPECIES: sporulation initiation inhibitor Soj [Clostridiales] 
gi|494979133|ref|WP_007705157.1|	MULTISPECIES: chromosome partioning protein ParB [Clostridiales] 
gi|494979136|ref|WP_007705160.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979143|ref|WP_007705167.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979147|ref|WP_007705171.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979149|ref|WP_007705173.1|	NDP-hexose 3-C-methyltransferase [[Clostridium] asparagiforme] 
gi|494979151|ref|WP_007705175.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979153|ref|WP_007705177.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979158|ref|WP_007705182.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979164|ref|WP_007705188.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979166|ref|WP_007705190.1|	glycoside hydrolase [[Clostridium] asparagiforme] 
gi|494979169|ref|WP_007705193.1|	metallophosphoesterase [[Clostridium] asparagiforme] 
gi|494979171|ref|WP_007705195.1|	MULTISPECIES: cell wall hydrolase [Clostridiales] 
gi|494979173|ref|WP_007705197.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979176|ref|WP_007705200.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979179|ref|WP_007705203.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979182|ref|WP_007705206.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979186|ref|WP_007705210.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979188|ref|WP_007705212.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979189|ref|WP_007705213.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979190|ref|WP_007705214.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979191|ref|WP_007705215.1|	aminotransferase [[Clostridium] asparagiforme] 
gi|494979192|ref|WP_007705216.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979193|ref|WP_007705217.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979196|ref|WP_007705220.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979200|ref|WP_007705224.1|	fructoselysine transporter [[Clostridium] asparagiforme] 
gi|494979203|ref|WP_007705227.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979209|ref|WP_007705233.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979210|ref|WP_007705234.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979211|ref|WP_007705235.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979218|ref|WP_007705242.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979222|ref|WP_007705246.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979224|ref|WP_007705248.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979228|ref|WP_007705252.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979229|ref|WP_007705253.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979230|ref|WP_007705254.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979231|ref|WP_007705255.1|	RNA polymerase subunit sigma-54 [[Clostridium] asparagiforme] 
gi|494979232|ref|WP_007705256.1|	aldo/keto reductase [[Clostridium] asparagiforme] 
gi|494979233|ref|WP_007705257.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494979234|ref|WP_007705258.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979235|ref|WP_007705259.1|	ribonucleotide-diphosphate reductase subunit alpha [[Clostridium] asparagiforme] 
gi|494979239|ref|WP_007705263.1|	ribonucleotide-diphosphate reductase subunit beta [[Clostridium] asparagiforme] 
gi|494979241|ref|WP_007705265.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979244|ref|WP_007705268.1|	peptidase M20 [[Clostridium] asparagiforme] 
gi|494979258|ref|WP_007705282.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979261|ref|WP_007705285.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979264|ref|WP_007705288.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979266|ref|WP_007705290.1|	PTS acetylglucosamine transporter subunit IIB [[Clostridium] asparagiforme] 
gi|494979267|ref|WP_007705291.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979268|ref|WP_007705292.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979269|ref|WP_007705293.1|	Fis family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979272|ref|WP_007705296.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979274|ref|WP_007705298.1|	4-hydroxythreonine-4-phosphate dehydrogenase [[Clostridium] asparagiforme] 
gi|494979277|ref|WP_007705301.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979278|ref|WP_007705302.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979289|ref|WP_007705313.1|	nucleotidyltransferase [[Clostridium] asparagiforme] 
gi|494979292|ref|WP_007705316.1|	MULTISPECIES: sporulation protein [Clostridiales] 
gi|494979295|ref|WP_007705319.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979299|ref|WP_007705323.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979302|ref|WP_007705326.1|	glucokinase [[Clostridium] asparagiforme] 
gi|494979305|ref|WP_007705329.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979308|ref|WP_007705332.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|494979312|ref|WP_007705336.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979314|ref|WP_007705338.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979318|ref|WP_007705342.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979321|ref|WP_007705345.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979323|ref|WP_007705347.1|	DNA mismatch repair protein MutS [[Clostridium] asparagiforme] 
gi|494979326|ref|WP_007705350.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979341|ref|WP_007705365.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979344|ref|WP_007705368.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979347|ref|WP_007705371.1|	hydrolase [[Clostridium] asparagiforme] 
gi|494979350|ref|WP_007705374.1|	RNA methyltransferase [[Clostridium] asparagiforme] 
gi|494979353|ref|WP_007705377.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979355|ref|WP_007705379.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979359|ref|WP_007705383.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979362|ref|WP_007705386.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979365|ref|WP_007705389.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979368|ref|WP_007705392.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979371|ref|WP_007705395.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979372|ref|WP_007705396.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979375|ref|WP_007705399.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979377|ref|WP_007705401.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979379|ref|WP_007705403.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979380|ref|WP_007705404.1|	sulfurtransferase DndC [[Clostridium] asparagiforme] 
gi|494979382|ref|WP_007705406.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979384|ref|WP_007705408.1|	DNA sulfur modification protein DndE [[Clostridium] asparagiforme] 
gi|494979386|ref|WP_007705410.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979389|ref|WP_007705413.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979392|ref|WP_007705416.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979396|ref|WP_007705420.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979399|ref|WP_007705423.1|	MULTISPECIES: cytidylate kinase [Clostridiales] 
gi|494979400|ref|WP_007705424.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979403|ref|WP_007705427.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979412|ref|WP_007705436.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979414|ref|WP_007705438.1|	glutamine amidotransferase [[Clostridium] asparagiforme] 
gi|494979417|ref|WP_007705441.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979420|ref|WP_007705444.1|	sporulation protein [[Clostridium] asparagiforme] 
gi|494979423|ref|WP_007705447.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979426|ref|WP_007705450.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979429|ref|WP_007705453.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979447|ref|WP_007705471.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979450|ref|WP_007705474.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979453|ref|WP_007705477.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979454|ref|WP_007705478.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979455|ref|WP_007705479.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979456|ref|WP_007705480.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979457|ref|WP_007705481.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979458|ref|WP_007705482.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979462|ref|WP_007705486.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979465|ref|WP_007705489.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979468|ref|WP_007705492.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979470|ref|WP_007705494.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979472|ref|WP_007705496.1|	ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494979474|ref|WP_007705498.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494979477|ref|WP_007705501.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494979479|ref|WP_007705503.1|	glucosamine-6-phosphate isomerase [[Clostridium] asparagiforme] 
gi|494979482|ref|WP_007705506.1|	ribokinase [[Clostridium] asparagiforme] 
gi|494979485|ref|WP_007705509.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979488|ref|WP_007705512.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979491|ref|WP_007705515.1|	PTS fructose transporter subunit IIB [[Clostridium] asparagiforme] 
gi|494979493|ref|WP_007705517.1|	PTS fructose transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494979495|ref|WP_007705519.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979497|ref|WP_007705521.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979499|ref|WP_007705523.1|	aminotransferase [[Clostridium] asparagiforme] 
gi|494979512|ref|WP_007705536.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979515|ref|WP_007705539.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979518|ref|WP_007705542.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979522|ref|WP_007705546.1|	PTS mannose transporter subunit IIA [[Clostridium] asparagiforme] 
gi|494979525|ref|WP_007705549.1|	PTS sugar transporter [[Clostridium] asparagiforme] 
gi|494979529|ref|WP_007705553.1|	MULTISPECIES: PTS mannose transporter subunit IID [Clostridiales] 
gi|494979532|ref|WP_007705556.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979535|ref|WP_007705559.1|	prolyl-tRNA synthetase [[Clostridium] asparagiforme] 
gi|494979538|ref|WP_007705562.1|	polynucleotide adenylyltransferase [[Clostridium] asparagiforme] 
gi|494979551|ref|WP_007705575.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979554|ref|WP_007705578.1|	MULTISPECIES: endoribonuclease L-PSP [Clostridiales] 
gi|494979556|ref|WP_007705580.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979558|ref|WP_007705582.1|	flavin reductase [[Clostridium] asparagiforme] 
gi|494979561|ref|WP_007705585.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979564|ref|WP_007705588.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979567|ref|WP_007705591.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979569|ref|WP_007705593.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494979571|ref|WP_007705595.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979573|ref|WP_007705597.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979576|ref|WP_007705600.1|	3-isopropylmalate dehydratase small subunit [[Clostridium] asparagiforme] 
gi|494979579|ref|WP_007705603.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979582|ref|WP_007705606.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979583|ref|WP_007705607.1|	arginine deiminase [[Clostridium] asparagiforme] 
gi|494979584|ref|WP_007705608.1|	ornithine carbamoyltransferase [[Clostridium] asparagiforme] 
gi|494979585|ref|WP_007705609.1|	carbamate kinase [[Clostridium] asparagiforme] 
gi|494979586|ref|WP_007705610.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979587|ref|WP_007705611.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979600|ref|WP_007705624.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979602|ref|WP_007705626.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979604|ref|WP_007705628.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|494979605|ref|WP_007705629.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979606|ref|WP_007705630.1|	branched-chain amino acid ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494979608|ref|WP_007705632.1|	MULTISPECIES: amino acid ABC transporter ATPase [Clostridiales] 
gi|494979610|ref|WP_007705634.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979611|ref|WP_007705635.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979614|ref|WP_007705638.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979619|ref|WP_007705643.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979622|ref|WP_007705646.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979624|ref|WP_007705648.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979627|ref|WP_007705651.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494979629|ref|WP_007705653.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979630|ref|WP_007705654.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979632|ref|WP_007705656.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979633|ref|WP_007705657.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [[Clostridium] asparagiforme] 
gi|494979634|ref|WP_007705658.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979635|ref|WP_007705659.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979636|ref|WP_007705660.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979638|ref|WP_007705662.1|	5'-nucleotidase [[Clostridium] asparagiforme] 
gi|494979648|ref|WP_007705672.1|	LysR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979651|ref|WP_007705675.1|	MULTISPECIES: spermidine/putrescine ABC transporter permease [Clostridiales] 
gi|494979654|ref|WP_007705678.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Clostridiales] 
gi|494979657|ref|WP_007705681.1|	spermidine/putrescine ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494979659|ref|WP_007705683.1|	spermidine/putrescine ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494979662|ref|WP_007705686.1|	adenine deaminase [[Clostridium] asparagiforme] 
gi|494979664|ref|WP_007705688.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494979665|ref|WP_007705689.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979668|ref|WP_007705692.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979671|ref|WP_007705695.1|	transposase [[Clostridium] asparagiforme] 
gi|494979677|ref|WP_007705701.1|	MULTISPECIES: S-adenosylmethionine synthetase [Clostridiales] 
gi|494979680|ref|WP_007705704.1|	MULTISPECIES: PTS sugar transporter subunit IIA [Clostridiales] 
gi|494979687|ref|WP_007705711.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979689|ref|WP_007705713.1|	MULTISPECIES: PTS mannose transporter subunit IIB [Clostridiales] 
gi|494979691|ref|WP_007705715.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979692|ref|WP_007705716.1|	PTS sugar transporter subunit IID [[Clostridium] asparagiforme] 
gi|494979695|ref|WP_007705719.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979696|ref|WP_007705720.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979699|ref|WP_007705723.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979704|ref|WP_007705728.1|	acetaldehyde dehydrogenase [[Clostridium] asparagiforme] 
