gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493900556|ref|WP_006846360.1|	NADH-quinone oxidoreductase subunit C [Prevotella copri] 
gi|493900557|ref|WP_006846361.1|	NADH dehydrogenase subunit B [Prevotella copri] 
gi|493900558|ref|WP_006846362.1|	NADH-quinone oxidoreductase subunit A [Prevotella copri] 
gi|493900559|ref|WP_006846363.1|	hypothetical protein [Prevotella copri] 
gi|493900560|ref|WP_006846364.1|	hypothetical protein [Prevotella copri] 
gi|493900561|ref|WP_006846365.1|	MULTISPECIES: deoxynucleoside kinase [Prevotella] 
gi|493900562|ref|WP_006846366.1|	deoxynucleoside kinase [Prevotella copri] 
gi|493900563|ref|WP_006846367.1|	sugar transporter [Prevotella copri] 
gi|493900564|ref|WP_006846368.1|	hypothetical protein [Prevotella copri] 
gi|493900566|ref|WP_006846369.1|	endoglucanase A [Prevotella copri] 
gi|493900567|ref|WP_006846370.1|	hypothetical protein [Prevotella copri] 
gi|493900568|ref|WP_006846371.1|	hypothetical protein [Prevotella copri] 
gi|493900569|ref|WP_006846372.1|	hypothetical protein [Prevotella copri] 
gi|493900570|ref|WP_006846373.1|	hypothetical protein [Prevotella copri] 
gi|493900571|ref|WP_006846374.1|	putative ATP-binding protein [Prevotella copri] 
gi|493900572|ref|WP_006846375.1|	ATPase [Prevotella copri] 
gi|493900573|ref|WP_006846376.1|	endo-1,4-beta-mannosidase [Prevotella copri] 
gi|493900574|ref|WP_006846377.1|	DNA mismatch repair protein [Prevotella copri] 
gi|493900575|ref|WP_006846378.1|	endoglucanase A [Prevotella copri] 
gi|493900576|ref|WP_006846379.1|	hypothetical protein [Prevotella copri] 
gi|493900577|ref|WP_006846380.1|	hypothetical protein [Prevotella copri] 
gi|493900578|ref|WP_006846381.1|	RagB SusD protein [Prevotella copri] 
gi|493900579|ref|WP_006846382.1|	TonB-denpendent receptor [Prevotella copri] 
gi|493900580|ref|WP_006846383.1|	hypothetical protein [Prevotella copri] 
gi|493900581|ref|WP_006846384.1|	mechanosensitive ion channel protein [Prevotella copri] 
gi|493900582|ref|WP_006846385.1|	2-dehydro-3-deoxyphosphooctonate aldolase [Prevotella copri] 
gi|493900583|ref|WP_006846386.1|	arabinose 5-phosphate isomerase [Prevotella copri] 
gi|493900584|ref|WP_006846387.1|	cardiolipin synthetase [Prevotella copri] 
gi|493900585|ref|WP_006846388.1|	LuxR family transcriptional regulator [Prevotella copri] 
gi|493900586|ref|WP_006846389.1|	LuxR family transcriptional regulator [Prevotella copri] 
gi|493900587|ref|WP_006846390.1|	hypothetical protein [Prevotella copri] 
gi|493900588|ref|WP_006846391.1|	hypothetical protein [Prevotella copri] 
gi|493900589|ref|WP_006846392.1|	cytochrome c biogenesis protein CcsA [Prevotella copri] 
gi|493900590|ref|WP_006846393.1|	hypothetical protein [Prevotella copri] 
gi|493900591|ref|WP_006846394.1|	hypothetical protein partial [Prevotella copri] 
gi|493900592|ref|WP_006846395.1|	chloramphenicol acetyltransferase [Prevotella copri] 
gi|493900593|ref|WP_006846396.1|	exo-poly-alpha-D-galacturonosidase [Prevotella copri] 
gi|493900594|ref|WP_006846397.1|	transposase [Prevotella copri] 
gi|493900596|ref|WP_006846398.1|	membrane protein [Prevotella copri] 
gi|493900597|ref|WP_006846399.1|	membrane protein [Prevotella copri] 
gi|493900598|ref|WP_006846400.1|	putative TonB-dependent receptor [Prevotella copri] 
gi|493900599|ref|WP_006846401.1|	hypothetical protein [Prevotella copri] 
gi|493900600|ref|WP_006846402.1|	hypothetical protein [Prevotella copri] 
gi|493900601|ref|WP_006846403.1|	sensor protein RprX [Prevotella copri] 
gi|493900602|ref|WP_006846404.1|	transcriptional regulator [Prevotella copri] 
gi|493900603|ref|WP_006846405.1|	hypothetical protein [Prevotella copri] 
gi|493900604|ref|WP_006846406.1|	xenobiotic reductase B [Prevotella copri] 
gi|493900605|ref|WP_006846407.1|	glycerate kinase 2 [Prevotella copri] 
gi|493900606|ref|WP_006846408.1|	hypothetical protein [Prevotella copri] 
gi|493900607|ref|WP_006846409.1|	transposase [Prevotella copri] 
gi|493900608|ref|WP_006846410.1|	hypothetical protein [Prevotella copri] 
gi|493900609|ref|WP_006846411.1|	hypothetical protein [Prevotella copri] 
gi|493900610|ref|WP_006846412.1|	helicase [Prevotella copri] 
gi|493900611|ref|WP_006846413.1|	type III restriction-modification system methylation subunit [Prevotella copri] 
gi|493900612|ref|WP_006846414.1|	hypothetical protein [Prevotella copri] 
gi|493900613|ref|WP_006846415.1|	putative toxin-antitoxin system antitoxin component [Prevotella copri] 
gi|493900614|ref|WP_006846416.1|	nucleotidyltransferase [Prevotella copri] 
gi|493900615|ref|WP_006846417.1|	hypothetical protein [Prevotella copri] 
gi|493900616|ref|WP_006846418.1|	putative transport protein [Prevotella copri] 
gi|493900617|ref|WP_006846419.1|	iron transporter FeoB [Prevotella copri] 
gi|493900618|ref|WP_006846420.1|	hypothetical protein [Prevotella copri] 
gi|493900619|ref|WP_006846421.1|	preprotein translocase subunit SecA [Prevotella copri] 
gi|493900620|ref|WP_006846422.1|	hypothetical protein [Prevotella copri] 
gi|493900621|ref|WP_006846423.1|	hypothetical protein [Prevotella copri] 
gi|493900622|ref|WP_006846424.1|	hypothetical protein [Prevotella copri] 
gi|493900623|ref|WP_006846425.1|	membrane protein [Prevotella copri] 
gi|493900624|ref|WP_006846426.1|	hypothetical protein [Prevotella copri] 
gi|493900625|ref|WP_006846427.1|	hemolysin [Prevotella copri] 
gi|493900626|ref|WP_006846428.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493900628|ref|WP_006846429.1|	hypothetical protein [Prevotella copri] 
gi|493900629|ref|WP_006846430.1|	capsid assembly protein [Prevotella copri] 
gi|493900630|ref|WP_006846431.1|	glucose-1-phosphate thymidylyltransferase [Prevotella copri] 
gi|493900631|ref|WP_006846432.1|	hypothetical protein [Prevotella copri] 
gi|493900632|ref|WP_006846433.1|	hypothetical protein [Prevotella copri] 
gi|493900633|ref|WP_006846434.1|	cell division protein ZapA [Prevotella copri] 
gi|493900634|ref|WP_006846435.1|	ribonuclease [Prevotella copri] 
gi|493900635|ref|WP_006846436.1|	ATPase of the pp-loop family protein [Prevotella copri] 
gi|493900636|ref|WP_006846437.1|	hypothetical protein [Prevotella copri] 
gi|493900637|ref|WP_006846438.1|	hypothetical protein [Prevotella copri] 
gi|493900638|ref|WP_006846439.1|	altronate oxidoreductase [Prevotella copri] 
gi|493900639|ref|WP_006846440.1|	potassium transporter Kup [Prevotella copri] 
gi|493900640|ref|WP_006846441.1|	thiazole biosynthesis protein ThiF [Prevotella copri] 
gi|493900641|ref|WP_006846442.1|	hypothetical protein [Prevotella copri] 
gi|493900643|ref|WP_006846443.1|	hypothetical protein [Prevotella copri] 
gi|493900644|ref|WP_006846444.1|	zinc metalloprotease [Prevotella copri] 
gi|493900645|ref|WP_006846445.1|	hypothetical protein [Prevotella copri] 
gi|493900646|ref|WP_006846446.1|	hypothetical protein [Prevotella copri] 
gi|493900647|ref|WP_006846447.1|	hypothetical protein [Prevotella copri] 
gi|493900648|ref|WP_006846448.1|	hypothetical protein [Prevotella copri] 
gi|493900649|ref|WP_006846449.1|	hypothetical protein [Prevotella copri] 
gi|493900650|ref|WP_006846450.1|	putative alkylhydroperoxidase AhpD core [Prevotella copri] 
gi|493900651|ref|WP_006846451.1|	hypothetical protein [Prevotella copri] 
gi|493900652|ref|WP_006846452.1|	hypothetical protein [Prevotella copri] 
gi|493900653|ref|WP_006846453.1|	hypothetical protein [Prevotella copri] 
gi|493900654|ref|WP_006846454.1|	ATP-dependent helicase [Prevotella copri] 
gi|493900655|ref|WP_006846455.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900656|ref|WP_006846456.1|	glycosyl transferase group 2 family [Prevotella copri] 
gi|493900657|ref|WP_006846457.1|	diaminopimelate decarboxylase [Prevotella copri] 
gi|493900658|ref|WP_006846458.1|	aspartate kinase [Prevotella copri] 
gi|493900659|ref|WP_006846459.1|	phosphonate ABC transporter ATP-binding protein [Prevotella copri] 
gi|493900660|ref|WP_006846460.1|	phosphoribosyl-AMP cyclohydrolase [Prevotella copri] 
gi|493900661|ref|WP_006846461.1|	imidazole glycerol phosphate synthase [Prevotella copri] 
gi|493900662|ref|WP_006846462.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Prevotella copri] 
gi|493900663|ref|WP_006846463.1|	imidazole glycerol phosphate synthase [Prevotella copri] 
gi|493900664|ref|WP_006846464.1|	hypothetical protein [Prevotella copri] 
gi|493900665|ref|WP_006846465.1|	MULTISPECIES: signal peptide protein [Prevotella] 
gi|493900666|ref|WP_006846466.1|	cell division protein [Prevotella copri] 
gi|493900667|ref|WP_006846467.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Prevotella copri] 
gi|493900668|ref|WP_006846468.1|	hypothetical protein [Prevotella copri] 
gi|493900670|ref|WP_006846469.1|	glutaconyl-CoA decarboxylase subunit beta [Prevotella copri] 
gi|493900671|ref|WP_006846470.1|	biofilm PGA synthesis protein PgaD [Prevotella copri] 
gi|493900672|ref|WP_006846471.1|	hypothetical protein [Prevotella copri] 
gi|493900673|ref|WP_006846472.1|	transporter [Prevotella copri] 
gi|493900674|ref|WP_006846473.1|	hypothetical protein [Prevotella copri] 
gi|493900675|ref|WP_006846474.1|	phosphoglycerate kinase [Prevotella copri] 
gi|493900676|ref|WP_006846475.1|	DNA repair protein RadA [Prevotella copri] 
gi|493900677|ref|WP_006846476.1|	7-cyano-7-deazaguanine synthase [Prevotella copri] 
gi|493900678|ref|WP_006846477.1|	thiol-disulfide oxidoreductase [Prevotella copri] 
gi|493900679|ref|WP_006846478.1|	putative integration host factor IHF alpha subunit [Prevotella copri] 
gi|493900680|ref|WP_006846479.1|	MULTISPECIES: DNA-binding protein [Prevotella] 
gi|493900681|ref|WP_006846480.1|	ribosomal protein S12 methylthiotransferase [Prevotella copri] 
gi|493900682|ref|WP_006846481.1|	cell division protein FtsY [Prevotella copri] 
gi|493900683|ref|WP_006846482.1|	hypothetical protein [Prevotella copri] 
gi|493900684|ref|WP_006846483.1|	peptidase S41 [Prevotella copri] 
gi|493900685|ref|WP_006846484.1|	hypothetical protein [Prevotella copri] 
gi|493900686|ref|WP_006846485.1|	ribonuclease H [Prevotella copri] 
gi|493900687|ref|WP_006846486.1|	gamma-carboxymuconolactone decarboxylase [Prevotella copri] 
gi|493900688|ref|WP_006846487.1|	transcriptional regulator [Prevotella copri] 
gi|493900689|ref|WP_006846488.1|	GCN5 family acetyltransferase [Prevotella copri] 
gi|493900690|ref|WP_006846489.1|	hypothetical protein [Prevotella copri] 
gi|493900691|ref|WP_006846490.1|	hypothetical protein [Prevotella copri] 
gi|493900692|ref|WP_006846491.1|	hypothetical protein [Prevotella copri] 
gi|493900693|ref|WP_006846492.1|	metallo-beta-lactamase [Prevotella copri] 
gi|493900694|ref|WP_006846493.1|	hypothetical protein [Prevotella copri] 
gi|493900695|ref|WP_006846494.1|	Ser/Thr protein phosphatase [Prevotella copri] 
gi|493900696|ref|WP_006846495.1|	hypothetical protein [Prevotella copri] 
gi|493900697|ref|WP_006846496.1|	hypothetical protein [Prevotella copri] 
gi|493900698|ref|WP_006846497.1|	hypothetical protein [Prevotella copri] 
gi|493900699|ref|WP_006846498.1|	3'-hydroxymethylcephem carbamoyltransferase [Prevotella copri] 
gi|493900700|ref|WP_006846499.1|	hypothetical protein [Prevotella copri] 
gi|493900702|ref|WP_006846500.1|	hypothetical protein [Prevotella copri] 
gi|493900703|ref|WP_006846501.1|	membrane protein [Prevotella copri] 
gi|493900704|ref|WP_006846502.1|	hypothetical protein [Prevotella copri] 
gi|493900705|ref|WP_006846503.1|	PKD protein [Prevotella copri] 
gi|493900706|ref|WP_006846504.1|	serine type site-specific recombinase [Prevotella copri] 
gi|493900707|ref|WP_006846505.1|	hypothetical protein [Prevotella copri] 
gi|493900708|ref|WP_006846506.1|	peptidase M23B family [Prevotella copri] 
gi|493900709|ref|WP_006846507.1|	hypothetical protein [Prevotella copri] 
gi|493900710|ref|WP_006846508.1|	hypothetical protein [Prevotella copri] 
gi|493900711|ref|WP_006846509.1|	endonuclease [Prevotella copri] 
gi|493900712|ref|WP_006846510.1|	DEAD/DEAH box helicase [Prevotella copri] 
gi|493900713|ref|WP_006846511.1|	hypothetical protein [Prevotella copri] 
gi|493900714|ref|WP_006846512.1|	5-methylcytosine-specific restriction enzyme A [Prevotella copri] 
gi|493900715|ref|WP_006846513.1|	cell filamentation protein Fic [Prevotella copri] 
gi|493900716|ref|WP_006846514.1|	hypothetical protein [Prevotella copri] 
gi|493900717|ref|WP_006846515.1|	type II restriction-modification system restriction subunit [Prevotella copri] 
gi|493900718|ref|WP_006846516.1|	putative type II DNA modification methyltransferase [Prevotella copri] 
gi|493900719|ref|WP_006846517.1|	hypothetical protein [Prevotella copri] 
gi|493900720|ref|WP_006846518.1|	DNA-binding protein [Prevotella copri] 
gi|493900721|ref|WP_006846519.1|	hypothetical protein [Prevotella copri] 
gi|493900722|ref|WP_006846520.1|	hypothetical protein [Prevotella copri] 
gi|493900724|ref|WP_006846521.1|	putative DNA binding protein [Prevotella copri] 
gi|493900725|ref|WP_006846522.1|	putative cell surface protein [Prevotella copri] 
gi|493900726|ref|WP_006846523.1|	hypothetical protein [Prevotella copri] 
gi|493900727|ref|WP_006846524.1|	hypothetical protein [Prevotella copri] 
gi|493900728|ref|WP_006846525.1|	hypothetical protein [Prevotella copri] 
gi|493900729|ref|WP_006846526.1|	The GLUG motif protein family protein [Prevotella copri] 
gi|493900730|ref|WP_006846527.1|	coproporphyrinogen III oxidase [Prevotella copri] 
gi|493900731|ref|WP_006846528.1|	hypothetical protein [Prevotella copri] 
gi|493900732|ref|WP_006846529.1|	putative lipoprotein [Prevotella copri] 
gi|493900733|ref|WP_006846530.1|	hypothetical protein [Prevotella copri] 
gi|493900734|ref|WP_006846531.1|	N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493900735|ref|WP_006846532.1|	hypothetical protein [Prevotella copri] 
gi|493900736|ref|WP_006846533.1|	hypothetical cytosolic protein [Prevotella copri] 
gi|493900737|ref|WP_006846534.1|	hypothetical protein [Prevotella copri] 
gi|493900738|ref|WP_006846535.1|	putative supporter of activation of yellow protein [Prevotella copri] 
gi|493900739|ref|WP_006846536.1|	hypothetical protein [Prevotella copri] 
gi|493900740|ref|WP_006846537.1|	hypothetical protein [Prevotella copri] 
gi|493900741|ref|WP_006846538.1|	single-stranded DNA-binding protein [Prevotella copri] 
gi|493900742|ref|WP_006846539.1|	hypothetical protein [Prevotella copri] 
gi|493900743|ref|WP_006846540.1|	hypothetical protein [Prevotella copri] 
gi|493900744|ref|WP_006846541.1|	chromosome partitioning protein ParA [Prevotella copri] 
gi|493900745|ref|WP_006846542.1|	hypothetical protein [Prevotella copri] 
gi|493900746|ref|WP_006846543.1|	hypothetical protein [Prevotella copri] 
gi|493900747|ref|WP_006846544.1|	hypothetical protein [Prevotella copri] 
gi|493900748|ref|WP_006846545.1|	putative ketopantoate reductase [Prevotella copri] 
gi|493900749|ref|WP_006846546.1|	hypothetical protein [Prevotella copri] 
gi|493900750|ref|WP_006846547.1|	hypothetical protein [Prevotella copri] 
gi|493900751|ref|WP_006846548.1|	ribonucleotide-diphosphate reductase subunit alpha [Prevotella copri] 
gi|493900752|ref|WP_006846549.1|	hypothetical protein [Prevotella copri] 
gi|493900753|ref|WP_006846550.1|	membrane protein [Prevotella copri] 
gi|493900754|ref|WP_006846551.1|	AraC family transcriptional regulator [Prevotella copri] 
gi|493900755|ref|WP_006846552.1|	2,5-diketo-D-gluconic acid reductase [Prevotella copri] 
gi|493900756|ref|WP_006846553.1|	transcriptional regulator [Prevotella copri] 
gi|493900757|ref|WP_006846554.1|	hypothetical protein [Prevotella copri] 
gi|493900758|ref|WP_006846555.1|	hypothetical protein [Prevotella copri] 
gi|493900759|ref|WP_006846556.1|	hypothetical protein [Prevotella copri] 
gi|493900760|ref|WP_006846557.1|	ribonuclease H [Prevotella copri] 
gi|493900761|ref|WP_006846558.1|	hypothetical protein [Prevotella copri] 
gi|493900762|ref|WP_006846559.1|	3'-hydroxymethylcephem carbamoyltransferase [Prevotella copri] 
gi|493900763|ref|WP_006846560.1|	ATPase AAA [Prevotella copri] 
gi|493900764|ref|WP_006846561.1|	hypothetical protein [Prevotella copri] 
gi|493900765|ref|WP_006846562.1|	ATPase AAA [Prevotella copri] 
gi|493900766|ref|WP_006846563.1|	DNA-binding protein [Prevotella copri] 
gi|493900767|ref|WP_006846564.1|	hypothetical protein [Prevotella copri] 
gi|493900768|ref|WP_006846565.1|	N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493900769|ref|WP_006846566.1|	putative transposase partial [Prevotella copri] 
gi|493900770|ref|WP_006846567.1|	hypothetical protein partial [Prevotella copri] 
gi|493900771|ref|WP_006846568.1|	hypothetical protein [Prevotella copri] 
gi|493900772|ref|WP_006846569.1|	thiophene and furan oxidation protein ThdF [Prevotella copri] 
gi|493900773|ref|WP_006846570.1|	putative bacteriophytochrome 1 [Prevotella copri] 
gi|493900774|ref|WP_006846571.1|	phosphorylase [Prevotella copri] 
gi|493900775|ref|WP_006846572.1|	hypothetical protein [Prevotella copri] 
gi|493900776|ref|WP_006846573.1|	transcription termination factor Rho [Prevotella copri] 
gi|493900777|ref|WP_006846574.1|	ABC transporter [Prevotella copri] 
gi|493900778|ref|WP_006846575.1|	hypothetical protein [Prevotella copri] 
gi|493900779|ref|WP_006846576.1|	GTP-binding protein YsxC [Prevotella copri] 
