gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491884408|ref|WP_005651637.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884410|ref|WP_005651638.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884413|ref|WP_005651640.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884416|ref|WP_005651642.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884419|ref|WP_005651644.1|	membrane protein [Bacteroides stercoris] 
gi|491884422|ref|WP_005651646.1|	TonB-linked outer membrane protein [Bacteroides stercoris] 
gi|491884425|ref|WP_005651648.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884428|ref|WP_005651650.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884431|ref|WP_005651652.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884434|ref|WP_005651654.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884437|ref|WP_005651656.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884440|ref|WP_005651658.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884443|ref|WP_005651660.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884448|ref|WP_005651663.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884454|ref|WP_005651667.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884458|ref|WP_005651669.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884461|ref|WP_005651671.1|	transposase [Bacteroides stercoris] 
gi|490440259|ref|WP_004311259.1|	MULTISPECIES: integrase [Bacteroidales] 
gi|490440260|ref|WP_004311260.1|	MULTISPECIES: integrase [Bacteroidales] 
gi|490440262|ref|WP_004311261.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|490456305|ref|WP_004327087.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884575|ref|WP_005651718.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884578|ref|WP_005651720.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884581|ref|WP_005651722.1|	type II restriction endonuclease [Bacteroides stercoris] 
gi|491884585|ref|WP_005651724.1|	MULTISPECIES: transposase [Bacteroides] 
gi|490456308|ref|WP_004327090.1|	MULTISPECIES: transposase [Bacteroides] 
gi|490440266|ref|WP_004311265.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490440267|ref|WP_004311266.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884602|ref|WP_005651733.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884605|ref|WP_005651735.1|	hypothetical protein [Bacteroides stercoris] 
gi|490441989|ref|WP_004312956.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884611|ref|WP_005651738.1|	membrane protein [Bacteroides stercoris] 
gi|490440276|ref|WP_004311275.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490440278|ref|WP_004311277.1|	MULTISPECIES: conjugal transfer protein TraA [Bacteroides] 
gi|490444893|ref|WP_004315818.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884619|ref|WP_005651742.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490456312|ref|WP_004327094.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884621|ref|WP_005651743.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490440281|ref|WP_004311280.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491884624|ref|WP_005651745.1|	hypothetical protein [Bacteroides stercoris] 
gi|490440285|ref|WP_004311284.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490416747|ref|WP_004289236.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491884639|ref|WP_005651751.1|	hypothetical protein [Bacteroides stercoris] 
gi|490416746|ref|WP_004289235.1|	MULTISPECIES: iron ABC transporter ATP-binding protein [Bacteroidales] 
gi|490440293|ref|WP_004311292.1|	MULTISPECIES: iron ABC transporter [Bacteroidales] 
gi|490416744|ref|WP_004289233.1|	MULTISPECIES: iron ABC transporter substrate-binding protein [Bacteroidales] 
gi|490440296|ref|WP_004311295.1|	MULTISPECIES: TonB-denpendent receptor [Bacteroidales] 
gi|490416741|ref|WP_004289231.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490440298|ref|WP_004311297.1|	MULTISPECIES: putative lipoprotein [Bacteroides] 
gi|490416739|ref|WP_004289229.1|	MULTISPECIES: cell surface protein [Bacteroidales] 
gi|490416738|ref|WP_004289228.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491884668|ref|WP_005651760.1|	hypothetical protein [Bacteroides stercoris] 
gi|490416736|ref|WP_004289226.1|	MULTISPECIES: recombinase XerD [Bacteroidales] 
gi|490416735|ref|WP_004289225.1|	MULTISPECIES: tyrosine recombinase [Bacteroidales] 
gi|491884675|ref|WP_005651764.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884677|ref|WP_005651765.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491884682|ref|WP_005651768.1|	MULTISPECIES: pyruvate formate-lyase [Bacteroides] 
gi|491884685|ref|WP_005651770.1|	pyruvate formate lyase-activating protein [Bacteroides stercoris] 
gi|491884688|ref|WP_005651772.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884692|ref|WP_005651774.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|491884695|ref|WP_005651776.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884699|ref|WP_005651778.1|	hypothetical protein [Bacteroides stercoris] 
gi|491884702|ref|WP_005651780.1|	MULTISPECIES: hemolysin D [Bacteroides] 
gi|491884705|ref|WP_005651782.1|	multidrug transporter AcrB [Bacteroides stercoris] 
gi|491884708|ref|WP_005651784.1|	membrane protein [Bacteroides stercoris] 
gi|491884711|ref|WP_005651786.1|	histidine kinase [Bacteroides stercoris] 
gi|491884715|ref|WP_005651789.1|	MULTISPECIES: chemotaxis protein CheY [Bacteroides] 
gi|491884721|ref|WP_005651793.1|	membrane protein [Bacteroides stercoris] 
gi|491885132|ref|WP_005651798.1|	flavodoxin [Bacteroides stercoris] 
gi|491885136|ref|WP_005651800.1|	gamma-carboxymuconolactone decarboxylase [Bacteroides stercoris] 
gi|491885140|ref|WP_005651802.1|	MULTISPECIES: cation transporter [Bacteroides] 
gi|491885143|ref|WP_005651804.1|	short-chain dehydrogenase [Bacteroides stercoris] 
gi|491885146|ref|WP_005651806.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885150|ref|WP_005651809.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Bacteroides] 
gi|491885153|ref|WP_005651811.1|	spermidine/putrescine ABC transporter permease [Bacteroides stercoris] 
gi|491885156|ref|WP_005651813.1|	spermidine/putrescine ABC transporter permease [Bacteroides stercoris] 
gi|491885158|ref|WP_005651814.1|	spermidine/putrescine ABC transporter [Bacteroides stercoris] 
gi|491885161|ref|WP_005651816.1|	N-acetylglucosamine-6-phosphate deacetylase [Bacteroides stercoris] 
gi|491885163|ref|WP_005651817.1|	membrane protein [Bacteroides stercoris] 
gi|491885166|ref|WP_005651819.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885169|ref|WP_005651821.1|	cytochrome D ubiquinol oxidase subunit II [Bacteroides stercoris] 
gi|491885172|ref|WP_005651823.1|	cytochrome C oxidase subunit II [Bacteroides stercoris] 
gi|491885181|ref|WP_005651828.1|	transposase [Bacteroides stercoris] 
gi|491885184|ref|WP_005651830.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491885187|ref|WP_005651832.1|	transporter [Bacteroides stercoris] 
gi|491885190|ref|WP_005651834.1|	hemolysin D [Bacteroides stercoris] 
gi|491885194|ref|WP_005651836.1|	macrolide ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491885197|ref|WP_005651838.1|	MULTISPECIES: multidrug ABC transporter substrate-binding protein [Bacteroides] 
gi|491885200|ref|WP_005651840.1|	histidine kinase [Bacteroides stercoris] 
gi|491885203|ref|WP_005651842.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491885206|ref|WP_005651844.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491885208|ref|WP_005651845.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885210|ref|WP_005651846.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885213|ref|WP_005651848.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885217|ref|WP_005651850.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885219|ref|WP_005651851.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885222|ref|WP_005651853.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885225|ref|WP_005651855.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885227|ref|WP_005651856.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885229|ref|WP_005651857.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885232|ref|WP_005651859.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885233|ref|WP_005651860.1|	peptidase M15 [Bacteroides stercoris] 
gi|491885237|ref|WP_005651862.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885239|ref|WP_005651863.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885242|ref|WP_005651865.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885244|ref|WP_005651866.1|	MULTISPECIES: integrase [Bacteroides] 
gi|491885247|ref|WP_005651868.1|	integrase [Bacteroides stercoris] 
gi|491885249|ref|WP_005651869.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885252|ref|WP_005651871.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885254|ref|WP_005651872.1|	helicase [Bacteroides stercoris] 
gi|491885257|ref|WP_005651874.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885261|ref|WP_005651877.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885264|ref|WP_005651879.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885270|ref|WP_005651883.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885274|ref|WP_005651886.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885278|ref|WP_005651889.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885283|ref|WP_005651892.1|	RNA polymerase subunit sigma-70 [Bacteroides stercoris] 
gi|491885291|ref|WP_005651896.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885296|ref|WP_005651898.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491885299|ref|WP_005651899.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885301|ref|WP_005651900.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885303|ref|WP_005651901.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885305|ref|WP_005651902.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885309|ref|WP_005651903.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885311|ref|WP_005651904.1|	mobilization protein [Bacteroides stercoris] 
gi|491885313|ref|WP_005651905.1|	MULTISPECIES: mobilization protein [Bacteroides] 
gi|491885315|ref|WP_005651906.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885317|ref|WP_005651907.1|	integrase [Bacteroides stercoris] 
gi|491885319|ref|WP_005651908.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885321|ref|WP_005651909.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885323|ref|WP_005651910.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885326|ref|WP_005651912.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885329|ref|WP_005651914.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885332|ref|WP_005651916.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885335|ref|WP_005651918.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885339|ref|WP_005651920.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885341|ref|WP_005651921.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885344|ref|WP_005651923.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885347|ref|WP_005651925.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885352|ref|WP_005651928.1|	haloacid dehalogenase [Bacteroides stercoris] 
gi|491885355|ref|WP_005651930.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885358|ref|WP_005651932.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885361|ref|WP_005651934.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885364|ref|WP_005651936.1|	tyrosine recombinase [Bacteroides stercoris] 
gi|491885367|ref|WP_005651938.1|	methionine ABC transporter substrate-binding protein [Bacteroides stercoris] 
gi|491885370|ref|WP_005651940.1|	MULTISPECIES: serine dehydratase [Bacteroides] 
gi|491885374|ref|WP_005651942.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885377|ref|WP_005651944.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885379|ref|WP_005651946.1|	histidine kinase [Bacteroides stercoris] 
gi|491885382|ref|WP_005651948.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491885384|ref|WP_005651949.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885387|ref|WP_005651951.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885390|ref|WP_005651953.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885393|ref|WP_005651955.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491885396|ref|WP_005651957.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491885399|ref|WP_005651959.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885402|ref|WP_005651961.1|	MULTISPECIES: potassium transporter [Bacteroides] 
gi|491885404|ref|WP_005651962.1|	MULTISPECIES: potassium transporter [Bacteroides] 
gi|491885406|ref|WP_005651964.1|	tryptophan synthase subunit beta [Bacteroides stercoris] 
gi|491885411|ref|WP_005651967.1|	voltage-gated chloride channel [Bacteroides stercoris] 
gi|491885415|ref|WP_005651969.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885417|ref|WP_005651971.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885420|ref|WP_005651973.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885423|ref|WP_005651975.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroides] 
gi|491885426|ref|WP_005651977.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885429|ref|WP_005651979.1|	iron ABC transporter [Bacteroides stercoris] 
gi|491885433|ref|WP_005651981.1|	iron ABC transporter substrate-binding protein [Bacteroides stercoris] 
gi|491885436|ref|WP_005651983.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885439|ref|WP_005651985.1|	ligand-gated channel protein [Bacteroides stercoris] 
gi|491885442|ref|WP_005651987.1|	MFS transporter [Bacteroides stercoris] 
gi|491885445|ref|WP_005651989.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|491885447|ref|WP_005651990.1|	MULTISPECIES: haloacid dehalogenase [Bacteroides] 
gi|491885450|ref|WP_005651992.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885452|ref|WP_005651993.1|	molecular chaperone DnaK [Bacteroides stercoris] 
gi|491885455|ref|WP_005651995.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885457|ref|WP_005651996.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885460|ref|WP_005651998.1|	multidrug transporter MatE [Bacteroides stercoris] 
gi|491885463|ref|WP_005652000.1|	cAMP-binding protein [Bacteroides stercoris] 
gi|491885465|ref|WP_005652001.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885468|ref|WP_005652003.1|	MULTISPECIES: saccharopine dehydrogenase [Bacteroides] 
gi|491885471|ref|WP_005652005.1|	MULTISPECIES: thiol peroxidase [Bacteroides] 
gi|491885473|ref|WP_005652006.1|	MULTISPECIES: recombinase RecA [Bacteroides] 
gi|491885476|ref|WP_005652008.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885478|ref|WP_005652009.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885481|ref|WP_005652011.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885484|ref|WP_005652012.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885487|ref|WP_005652014.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885489|ref|WP_005652015.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885492|ref|WP_005652017.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885495|ref|WP_005652019.1|	membrane protein [Bacteroides stercoris] 
gi|491885497|ref|WP_005652020.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|491885500|ref|WP_005652022.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885503|ref|WP_005652024.1|	molecular chaperone ClpB [Bacteroides stercoris] 
gi|491885507|ref|WP_005652026.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885511|ref|WP_005652028.1|	MULTISPECIES: dephospho-CoA kinase [Bacteroides] 
gi|491885514|ref|WP_005652030.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885517|ref|WP_005652032.1|	MULTISPECIES: preprotein translocase subunit YajC [Bacteroides] 
gi|491885520|ref|WP_005652034.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885523|ref|WP_005652036.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491885525|ref|WP_005652037.1|	MULTISPECIES: 50S ribosomal protein L25 [Bacteroides] 
gi|491885528|ref|WP_005652039.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Bacteroides] 
gi|491885531|ref|WP_005652041.1|	heat-shock protein Hsp15 [Bacteroides stercoris] 
gi|491885534|ref|WP_005652043.1|	MULTISPECIES: oxidoreductase [Bacteroides] 
gi|491885537|ref|WP_005652045.1|	MULTISPECIES: histidine triad (HIT) protein [Bacteroides] 
gi|491885540|ref|WP_005652047.1|	sodium:proton antiporter [Bacteroides stercoris] 
gi|491885542|ref|WP_005652048.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885545|ref|WP_005652050.1|	MULTISPECIES: methylmalonyl-CoA carboxyltransferase [Bacteroides] 
gi|491885547|ref|WP_005652052.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885550|ref|WP_005652054.1|	biofilm PGA synthesis protein PgaD [Bacteroides stercoris] 
gi|491885554|ref|WP_005652056.1|	MULTISPECIES: glutaconyl-CoA decarboxylase subunit beta [Bacteroides] 
gi|491885557|ref|WP_005652058.1|	alpha-amylase [Bacteroides stercoris] 
gi|491885560|ref|WP_005652060.1|	MULTISPECIES: fructose-bisphosphate aldolase [Bacteroides] 
gi|491885563|ref|WP_005652062.1|	endonuclease [Bacteroides stercoris] 
gi|490417436|ref|WP_004289781.1|	MULTISPECIES: 50S ribosomal protein L31 [Bacteroides] 
gi|491885579|ref|WP_005652071.1|	MULTISPECIES: glycine cleavage system protein T [Bacteroides] 
gi|491885582|ref|WP_005652073.1|	peptidase T [Bacteroides stercoris] 
gi|491885585|ref|WP_005652075.1|	amidophosphoribosyltransferase [Bacteroides stercoris] 
gi|491885588|ref|WP_005652077.1|	alpha-glucosidase [Bacteroides stercoris] 
gi|491885592|ref|WP_005652080.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885595|ref|WP_005652082.1|	camphor resistance protein CrcB [Bacteroides stercoris] 
gi|491885600|ref|WP_005652085.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885602|ref|WP_005652086.1|	enolase [Bacteroides stercoris] 
gi|491885605|ref|WP_005652088.1|	membrane protein [Bacteroides stercoris] 
gi|491885609|ref|WP_005652091.1|	MULTISPECIES: glycosyl transferase family 2 [Bacteroides] 
gi|491885612|ref|WP_005652093.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885615|ref|WP_005652095.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885618|ref|WP_005652097.1|	membrane protein [Bacteroides stercoris] 
gi|491885620|ref|WP_005652098.1|	thiamine biosynthesis protein ApbE [Bacteroides stercoris] 
gi|491885623|ref|WP_005652100.1|	membrane protein [Bacteroides stercoris] 
gi|491885627|ref|WP_005652102.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885630|ref|WP_005652104.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885633|ref|WP_005652106.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885636|ref|WP_005652108.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885638|ref|WP_005652109.1|	phosphorylase [Bacteroides stercoris] 
gi|491885640|ref|WP_005652111.1|	MULTISPECIES: tRNA modification GTPase TrmE [Bacteroides] 
gi|491885643|ref|WP_005652113.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885646|ref|WP_005652115.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885650|ref|WP_005652117.1|	hypothetical protein [Bacteroides stercoris] 
gi|490458955|ref|WP_004329628.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491885655|ref|WP_005652120.1|	hypothetical protein [Bacteroides stercoris] 
gi|490458953|ref|WP_004329626.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458952|ref|WP_004329625.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458951|ref|WP_004329624.1|	MULTISPECIES: ATPase AAA [Bacteroidales] 
gi|490458950|ref|WP_004329623.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458949|ref|WP_004329622.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458948|ref|WP_004329621.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458947|ref|WP_004329620.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|490458946|ref|WP_004329619.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|490458945|ref|WP_004329618.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|491885663|ref|WP_005652124.1|	hypothetical protein [Bacteroides stercoris] 
gi|490458944|ref|WP_004329617.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491885667|ref|WP_005652126.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885670|ref|WP_005652128.1|	hypothetical protein [Bacteroides stercoris] 
gi|490458942|ref|WP_004329615.1|	MULTISPECIES: DNA-binding protein [Bacteroidales] 
gi|490458941|ref|WP_004329614.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491885676|ref|WP_005652132.1|	integrase [Bacteroides stercoris] 
gi|490458939|ref|WP_004329612.1|	MULTISPECIES: integrase [Bacteroidales] 
gi|491885679|ref|WP_005652134.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885681|ref|WP_005652135.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885684|ref|WP_005652137.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885721|ref|WP_005652155.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491885726|ref|WP_005652157.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491885729|ref|WP_005652159.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885733|ref|WP_005652161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885735|ref|WP_005652162.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885738|ref|WP_005652164.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885740|ref|WP_005652165.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885742|ref|WP_005652166.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885753|ref|WP_005652171.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491885733|ref|WP_005652161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885755|ref|WP_005652172.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885759|ref|WP_005652174.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885762|ref|WP_005652176.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885766|ref|WP_005652178.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885769|ref|WP_005652180.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885772|ref|WP_005652182.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885181|ref|WP_005651828.1|	transposase [Bacteroides stercoris] 
gi|491885775|ref|WP_005652184.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885778|ref|WP_005652186.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885780|ref|WP_005652187.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885783|ref|WP_005652189.1|	hypothetical protein [Bacteroides stercoris] 
