gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935507|ref|WP_004797346.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935509|ref|WP_004797348.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935512|ref|WP_004797351.1|	peptidase U32 [[Eubacterium] dolichum] 
gi|490935513|ref|WP_004797352.1|	multidrug transporter MatE [[Eubacterium] dolichum] 
gi|490935515|ref|WP_004797354.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935516|ref|WP_004797355.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935519|ref|WP_004797358.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935520|ref|WP_004797359.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935522|ref|WP_004797361.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935523|ref|WP_004797362.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935525|ref|WP_004797364.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935527|ref|WP_004797366.1|	lacto-N-biosidase [[Eubacterium] dolichum] 
gi|490935529|ref|WP_004797368.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935531|ref|WP_004797370.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935533|ref|WP_004797372.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935535|ref|WP_004797374.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935536|ref|WP_004797375.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935539|ref|WP_004797378.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935540|ref|WP_004797379.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935541|ref|WP_004797380.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935542|ref|WP_004797381.1|	alginate regulatory protein [[Eubacterium] dolichum] 
gi|490935544|ref|WP_004797382.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935545|ref|WP_004797383.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935546|ref|WP_004797384.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935547|ref|WP_004797385.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935548|ref|WP_004797386.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935549|ref|WP_004797387.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935550|ref|WP_004797388.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935551|ref|WP_004797389.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935552|ref|WP_004797390.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935553|ref|WP_004797391.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935554|ref|WP_004797392.1|	MULTISPECIES: elongation factor P [Firmicutes] 
gi|490935555|ref|WP_004797393.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935556|ref|WP_004797394.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935557|ref|WP_004797395.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935558|ref|WP_004797396.1|	hydrolase [[Eubacterium] dolichum] 
gi|490935559|ref|WP_004797397.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935560|ref|WP_004797398.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935561|ref|WP_004797399.1|	MULTISPECIES: phosphoglucosamine mutase [Firmicutes] 
gi|490935562|ref|WP_004797400.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|490935563|ref|WP_004797401.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490935564|ref|WP_004797402.1|	alpha/beta hydrolase [[Eubacterium] dolichum] 
gi|490935565|ref|WP_004797403.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935566|ref|WP_004797404.1|	D-alanine--D-alanine ligase [[Eubacterium] dolichum] 
gi|490935567|ref|WP_004797405.1|	phosphohydrolase [[Eubacterium] dolichum] 
gi|490935568|ref|WP_004797406.1|	cold-shock protein [[Eubacterium] dolichum] 
gi|490935569|ref|WP_004797407.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935570|ref|WP_004797408.1|	Rab family protein [[Eubacterium] dolichum] 
gi|490935571|ref|WP_004797409.1|	oligoendopeptidase [[Eubacterium] dolichum] 
gi|490935572|ref|WP_004797410.1|	alanine acetyltransferase [[Eubacterium] dolichum] 
gi|490935573|ref|WP_004797411.1|	cell wall-binding protein [[Eubacterium] dolichum] 
gi|490935574|ref|WP_004797412.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935575|ref|WP_004797413.1|	ATPase [[Eubacterium] dolichum] 
gi|490935576|ref|WP_004797414.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935454|ref|WP_004797293.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935455|ref|WP_004797294.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935577|ref|WP_004797415.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935578|ref|WP_004797416.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935579|ref|WP_004797417.1|	transposase IS1 family [[Eubacterium] dolichum] 
gi|490935581|ref|WP_004797419.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935582|ref|WP_004797420.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935580|ref|WP_004797418.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935583|ref|WP_004797421.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935584|ref|WP_004797422.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935585|ref|WP_004797423.1|	integrase [[Eubacterium] dolichum] 
gi|490935586|ref|WP_004797424.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935587|ref|WP_004797425.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935588|ref|WP_004797426.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935589|ref|WP_004797427.1|	hydrolase [[Eubacterium] dolichum] 
gi|490935590|ref|WP_004797428.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935591|ref|WP_004797429.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935592|ref|WP_004797430.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935593|ref|WP_004797431.1|	acyl-CoA dehydrogenase [[Eubacterium] dolichum] 
gi|490935594|ref|WP_004797432.1|	beta-lactamase [[Eubacterium] dolichum] 
gi|490935595|ref|WP_004797433.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935596|ref|WP_004797434.1|	iron transporter FeoB [[Eubacterium] dolichum] 
gi|490935597|ref|WP_004797435.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935598|ref|WP_004797436.1|	MULTISPECIES: phosphotransacetylase [Firmicutes] 
gi|490935599|ref|WP_004797437.1|	Cro/Cl family transcriptional regulator [[Eubacterium] dolichum] 
gi|490935600|ref|WP_004797438.1|	MULTISPECIES: spermidine/putrescine ABC transporter ATP-binding protein [Firmicutes] 
gi|490935601|ref|WP_004797439.1|	MULTISPECIES: ABC transporter permease [Firmicutes] 
gi|490935602|ref|WP_004797440.1|	spermidine/putrescine ABC transporter permease [[Eubacterium] dolichum] 
gi|490935603|ref|WP_004797441.1|	ABC transporter substrate-binding protein [[Eubacterium] dolichum] 
gi|490935604|ref|WP_004797442.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935605|ref|WP_004797443.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490935606|ref|WP_004797444.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935607|ref|WP_004797445.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935608|ref|WP_004797446.1|	ATP phosphoribosyltransferase [[Eubacterium] dolichum] 
gi|490935609|ref|WP_004797447.1|	ATP phosphoribosyltransferase [[Eubacterium] dolichum] 
gi|490935610|ref|WP_004797448.1|	histidinol dehydrogenase [[Eubacterium] dolichum] 
gi|490935611|ref|WP_004797449.1|	histidinol-phosphate aminotransferase [[Eubacterium] dolichum] 
gi|490935612|ref|WP_004797450.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Firmicutes] 
gi|490935613|ref|WP_004797451.1|	imidazole glycerol phosphate synthase [[Eubacterium] dolichum] 
gi|490935614|ref|WP_004797452.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [[Eubacterium] dolichum] 
gi|490935615|ref|WP_004797453.1|	imidazole glycerol phosphate synthase [[Eubacterium] dolichum] 
gi|490935616|ref|WP_004797454.1|	MULTISPECIES: phosphoribosyl-AMP cyclohydrolase [Firmicutes] 
gi|490935617|ref|WP_004797455.1|	MULTISPECIES: phosphoribosyl-ATP pyrophosphatase [Firmicutes] 
gi|490935618|ref|WP_004797456.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935619|ref|WP_004797457.1|	2,5-diketo-D-gluconic acid reductase [[Eubacterium] dolichum] 
gi|490935620|ref|WP_004797458.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935621|ref|WP_004797459.1|	MULTISPECIES: magnesium transporter [Firmicutes] 
gi|490935622|ref|WP_004797460.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935623|ref|WP_004797461.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935624|ref|WP_004797462.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935625|ref|WP_004797463.1|	MULTISPECIES: ArsR family transcriptional regulator [Firmicutes] 
gi|490935626|ref|WP_004797464.1|	ATPase [[Eubacterium] dolichum] 
gi|490935627|ref|WP_004797465.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935628|ref|WP_004797466.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935629|ref|WP_004797467.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935630|ref|WP_004797468.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935631|ref|WP_004797469.1|	23S rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490935632|ref|WP_004797470.1|	MULTISPECIES: chromosome partitioning protein ParA [Firmicutes] 
gi|490935633|ref|WP_004797471.1|	plasmid stablization protein ParB [[Eubacterium] dolichum] 
gi|490935634|ref|WP_004797472.1|	diguanylate cyclase [[Eubacterium] dolichum] 
gi|490935635|ref|WP_004797473.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935636|ref|WP_004797474.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490935637|ref|WP_004797475.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935638|ref|WP_004797476.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935639|ref|WP_004797477.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935640|ref|WP_004797478.1|	conjugal transfer protein TraG [[Eubacterium] dolichum] 
gi|490935641|ref|WP_004797479.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|489620714|ref|WP_003525154.1|	MULTISPECIES: conjugative transfer protein [Firmicutes] 
gi|490935643|ref|WP_004797481.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935642|ref|WP_004797480.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490935644|ref|WP_004797482.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935645|ref|WP_004797483.1|	conjugal transfer protein TraE [[Eubacterium] dolichum] 
gi|490935646|ref|WP_004797484.1|	pseudouridine synthase [[Eubacterium] dolichum] 
gi|490935648|ref|WP_004797486.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935647|ref|WP_004797485.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935655|ref|WP_004797493.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935657|ref|WP_004797495.1|	ATPase [[Eubacterium] dolichum] 
gi|490935658|ref|WP_004797496.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935660|ref|WP_004797498.1|	MULTISPECIES: alanine acetyltransferase [Firmicutes] 
gi|490935662|ref|WP_004797500.1|	MULTISPECIES: O-sialoglycoprotein endopeptidase [Firmicutes] 
gi|490935664|ref|WP_004797502.1|	CoA-binding protein [[Eubacterium] dolichum] 
gi|490935666|ref|WP_004797504.1|	asparaginyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490935668|ref|WP_004797506.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935670|ref|WP_004797508.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935671|ref|WP_004797509.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935673|ref|WP_004797511.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935675|ref|WP_004797513.1|	stage V sporulation protein AF [[Eubacterium] dolichum] 
gi|490935677|ref|WP_004797515.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935678|ref|WP_004797516.1|	peptide ABC transporter [[Eubacterium] dolichum] 
gi|490935679|ref|WP_004797517.1|	MULTISPECIES: peptide ABC transporter permease [Firmicutes] 
gi|490935680|ref|WP_004797518.1|	MULTISPECIES: peptide ABC transporter permease [Firmicutes] 
gi|490935681|ref|WP_004797519.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Firmicutes] 
gi|490935682|ref|WP_004797520.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Firmicutes] 
gi|490935684|ref|WP_004797522.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935686|ref|WP_004797524.1|	phosphoenolpyruvate-protein phosphotransferase [[Eubacterium] dolichum] 
gi|490935688|ref|WP_004797526.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935689|ref|WP_004797527.1|	PTS cellobiose transporter subunit IIC [[Eubacterium] dolichum] 
gi|490935691|ref|WP_004797529.1|	PTS cellobiose transporter subunit IIA [[Eubacterium] dolichum] 
gi|490935692|ref|WP_004797530.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935694|ref|WP_004797532.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935695|ref|WP_004797533.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935696|ref|WP_004797534.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935699|ref|WP_004797537.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935701|ref|WP_004797539.1|	peptidase M3 [[Eubacterium] dolichum] 
gi|490935703|ref|WP_004797541.1|	glucanase [[Eubacterium] dolichum] 
gi|490935704|ref|WP_004797542.1|	MULTISPECIES: uracil phosphoribosyltransferase [Firmicutes] 
gi|490935708|ref|WP_004797546.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935705|ref|WP_004797543.1|	protein tyrosine phosphatase [[Eubacterium] dolichum] 
gi|490935709|ref|WP_004797547.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935711|ref|WP_004797549.1|	sodium:proton antiporter [[Eubacterium] dolichum] 
gi|490935712|ref|WP_004797550.1|	uracil permease [[Eubacterium] dolichum] 
gi|490935715|ref|WP_004797553.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935716|ref|WP_004797554.1|	MULTISPECIES: iron ABC transporter substrate-binding protein [Firmicutes] 
gi|490935718|ref|WP_004797556.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935719|ref|WP_004797557.1|	MULTISPECIES: ABC transporter ATPase [Firmicutes] 
gi|490935721|ref|WP_004797559.1|	4-hydroxybenzoyl-CoA reductase [[Eubacterium] dolichum] 
gi|490935722|ref|WP_004797560.1|	(2Fe-2S)-binding protein [[Eubacterium] dolichum] 
gi|490935724|ref|WP_004797562.1|	aldehyde oxidase [[Eubacterium] dolichum] 
gi|490935726|ref|WP_004797564.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935728|ref|WP_004797566.1|	MULTISPECIES: GMP synthase [Firmicutes] 
gi|490935730|ref|WP_004797568.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935733|ref|WP_004797571.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935734|ref|WP_004797572.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935737|ref|WP_004797575.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935738|ref|WP_004797576.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935741|ref|WP_004797579.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935742|ref|WP_004797580.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935744|ref|WP_004797582.1|	DEAD/DEAH box helicase [[Eubacterium] dolichum] 
gi|490935746|ref|WP_004797584.1|	type I restriction endonuclease subunit M [[Eubacterium] dolichum] 
gi|490935583|ref|WP_004797421.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935584|ref|WP_004797422.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935585|ref|WP_004797423.1|	integrase [[Eubacterium] dolichum] 
gi|490935749|ref|WP_004797587.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935751|ref|WP_004797589.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935753|ref|WP_004797591.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935755|ref|WP_004797593.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935763|ref|WP_004797601.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935766|ref|WP_004797604.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935771|ref|WP_004797609.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935780|ref|WP_004797618.1|	MULTISPECIES: ribosome-binding factor A [Firmicutes] 
gi|490935782|ref|WP_004797620.1|	translation initiation factor IF-2 [[Eubacterium] dolichum] 
gi|490935784|ref|WP_004797622.1|	MULTISPECIES: 50S ribosomal protein L7ae [Firmicutes] 
gi|490935786|ref|WP_004797624.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935788|ref|WP_004797626.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935790|ref|WP_004797628.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935792|ref|WP_004797630.1|	MULTISPECIES: 50S ribosomal protein L32 [Firmicutes] 
gi|490935793|ref|WP_004797631.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935795|ref|WP_004797633.1|	alpha/beta hydrolase [[Eubacterium] dolichum] 
gi|490935796|ref|WP_004797634.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935798|ref|WP_004797636.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935800|ref|WP_004797638.1|	GTP pyrophosphokinase [[Eubacterium] dolichum] 
gi|490935802|ref|WP_004797640.1|	MULTISPECIES: adenine phosphoribosyltransferase [Firmicutes] 
gi|490935804|ref|WP_004797642.1|	recombinase RecJ [[Eubacterium] dolichum] 
gi|490935806|ref|WP_004797644.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935808|ref|WP_004797646.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935809|ref|WP_004797647.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935812|ref|WP_004797650.1|	Fe-S cluster assembly protein SufB [[Eubacterium] dolichum] 
gi|490935814|ref|WP_004797652.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935816|ref|WP_004797654.1|	cysteine desulfurase [[Eubacterium] dolichum] 
gi|490935819|ref|WP_004797657.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935820|ref|WP_004797658.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935822|ref|WP_004797660.1|	foldase PrsA [[Eubacterium] dolichum] 
gi|490935824|ref|WP_004797662.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935826|ref|WP_004797664.1|	HIT family hydrolase [[Eubacterium] dolichum] 
gi|490935827|ref|WP_004797665.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935829|ref|WP_004797667.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935830|ref|WP_004797668.1|	MULTISPECIES: phosphopantetheine adenylyltransferase [Firmicutes] 
gi|490935833|ref|WP_004797671.1|	rRNA methyltransferase [[Eubacterium] dolichum] 
gi|490935835|ref|WP_004797673.1|	cell division protein FtsW [[Eubacterium] dolichum] 
gi|490935836|ref|WP_004797674.1|	peptide deformylase [[Eubacterium] dolichum] 
gi|490935837|ref|WP_004797675.1|	beta-lactamase [[Eubacterium] dolichum] 
gi|490935839|ref|WP_004797677.1|	MULTISPECIES: phosphoesterase [Firmicutes] 
gi|490935841|ref|WP_004797679.1|	phenylalanyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490935843|ref|WP_004797681.1|	phenylalanyl-tRNA synthase subunit alpha [[Eubacterium] dolichum] 
gi|490935844|ref|WP_004797682.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935846|ref|WP_004797684.1|	RNA methyltransferase [[Eubacterium] dolichum] 
gi|490935848|ref|WP_004797686.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490935857|ref|WP_004797695.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935859|ref|WP_004797697.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935861|ref|WP_004797699.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935862|ref|WP_004797700.1|	MFS transporter [[Eubacterium] dolichum] 
gi|490935864|ref|WP_004797702.1|	3-phosphoglycerate dehydrogenase [[Eubacterium] dolichum] 
gi|490935866|ref|WP_004797704.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935867|ref|WP_004797705.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935869|ref|WP_004797707.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935871|ref|WP_004797709.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935873|ref|WP_004797711.1|	MULTISPECIES: MarR family transcriptional regulator [Firmicutes] 
gi|490935875|ref|WP_004797713.1|	multidrug transporter MatE [[Eubacterium] dolichum] 
gi|490935876|ref|WP_004797714.1|	thioesterase [[Eubacterium] dolichum] 
gi|490935878|ref|WP_004797716.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935881|ref|WP_004797719.1|	dipeptidyl aminopeptidase [[Eubacterium] dolichum] 
gi|490935882|ref|WP_004797720.1|	diaminopimelate aminotransferase [[Eubacterium] dolichum] 
gi|490935884|ref|WP_004797722.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935886|ref|WP_004797724.1|	guanine permease [[Eubacterium] dolichum] 
gi|490935888|ref|WP_004797726.1|	GMP synthase [[Eubacterium] dolichum] 
gi|490935890|ref|WP_004797728.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935892|ref|WP_004797730.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935896|ref|WP_004797734.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935894|ref|WP_004797732.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935898|ref|WP_004797736.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935900|ref|WP_004797738.1|	S1 RNA-binding protein [[Eubacterium] dolichum] 
gi|490935903|ref|WP_004797741.1|	transketolase [[Eubacterium] dolichum] 
gi|490935904|ref|WP_004797742.1|	transketolase [[Eubacterium] dolichum] 
gi|490935906|ref|WP_004797744.1|	PhoB family transcriptional regulator [[Eubacterium] dolichum] 
gi|490935908|ref|WP_004797746.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490935910|ref|WP_004797748.1|	histidine kinase [[Eubacterium] dolichum] 
gi|490935911|ref|WP_004797749.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935913|ref|WP_004797751.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935915|ref|WP_004797753.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935916|ref|WP_004797754.1|	radical SAM protein [[Eubacterium] dolichum] 
gi|490935918|ref|WP_004797756.1|	ABC transporter ATP-binding protein [[Eubacterium] dolichum] 
gi|490935920|ref|WP_004797758.1|	hypothetical protein [[Eubacterium] dolichum] 
