gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488632300|ref|WP_002568985.1|	MULTISPECIES: S1 RNA binding domain protein [Lachnoclostridium] 
gi|488632299|ref|WP_002568984.1|	GTP pyrophosphokinase [[Clostridium] bolteae] 
gi|488632298|ref|WP_002568983.1|	glycerophosphoryl diester phosphodiesterase [[Clostridium] bolteae] 
gi|488632297|ref|WP_002568982.1|	MULTISPECIES: D-tyrosyl-tRNA(Tyr) deacylase [Clostridiales] 
gi|494094748|ref|WP_007035572.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632296|ref|WP_002568981.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632295|ref|WP_002568980.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094749|ref|WP_007035573.1|	ATPase [[Clostridium] bolteae] 
gi|488641805|ref|WP_002578456.1|	MULTISPECIES: transposase [Lachnoclostridium] 
gi|494094750|ref|WP_007035574.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094751|ref|WP_007035575.1|	sodium:dicarboxylate symporter [[Clostridium] bolteae] 
gi|494094752|ref|WP_007035576.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094753|ref|WP_007035577.1|	aminobenzoyl-glutamate transporter [[Clostridium] bolteae] 
gi|488632291|ref|WP_002568976.1|	multidrug transporter MatE [[Clostridium] bolteae] 
gi|494094754|ref|WP_007035578.1|	metal dependent hydrolase [[Clostridium] bolteae] 
gi|488632289|ref|WP_002568974.1|	dihydroorotase [[Clostridium] bolteae] 
gi|488632288|ref|WP_002568973.1|	HAD family hydrolase [[Clostridium] bolteae] 
gi|494094755|ref|WP_007035579.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488632286|ref|WP_002568971.1|	MULTISPECIES: polar amino acid ABC transporter permease [Clostridiales] 
gi|488632285|ref|WP_002568970.1|	MULTISPECIES: arginine ABC transporter ATP-binding protein [Clostridiales] 
gi|494094756|ref|WP_007035580.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632284|ref|WP_002568969.1|	AroM family protein [[Clostridium] bolteae] 
gi|494094757|ref|WP_007035581.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641764|ref|WP_002578416.1|	peptide ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488632281|ref|WP_002568966.1|	glutathione ABC transporter permease [[Clostridium] bolteae] 
gi|488632280|ref|WP_002568965.1|	MULTISPECIES: diguanylate cyclase [Clostridiales] 
gi|488632279|ref|WP_002568964.1|	amidohydrolase [[Clostridium] bolteae] 
gi|494094758|ref|WP_007035582.1|	peptide ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488632277|ref|WP_002568962.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Lachnoclostridium] 
gi|488632276|ref|WP_002568961.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632275|ref|WP_002568960.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632274|ref|WP_002568959.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632273|ref|WP_002568958.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632272|ref|WP_002568957.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632271|ref|WP_002568956.1|	MULTISPECIES: heme ABC transporter ATP-binding protein [Clostridiales] 
gi|494094759|ref|WP_007035583.1|	S-ribosylhomocysteinase [[Clostridium] bolteae] 
gi|488632269|ref|WP_002568954.1|	MULTISPECIES: exodeoxyribonuclease III [Clostridiales] 
gi|488632268|ref|WP_002568953.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488632267|ref|WP_002568952.1|	alpha-amylase [[Clostridium] bolteae] 
gi|494094760|ref|WP_007035584.1|	peptidase [[Clostridium] bolteae] 
gi|494094761|ref|WP_007035585.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094762|ref|WP_007035586.1|	ATPase [[Clostridium] bolteae] 
gi|488632264|ref|WP_002568949.1|	MULTISPECIES: ureidoglycolate lyase [Lachnoclostridium] 
gi|494094763|ref|WP_007035587.1|	methylglyoxal synthase [[Clostridium] bolteae] 
gi|494094764|ref|WP_007035588.1|	1,4-alpha-glucan branching protein [[Clostridium] bolteae] 
gi|494094765|ref|WP_007035589.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632260|ref|WP_002568945.1|	histidine kinase [[Clostridium] bolteae] 
gi|494094766|ref|WP_007035590.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494094767|ref|WP_007035591.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632258|ref|WP_002568943.1|	MULTISPECIES: C4-dicarboxylate ABC transporter substrate-binding protein [Lachnoclostridium] 
gi|488632257|ref|WP_002568942.1|	MULTISPECIES: C4-dicarboxylate ABC transporter permease [Clostridiales] 
gi|488632256|ref|WP_002568941.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494094768|ref|WP_007035592.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094769|ref|WP_007035593.1|	C4-dicarboxylate ABC transporter [[Clostridium] bolteae] 
gi|488632253|ref|WP_002568938.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094770|ref|WP_007035594.1|	transposase [[Clostridium] bolteae] 
gi|494094771|ref|WP_007035595.1|	transposase [[Clostridium] bolteae] 
gi|488632252|ref|WP_002568937.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094772|ref|WP_007035596.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632251|ref|WP_002568936.1|	MULTISPECIES: phosphohydrolase [Lachnoclostridium] 
gi|488632250|ref|WP_002568935.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094773|ref|WP_007035597.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094774|ref|WP_007035598.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094775|ref|WP_007035599.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632248|ref|WP_002568933.1|	purine nucleoside phosphorylase [[Clostridium] bolteae] 
gi|488632247|ref|WP_002568932.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094776|ref|WP_007035600.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632246|ref|WP_002568931.1|	ATP-dependent Clp protease ATP-binding protein [[Clostridium] bolteae] 
gi|494094777|ref|WP_007035601.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488650202|ref|WP_002586814.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094778|ref|WP_007035602.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632244|ref|WP_002568929.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632243|ref|WP_002568928.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632242|ref|WP_002568927.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488632241|ref|WP_002568926.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094779|ref|WP_007035603.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632239|ref|WP_002568924.1|	peptidase A24 [[Clostridium] bolteae] 
gi|488632238|ref|WP_002568923.1|	general secretion pathway protein E [[Clostridium] bolteae] 
gi|494094780|ref|WP_007035604.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094781|ref|WP_007035605.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632235|ref|WP_002568920.1|	phospholipase D [[Clostridium] bolteae] 
gi|488632234|ref|WP_002568919.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632233|ref|WP_002568918.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [[Clostridium] bolteae] 
gi|488632232|ref|WP_002568917.1|	MULTISPECIES: prephenate dehydratase [Lachnoclostridium] 
gi|488632231|ref|WP_002568916.1|	ATPase AAA [[Clostridium] bolteae] 
gi|488632230|ref|WP_002568915.1|	exopolyphosphatase [[Clostridium] bolteae] 
gi|488632229|ref|WP_002568914.1|	polyphosphate kinase [[Clostridium] bolteae] 
gi|488632228|ref|WP_002568913.1|	MULTISPECIES: gluconate transporter [Clostridiales] 
gi|488632227|ref|WP_002568912.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094783|ref|WP_007035607.1|	metallo-beta-lactamase [[Clostridium] bolteae] 
gi|494094782|ref|WP_007035606.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094785|ref|WP_007035609.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094784|ref|WP_007035608.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632225|ref|WP_002568910.1|	PhoB family transcriptional regulator [[Clostridium] bolteae] 
gi|494094786|ref|WP_007035610.1|	histidine kinase [[Clostridium] bolteae] 
gi|494094787|ref|WP_007035611.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632222|ref|WP_002568907.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|488632221|ref|WP_002568906.1|	permease [[Clostridium] bolteae] 
gi|488632220|ref|WP_002568905.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632219|ref|WP_002568904.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632218|ref|WP_002568903.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094788|ref|WP_007035612.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094789|ref|WP_007035613.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632216|ref|WP_002568901.1|	hemolysin [[Clostridium] bolteae] 
gi|488632215|ref|WP_002568900.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094790|ref|WP_007035614.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488632214|ref|WP_002568899.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629468|ref|WP_002566157.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488629469|ref|WP_002566158.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494094791|ref|WP_007035615.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629470|ref|WP_002566159.1|	MULTISPECIES: DNA-binding protein [Lachnoclostridium] 
gi|488629471|ref|WP_002566160.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494094792|ref|WP_007035616.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094793|ref|WP_007035617.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629473|ref|WP_002566162.1|	integrase [[Clostridium] bolteae] 
gi|494094794|ref|WP_007035618.1|	GMP synthase [[Clostridium] bolteae] 
gi|488629503|ref|WP_002566192.1|	MULTISPECIES: cytidylate kinase [Clostridiales] 
gi|488629504|ref|WP_002566193.1|	ATPase [[Clostridium] bolteae] 
gi|494094795|ref|WP_007035619.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629505|ref|WP_002566194.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629506|ref|WP_002566195.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629507|ref|WP_002566196.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629508|ref|WP_002566197.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488629509|ref|WP_002566198.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629510|ref|WP_002566199.1|	MULTISPECIES: ketose-bisphosphate aldolase [Clostridiales] 
gi|488629511|ref|WP_002566200.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629512|ref|WP_002566201.1|	MULTISPECIES: PTS system Fru family IIC component [Lachnoclostridium] 
gi|488629513|ref|WP_002566202.1|	MULTISPECIES: PTS fructose transporter subunit IIB [Lachnoclostridium] 
gi|488629514|ref|WP_002566203.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094796|ref|WP_007035620.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094797|ref|WP_007035621.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094798|ref|WP_007035622.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629517|ref|WP_002566206.1|	ketose-bisphosphate aldolase [[Clostridium] bolteae] 
gi|488629518|ref|WP_002566207.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094799|ref|WP_007035623.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|488629520|ref|WP_002566209.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|488629521|ref|WP_002566210.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629522|ref|WP_002566211.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094800|ref|WP_007035624.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094801|ref|WP_007035625.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094802|ref|WP_007035626.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094803|ref|WP_007035627.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094804|ref|WP_007035628.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094805|ref|WP_007035629.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629899|ref|WP_002566588.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629898|ref|WP_002566587.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629897|ref|WP_002566586.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094806|ref|WP_007035630.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629895|ref|WP_002566584.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094807|ref|WP_007035631.1|	transposase [[Clostridium] bolteae] 
gi|488629524|ref|WP_002566213.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641807|ref|WP_002578458.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629526|ref|WP_002566215.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629527|ref|WP_002566216.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|488629528|ref|WP_002566217.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094808|ref|WP_007035632.1|	sugar ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|494094809|ref|WP_007035633.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094810|ref|WP_007035634.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629531|ref|WP_002566220.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094811|ref|WP_007035635.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629532|ref|WP_002566221.1|	tryptophan synthase subunit alpha [[Clostridium] bolteae] 
gi|488629533|ref|WP_002566222.1|	tryptophan synthase subunit beta [[Clostridium] bolteae] 
gi|488629534|ref|WP_002566223.1|	N-(5'-phosphoribosyl)anthranilate isomerase [[Clostridium] bolteae] 
gi|488629535|ref|WP_002566224.1|	indole-3-glycerol-phosphate synthase [[Clostridium] bolteae] 
gi|494094812|ref|WP_007035636.1|	anthranilate phosphoribosyltransferase [[Clostridium] bolteae] 
gi|488629537|ref|WP_002566226.1|	anthranilate synthase subunit II [[Clostridium] bolteae] 
gi|488629538|ref|WP_002566227.1|	anthranilate synthase subunit I [[Clostridium] bolteae] 
gi|494094813|ref|WP_007035637.1|	thiamine-phosphate pyrophosphorylase [[Clostridium] bolteae] 
gi|488629540|ref|WP_002566229.1|	hydroxyethylthiazole kinase [[Clostridium] bolteae] 
gi|494094814|ref|WP_007035638.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629542|ref|WP_002566231.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094815|ref|WP_007035639.1|	glycerophosphoryl diester phosphodiesterase [[Clostridium] bolteae] 
gi|488629544|ref|WP_002566233.1|	ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488629545|ref|WP_002566234.1|	ABC transporter permease [[Clostridium] bolteae] 
gi|488629546|ref|WP_002566235.1|	MULTISPECIES: glycerol-3-phosphate ABC transporter permease [Lachnoclostridium] 
gi|494094816|ref|WP_007035640.1|	sugar ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488629548|ref|WP_002566237.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629549|ref|WP_002566238.1|	helicase [[Clostridium] bolteae] 
gi|488629550|ref|WP_002566239.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629551|ref|WP_002566240.1|	16S rRNA methyltransferase [[Clostridium] bolteae] 
gi|494094817|ref|WP_007035641.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094818|ref|WP_007035642.1|	hydrolase TatD [[Clostridium] bolteae] 
gi|494094819|ref|WP_007035643.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094820|ref|WP_007035644.1|	glycosyltransferase family 1 [[Clostridium] bolteae] 
gi|488629555|ref|WP_002566244.1|	methionyl-tRNA synthetase [[Clostridium] bolteae] 
gi|494094821|ref|WP_007035645.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094822|ref|WP_007035646.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629557|ref|WP_002566246.1|	MULTISPECIES: cell division protein [Clostridiales] 
gi|488629558|ref|WP_002566247.1|	MULTISPECIES: cell division protein FtsE [Clostridiales] 
gi|488629559|ref|WP_002566248.1|	MULTISPECIES: flagellar biosynthetic protein FlhB [Lachnoclostridium] 
gi|488629560|ref|WP_002566249.1|	MULTISPECIES: flagellar protein [Lachnoclostridium] 
gi|488629561|ref|WP_002566250.1|	MULTISPECIES: flagellar biosynthesis protein FliQ [Clostridiales] 
gi|488629562|ref|WP_002566251.1|	MULTISPECIES: flagellar biosynthesis protein FliP [Clostridiales] 
gi|488629563|ref|WP_002566252.1|	MULTISPECIES: flagellar protein FliO [Lachnoclostridium] 
gi|494094823|ref|WP_007035647.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629565|ref|WP_002566254.1|	MULTISPECIES: flagellar motor switch protein FliM [Clostridiales] 
gi|488629566|ref|WP_002566255.1|	flagellar motor protein MotB [[Clostridium] bolteae] 
gi|488629567|ref|WP_002566256.1|	flagellar basal body rod protein FlgC [[Clostridium] bolteae] 
gi|488629568|ref|WP_002566257.1|	MULTISPECIES: flagellar basal-body rod protein FlgB [Clostridiales] 
gi|488629569|ref|WP_002566258.1|	MULTISPECIES: flagellar protein FliS [Clostridiales] 
gi|488629570|ref|WP_002566259.1|	flagellar hook protein [[Clostridium] bolteae] 
gi|488629571|ref|WP_002566260.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629572|ref|WP_002566261.1|	MULTISPECIES: carbon storage regulator [Clostridiales] 
gi|488629573|ref|WP_002566262.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488629574|ref|WP_002566263.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488629575|ref|WP_002566264.1|	FgL flagellar protein [[Clostridium] bolteae] 
gi|494094824|ref|WP_007035648.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629577|ref|WP_002566266.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629578|ref|WP_002566267.1|	flagellar biosynthesis anti-sigma factor FlgM [[Clostridium] bolteae] 
gi|488629579|ref|WP_002566268.1|	competence protein ComF [[Clostridium] bolteae] 
gi|488629580|ref|WP_002566269.1|	MULTISPECIES: chromosome partitioning protein ParA [Clostridiales] 
gi|494094825|ref|WP_007035649.1|	flagellin [[Clostridium] bolteae] 
gi|488629582|ref|WP_002566271.1|	D-Ala-D-Ala carboxypeptidase [[Clostridium] bolteae] 
gi|488629583|ref|WP_002566272.1|	pilus assembly protein PilZ [[Clostridium] bolteae] 
gi|488629584|ref|WP_002566273.1|	FlhB domain-containing protein [[Clostridium] bolteae] 
gi|488629585|ref|WP_002566274.1|	antitoxin [[Clostridium] bolteae] 
gi|494094826|ref|WP_007035650.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094827|ref|WP_007035651.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629588|ref|WP_002566277.1|	flagellar hook-basal body protein [[Clostridium] bolteae] 
gi|488629589|ref|WP_002566278.1|	MULTISPECIES: FliA/WhiG family RNA polymerase sigma factor [Clostridiales] 
gi|488629590|ref|WP_002566279.1|	MULTISPECIES: flagellar biosynthesis protein FlhA [Clostridiales] 
gi|488629591|ref|WP_002566280.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629592|ref|WP_002566281.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629593|ref|WP_002566282.1|	MULTISPECIES: flagellar protein FlbD [Clostridiales] 
gi|494094828|ref|WP_007035652.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629595|ref|WP_002566284.1|	MULTISPECIES: flagellar protein [Clostridiales] 
gi|488629596|ref|WP_002566285.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629597|ref|WP_002566286.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629598|ref|WP_002566287.1|	flagellar export protein FliJ [[Clostridium] bolteae] 
gi|488629599|ref|WP_002566288.1|	ATP synthase [[Clostridium] bolteae] 
gi|488629600|ref|WP_002566289.1|	flagellar assembly protein [[Clostridium] bolteae] 
gi|488629601|ref|WP_002566290.1|	MULTISPECIES: flagellar motor switch protein FliG [Clostridiales] 
gi|488629602|ref|WP_002566291.1|	flagellar M-ring protein FliF [[Clostridium] bolteae] 
gi|488629603|ref|WP_002566292.1|	flagellar hook-basal body protein FliE [[Clostridium] bolteae] 
gi|488641806|ref|WP_002578457.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094829|ref|WP_007035653.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094830|ref|WP_007035654.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629606|ref|WP_002566295.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094831|ref|WP_007035655.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629607|ref|WP_002566296.1|	xylulokinase [[Clostridium] bolteae] 
gi|494094832|ref|WP_007035656.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629609|ref|WP_002566298.1|	glycine/betaine/sarcosine/D-proline reductase family selenoprotein B [[Clostridium] bolteae] 
gi|488629610|ref|WP_002566299.1|	glycine/betaine/sarcosine/D-proline reductase family selenoprotein B [[Clostridium] bolteae] 
gi|488629611|ref|WP_002566300.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629612|ref|WP_002566301.1|	TRAP transporter DctM subunit [[Clostridium] bolteae] 
gi|488629613|ref|WP_002566302.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094833|ref|WP_007035657.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629615|ref|WP_002566304.1|	glycerol dehydrogenase [[Clostridium] bolteae] 
gi|494094834|ref|WP_007035658.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629616|ref|WP_002566305.1|	MULTISPECIES: stage V sporulation protein T [Clostridiales] 
gi|494094835|ref|WP_007035659.1|	biotin synthase [[Clostridium] bolteae] 
gi|488629618|ref|WP_002566307.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|488629619|ref|WP_002566308.1|	iron ABC transporter [[Clostridium] bolteae] 
gi|488629620|ref|WP_002566309.1|	Fe3+-citrate ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|488629621|ref|WP_002566310.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629622|ref|WP_002566311.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629623|ref|WP_002566312.1|	nitrogenase iron protein [[Clostridium] bolteae] 
gi|494094836|ref|WP_007035660.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629624|ref|WP_002566313.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488629625|ref|WP_002566314.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488629626|ref|WP_002566315.1|	transcription-repair coupling factor [[Clostridium] bolteae] 
gi|488629627|ref|WP_002566316.1|	peptidyl-tRNA hydrolase [[Clostridium] bolteae] 
gi|488629628|ref|WP_002566317.1|	glycosyl transferase [[Clostridium] bolteae] 
gi|488629629|ref|WP_002566318.1|	FAD-dependent oxidoreductase [[Clostridium] bolteae] 
gi|494094837|ref|WP_007035661.1|	hypothetical protein [[Clostridium] bolteae] 
