gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489886816|ref|WP_003790266.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489886819|ref|WP_003790269.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886821|ref|WP_003790271.1|	toxin RelE [Actinomyces odontolyticus] 
gi|489886823|ref|WP_003790273.1|	surface-anchored membrane protein [Actinomyces odontolyticus] 
gi|489886825|ref|WP_003790275.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886826|ref|WP_003790276.1|	GTP-binding protein YchF [Actinomyces odontolyticus] 
gi|489886829|ref|WP_003790279.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Actinomyces odontolyticus] 
gi|489886831|ref|WP_003790281.1|	exodeoxyribonuclease VII large subunit [Actinomyces odontolyticus] 
gi|489886833|ref|WP_003790283.1|	exodeoxyribonuclease VII [Actinomyces odontolyticus] 
gi|489886835|ref|WP_003790285.1|	ribokinase [Actinomyces odontolyticus] 
gi|489886840|ref|WP_003790290.1|	MULTISPECIES: UDP pyrophosphate synthase [Actinomyces] 
gi|489886842|ref|WP_003790292.1|	hemolysin [Actinomyces odontolyticus] 
gi|489886844|ref|WP_003790294.1|	transcription elongation factor GreA [Actinomyces odontolyticus] 
gi|489886847|ref|WP_003790297.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886849|ref|WP_003790299.1|	peptide-methionine (S)-S-oxide reductase [Actinomyces odontolyticus] 
gi|489886851|ref|WP_003790301.1|	peptidylprolyl isomerase [Actinomyces odontolyticus] 
gi|489886853|ref|WP_003790303.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886855|ref|WP_003790305.1|	phosphatase [Actinomyces odontolyticus] 
gi|489886858|ref|WP_003790308.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886862|ref|WP_003790312.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886864|ref|WP_003790314.1|	enolase [Actinomyces odontolyticus] 
gi|489886867|ref|WP_003790317.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886869|ref|WP_003790319.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886871|ref|WP_003790321.1|	transcription-repair coupling factor [Actinomyces odontolyticus] 
gi|489886872|ref|WP_003790322.1|	peptidyl-tRNA hydrolase [Actinomyces odontolyticus] 
gi|489886874|ref|WP_003790324.1|	lipase [Actinomyces odontolyticus] 
gi|489886876|ref|WP_003790326.1|	galactokinase [Actinomyces odontolyticus] 
gi|489886878|ref|WP_003790328.1|	2'-5' RNA ligase [Actinomyces odontolyticus] 
gi|489886880|ref|WP_003790330.1|	exodeoxyribonuclease III [Actinomyces odontolyticus] 
gi|489886883|ref|WP_003790333.1|	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase [Actinomyces odontolyticus] 
gi|489886884|ref|WP_003790334.1|	serine hydroxymethyltransferase [Actinomyces odontolyticus] 
gi|489886887|ref|WP_003790337.1|	multidrug MFS transporter [Actinomyces odontolyticus] 
gi|489886890|ref|WP_003790340.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886893|ref|WP_003790343.1|	kelch domain protein [Actinomyces odontolyticus] 
gi|489886895|ref|WP_003790345.1|	kelch domain protein [Actinomyces odontolyticus] 
gi|489886898|ref|WP_003790348.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886900|ref|WP_003790350.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886902|ref|WP_003790352.1|	ligase [Actinomyces odontolyticus] 
gi|489886904|ref|WP_003790354.1|	glycosyl transferase [Actinomyces odontolyticus] 
gi|489886906|ref|WP_003790356.1|	membrane protein [Actinomyces odontolyticus] 
gi|489886908|ref|WP_003790358.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886911|ref|WP_003790361.1|	CDP-alcohol phosphatidyltransferase [Actinomyces odontolyticus] 
gi|489886912|ref|WP_003790362.1|	cytidyltransferase [Actinomyces odontolyticus] 
gi|489886914|ref|WP_003790364.1|	formyltetrahydrofolate deformylase [Actinomyces odontolyticus] 
gi|489886916|ref|WP_003790366.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489886918|ref|WP_003790368.1|	malate dehydrogenase [Actinomyces odontolyticus] 
gi|489886920|ref|WP_003790370.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886922|ref|WP_003790372.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886925|ref|WP_003790375.1|	ferredoxin [Actinomyces odontolyticus] 
gi|489886927|ref|WP_003790377.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886928|ref|WP_003790378.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Actinomyces odontolyticus] 
gi|489886929|ref|WP_003790379.1|	protoporphyrinogen oxidase [Actinomyces odontolyticus] 
gi|489886931|ref|WP_003790381.1|	MerR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886932|ref|WP_003790382.1|	ABC transporter ATPase [Actinomyces odontolyticus] 
gi|489886934|ref|WP_003790384.1|	beta-carotene 15,15-monooxygenase [Actinomyces odontolyticus] 
gi|489886937|ref|WP_003790387.1|	exosortase [Actinomyces odontolyticus] 
gi|489886938|ref|WP_003790388.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886941|ref|WP_003790391.1|	endonuclease [Actinomyces odontolyticus] 
gi|489886943|ref|WP_003790393.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886944|ref|WP_003790394.1|	sulfate ABC transporter ATPase [Actinomyces odontolyticus] 
gi|489886946|ref|WP_003790396.1|	membrane protein [Actinomyces odontolyticus] 
gi|489886947|ref|WP_003790397.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886949|ref|WP_003790399.1|	glucose-6-phosphate isomerase [Actinomyces odontolyticus] 
gi|489886952|ref|WP_003790402.1|	6-phosphofructokinase [Actinomyces odontolyticus] 
gi|489886954|ref|WP_003790404.1|	sodium:proton antiporter [Actinomyces odontolyticus] 
gi|489886956|ref|WP_003790406.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886957|ref|WP_003790407.1|	phosphate acetyltransferase [Actinomyces odontolyticus] 
gi|489886958|ref|WP_003790408.1|	acetate kinase [Actinomyces odontolyticus] 
gi|489886960|ref|WP_003790410.1|	NAD-dependent deacetylase [Actinomyces odontolyticus] 
gi|489886963|ref|WP_003790413.1|	inorganic polyphosphate/ATP-NAD kinase [Actinomyces odontolyticus] 
gi|489886964|ref|WP_003790414.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886966|ref|WP_003790416.1|	NUDIX hydrolase [Actinomyces odontolyticus] 
gi|489886968|ref|WP_003790418.1|	NAD synthetase [Actinomyces odontolyticus] 
gi|489886970|ref|WP_003790420.1|	iron ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489886972|ref|WP_003790422.1|	iron ABC transporter permease [Actinomyces odontolyticus] 
gi|489886973|ref|WP_003790423.1|	iron ABC transporter permease [Actinomyces odontolyticus] 
gi|489886975|ref|WP_003790425.1|	iron ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489886976|ref|WP_003790426.1|	permease [Actinomyces odontolyticus] 
gi|489886978|ref|WP_003790428.1|	DNA methyltransferase [Actinomyces odontolyticus] 
gi|489886980|ref|WP_003790430.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489886981|ref|WP_003790431.1|	MULTISPECIES: cupin [Actinomyces] 
gi|489886983|ref|WP_003790433.1|	methyltransferase [Actinomyces odontolyticus] 
gi|489886985|ref|WP_003790435.1|	phosphomannomutase [Actinomyces odontolyticus] 
gi|489886986|ref|WP_003790436.1|	deoxyribose-phosphate aldolase [Actinomyces odontolyticus] 
gi|489886988|ref|WP_003790438.1|	purine nucleoside phosphorylase [Actinomyces odontolyticus] 
gi|489886989|ref|WP_003790439.1|	DeoR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489886992|ref|WP_003790442.1|	pyrimidine-nucleoside phosphorylase [Actinomyces odontolyticus] 
gi|489886994|ref|WP_003790444.1|	cytidine deaminase [Actinomyces odontolyticus] 
gi|489886996|ref|WP_003790446.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489886998|ref|WP_003790448.1|	branched-chain amino acid ABC transporter permease [Actinomyces odontolyticus] 
gi|489887000|ref|WP_003790450.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489887001|ref|WP_003790451.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887004|ref|WP_003790454.1|	metallophosphatase [Actinomyces odontolyticus] 
gi|489887006|ref|WP_003790456.1|	endonuclease [Actinomyces odontolyticus] 
gi|489887007|ref|WP_003790457.1|	inosine 5'-monophosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489887009|ref|WP_003790459.1|	DNA polymerase III subunit epsilon [Actinomyces odontolyticus] 
gi|489887012|ref|WP_003790462.1|	MULTISPECIES: transaldolase [Actinomyces] 
gi|489887014|ref|WP_003790464.1|	inosine-5`-monophosphate dehydrogenase [Actinomyces odontolyticus] 
gi|489887016|ref|WP_003790466.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887018|ref|WP_003790468.1|	transposase [Actinomyces odontolyticus] 
gi|489887020|ref|WP_003790470.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887022|ref|WP_003790472.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887031|ref|WP_003790481.1|	MULTISPECIES: hypothetical protein [Actinobacteria] 
gi|489887033|ref|WP_003790483.1|	thioredoxin [Actinomyces odontolyticus] 
gi|489887036|ref|WP_003790486.1|	MULTISPECIES: molecular chaperone GroES [Actinomyces] 
gi|489887039|ref|WP_003790489.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489887040|ref|WP_003790490.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887043|ref|WP_003790493.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887045|ref|WP_003790495.1|	esterase [Actinomyces odontolyticus] 
gi|489887046|ref|WP_003790496.1|	O-sialoglycoprotein endopeptidase [Actinomyces odontolyticus] 
gi|489887048|ref|WP_003790498.1|	amino acid transporter [Actinomyces odontolyticus] 
gi|489887051|ref|WP_003790501.1|	MULTISPECIES: succinate dehydrogenase [Actinomyces] 
gi|489887053|ref|WP_003790503.1|	succinate dehydrogenase [Actinomyces odontolyticus] 
gi|489887055|ref|WP_003790505.1|	succinate dehydrogenase cytochrome b558 subunit [Actinomyces odontolyticus] 
gi|489887058|ref|WP_003790508.1|	alanine acetyltransferase [Actinomyces odontolyticus] 
gi|489887060|ref|WP_003790510.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887062|ref|WP_003790512.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887064|ref|WP_003790514.1|	alanine racemase [Actinomyces odontolyticus] 
gi|489887067|ref|WP_003790517.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887070|ref|WP_003790520.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489887071|ref|WP_003790521.1|	pantothenate kinase [Actinomyces odontolyticus] 
gi|489887073|ref|WP_003790523.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887076|ref|WP_003790526.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489887078|ref|WP_003790528.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489887079|ref|WP_003790529.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489887081|ref|WP_003790531.1|	beta-galactosidase [Actinomyces odontolyticus] 
gi|489887083|ref|WP_003790533.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887085|ref|WP_003790535.1|	LacI family transcriptional regulator [Actinomyces odontolyticus] 
