gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986964|ref|WP_004848697.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986966|ref|WP_004848699.1|	2-ketoisovalerate ferredoxin oxidoreductase subunit alpha [Coprococcus eutactus] 
gi|490986967|ref|WP_004848700.1|	MULTISPECIES: ferredoxin [Coprococcus] 
gi|490986969|ref|WP_004848702.1|	pyruvate synthase [Coprococcus eutactus] 
gi|490986971|ref|WP_004848704.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986974|ref|WP_004848707.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986975|ref|WP_004848708.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986977|ref|WP_004848710.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986980|ref|WP_004848713.1|	hydratase [Coprococcus eutactus] 
gi|490986982|ref|WP_004848715.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986985|ref|WP_004848718.1|	galactoside O-acetyltransferase [Coprococcus eutactus] 
gi|490986987|ref|WP_004848720.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986988|ref|WP_004848721.1|	peptidase [Coprococcus eutactus] 
gi|490986990|ref|WP_004848723.1|	MULTISPECIES: membrane protein [Coprococcus] 
gi|490986992|ref|WP_004848725.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986995|ref|WP_004848728.1|	hypothetical protein [Coprococcus eutactus] 
gi|490986997|ref|WP_004848730.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490986999|ref|WP_004848732.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987001|ref|WP_004848734.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987003|ref|WP_004848736.1|	chromate transporter [Coprococcus eutactus] 
gi|490987004|ref|WP_004848737.1|	chromate transporter [Coprococcus eutactus] 
gi|490987007|ref|WP_004848740.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987009|ref|WP_004848742.1|	MarR family transcriptional regulator [Coprococcus eutactus] 
gi|490987011|ref|WP_004848744.1|	sodium transporter [Coprococcus eutactus] 
gi|490987012|ref|WP_004848745.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987014|ref|WP_004848747.1|	PadR family transcriptional regulator [Coprococcus eutactus] 
gi|490987016|ref|WP_004848749.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987018|ref|WP_004848751.1|	GTP-binding protein YchF [Coprococcus eutactus] 
gi|490987021|ref|WP_004848754.1|	diacylglyceryl transferase [Coprococcus eutactus] 
gi|490987023|ref|WP_004848756.1|	MULTISPECIES: cell division protein MraZ [Coprococcus] 
gi|490987024|ref|WP_004848757.1|	MULTISPECIES: 16S rRNA methyltransferase [Coprococcus] 
gi|490987026|ref|WP_004848759.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987027|ref|WP_004848760.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987030|ref|WP_004848763.1|	peptidoglycan glycosyltransferase [Coprococcus eutactus] 
gi|490987031|ref|WP_004848764.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Coprococcus eutactus] 
gi|490987032|ref|WP_004848765.1|	UDP-N-acetylmuramoylalanine--D-glutamate ligase [Coprococcus eutactus] 
gi|490987034|ref|WP_004848767.1|	cell division protein [Coprococcus eutactus] 
gi|490987036|ref|WP_004848769.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987038|ref|WP_004848771.1|	cell division protein FtsZ [Coprococcus eutactus] 
gi|490987040|ref|WP_004848773.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987042|ref|WP_004848775.1|	alanine racemase [Coprococcus eutactus] 
gi|490987043|ref|WP_004848776.1|	MULTISPECIES: PemK family transcriptional regulator [Coprococcus] 
gi|490987045|ref|WP_004848778.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987046|ref|WP_004848779.1|	MULTISPECIES: transcriptional regulator [Coprococcus] 
gi|490987048|ref|WP_004848781.1|	multidrug ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490987050|ref|WP_004848783.1|	sugar ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490987052|ref|WP_004848785.1|	acetylornithine aminotransferase [Coprococcus eutactus] 
gi|490987053|ref|WP_004848786.1|	7-cyano-7-deazaguanine reductase [Coprococcus eutactus] 
gi|490987055|ref|WP_004848788.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987056|ref|WP_004848789.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987057|ref|WP_004848790.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987058|ref|WP_004848791.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987059|ref|WP_004848792.1|	histidine kinase [Coprococcus eutactus] 
gi|490987060|ref|WP_004848793.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987061|ref|WP_004848794.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987063|ref|WP_004848796.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987065|ref|WP_004848798.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987067|ref|WP_004848800.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987069|ref|WP_004848802.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987071|ref|WP_004848804.1|	chloride channel protein [Coprococcus eutactus] 
gi|490987072|ref|WP_004848805.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987074|ref|WP_004848807.1|	stage V sporulation protein AD [Coprococcus eutactus] 
gi|490987076|ref|WP_004848809.1|	stage V sporulation protein AEB [Coprococcus eutactus] 
gi|490987078|ref|WP_004848811.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987079|ref|WP_004848812.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987081|ref|WP_004848814.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987083|ref|WP_004848816.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987084|ref|WP_004848817.1|	MULTISPECIES: GTP-binding protein LepA [Coprococcus] 
gi|490987087|ref|WP_004848820.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987088|ref|WP_004848821.1|	HrcA family transcriptional regulator [Coprococcus eutactus] 
gi|490987090|ref|WP_004848823.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987092|ref|WP_004848825.1|	MULTISPECIES: molecular chaperone DnaK [Coprococcus] 
gi|490987093|ref|WP_004848826.1|	molecular chaperone DnaJ [Coprococcus eutactus] 
gi|490987095|ref|WP_004848828.1|	50S ribosomal protein L11 methyltransferase [Coprococcus eutactus] 
gi|490987097|ref|WP_004848830.1|	MULTISPECIES: 16S rRNA methyltransferase [Coprococcus] 
gi|490987098|ref|WP_004848831.1|	cysteine desulfarase [Coprococcus eutactus] 
gi|490987100|ref|WP_004848833.1|	MULTISPECIES: thiamine biosynthesis protein ThiI [Coprococcus] 
gi|490987102|ref|WP_004848835.1|	MULTISPECIES: PTS sugar transporter [Coprococcus] 
gi|490987104|ref|WP_004848837.1|	radical SAM protein [Coprococcus eutactus] 
gi|490987105|ref|WP_004848838.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987107|ref|WP_004848840.1|	MULTISPECIES: Holliday junction resolvase [Coprococcus] 
gi|490987109|ref|WP_004848842.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987111|ref|WP_004848844.1|	MULTISPECIES: beta-lactamase [Coprococcus] 
gi|490987114|ref|WP_004848847.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987115|ref|WP_004848848.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987118|ref|WP_004848851.1|	MULTISPECIES: O-methyltransferase [Coprococcus] 
gi|490987119|ref|WP_004848852.1|	peptidase U32 [Coprococcus eutactus] 
gi|490987121|ref|WP_004848854.1|	MULTISPECIES: RNA polymerase sigma 70 [Coprococcus] 
gi|490987123|ref|WP_004848856.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987125|ref|WP_004848858.1|	MULTISPECIES: type II secretion system protein E [Coprococcus] 
gi|490987127|ref|WP_004848860.1|	MULTISPECIES: twitching motility protein PilT [Coprococcus] 
gi|490987129|ref|WP_004848862.1|	type II secretion system protein [Coprococcus eutactus] 
gi|490987131|ref|WP_004848864.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987133|ref|WP_004848866.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987136|ref|WP_004848869.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987138|ref|WP_004848871.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987141|ref|WP_004848874.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987142|ref|WP_004848875.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987145|ref|WP_004848878.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987146|ref|WP_004848879.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987148|ref|WP_004848881.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987149|ref|WP_004848882.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987151|ref|WP_004848884.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987153|ref|WP_004848886.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987154|ref|WP_004848887.1|	MULTISPECIES: elongation factor P [Coprococcus] 
gi|490987156|ref|WP_004848889.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987158|ref|WP_004848891.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987160|ref|WP_004848893.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987162|ref|WP_004848895.1|	MULTISPECIES: stage III sporulation protein AC [Coprococcus] 
gi|490987164|ref|WP_004848897.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987165|ref|WP_004848898.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987167|ref|WP_004848900.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987169|ref|WP_004848902.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987171|ref|WP_004848904.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987172|ref|WP_004848905.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987174|ref|WP_004848907.1|	MULTISPECIES: transcription antitermination protein NusB [Coprococcus] 
gi|490987175|ref|WP_004848908.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987176|ref|WP_004848909.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987178|ref|WP_004848911.1|	farnesyl-diphosphate synthase [Coprococcus eutactus] 
gi|490987179|ref|WP_004848912.1|	1-deoxy-D-xylulose-5-phosphate synthase [Coprococcus eutactus] 
gi|490987182|ref|WP_004848915.1|	MULTISPECIES: RNA methyltransferase [Coprococcus] 
gi|490987183|ref|WP_004848916.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987184|ref|WP_004848917.1|	arginine repressor ArgR [Coprococcus eutactus] 
gi|490987186|ref|WP_004848919.1|	DNA repair protein RecN [Coprococcus eutactus] 
gi|490987187|ref|WP_004848920.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987189|ref|WP_004848922.1|	sulfate transporter [Coprococcus eutactus] 
gi|490987191|ref|WP_004848924.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987192|ref|WP_004848925.1|	sporulation protein [Coprococcus eutactus] 
gi|490987194|ref|WP_004848927.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987196|ref|WP_004848929.1|	MULTISPECIES: succinylglutamate desuccinylase [Coprococcus] 
gi|490987198|ref|WP_004848931.1|	MULTISPECIES: succinylglutamate desuccinylase [Coprococcus] 
gi|490987199|ref|WP_004848932.1|	phosphoribosylformylglycinamidine synthase [Coprococcus eutactus] 
gi|490987201|ref|WP_004848934.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987203|ref|WP_004848936.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987205|ref|WP_004848938.1|	glycosyltransferase [Coprococcus eutactus] 
gi|490987207|ref|WP_004848940.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987209|ref|WP_004848942.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987211|ref|WP_004848944.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987213|ref|WP_004848946.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987214|ref|WP_004848947.1|	polysaccharide biosynthesis protein [Coprococcus eutactus] 
gi|490987216|ref|WP_004848949.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987217|ref|WP_004848950.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987219|ref|WP_004848952.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987220|ref|WP_004848953.1|	oxidoreductase [Coprococcus eutactus] 
gi|490987222|ref|WP_004848955.1|	aminotransferase DegT [Coprococcus eutactus] 
gi|490987223|ref|WP_004848956.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987224|ref|WP_004848957.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987226|ref|WP_004848959.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987227|ref|WP_004848960.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987229|ref|WP_004848962.1|	3-isopropylmalate dehydratase large subunit [Coprococcus eutactus] 
gi|490987230|ref|WP_004848963.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987231|ref|WP_004848964.1|	3-isopropylmalate dehydratase small subunit [Coprococcus eutactus] 
gi|490987233|ref|WP_004848966.1|	3-isopropylmalate dehydrogenase [Coprococcus eutactus] 
gi|490987235|ref|WP_004848968.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987236|ref|WP_004848969.1|	dihydroxy-acid dehydratase [Coprococcus eutactus] 
gi|490987238|ref|WP_004848971.1|	acetolactate synthase [Coprococcus eutactus] 
gi|490987240|ref|WP_004848973.1|	MFS transporter [Coprococcus eutactus] 
gi|490987241|ref|WP_004848974.1|	3-phosphoglycerate dehydrogenase [Coprococcus eutactus] 
gi|490987243|ref|WP_004848976.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Coprococcus] 
gi|490987244|ref|WP_004848977.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987246|ref|WP_004848979.1|	ATPase [Coprococcus eutactus] 
gi|490987247|ref|WP_004848980.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987249|ref|WP_004848982.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987250|ref|WP_004848983.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987252|ref|WP_004848985.1|	MULTISPECIES: cobalamin biosynthesis protein CobW [Coprococcus] 
gi|490987254|ref|WP_004848987.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987255|ref|WP_004848988.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987257|ref|WP_004848990.1|	MULTISPECIES: ABC transporter [Coprococcus] 
gi|490987259|ref|WP_004848992.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987261|ref|WP_004848994.1|	magnesium chelatase subunit ChlI [Coprococcus eutactus] 
gi|490987263|ref|WP_004848996.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987265|ref|WP_004848998.1|	MULTISPECIES: DNA topoisomerase I [Coprococcus] 
gi|490987266|ref|WP_004848999.1|	MULTISPECIES: transcriptional regulator [Coprococcus] 
gi|490987268|ref|WP_004849001.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987270|ref|WP_004849003.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987272|ref|WP_004849005.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987274|ref|WP_004849007.1|	30S ribosomal protein S2 [Coprococcus eutactus] 
gi|490987276|ref|WP_004849009.1|	MULTISPECIES: elongation factor Ts [Coprococcus] 
gi|490987278|ref|WP_004849011.1|	chemotaxis protein CheY [Coprococcus eutactus] 
gi|490987280|ref|WP_004849013.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987281|ref|WP_004849014.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987283|ref|WP_004849016.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987285|ref|WP_004849018.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987287|ref|WP_004849020.1|	MULTISPECIES: AsnC family transcriptional regulator [Coprococcus] 
gi|490987289|ref|WP_004849022.1|	MULTISPECIES: pseudouridylate synthase [Coprococcus] 
gi|490987291|ref|WP_004849024.1|	DNA ligase [Coprococcus eutactus] 
gi|490987292|ref|WP_004849025.1|	homoserine O-succinyltransferase [Coprococcus eutactus] 
gi|490987294|ref|WP_004849027.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987296|ref|WP_004849029.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490987309|ref|WP_004849042.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987311|ref|WP_004849044.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987313|ref|WP_004849046.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987317|ref|WP_004849050.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987318|ref|WP_004849051.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987320|ref|WP_004849053.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490987322|ref|WP_004849055.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987311|ref|WP_004849044.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987313|ref|WP_004849046.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987324|ref|WP_004849057.1|	hydrolase [Coprococcus eutactus] 
gi|490987326|ref|WP_004849059.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987332|ref|WP_004849065.1|	MULTISPECIES: DNA repair protein RadA [Coprococcus] 
gi|490987334|ref|WP_004849067.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987335|ref|WP_004849068.1|	ATP-dependent Clp protease ATP-binding protein [Coprococcus eutactus] 
gi|490987337|ref|WP_004849070.1|	phosphoribosylamine--glycine ligase [Coprococcus eutactus] 
gi|490987339|ref|WP_004849072.1|	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Coprococcus] 
gi|490987340|ref|WP_004849073.1|	MULTISPECIES: phosphoribosylaminoimidazole synthetase [Coprococcus] 
gi|490987341|ref|WP_004849074.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987343|ref|WP_004849076.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987345|ref|WP_004849078.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987348|ref|WP_004849081.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987350|ref|WP_004849083.1|	phosphopantothenoylcysteine decarboxylase [Coprococcus eutactus] 
gi|490987351|ref|WP_004849084.1|	MULTISPECIES: pantoate--beta-alanine ligase [Coprococcus] 
gi|490987353|ref|WP_004849086.1|	MULTISPECIES: 3-methyl-2-oxobutanoate hydroxymethyltransferase [Coprococcus] 
gi|490987354|ref|WP_004849087.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987356|ref|WP_004849089.1|	MULTISPECIES: N5-carboxyaminoimidazole ribonucleotide mutase [Coprococcus] 
gi|490987358|ref|WP_004849091.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987360|ref|WP_004849093.1|	aminopeptidase [Coprococcus eutactus] 
gi|490987362|ref|WP_004849095.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987364|ref|WP_004849097.1|	MULTISPECIES: ABC transporter [Coprococcus] 
gi|490987366|ref|WP_004849099.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987368|ref|WP_004849101.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987370|ref|WP_004849103.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987372|ref|WP_004849105.1|	UDP-N-acetylglucosamine pyrophosphorylase [Coprococcus eutactus] 
gi|490987374|ref|WP_004849107.1|	DNA topoisomerase III [Coprococcus eutactus] 
gi|490987375|ref|WP_004849108.1|	MULTISPECIES: glutamine synthetase [Coprococcus] 
gi|490987376|ref|WP_004849109.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987378|ref|WP_004849111.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987380|ref|WP_004849113.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987381|ref|WP_004849114.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987383|ref|WP_004849116.1|	tyrosyl-tRNA synthetase [Coprococcus eutactus] 
gi|490987384|ref|WP_004849117.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987386|ref|WP_004849119.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987388|ref|WP_004849121.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987389|ref|WP_004849122.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987390|ref|WP_004849123.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987392|ref|WP_004849125.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987393|ref|WP_004849126.1|	ABC transporter [Coprococcus eutactus] 
gi|490987395|ref|WP_004849128.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987397|ref|WP_004849130.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987399|ref|WP_004849132.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987400|ref|WP_004849133.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987403|ref|WP_004849136.1|	MULTISPECIES: 50S ribosomal protein L20 [Coprococcus] 
gi|490987405|ref|WP_004849138.1|	MULTISPECIES: 50S ribosomal protein L35 [Coprococcus] 
gi|490987407|ref|WP_004849140.1|	MULTISPECIES: translation initiation factor IF-3 [Coprococcus] 
gi|490987409|ref|WP_004849142.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987411|ref|WP_004849144.1|	polyphosphate kinase [Coprococcus eutactus] 
