gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746421|ref|WP_004608729.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746422|ref|WP_004608730.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746423|ref|WP_004608731.1|	DtxR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746424|ref|WP_004608732.1|	enolase [[Clostridium] spiroforme] 
gi|490746425|ref|WP_004608733.1|	nitrogen-fixing protein NifU [[Clostridium] spiroforme] 
gi|490746426|ref|WP_004608734.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746427|ref|WP_004608735.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746428|ref|WP_004608736.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746429|ref|WP_004608737.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746430|ref|WP_004608738.1|	transposase [[Clostridium] spiroforme] 
gi|490746431|ref|WP_004608739.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746432|ref|WP_004608740.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746433|ref|WP_004608741.1|	cell wall anchor protein [[Clostridium] spiroforme] 
gi|490746434|ref|WP_004608742.1|	NADH-dependent butanol dehydrogenase A [[Clostridium] spiroforme] 
gi|490746435|ref|WP_004608743.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746436|ref|WP_004608744.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746437|ref|WP_004608745.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746438|ref|WP_004608746.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746439|ref|WP_004608747.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746440|ref|WP_004608748.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746441|ref|WP_004608749.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746442|ref|WP_004608750.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746443|ref|WP_004608751.1|	UDP-N-acetylglucosamine 2-epimerase [[Clostridium] spiroforme] 
gi|490746444|ref|WP_004608752.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746445|ref|WP_004608753.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746446|ref|WP_004608754.1|	capsular polysaccharide biosynthesis protein Cap8F [[Clostridium] spiroforme] 
gi|490746447|ref|WP_004608755.1|	glycerol-3-phosphate cytidylyltransferase [[Clostridium] spiroforme] 
gi|490746448|ref|WP_004608756.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746449|ref|WP_004608757.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746450|ref|WP_004608758.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746451|ref|WP_004608759.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746452|ref|WP_004608760.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746453|ref|WP_004608761.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746454|ref|WP_004608762.1|	glycosyl transferase [[Clostridium] spiroforme] 
gi|490746455|ref|WP_004608763.1|	capsular polysaccharide biosynthesis protein [[Clostridium] spiroforme] 
gi|490746456|ref|WP_004608764.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746457|ref|WP_004608765.1|	UDP-phosphate galactose phosphotransferase [[Clostridium] spiroforme] 
gi|490746458|ref|WP_004608766.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746459|ref|WP_004608767.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746460|ref|WP_004608768.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746461|ref|WP_004608769.1|	integrase [[Clostridium] spiroforme] 
gi|490746462|ref|WP_004608770.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746463|ref|WP_004608771.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746464|ref|WP_004608772.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746465|ref|WP_004608773.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746466|ref|WP_004608774.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746467|ref|WP_004608775.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746468|ref|WP_004608776.1|	fructose-bisphosphate aldolase [[Clostridium] spiroforme] 
gi|490746469|ref|WP_004608777.1|	pyruvate formate-lyase [[Clostridium] spiroforme] 
gi|490746470|ref|WP_004608778.1|	pyruvate formate lyase-activating protein [[Clostridium] spiroforme] 
gi|490746471|ref|WP_004608779.1|	DeoR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746472|ref|WP_004608780.1|	transposase [[Clostridium] spiroforme] 
gi|490746473|ref|WP_004608781.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746474|ref|WP_004608782.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746475|ref|WP_004608783.1|	TspO and MBR [[Clostridium] spiroforme] 
gi|490746476|ref|WP_004608784.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746477|ref|WP_004608785.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746478|ref|WP_004608786.1|	5-amino-6-(5-phosphoribosylamino)uracil reductase [[Clostridium] spiroforme] 
gi|490746479|ref|WP_004608787.1|	cupin [[Clostridium] spiroforme] 
gi|490746480|ref|WP_004608788.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746481|ref|WP_004608789.1|	histidinol phosphate phosphatase [[Clostridium] spiroforme] 
gi|490746482|ref|WP_004608790.1|	phosphoribosyl-ATP pyrophosphatase [[Clostridium] spiroforme] 
gi|490746483|ref|WP_004608791.1|	imidazole glycerol phosphate synthase [[Clostridium] spiroforme] 
gi|490746484|ref|WP_004608792.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [[Clostridium] spiroforme] 
gi|490746485|ref|WP_004608793.1|	imidazole glycerol phosphate synthase [[Clostridium] spiroforme] 
gi|490746486|ref|WP_004608794.1|	imidazoleglycerol-phosphate dehydratase [[Clostridium] spiroforme] 
gi|490746487|ref|WP_004608795.1|	histidinol dehydrogenase [[Clostridium] spiroforme] 
gi|490746488|ref|WP_004608796.1|	ATP phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746489|ref|WP_004608797.1|	ATP phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746490|ref|WP_004608798.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746491|ref|WP_004608799.1|	glutamate dehydrogenase [[Clostridium] spiroforme] 
gi|490746492|ref|WP_004608800.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746493|ref|WP_004608801.1|	spermidine/putrescine ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490746494|ref|WP_004608802.1|	ABC transporter permease [[Clostridium] spiroforme] 
gi|490746495|ref|WP_004608803.1|	spermidine/putrescine ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746496|ref|WP_004608804.1|	Cro/Cl family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746497|ref|WP_004608805.1|	prephenate dehydrogenase [[Clostridium] spiroforme] 
gi|490746498|ref|WP_004608806.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746499|ref|WP_004608807.1|	nicotinate phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746500|ref|WP_004608808.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746501|ref|WP_004608809.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746502|ref|WP_004608810.1|	teichoic acid biosynthesis protein F [[Clostridium] spiroforme] 
gi|490746503|ref|WP_004608811.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746504|ref|WP_004608812.1|	glycerol-3-phosphate cytidylyltransferase [[Clostridium] spiroforme] 
gi|490746505|ref|WP_004608813.1|	teichoic acid ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746506|ref|WP_004608814.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746507|ref|WP_004608815.1|	orotate phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746508|ref|WP_004608816.1|	orotidine 5'-phosphate decarboxylase [[Clostridium] spiroforme] 
gi|490746509|ref|WP_004608817.1|	30S ribosomal protein S4 [[Clostridium] spiroforme] 
gi|490746510|ref|WP_004608818.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746511|ref|WP_004608819.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746512|ref|WP_004608820.1|	PadR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746513|ref|WP_004608821.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746514|ref|WP_004608822.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746515|ref|WP_004608823.1|	uracil-DNA glycosylase [[Clostridium] spiroforme] 
gi|490746516|ref|WP_004608824.1|	leucyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490746517|ref|WP_004608825.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746518|ref|WP_004608826.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746519|ref|WP_004608827.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746520|ref|WP_004608828.1|	sigma-54 modulation protein [[Clostridium] spiroforme] 
gi|490746521|ref|WP_004608829.1|	S-adenosylmethionine synthetase [[Clostridium] spiroforme] 
gi|490746522|ref|WP_004608830.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746523|ref|WP_004608831.1|	nitrogen-fixing protein NifU [[Clostridium] spiroforme] 
gi|490746524|ref|WP_004608832.1|	general stress protein [[Clostridium] spiroforme] 
gi|490746525|ref|WP_004608833.1|	glucose-6-phosphate isomerase [[Clostridium] spiroforme] 
gi|490746526|ref|WP_004608834.1|	N-acetyltransferase GCN5 [[Clostridium] spiroforme] 
gi|490746527|ref|WP_004608835.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746528|ref|WP_004608836.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746529|ref|WP_004608837.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746530|ref|WP_004608838.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746531|ref|WP_004608839.1|	transposase [[Clostridium] spiroforme] 
gi|490746532|ref|WP_004608840.1|	transposase [[Clostridium] spiroforme] 
gi|490746533|ref|WP_004608841.1|	transposase [[Clostridium] spiroforme] 
gi|490746534|ref|WP_004608842.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746535|ref|WP_004608843.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746536|ref|WP_004608844.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746537|ref|WP_004608845.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746538|ref|WP_004608846.1|	diacylglycerol kinase [[Clostridium] spiroforme] 
gi|490746539|ref|WP_004608847.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746540|ref|WP_004608848.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746541|ref|WP_004608849.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746542|ref|WP_004608850.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746543|ref|WP_004608851.1|	5-formyltetrahydrofolate cyclo-ligase [[Clostridium] spiroforme] 
gi|490746544|ref|WP_004608852.1|	Fe-S cluster assembly protein SufB [[Clostridium] spiroforme] 
gi|490746545|ref|WP_004608853.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746546|ref|WP_004608854.1|	cysteine desulfurase [[Clostridium] spiroforme] 
gi|490746547|ref|WP_004608855.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746548|ref|WP_004608856.1|	ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746549|ref|WP_004608857.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746550|ref|WP_004608858.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746551|ref|WP_004608859.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746552|ref|WP_004608860.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746553|ref|WP_004608861.1|	HIT family hydrolase [[Clostridium] spiroforme] 
gi|490746554|ref|WP_004608862.1|	3'-5' exoribonuclease [[Clostridium] spiroforme] 
gi|490746555|ref|WP_004608863.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746556|ref|WP_004608864.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746557|ref|WP_004608865.1|	glycosyl transferase family 1 [[Clostridium] spiroforme] 
gi|490746558|ref|WP_004608866.1|	hydrolase [[Clostridium] spiroforme] 
gi|490746559|ref|WP_004608867.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746560|ref|WP_004608868.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746561|ref|WP_004608869.1|	UTP--glucose-1-phosphate uridylyltransferase [[Clostridium] spiroforme] 
gi|490746562|ref|WP_004608870.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746563|ref|WP_004608871.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746564|ref|WP_004608872.1|	asparaginase [[Clostridium] spiroforme] 
gi|490746565|ref|WP_004608873.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746566|ref|WP_004608874.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746567|ref|WP_004608875.1|	RNA helicase [[Clostridium] spiroforme] 
gi|490746568|ref|WP_004608876.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746569|ref|WP_004608877.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746570|ref|WP_004608878.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746571|ref|WP_004608879.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746572|ref|WP_004608880.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746573|ref|WP_004608881.1|	helicase [[Clostridium] spiroforme] 
gi|490746574|ref|WP_004608882.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746575|ref|WP_004608883.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746576|ref|WP_004608884.1|	amidohydrolase [[Clostridium] spiroforme] 
gi|490746577|ref|WP_004608885.1|	sodium:calcium symporter [[Clostridium] spiroforme] 
gi|490746578|ref|WP_004608886.1|	exodeoxyribonuclease III [[Clostridium] spiroforme] 
gi|490746579|ref|WP_004608887.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746580|ref|WP_004608888.1|	guanine permease [[Clostridium] spiroforme] 
gi|490746581|ref|WP_004608889.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746582|ref|WP_004608890.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746583|ref|WP_004608891.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746584|ref|WP_004608892.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746585|ref|WP_004608893.1|	radical SAM protein [[Clostridium] spiroforme] 
gi|490746586|ref|WP_004608894.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746587|ref|WP_004608895.1|	cyclophilin [[Clostridium] spiroforme] 
gi|490746588|ref|WP_004608896.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490746589|ref|WP_004608897.1|	anthranilate synthase subunit I [[Clostridium] spiroforme] 
gi|490746590|ref|WP_004608898.1|	anthranilate synthase subunit II [[Clostridium] spiroforme] 
gi|490746591|ref|WP_004608899.1|	anthranilate phosphoribosyltransferase [[Clostridium] spiroforme] 
gi|490746592|ref|WP_004608900.1|	indole-3-glycerol-phosphate synthase [[Clostridium] spiroforme] 
gi|490746593|ref|WP_004608901.1|	N-(5'-phosphoribosyl)anthranilate isomerase [[Clostridium] spiroforme] 
gi|490746594|ref|WP_004608902.1|	tryptophan synthase subunit beta [[Clostridium] spiroforme] 
gi|490746595|ref|WP_004608903.1|	tryptophan synthase subunit alpha [[Clostridium] spiroforme] 
gi|490746596|ref|WP_004608904.1|	prolyl-tRNA synthetase [[Clostridium] spiroforme] 
gi|490746597|ref|WP_004608905.1|	exonuclease SbcC [[Clostridium] spiroforme] 
gi|490746598|ref|WP_004608906.1|	exonuclease SbcD [[Clostridium] spiroforme] 
gi|490746599|ref|WP_004608907.1|	acetyltransferase [[Clostridium] spiroforme] 
gi|490746600|ref|WP_004608908.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746601|ref|WP_004608909.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746602|ref|WP_004608910.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746603|ref|WP_004608911.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746604|ref|WP_004608912.1|	transglutaminase [[Clostridium] spiroforme] 
gi|490746605|ref|WP_004608913.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746606|ref|WP_004608914.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746607|ref|WP_004608915.1|	cell division protein FtsE [[Clostridium] spiroforme] 
gi|490746608|ref|WP_004608916.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746609|ref|WP_004608917.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746610|ref|WP_004608918.1|	peptide chain release factor 2 [[Clostridium] spiroforme] 
gi|490746611|ref|WP_004608919.1|	preprotein translocase subunit SecA [[Clostridium] spiroforme] 
gi|490746612|ref|WP_004608920.1|	phosphotransferase [[Clostridium] spiroforme] 
gi|490746613|ref|WP_004608921.1|	MULTISPECIES: cold-shock protein [Firmicutes] 
gi|490746614|ref|WP_004608922.1|	RNA helicase [[Clostridium] spiroforme] 
gi|490746615|ref|WP_004608923.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746616|ref|WP_004608924.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746617|ref|WP_004608925.1|	chloride channel protein [[Clostridium] spiroforme] 
gi|490746618|ref|WP_004608926.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746619|ref|WP_004608927.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746620|ref|WP_004608928.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746621|ref|WP_004608929.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746622|ref|WP_004608930.1|	transposase [[Clostridium] spiroforme] 
gi|490746623|ref|WP_004608931.1|	transposase [[Clostridium] spiroforme] 
gi|490746624|ref|WP_004608932.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746625|ref|WP_004608933.1|	hypothetical protein [[Clostridium] spiroforme] 
