gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969977|ref|WP_004831776.1|	hypothetical protein [Parvimonas micra] 
gi|490969978|ref|WP_004831777.1|	hypothetical protein [Parvimonas micra] 
gi|490969979|ref|WP_004831778.1|	hypothetical protein [Parvimonas micra] 
gi|490969980|ref|WP_004831779.1|	hypothetical protein [Parvimonas micra] 
gi|490335036|ref|WP_004224092.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490969981|ref|WP_004831780.1|	hypothetical protein [Parvimonas micra] 
gi|490969982|ref|WP_004831781.1|	hypothetical protein [Parvimonas micra] 
gi|490969983|ref|WP_004831782.1|	hypothetical protein [Parvimonas micra] 
gi|490969984|ref|WP_004831783.1|	hypothetical protein [Parvimonas micra] 
gi|490969985|ref|WP_004831784.1|	hypothetical protein [Parvimonas micra] 
gi|490969986|ref|WP_004831785.1|	hypothetical protein [Parvimonas micra] 
gi|490969987|ref|WP_004831786.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969988|ref|WP_004831787.1|	hypothetical protein [Parvimonas micra] 
gi|490969989|ref|WP_004831788.1|	hypothetical protein [Parvimonas micra] 
gi|490969990|ref|WP_004831789.1|	hypothetical protein [Parvimonas micra] 
gi|490969991|ref|WP_004831790.1|	hypothetical protein [Parvimonas micra] 
gi|490969992|ref|WP_004831791.1|	hypothetical protein [Parvimonas micra] 
gi|490969993|ref|WP_004831792.1|	hydrolase [Parvimonas micra] 
gi|490969994|ref|WP_004831793.1|	hypothetical protein partial [Parvimonas micra] 
gi|490969995|ref|WP_004831794.1|	NADH-dependent butanol dehydrogenase A [Parvimonas micra] 
gi|490969996|ref|WP_004831795.1|	hypothetical protein [Parvimonas micra] 
gi|490969997|ref|WP_004831796.1|	aminopeptidase [Parvimonas micra] 
gi|490969998|ref|WP_004831797.1|	amino acid permease [Parvimonas micra] 
gi|490969999|ref|WP_004831798.1|	hypothetical protein [Parvimonas micra] 
gi|490970000|ref|WP_004831799.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970001|ref|WP_004831800.1|	spermidine/putrescine ABC transporter permease [Parvimonas micra] 
gi|490970002|ref|WP_004831801.1|	ABC transporter permease [Parvimonas micra] 
gi|490970003|ref|WP_004831802.1|	phosphoglyceromutase [Parvimonas micra] 
gi|490970004|ref|WP_004831803.1|	branched-chain amino acid ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970005|ref|WP_004831804.1|	elongation factor Tu [Parvimonas micra] 
gi|490970006|ref|WP_004831805.1|	elongation factor P [Parvimonas micra] 
gi|490970007|ref|WP_004831806.1|	MULTISPECIES: 30S ribosomal protein S7 [Parvimonas] 
gi|490970008|ref|WP_004831807.1|	30S ribosomal protein S12 [Parvimonas micra] 
gi|490970009|ref|WP_004831808.1|	hypothetical protein [Parvimonas micra] 
gi|490970010|ref|WP_004831809.1|	membrane protein [Parvimonas micra] 
gi|490970011|ref|WP_004831810.1|	carbamate kinase [Parvimonas micra] 
gi|490970012|ref|WP_004831811.1|	ornithine carbamoyltransferase [Parvimonas micra] 
gi|490970013|ref|WP_004831812.1|	AraC family transcriptional regulator [Parvimonas micra] 
gi|490970014|ref|WP_004831813.1|	MarR family transcriptional regulator [Parvimonas micra] 
gi|490970015|ref|WP_004831814.1|	hypothetical protein [Parvimonas micra] 
gi|490970016|ref|WP_004831815.1|	O-sialoglycoprotein endopeptidase [Parvimonas micra] 
gi|490970017|ref|WP_004831816.1|	alanine acetyltransferase [Parvimonas micra] 
gi|490970018|ref|WP_004831817.1|	hypothetical protein [Parvimonas micra] 
gi|490970019|ref|WP_004831818.1|	hydrolase [Parvimonas micra] 
gi|490970020|ref|WP_004831819.1|	hypothetical protein [Parvimonas micra] 
gi|490970021|ref|WP_004831820.1|	(4Fe-4S)-binding protein [Parvimonas micra] 
gi|490970022|ref|WP_004831821.1|	hypothetical protein [Parvimonas micra] 
gi|490970023|ref|WP_004831822.1|	cupin [Parvimonas micra] 
gi|490970024|ref|WP_004831823.1|	sodium:dicarboxylate symporter [Parvimonas micra] 
gi|490970025|ref|WP_004831824.1|	cyclic nucleotide-binding protein [Parvimonas micra] 
gi|490970026|ref|WP_004831825.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970027|ref|WP_004831826.1|	threonyl-tRNA synthase [Parvimonas micra] 
gi|490970028|ref|WP_004831827.1|	histidyl-tRNA synthase [Parvimonas micra] 
gi|490970029|ref|WP_004831828.1|	hypothetical protein [Parvimonas micra] 
gi|490970030|ref|WP_004831829.1|	large conductance mechanosensitive channel protein MscL [Parvimonas micra] 
gi|490970031|ref|WP_004831830.1|	methyltransferase [Parvimonas micra] 
gi|490970032|ref|WP_004831831.1|	MULTISPECIES: protein-S-isoprenylcysteine methyltransferase [Parvimonas] 
gi|490970033|ref|WP_004831832.1|	hypothetical protein [Parvimonas micra] 
gi|490970034|ref|WP_004831833.1|	hypothetical protein [Parvimonas micra] 
gi|490970035|ref|WP_004831834.1|	ribonuclease [Parvimonas micra] 
gi|490970036|ref|WP_004831835.1|	hypothetical protein [Parvimonas micra] 
gi|490970037|ref|WP_004831836.1|	hypothetical protein [Parvimonas micra] 
gi|490970038|ref|WP_004831837.1|	uridine/cytidine kinase [Parvimonas micra] 
gi|490970039|ref|WP_004831838.1|	tyrosyl-tRNA synthetase [Parvimonas micra] 
gi|490970040|ref|WP_004831839.1|	hypothetical protein [Parvimonas micra] 
gi|490970041|ref|WP_004831840.1|	hypothetical protein [Parvimonas micra] 
gi|490970042|ref|WP_004831841.1|	oligoendopeptidase [Parvimonas micra] 
gi|490970043|ref|WP_004831842.1|	hypothetical protein [Parvimonas micra] 
gi|490970044|ref|WP_004831843.1|	penicillin-binding protein [Parvimonas micra] 
gi|490970045|ref|WP_004831844.1|	cell cycle protein [Parvimonas micra] 
gi|490970046|ref|WP_004831845.1|	MULTISPECIES: signal peptide protein [Parvimonas] 
gi|490970047|ref|WP_004831846.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970048|ref|WP_004831847.1|	hypothetical protein [Parvimonas micra] 
gi|490970049|ref|WP_004831848.1|	hypothetical protein [Parvimonas micra] 
gi|490970050|ref|WP_004831849.1|	hypothetical protein [Parvimonas micra] 
gi|490970051|ref|WP_004831850.1|	tRNA methyltransferase [Parvimonas micra] 
gi|490970052|ref|WP_004831851.1|	membrane protein [Parvimonas micra] 
gi|490970053|ref|WP_004831852.1|	membrane protein [Parvimonas micra] 
gi|490970054|ref|WP_004831853.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970055|ref|WP_004831854.1|	chloride channel protein [Parvimonas micra] 
gi|490970056|ref|WP_004831855.1|	RNA pseudouridine synthase [Parvimonas micra] 
gi|490970057|ref|WP_004831856.1|	hypothetical protein [Parvimonas micra] 
gi|490970058|ref|WP_004831857.1|	membrane protein [Parvimonas micra] 
gi|490970059|ref|WP_004831858.1|	DNA mistmatch repair protein MutT [Parvimonas micra] 
gi|490970060|ref|WP_004831859.1|	D-Ala-D-Ala carboxypeptidase [Parvimonas micra] 
gi|490970061|ref|WP_004831860.1|	seryl-tRNA synthase [Parvimonas micra] 
gi|490970062|ref|WP_004831861.1|	membrane protein [Parvimonas micra] 
gi|490970063|ref|WP_004831862.1|	hypothetical protein [Parvimonas micra] 
gi|490970064|ref|WP_004831863.1|	hypothetical protein [Parvimonas micra] 
gi|490970065|ref|WP_004831864.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970066|ref|WP_004831865.1|	hypothetical protein [Parvimonas micra] 
gi|490970067|ref|WP_004831866.1|	50S ribosomal protein L9 [Parvimonas micra] 
gi|490970068|ref|WP_004831867.1|	hypothetical protein [Parvimonas micra] 
gi|490970069|ref|WP_004831868.1|	membrane protein [Parvimonas micra] 
gi|490970070|ref|WP_004831869.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970071|ref|WP_004831870.1|	hypothetical protein [Parvimonas micra] 
gi|490970072|ref|WP_004831871.1|	hypothetical protein [Parvimonas micra] 
gi|490970073|ref|WP_004831872.1|	hypothetical protein [Parvimonas micra] 
gi|490970074|ref|WP_004831873.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490970075|ref|WP_004831874.1|	hydrolase [Parvimonas micra] 
gi|490970076|ref|WP_004831875.1|	polyketide cyclase [Parvimonas micra] 
gi|490970077|ref|WP_004831876.1|	HxlR family transcriptional regulator [Parvimonas micra] 
gi|490970078|ref|WP_004831877.1|	hypothetical protein [Parvimonas micra] 
gi|490970079|ref|WP_004831878.1|	N-acetyltransferase GCN5 [Parvimonas micra] 
gi|490970080|ref|WP_004831879.1|	peptidase S9 [Parvimonas micra] 
gi|490970081|ref|WP_004831880.1|	haloacid dehalogenase [Parvimonas micra] 
gi|490970082|ref|WP_004831881.1|	TetR family transcriptional regulator [Parvimonas micra] 
gi|490970083|ref|WP_004831882.1|	cation transporter [Parvimonas micra] 
gi|490970084|ref|WP_004831883.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490970085|ref|WP_004831884.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490970086|ref|WP_004831885.1|	hypothetical protein [Parvimonas micra] 
gi|490970087|ref|WP_004831886.1|	histidine kinase [Parvimonas micra] 
gi|490970088|ref|WP_004831887.1|	transcriptional regulator [Parvimonas micra] 
gi|490970089|ref|WP_004831888.1|	peptide ABC transporter permease [Parvimonas micra] 
gi|490970090|ref|WP_004831889.1|	multidrug ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970091|ref|WP_004831890.1|	ABC transporter permease [Parvimonas micra] 
gi|490970092|ref|WP_004831891.1|	MULTISPECIES: ABC transporter [Clostridiales] 
gi|490970093|ref|WP_004831892.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490970094|ref|WP_004831893.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|490970095|ref|WP_004831894.1|	hypothetical protein [Parvimonas micra] 
gi|490970096|ref|WP_004831895.1|	ABC transporter [Parvimonas micra] 
gi|490970097|ref|WP_004831896.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490970098|ref|WP_004831897.1|	hypothetical protein [Parvimonas micra] 
gi|490970099|ref|WP_004831898.1|	hypothetical protein [Parvimonas micra] 
gi|490970100|ref|WP_004831899.1|	hypothetical protein [Parvimonas micra] 
gi|490970101|ref|WP_004831900.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490970102|ref|WP_004831901.1|	hypothetical protein [Parvimonas micra] 
gi|490970103|ref|WP_004831902.1|	hypothetical protein [Parvimonas micra] 
gi|490970104|ref|WP_004831903.1|	hypothetical protein [Parvimonas micra] 
gi|490970105|ref|WP_004831904.1|	hypothetical protein [Parvimonas micra] 
gi|490970106|ref|WP_004831905.1|	hypothetical protein [Parvimonas micra] 
gi|490970107|ref|WP_004831906.1|	hypothetical protein [Parvimonas micra] 
gi|490970108|ref|WP_004831907.1|	hypothetical protein [Parvimonas micra] 
gi|490970109|ref|WP_004831908.1|	MULTISPECIES: transposase [Firmicutes] 
gi|490970110|ref|WP_004831909.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490970111|ref|WP_004831910.1|	hypothetical protein [Parvimonas micra] 
gi|490970112|ref|WP_004831911.1|	hypothetical protein [Parvimonas micra] 
gi|490970113|ref|WP_004831912.1|	hypothetical protein [Parvimonas micra] 
gi|490970114|ref|WP_004831913.1|	hypothetical protein [Parvimonas micra] 
gi|490970115|ref|WP_004831914.1|	modification methylase [Parvimonas micra] 
gi|488782499|ref|WP_002694906.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|490970116|ref|WP_004831915.1|	recombinase [Parvimonas micra] 
gi|490970117|ref|WP_004831916.1|	radical SAM protein [Parvimonas micra] 
gi|490970118|ref|WP_004831917.1|	hypothetical protein [Parvimonas micra] 
gi|490970119|ref|WP_004831918.1|	hypothetical protein [Parvimonas micra] 
gi|490970120|ref|WP_004831919.1|	DeoR faimly transcriptional regulator [Parvimonas micra] 
gi|490970121|ref|WP_004831920.1|	transglutaminase [Parvimonas micra] 
gi|490970122|ref|WP_004831921.1|	hypothetical protein [Parvimonas micra] 
gi|490970123|ref|WP_004831922.1|	hypothetical protein [Parvimonas micra] 
gi|490970124|ref|WP_004831923.1|	conjugal transfer protein [Parvimonas micra] 
gi|490970125|ref|WP_004831924.1|	cytochrome C biogenesis protein [Parvimonas micra] 
gi|490970126|ref|WP_004831925.1|	thioredoxin [Parvimonas micra] 
gi|490970127|ref|WP_004831926.1|	hypothetical protein [Parvimonas micra] 
gi|490970128|ref|WP_004831927.1|	hypothetical protein [Parvimonas micra] 
gi|490970129|ref|WP_004831928.1|	hypothetical protein [Parvimonas micra] 
gi|490970130|ref|WP_004831929.1|	hypothetical protein [Parvimonas micra] 
gi|490970131|ref|WP_004831930.1|	GntR family transcriptional regulator [Parvimonas micra] 
gi|490970132|ref|WP_004831931.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970133|ref|WP_004831932.1|	hypothetical protein [Parvimonas micra] 
gi|490970134|ref|WP_004831933.1|	hypothetical protein [Parvimonas micra] 
gi|490970135|ref|WP_004831934.1|	chemotaxis protein CheY [Parvimonas micra] 
gi|490970136|ref|WP_004831935.1|	pyruvate formate lyase-activating protein [Parvimonas micra] 
gi|490970138|ref|WP_004831937.1|	formate acetyltransferase [Parvimonas micra] 
gi|490970140|ref|WP_004831939.1|	hypothetical protein [Parvimonas micra] 
gi|490970142|ref|WP_004831941.1|	alcohol dehydrogenase [Parvimonas micra] 
gi|490970143|ref|WP_004831942.1|	5'-nucleotidase [Parvimonas micra] 
gi|490970145|ref|WP_004831944.1|	hypothetical protein [Parvimonas micra] 
gi|490970147|ref|WP_004831946.1|	hypothetical protein [Parvimonas micra] 
gi|490970149|ref|WP_004831948.1|	hypothetical protein [Parvimonas micra] 
gi|490970151|ref|WP_004831950.1|	aminopeptidase [Parvimonas micra] 
gi|490970153|ref|WP_004831952.1|	hypothetical protein [Parvimonas micra] 
gi|490970155|ref|WP_004831954.1|	MULTISPECIES: PadR family transcriptional regulator [Parvimonas] 
gi|490970158|ref|WP_004831957.1|	hypothetical protein [Parvimonas micra] 
gi|490970159|ref|WP_004831958.1|	MULTISPECIES: type I restriction endonuclease EcoEI subunit S [Parvimonas] 
gi|490970161|ref|WP_004831960.1|	50S rRNA methyltransferase [Parvimonas micra] 
gi|490970163|ref|WP_004831962.1|	metallo-beta-lactamase [Parvimonas micra] 
gi|490970165|ref|WP_004831964.1|	membrane protein [Parvimonas micra] 
gi|490970167|ref|WP_004831966.1|	hypothetical protein [Parvimonas micra] 
gi|490970168|ref|WP_004831967.1|	hypothetical protein [Parvimonas micra] 
gi|490970171|ref|WP_004831970.1|	hypothetical protein [Parvimonas micra] 
gi|490970172|ref|WP_004831971.1|	hypothetical protein [Parvimonas micra] 
gi|490970174|ref|WP_004831973.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970175|ref|WP_004831974.1|	membrane protein [Parvimonas micra] 
gi|490970178|ref|WP_004831977.1|	cysteine desulfurase [Parvimonas micra] 
gi|490970180|ref|WP_004831979.1|	membrane protein [Parvimonas micra] 
gi|490970181|ref|WP_004831980.1|	membrane protein [Parvimonas micra] 
gi|490970184|ref|WP_004831983.1|	pyrrolidone-carboxylate peptidase [Parvimonas micra] 
gi|490970186|ref|WP_004831985.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490970187|ref|WP_004831986.1|	hypothetical protein [Parvimonas micra] 
gi|490970210|ref|WP_004832009.1|	MFS transporter [Parvimonas micra] 
gi|490970212|ref|WP_004832011.1|	inorganic polyphosphate/ATP-NAD kinase [Parvimonas micra] 
gi|490970214|ref|WP_004832013.1|	ATPase [Parvimonas micra] 
gi|490970217|ref|WP_004832016.1|	MULTISPECIES: V-type ATP synthase subunit B [Parvimonas] 
gi|490970219|ref|WP_004832018.1|	ATP synthase subunit A [Parvimonas micra] 
gi|490970222|ref|WP_004832021.1|	hypothetical protein [Parvimonas micra] 
gi|490970225|ref|WP_004832024.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970228|ref|WP_004832027.1|	ATPase [Parvimonas micra] 
gi|490970230|ref|WP_004832029.1|	ATPase [Parvimonas micra] 
gi|490970233|ref|WP_004832032.1|	ATP synthase [Parvimonas micra] 
gi|490970236|ref|WP_004832035.1|	hypothetical protein [Parvimonas micra] 
gi|490970239|ref|WP_004832038.1|	hypothetical protein [Parvimonas micra] 
gi|490970241|ref|WP_004832040.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970243|ref|WP_004832042.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970245|ref|WP_004832044.1|	helicase [Parvimonas micra] 
gi|490970247|ref|WP_004832046.1|	helicase [Parvimonas micra] 
gi|490970249|ref|WP_004832048.1|	ABC transporter [Parvimonas micra] 
gi|490970251|ref|WP_004832050.1|	ABC transporter [Parvimonas micra] 
gi|490970253|ref|WP_004832052.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970255|ref|WP_004832054.1|	phosphate ABC transporter permease [Parvimonas micra] 
gi|490970257|ref|WP_004832056.1|	phosphate ABC transporter permease [Parvimonas micra] 
gi|490970259|ref|WP_004832058.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970261|ref|WP_004832060.1|	hypothetical protein [Parvimonas micra] 
gi|490970263|ref|WP_004832062.1|	hypothetical protein [Parvimonas micra] 
gi|490970265|ref|WP_004832064.1|	hypothetical protein [Parvimonas micra] 
gi|490970267|ref|WP_004832066.1|	hypothetical protein [Parvimonas micra] 
gi|490970269|ref|WP_004832068.1|	hypothetical protein [Parvimonas micra] 
gi|490970271|ref|WP_004832070.1|	hypothetical protein [Parvimonas micra] 
gi|490970273|ref|WP_004832072.1|	hydrolase [Parvimonas micra] 
gi|490970275|ref|WP_004832074.1|	hypothetical protein [Parvimonas micra] 
gi|490970277|ref|WP_004832076.1|	hypothetical protein [Parvimonas micra] 
gi|490970279|ref|WP_004832078.1|	GTP-binding protein LepA [Parvimonas micra] 
gi|490970282|ref|WP_004832081.1|	hypothetical protein [Parvimonas micra] 
gi|490970284|ref|WP_004832083.1|	chromate transporter [Parvimonas micra] 
gi|490970286|ref|WP_004832085.1|	hypothetical protein [Parvimonas micra] 
gi|490970288|ref|WP_004832087.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [Parvimonas micra] 
gi|490970290|ref|WP_004832089.1|	hypothetical protein [Parvimonas micra] 
gi|490970292|ref|WP_004832091.1|	NrdR family transcriptional regulator [Parvimonas micra] 
gi|490970294|ref|WP_004832093.1|	cell division protein FtsZ [Parvimonas micra] 
gi|490970295|ref|WP_004832094.1|	cell division protein FtsQ [Parvimonas micra] 
gi|490970297|ref|WP_004832096.1|	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-UDP N-acetylglucosamine transferase [Parvimonas micra] 
gi|490970298|ref|WP_004832097.1|	stage V sporulation protein E [Parvimonas micra] 
gi|490970301|ref|WP_004832100.1|	hypothetical protein [Parvimonas micra] 
gi|490970302|ref|WP_004832101.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [Parvimonas micra] 
gi|490970304|ref|WP_004832103.1|	penicillin-binding protein [Parvimonas micra] 
gi|490970306|ref|WP_004832105.1|	hypothetical protein [Parvimonas micra] 
gi|490970309|ref|WP_004832108.1|	16S rRNA methyltransferase [Parvimonas micra] 
gi|490970311|ref|WP_004832110.1|	cell division protein MraZ [Parvimonas micra] 
gi|490970313|ref|WP_004832112.1|	prolipoprotein diacylglyceryl transferase [Parvimonas micra] 
gi|490970314|ref|WP_004832113.1|	hypothetical protein [Parvimonas micra] 
gi|490970316|ref|WP_004832115.1|	transcriptional regulator [Parvimonas micra] 
gi|490970319|ref|WP_004832118.1|	NAD synthetase [Parvimonas micra] 
gi|490970321|ref|WP_004832120.1|	hypothetical protein [Parvimonas micra] 
gi|490970323|ref|WP_004832122.1|	MFS transporter [Parvimonas micra] 
gi|490970326|ref|WP_004832125.1|	hypothetical protein [Parvimonas micra] 
gi|490970328|ref|WP_004832127.1|	hypothetical protein [Parvimonas micra] 
gi|490970329|ref|WP_004832128.1|	hypothetical protein [Parvimonas micra] 
gi|490970332|ref|WP_004832131.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970334|ref|WP_004832133.1|	hypothetical protein [Parvimonas micra] 
gi|490970337|ref|WP_004832136.1|	hypothetical protein [Parvimonas micra] 
gi|490970338|ref|WP_004832137.1|	hypothetical protein [Parvimonas micra] 
gi|490970341|ref|WP_004832140.1|	transposase [Parvimonas micra] 
gi|490970342|ref|WP_004832141.1|	cell division protein FtsK [Parvimonas micra] 
gi|490970345|ref|WP_004832144.1|	secretion protein [Parvimonas micra] 
gi|490970346|ref|WP_004832145.1|	type VII secretion protein [Parvimonas micra] 
gi|490970348|ref|WP_004832147.1|	hypothetical protein [Parvimonas micra] 
gi|490970349|ref|WP_004832148.1|	hypothetical protein [Parvimonas micra] 
gi|490970352|ref|WP_004832151.1|	virulence factor EsxA [Parvimonas micra] 
gi|490970353|ref|WP_004832152.1|	hypothetical protein [Parvimonas micra] 
gi|490970355|ref|WP_004832154.1|	hypothetical protein [Parvimonas micra] 
gi|490970356|ref|WP_004832155.1|	hypothetical protein [Parvimonas micra] 
gi|490970358|ref|WP_004832157.1|	hypothetical protein [Parvimonas micra] 
gi|490970360|ref|WP_004832159.1|	membrane protein [Parvimonas micra] 
gi|490970364|ref|WP_004832163.1|	glycine cleavage system protein H [Parvimonas micra] 
gi|490970365|ref|WP_004832164.1|	inosine 5'-monophosphate dehydrogenase [Parvimonas micra] 
gi|490970367|ref|WP_004832166.1|	phosphotransferase [Parvimonas micra] 
gi|490970369|ref|WP_004832168.1|	hypothetical protein [Parvimonas micra] 
gi|490970372|ref|WP_004832171.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490970374|ref|WP_004832173.1|	UDP-galactose-4-epimerase [Parvimonas micra] 
gi|490970375|ref|WP_004832174.1|	hypothetical protein [Parvimonas micra] 
gi|490970378|ref|WP_004832177.1|	DNA-binding protein [Parvimonas micra] 
gi|490970380|ref|WP_004832179.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970383|ref|WP_004832182.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970384|ref|WP_004832183.1|	choloylglycine hydrolase [Parvimonas micra] 
gi|490970387|ref|WP_004832186.1|	hypothetical protein [Parvimonas micra] 
gi|490970388|ref|WP_004832187.1|	hypothetical protein [Parvimonas micra] 
gi|490970391|ref|WP_004832190.1|	DNA mistmatch repair protein MutT [Parvimonas micra] 
gi|490970392|ref|WP_004832191.1|	GTP-binding protein YchF [Parvimonas micra] 
gi|490970394|ref|WP_004832193.1|	ABC transporter substrate-binding protein [Parvimonas micra] 
gi|490970397|ref|WP_004832196.1|	hypothetical protein [Parvimonas micra] 
gi|490970398|ref|WP_004832197.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490970400|ref|WP_004832199.1|	iron ABC transporter permease [Parvimonas micra] 
gi|490970401|ref|WP_004832200.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970403|ref|WP_004832202.1|	D-Ala-D-Ala carboxypeptidase [Parvimonas micra] 
gi|490970405|ref|WP_004832204.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490970406|ref|WP_004832205.1|	acetate kinase [Parvimonas micra] 
gi|490970408|ref|WP_004832207.1|	hypothetical protein [Parvimonas micra] 
gi|490970410|ref|WP_004832209.1|	PadR family transcriptional regulator [Parvimonas micra] 
gi|490970412|ref|WP_004832211.1|	glycerol-3-phosphate acyltransferase [Parvimonas micra] 
gi|490970415|ref|WP_004832214.1|	GTP-binding protein Der [Parvimonas micra] 
gi|490970416|ref|WP_004832215.1|	MULTISPECIES: 50S ribosomal protein L27 [Parvimonas] 
gi|490970418|ref|WP_004832217.1|	hypothetical protein [Parvimonas micra] 
gi|490970420|ref|WP_004832219.1|	MULTISPECIES: 50S ribosomal protein L21 [Parvimonas] 
gi|490970421|ref|WP_004832220.1|	transglycosylase [Parvimonas micra] 
gi|490970423|ref|WP_004832222.1|	thiouridylase [Parvimonas micra] 
gi|490970425|ref|WP_004832224.1|	fatty acid-binding protein DegV [Parvimonas micra] 
gi|490970426|ref|WP_004832225.1|	phosphoglucosamine mutase [Parvimonas micra] 
gi|490970429|ref|WP_004832228.1|	MFS transporter [Parvimonas micra] 
