gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494451|ref|WP_005352173.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494455|ref|WP_005352177.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494457|ref|WP_005352179.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494460|ref|WP_005352182.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [[Eubacterium] siraeum] 
gi|491494462|ref|WP_005352184.1|	Ser/Thr phosphatase [[Eubacterium] siraeum] 
gi|491494464|ref|WP_005352186.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494466|ref|WP_005352188.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494468|ref|WP_005352190.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494470|ref|WP_005352192.1|	alpha/beta hydrolase [[Eubacterium] siraeum] 
gi|491494471|ref|WP_005352193.1|	UDP-N-acetylmuramyl peptide synthase [[Eubacterium] siraeum] 
gi|491494474|ref|WP_005352196.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494478|ref|WP_005352200.1|	MULTISPECIES: D-alanine--D-alanine ligase [Clostridiales] 
gi|491494480|ref|WP_005352202.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494483|ref|WP_005352205.1|	pseudouridine synthase [[Eubacterium] siraeum] 
gi|491494485|ref|WP_005352207.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494488|ref|WP_005352210.1|	RNA polymerase subunit sigma [[Eubacterium] siraeum] 
gi|491494491|ref|WP_005352213.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494494|ref|WP_005352216.1|	pullulanase [[Eubacterium] siraeum] 
gi|491494497|ref|WP_005352219.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494500|ref|WP_005352222.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494502|ref|WP_005352224.1|	sugar ABC transporter permease [[Eubacterium] siraeum] 
gi|491494505|ref|WP_005352227.1|	sugar ABC transporter permease [[Eubacterium] siraeum] 
gi|491494507|ref|WP_005352229.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494510|ref|WP_005352232.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494512|ref|WP_005352234.1|	glycosyl transferase family 35 [[Eubacterium] siraeum] 
gi|491494513|ref|WP_005352235.1|	4-alpha-glucanotransferase [[Eubacterium] siraeum] 
gi|491494514|ref|WP_005352236.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494515|ref|WP_005352237.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494516|ref|WP_005352238.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494517|ref|WP_005352239.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494518|ref|WP_005352240.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494520|ref|WP_005352242.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|485716951|ref|WP_001348810.1|	MULTISPECIES: chloramphenicol O-acetyltransferase [Bacteria] 
gi|491494551|ref|WP_005352273.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494554|ref|WP_005352276.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494570|ref|WP_005352292.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494573|ref|WP_005352295.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494579|ref|WP_005352301.1|	MULTISPECIES: phenylalanyl-tRNA synthetase subunit alpha [Clostridiales] 
gi|491494583|ref|WP_005352305.1|	phenylalanyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494584|ref|WP_005352306.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494587|ref|WP_005352309.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494590|ref|WP_005352311.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491494592|ref|WP_005352313.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491494594|ref|WP_005352315.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494595|ref|WP_005352316.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494598|ref|WP_005352319.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494599|ref|WP_005352320.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494601|ref|WP_005352322.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494603|ref|WP_005352324.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494604|ref|WP_005352325.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494610|ref|WP_005352331.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494612|ref|WP_005352333.1|	NUDIX hydrolase [[Eubacterium] siraeum] 
gi|491494614|ref|WP_005352335.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494615|ref|WP_005352336.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494617|ref|WP_005352338.1|	radical SAM protein [[Eubacterium] siraeum] 
gi|491494618|ref|WP_005352339.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494623|ref|WP_005352344.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494624|ref|WP_005352345.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494626|ref|WP_005352347.1|	methyltransferase [[Eubacterium] siraeum] 
gi|491494628|ref|WP_005352349.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494629|ref|WP_005352350.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494631|ref|WP_005352352.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494632|ref|WP_005352353.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494646|ref|WP_005352367.1|	glycosyl transferase family 1 [[Eubacterium] siraeum] 
gi|491494645|ref|WP_005352366.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494647|ref|WP_005352368.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494650|ref|WP_005352371.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494652|ref|WP_005352373.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494654|ref|WP_005352375.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494657|ref|WP_005352378.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494658|ref|WP_005352379.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494661|ref|WP_005352382.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494662|ref|WP_005352383.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494664|ref|WP_005352385.1|	MULTISPECIES: GntR family transcriptional regulator [Clostridiales] 
gi|491494673|ref|WP_005352394.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494677|ref|WP_005352398.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494678|ref|WP_005352399.1|	glutamyl-tRNA(Gln) amidotransferase [[Eubacterium] siraeum] 
gi|491494681|ref|WP_005352402.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [[Eubacterium] siraeum] 
gi|491494684|ref|WP_005352405.1|	aspartyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494686|ref|WP_005352407.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494689|ref|WP_005352410.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494691|ref|WP_005352412.1|	MULTISPECIES: disulfide oxidoreductase [Clostridiales] 
gi|491494694|ref|WP_005352415.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494696|ref|WP_005352417.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494702|ref|WP_005352423.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494704|ref|WP_005352425.1|	valyl-tRNA synthase [[Eubacterium] siraeum] 
gi|491494707|ref|WP_005352428.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494712|ref|WP_005352433.1|	MULTISPECIES: phospho-2-dehydro-3-deoxyheptonate aldolase [Clostridiales] 
gi|491494708|ref|WP_005352429.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494716|ref|WP_005352437.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494725|ref|WP_005352446.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494728|ref|WP_005352449.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494730|ref|WP_005352451.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494733|ref|WP_005352454.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494745|ref|WP_005352466.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494750|ref|WP_005352471.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494753|ref|WP_005352474.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494755|ref|WP_005352476.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494758|ref|WP_005352479.1|	NADPH-dependent butanol dehydrogenase [[Eubacterium] siraeum] 
gi|491494759|ref|WP_005352480.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494762|ref|WP_005352483.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494765|ref|WP_005352486.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494767|ref|WP_005352488.1|	glutamate synthase [[Eubacterium] siraeum] 
gi|491494770|ref|WP_005352491.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [[Eubacterium] siraeum] 
gi|491494773|ref|WP_005352494.1|	4Fe-4S ferredoxin [[Eubacterium] siraeum] 
gi|491494776|ref|WP_005352497.1|	MULTISPECIES: glutamate synthase [Clostridiales] 
gi|491494779|ref|WP_005352500.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494780|ref|WP_005352501.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494781|ref|WP_005352502.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494782|ref|WP_005352503.1|	O-acetylhomoserine aminocarboxypropyltransferase [[Eubacterium] siraeum] 
gi|491494783|ref|WP_005352504.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494784|ref|WP_005352505.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494786|ref|WP_005352507.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494789|ref|WP_005352509.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494790|ref|WP_005352510.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494793|ref|WP_005352513.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494795|ref|WP_005352515.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494796|ref|WP_005352516.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494797|ref|WP_005352517.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494798|ref|WP_005352518.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494799|ref|WP_005352519.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|491494800|ref|WP_005352520.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494801|ref|WP_005352521.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494802|ref|WP_005352522.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494804|ref|WP_005352524.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494806|ref|WP_005352526.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494809|ref|WP_005352529.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494810|ref|WP_005352530.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494811|ref|WP_005352531.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494813|ref|WP_005352533.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494814|ref|WP_005352534.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494816|ref|WP_005352536.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494818|ref|WP_005352538.1|	50S rRNA methyltransferase [[Eubacterium] siraeum] 
gi|491494820|ref|WP_005352540.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494822|ref|WP_005352542.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494824|ref|WP_005352544.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494827|ref|WP_005352547.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494829|ref|WP_005352549.1|	leucyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491494831|ref|WP_005352551.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494833|ref|WP_005352553.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494835|ref|WP_005352555.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494837|ref|WP_005352557.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494839|ref|WP_005352559.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494841|ref|WP_005352561.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494843|ref|WP_005352563.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494845|ref|WP_005352565.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494848|ref|WP_005352568.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494852|ref|WP_005352572.1|	AraC family transcriptional regulator [[Eubacterium] siraeum] 
gi|491494855|ref|WP_005352575.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494857|ref|WP_005352577.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494860|ref|WP_005352580.1|	acetate kinase [[Eubacterium] siraeum] 
gi|491494865|ref|WP_005352585.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494862|ref|WP_005352582.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494868|ref|WP_005352588.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494871|ref|WP_005352591.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494873|ref|WP_005352593.1|	MerR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491494877|ref|WP_005352597.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494878|ref|WP_005352598.1|	sodium:proton antiporter [[Eubacterium] siraeum] 
gi|491494882|ref|WP_005352602.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491494954|ref|WP_005352674.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494955|ref|WP_005352675.1|	MULTISPECIES: FAD-dependent oxidoreductase [Clostridiales] 
gi|491494958|ref|WP_005352678.1|	xanthine phosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491494960|ref|WP_005352680.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491494964|ref|WP_005352684.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494962|ref|WP_005352682.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494965|ref|WP_005352685.1|	branched-chain amino acid ABC transporter permease [[Eubacterium] siraeum] 
gi|491494966|ref|WP_005352686.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491494893|ref|WP_005352613.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494894|ref|WP_005352614.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494895|ref|WP_005352615.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494903|ref|WP_005352623.1|	MULTISPECIES: 50S ribosomal protein L10 [Clostridiales] 
gi|491494905|ref|WP_005352625.1|	50S ribosomal protein L7/L12 [[Eubacterium] siraeum] 
gi|491494911|ref|WP_005352631.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494916|ref|WP_005352636.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491494919|ref|WP_005352639.1|	nicotinate-nucleotide pyrophosphorylase [[Eubacterium] siraeum] 
gi|491494922|ref|WP_005352642.1|	fumarate reductase [[Eubacterium] siraeum] 
gi|491494923|ref|WP_005352643.1|	GTPase HflX [[Eubacterium] siraeum] 
gi|491494926|ref|WP_005352646.1|	galactokinase [[Eubacterium] siraeum] 
gi|491494929|ref|WP_005352649.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494931|ref|WP_005352651.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494933|ref|WP_005352653.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494934|ref|WP_005352654.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494936|ref|WP_005352656.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494939|ref|WP_005352659.1|	PTS sugar transporter subunit IIA [[Eubacterium] siraeum] 
gi|491494941|ref|WP_005352661.1|	carboxynorspermidine decarboxylase [[Eubacterium] siraeum] 
gi|491494942|ref|WP_005352662.1|	galactoside O-acetyltransferase [[Eubacterium] siraeum] 
gi|491494944|ref|WP_005352664.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494945|ref|WP_005352665.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494947|ref|WP_005352667.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494949|ref|WP_005352669.1|	Mg chelatase [[Eubacterium] siraeum] 
gi|491494951|ref|WP_005352671.1|	phosphoglucomutase [[Eubacterium] siraeum] 
gi|491494952|ref|WP_005352672.1|	MULTISPECIES: 50S ribosomal protein L31 [Clostridiales] 
gi|491494953|ref|WP_005352673.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495009|ref|WP_005352728.1|	holin [[Eubacterium] siraeum] 
gi|491495011|ref|WP_005352730.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495013|ref|WP_005352732.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495014|ref|WP_005352733.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495015|ref|WP_005352734.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495016|ref|WP_005352735.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495017|ref|WP_005352736.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495018|ref|WP_005352737.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495019|ref|WP_005352738.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495021|ref|WP_005352740.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495022|ref|WP_005352741.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495023|ref|WP_005352742.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495024|ref|WP_005352743.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495033|ref|WP_005352752.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495032|ref|WP_005352751.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495040|ref|WP_005352759.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495041|ref|WP_005352760.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495042|ref|WP_005352761.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495043|ref|WP_005352762.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495044|ref|WP_005352763.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495045|ref|WP_005352764.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494977|ref|WP_005352697.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491494980|ref|WP_005352700.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494983|ref|WP_005352703.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494986|ref|WP_005352706.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494989|ref|WP_005352709.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494992|ref|WP_005352712.1|	N-acetyltransferase GCN5 [[Eubacterium] siraeum] 
gi|491494995|ref|WP_005352715.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494997|ref|WP_005352717.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495000|ref|WP_005352720.1|	hypothetical protein [[Eubacterium] siraeum] 
