gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550634|ref|WP_006504307.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550636|ref|WP_006504309.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550635|ref|WP_006504308.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550637|ref|WP_006504310.1|	MULTISPECIES: molecular chaperone GroES [Catenibacterium] 
gi|493550639|ref|WP_006504311.1|	molecular chaperone GroEL [Catenibacterium mitsuokai] 
gi|493550640|ref|WP_006504312.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550641|ref|WP_006504313.1|	PTS cellbiose transporter [Catenibacterium mitsuokai] 
gi|493550642|ref|WP_006504314.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550643|ref|WP_006504315.1|	nucleoside-triphosphate diphosphatase [Catenibacterium mitsuokai] 
gi|493550644|ref|WP_006504316.1|	MULTISPECIES: RNA methyltransferase [Catenibacterium] 
gi|493550645|ref|WP_006504317.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550646|ref|WP_006504318.1|	sugar ABC transporter substrate-binding protein [Catenibacterium mitsuokai] 
gi|493550647|ref|WP_006504319.1|	methenyltetrahydrofolate cyclohydrolase [Catenibacterium mitsuokai] 
gi|493550648|ref|WP_006504320.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550649|ref|WP_006504321.1|	rubrerythrin [Catenibacterium mitsuokai] 
gi|493550650|ref|WP_006504322.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550651|ref|WP_006504323.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550652|ref|WP_006504324.1|	serine/threonine protein kinase [Catenibacterium mitsuokai] 
gi|493550653|ref|WP_006504325.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550654|ref|WP_006504326.1|	DeoR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550655|ref|WP_006504327.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550656|ref|WP_006504328.1|	DNA polymerase III subunit alpha [Catenibacterium mitsuokai] 
gi|493550657|ref|WP_006504329.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550658|ref|WP_006504330.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550659|ref|WP_006504331.1|	1-deoxy-D-xylulose 5-phosphate reductoisomerase [Catenibacterium mitsuokai] 
gi|493550660|ref|WP_006504332.1|	phosphatidate cytidylyltransferase [Catenibacterium mitsuokai] 
gi|493550661|ref|WP_006504333.1|	UDP pyrophosphate synthase [Catenibacterium mitsuokai] 
gi|493550662|ref|WP_006504334.1|	ribosome recycling factor [Catenibacterium mitsuokai] 
gi|493550663|ref|WP_006504335.1|	uridylate kinase [Catenibacterium mitsuokai] 
gi|493550664|ref|WP_006504336.1|	uracil permease [Catenibacterium mitsuokai] 
gi|493550665|ref|WP_006504337.1|	elongation factor Ts [Catenibacterium mitsuokai] 
gi|493550666|ref|WP_006504338.1|	30S ribosomal protein S2 [Catenibacterium mitsuokai] 
gi|493550668|ref|WP_006504339.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550669|ref|WP_006504340.1|	rod shape-determining protein MreC [Catenibacterium mitsuokai] 
gi|493550670|ref|WP_006504341.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550671|ref|WP_006504342.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550672|ref|WP_006504343.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550673|ref|WP_006504344.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550674|ref|WP_006504345.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550675|ref|WP_006504346.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550676|ref|WP_006504347.1|	valyl-tRNA synthase [Catenibacterium mitsuokai] 
gi|493550677|ref|WP_006504348.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550678|ref|WP_006504349.1|	PTS cellobiose transporter subunit IIB [Catenibacterium mitsuokai] 
gi|493550679|ref|WP_006504350.1|	GTP-binding protein YsxC [Catenibacterium mitsuokai] 
gi|493550680|ref|WP_006504351.1|	Lon protease [Catenibacterium mitsuokai] 
gi|493550681|ref|WP_006504352.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550682|ref|WP_006504353.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550683|ref|WP_006504354.1|	6-phosphofructokinase [Catenibacterium mitsuokai] 
gi|493550684|ref|WP_006504355.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550685|ref|WP_006504356.1|	polynucleotide phosphorylase [Catenibacterium mitsuokai] 
gi|493550686|ref|WP_006504357.1|	30S ribosomal protein S15 [Catenibacterium mitsuokai] 
gi|493550687|ref|WP_006504358.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550688|ref|WP_006504359.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550689|ref|WP_006504360.1|	tyrosyl-tRNA synthase [Catenibacterium mitsuokai] 
gi|493550690|ref|WP_006504361.1|	chloride channel protein [Catenibacterium mitsuokai] 
gi|493550691|ref|WP_006504362.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550692|ref|WP_006504363.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550693|ref|WP_006504364.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550694|ref|WP_006504365.1|	UDP-N-acetylmuramate--alanine ligase [Catenibacterium mitsuokai] 
gi|493550695|ref|WP_006504366.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550696|ref|WP_006504367.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550697|ref|WP_006504368.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550698|ref|WP_006504369.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550699|ref|WP_006504370.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550701|ref|WP_006504371.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550702|ref|WP_006504372.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550703|ref|WP_006504373.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550704|ref|WP_006504374.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550705|ref|WP_006504375.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550706|ref|WP_006504376.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550707|ref|WP_006504377.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550708|ref|WP_006504378.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550709|ref|WP_006504379.1|	transposase [Catenibacterium mitsuokai] 
gi|493550710|ref|WP_006504380.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550711|ref|WP_006504381.1|	fructose-bisphosphate aldolase [Catenibacterium mitsuokai] 
gi|493550712|ref|WP_006504382.1|	glycyl radical-activating protein [Catenibacterium mitsuokai] 
gi|493550713|ref|WP_006504383.1|	pyruvate formate-lyase [Catenibacterium mitsuokai] 
gi|493550714|ref|WP_006504384.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550715|ref|WP_006504385.1|	RpiR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550716|ref|WP_006504386.1|	ABC transporter [Catenibacterium mitsuokai] 
gi|493550718|ref|WP_006504387.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550719|ref|WP_006504388.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550720|ref|WP_006504389.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550721|ref|WP_006504390.1|	molybdenum hydroxylase [Catenibacterium mitsuokai] 
gi|493550722|ref|WP_006504391.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550723|ref|WP_006504392.1|	water dikinase [Catenibacterium mitsuokai] 
gi|493550724|ref|WP_006504393.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493550725|ref|WP_006504394.1|	ModE family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550726|ref|WP_006504395.1|	molybdopterin-binding protein [Catenibacterium mitsuokai] 
gi|493550727|ref|WP_006504396.1|	molybdenum ABC transporter substrate-binding protein [Catenibacterium mitsuokai] 
gi|493550728|ref|WP_006504397.1|	ABC transporter [Catenibacterium mitsuokai] 
gi|493550729|ref|WP_006504398.1|	molybdate ABC transporter permease [Catenibacterium mitsuokai] 
gi|493550730|ref|WP_006504399.1|	molybdenum cofactor biosynthesis protein [Catenibacterium mitsuokai] 
gi|493550731|ref|WP_006504400.1|	MULTISPECIES: molybdenum cofactor biosynthesis protein C [Catenibacterium] 
gi|493550732|ref|WP_006504401.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550733|ref|WP_006504402.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550734|ref|WP_006504403.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550735|ref|WP_006504404.1|	PTS lactose transporter subunit IIC [Catenibacterium mitsuokai] 
gi|493550736|ref|WP_006504405.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550737|ref|WP_006504406.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550738|ref|WP_006504407.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550739|ref|WP_006504408.1|	peptidase C69 [Catenibacterium mitsuokai] 
gi|493550740|ref|WP_006504409.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550741|ref|WP_006504410.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550742|ref|WP_006504411.1|	transporter [Catenibacterium mitsuokai] 
gi|493550743|ref|WP_006504412.1|	heptaprenyl diphosphate synthase subunit I [Catenibacterium mitsuokai] 
gi|493550744|ref|WP_006504413.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550745|ref|WP_006504414.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550746|ref|WP_006504415.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550747|ref|WP_006504416.1|	O-acetylhomoserine aminocarboxypropyltransferase [Catenibacterium mitsuokai] 
gi|493550748|ref|WP_006504417.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550749|ref|WP_006504418.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550750|ref|WP_006504419.1|	membrane protein [Catenibacterium mitsuokai] 
gi|493550751|ref|WP_006504420.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493550752|ref|WP_006504421.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550753|ref|WP_006504422.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550754|ref|WP_006504423.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550755|ref|WP_006504424.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550756|ref|WP_006504425.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550757|ref|WP_006504426.1|	metallo-beta-lactamase [Catenibacterium mitsuokai] 
gi|493550758|ref|WP_006504427.1|	PTS lactose transporter subunit IIC [Catenibacterium mitsuokai] 
gi|493550759|ref|WP_006504428.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550760|ref|WP_006504429.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550761|ref|WP_006504430.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550762|ref|WP_006504431.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550763|ref|WP_006504432.1|	DNA-cytosine methyltransferase [Catenibacterium mitsuokai] 
gi|493550764|ref|WP_006504433.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550765|ref|WP_006504434.1|	Fis family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550766|ref|WP_006504435.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550767|ref|WP_006504436.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550768|ref|WP_006504437.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550770|ref|WP_006504438.1|	DeoR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550771|ref|WP_006504439.1|	PTS lactose transporter subunit IIA [Catenibacterium mitsuokai] 
gi|493550772|ref|WP_006504440.1|	PTS lactose transporter subunit IIBC [Catenibacterium mitsuokai] 
gi|493550773|ref|WP_006504441.1|	6-phospho-beta-galactosidase [Catenibacterium mitsuokai] 
gi|493550774|ref|WP_006504442.1|	haloacid dehalogenase [Catenibacterium mitsuokai] 
gi|493550775|ref|WP_006504443.1|	galactokinase [Catenibacterium mitsuokai] 
gi|493550776|ref|WP_006504444.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550777|ref|WP_006504445.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550778|ref|WP_006504446.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550779|ref|WP_006504447.1|	ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550780|ref|WP_006504448.1|	aldehyde dehydrogenase [Catenibacterium mitsuokai] 
gi|493550781|ref|WP_006504449.1|	ATPase [Catenibacterium mitsuokai] 
gi|493550782|ref|WP_006504450.1|	methionyl-tRNA synthetase [Catenibacterium mitsuokai] 
gi|493550783|ref|WP_006504451.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550784|ref|WP_006504452.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550785|ref|WP_006504453.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550786|ref|WP_006504454.1|	ribonucleoside triphosphate reductase [Catenibacterium mitsuokai] 
gi|493550787|ref|WP_006504455.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550788|ref|WP_006504456.1|	PadR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550789|ref|WP_006504457.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550790|ref|WP_006504458.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550791|ref|WP_006504459.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550792|ref|WP_006504460.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550793|ref|WP_006504461.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493550794|ref|WP_006504462.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550795|ref|WP_006504463.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550796|ref|WP_006504464.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550797|ref|WP_006504465.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550798|ref|WP_006504466.1|	2-hydroxyglutaryl-CoA dehydratase [Catenibacterium mitsuokai] 
gi|493550799|ref|WP_006504467.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550800|ref|WP_006504468.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493550801|ref|WP_006504469.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550802|ref|WP_006504470.1|	PadR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550803|ref|WP_006504471.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550804|ref|WP_006504472.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550805|ref|WP_006504473.1|	DNA-binding protein [Catenibacterium mitsuokai] 
gi|493550806|ref|WP_006504474.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550807|ref|WP_006504475.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Catenibacterium mitsuokai] 
gi|493550808|ref|WP_006504476.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Catenibacterium mitsuokai] 
gi|493550809|ref|WP_006504477.1|	ribose-phosphate pyrophosphokinase [Catenibacterium mitsuokai] 
gi|493550810|ref|WP_006504478.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550811|ref|WP_006504479.1|	aldose 1-epimerase [Catenibacterium mitsuokai] 
gi|493550812|ref|WP_006504480.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550814|ref|WP_006504481.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550815|ref|WP_006504482.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550816|ref|WP_006504483.1|	amino acid permease [Catenibacterium mitsuokai] 
gi|493550817|ref|WP_006504484.1|	inorganic pyrophosphatase [Catenibacterium mitsuokai] 
gi|493550818|ref|WP_006504485.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550819|ref|WP_006504486.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550820|ref|WP_006504487.1|	dihydropyrimidine dehydrogenase subunit A [Catenibacterium mitsuokai] 
gi|493550821|ref|WP_006504488.1|	ferredoxin-NADP(+) reductase subunit alpha [Catenibacterium mitsuokai] 
gi|493550822|ref|WP_006504489.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550823|ref|WP_006504490.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550824|ref|WP_006504491.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550825|ref|WP_006504492.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550826|ref|WP_006504493.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550827|ref|WP_006504494.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550828|ref|WP_006504495.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550829|ref|WP_006504496.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550830|ref|WP_006504497.1|	bifunctional acetaldehyde-CoA/alcohol dehydrogenase [Catenibacterium mitsuokai] 
gi|493550831|ref|WP_006504498.1|	DEAD/DEAH box helicase [Catenibacterium mitsuokai] 
gi|493550832|ref|WP_006504499.1|	transposase [Catenibacterium mitsuokai] 
gi|493550833|ref|WP_006504500.1|	transposase [Catenibacterium mitsuokai] 
gi|493550834|ref|WP_006504501.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550835|ref|WP_006504502.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550836|ref|WP_006504503.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550837|ref|WP_006504504.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550838|ref|WP_006504505.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550839|ref|WP_006504506.1|	hydrogenase nickel incorporation protein HypB [Catenibacterium mitsuokai] 
gi|493550840|ref|WP_006504507.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550841|ref|WP_006504508.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550842|ref|WP_006504509.1|	abortive phage infection protein [Catenibacterium mitsuokai] 
gi|493550843|ref|WP_006504510.1|	NADH dehydrogenase [Catenibacterium mitsuokai] 
gi|493550844|ref|WP_006504511.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550846|ref|WP_006504512.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550847|ref|WP_006504513.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550848|ref|WP_006504514.1|	ATPase [Catenibacterium mitsuokai] 
gi|493550849|ref|WP_006504515.1|	inorganic pyrophosphatase [Catenibacterium mitsuokai] 
gi|493550850|ref|WP_006504516.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550851|ref|WP_006504517.1|	transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550852|ref|WP_006504518.1|	serine acetyltransferase [Catenibacterium mitsuokai] 
gi|493550853|ref|WP_006504519.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550854|ref|WP_006504520.1|	ATPase [Catenibacterium mitsuokai] 
gi|493550855|ref|WP_006504521.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550856|ref|WP_006504522.1|	glycosyl transferase [Catenibacterium mitsuokai] 
gi|493550857|ref|WP_006504523.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550858|ref|WP_006504524.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550859|ref|WP_006504525.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550860|ref|WP_006504526.1|	RNase H [Catenibacterium mitsuokai] 
gi|493550861|ref|WP_006504527.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550862|ref|WP_006504528.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550863|ref|WP_006504529.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550864|ref|WP_006504530.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550865|ref|WP_006504531.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550866|ref|WP_006504532.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550867|ref|WP_006504533.1|	transposase [Catenibacterium mitsuokai] 
gi|493550868|ref|WP_006504534.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550869|ref|WP_006504535.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550870|ref|WP_006504536.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550871|ref|WP_006504537.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550872|ref|WP_006504538.1|	ribonucleoside-triphosphate reductase activating protein [Catenibacterium mitsuokai] 
gi|493550873|ref|WP_006504539.1|	cobalt ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550874|ref|WP_006504540.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550875|ref|WP_006504541.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550876|ref|WP_006504542.1|	asparagine synthase [Catenibacterium mitsuokai] 
gi|493550877|ref|WP_006504543.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550878|ref|WP_006504544.1|	hypothetical protein [Catenibacterium mitsuokai] 
