gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928289|ref|WP_006872990.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928288|ref|WP_006872989.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928290|ref|WP_006872991.1|	serine hydroxymethyltransferase [Anaerotruncus colihominis] 
gi|493928291|ref|WP_006872992.1|	ATPase [Anaerotruncus colihominis] 
gi|493928292|ref|WP_006872993.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928294|ref|WP_006872994.1|	RNA-binding protein [Anaerotruncus colihominis] 
gi|493928295|ref|WP_006872995.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928296|ref|WP_006872996.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928297|ref|WP_006872997.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928298|ref|WP_006872998.1|	MULTISPECIES: peptide chain release factor 1 [Clostridiales] 
gi|493928299|ref|WP_006872999.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928300|ref|WP_006873000.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928301|ref|WP_006873001.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928302|ref|WP_006873002.1|	aminopeptidase [Anaerotruncus colihominis] 
gi|493928304|ref|WP_006873003.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928305|ref|WP_006873004.1|	membrane protein [Anaerotruncus colihominis] 
gi|493928306|ref|WP_006873005.1|	DNA-directed RNA polymerase subunit beta [Anaerotruncus colihominis] 
gi|493928307|ref|WP_006873006.1|	DNA-directed RNA polymerase subunit beta' [Anaerotruncus colihominis] 
gi|493928308|ref|WP_006873007.1|	MULTISPECIES: 30S ribosomal protein S12 [Clostridiales] 
gi|493928309|ref|WP_006873008.1|	30S ribosomal protein S7 [Anaerotruncus colihominis] 
gi|493928311|ref|WP_006873010.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928310|ref|WP_006873009.1|	elongation factor P [Anaerotruncus colihominis] 
gi|493928312|ref|WP_006873011.1|	elongation factor Tu [Anaerotruncus colihominis] 
gi|493928313|ref|WP_006873012.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493928314|ref|WP_006873013.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928315|ref|WP_006873014.1|	S-adenosylmethionine synthetase [Anaerotruncus colihominis] 
gi|493928316|ref|WP_006873015.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928317|ref|WP_006873016.1|	helicase [Anaerotruncus colihominis] 
gi|493928318|ref|WP_006873017.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928319|ref|WP_006873018.1|	MULTISPECIES: rod shape-determining protein Mbl [Clostridiales] 
gi|493928320|ref|WP_006873019.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928321|ref|WP_006873020.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928322|ref|WP_006873021.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928323|ref|WP_006873022.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928324|ref|WP_006873023.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928325|ref|WP_006873024.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928326|ref|WP_006873025.1|	galactokinase [Anaerotruncus colihominis] 
gi|493928327|ref|WP_006873026.1|	MULTISPECIES: galactose-1-phosphate uridylyltransferase [Clostridiales] 
gi|493928328|ref|WP_006873027.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928329|ref|WP_006873028.1|	glutaconyl-CoA decarboxylase subunit beta [Anaerotruncus colihominis] 
gi|493928330|ref|WP_006873029.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928331|ref|WP_006873030.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928332|ref|WP_006873031.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928333|ref|WP_006873032.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928334|ref|WP_006873033.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928335|ref|WP_006873034.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928336|ref|WP_006873035.1|	FAD-dependent thymidylate synthase [Anaerotruncus colihominis] 
gi|493928337|ref|WP_006873036.1|	thymidylate kinase [Anaerotruncus colihominis] 
gi|493928338|ref|WP_006873037.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928339|ref|WP_006873038.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928340|ref|WP_006873039.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928341|ref|WP_006873040.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928342|ref|WP_006873041.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928343|ref|WP_006873042.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928344|ref|WP_006873043.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928346|ref|WP_006873044.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928347|ref|WP_006873045.1|	hydrolase [Anaerotruncus colihominis] 
gi|493928348|ref|WP_006873046.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928349|ref|WP_006873047.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928350|ref|WP_006873048.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928351|ref|WP_006873049.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928352|ref|WP_006873050.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928353|ref|WP_006873051.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928354|ref|WP_006873052.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928355|ref|WP_006873053.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928356|ref|WP_006873054.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928357|ref|WP_006873055.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928358|ref|WP_006873056.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928359|ref|WP_006873057.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928360|ref|WP_006873058.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928361|ref|WP_006873059.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928362|ref|WP_006873060.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928363|ref|WP_006873061.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928365|ref|WP_006873062.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928366|ref|WP_006873063.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928367|ref|WP_006873064.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928368|ref|WP_006873065.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928369|ref|WP_006873066.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928370|ref|WP_006873067.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928371|ref|WP_006873068.1|	phosphohydrolase [Anaerotruncus colihominis] 
gi|493928372|ref|WP_006873069.1|	glycosyl transferase [Anaerotruncus colihominis] 
gi|493928373|ref|WP_006873070.1|	glycosyl transferase family 2 [Anaerotruncus colihominis] 
gi|493928374|ref|WP_006873071.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928375|ref|WP_006873072.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928377|ref|WP_006873073.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928378|ref|WP_006873074.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928379|ref|WP_006873075.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928380|ref|WP_006873076.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928381|ref|WP_006873077.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928382|ref|WP_006873078.1|	teichoic acid ABC transporter ATP-binding protein [Anaerotruncus colihominis] 
gi|493928383|ref|WP_006873079.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928384|ref|WP_006873080.1|	dTDP-4-dehydrorhamnose reductase [Anaerotruncus colihominis] 
gi|493928386|ref|WP_006873081.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928387|ref|WP_006873082.1|	spore coat protein [Anaerotruncus colihominis] 
gi|493928388|ref|WP_006873083.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Anaerotruncus colihominis] 
gi|493928389|ref|WP_006873084.1|	glucose-1-phosphate thymidylyltransferase [Anaerotruncus colihominis] 
gi|493928390|ref|WP_006873085.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928391|ref|WP_006873086.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [Anaerotruncus colihominis] 
gi|493928392|ref|WP_006873087.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928393|ref|WP_006873088.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928394|ref|WP_006873089.1|	seryl-tRNA synthetase [Anaerotruncus colihominis] 
gi|493928395|ref|WP_006873090.1|	plasmid partitioning protein ParB [Anaerotruncus colihominis] 
gi|493928396|ref|WP_006873091.1|	sporulation initiation inhibitor Soj [Anaerotruncus colihominis] 
gi|493928397|ref|WP_006873092.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928398|ref|WP_006873093.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928399|ref|WP_006873094.1|	16S rRNA methyltransferase [Anaerotruncus colihominis] 
gi|493928400|ref|WP_006873095.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [Anaerotruncus colihominis] 
gi|493928401|ref|WP_006873096.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928402|ref|WP_006873097.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928403|ref|WP_006873098.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928404|ref|WP_006873099.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928406|ref|WP_006873100.1|	membrane protein [Anaerotruncus colihominis] 
gi|493928407|ref|WP_006873101.1|	MULTISPECIES: ribonuclease P [Clostridiales] 
gi|493928408|ref|WP_006873102.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928409|ref|WP_006873103.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928410|ref|WP_006873104.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928411|ref|WP_006873105.1|	chromosome replication protein DnaA [Anaerotruncus colihominis] 
gi|493928412|ref|WP_006873106.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928413|ref|WP_006873107.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928414|ref|WP_006873108.1|	DNA polymerase III subunit beta [Anaerotruncus colihominis] 
gi|493928415|ref|WP_006873109.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928416|ref|WP_006873110.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928417|ref|WP_006873111.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928418|ref|WP_006873112.1|	MULTISPECIES: DNA gyrase subunit B [Clostridiales] 
gi|493928419|ref|WP_006873113.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928420|ref|WP_006873114.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928421|ref|WP_006873115.1|	DNA gyrase subunit A [Anaerotruncus colihominis] 
gi|493928422|ref|WP_006873116.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928423|ref|WP_006873117.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928424|ref|WP_006873118.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928425|ref|WP_006873119.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928426|ref|WP_006873120.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928427|ref|WP_006873121.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928428|ref|WP_006873122.1|	ADP-ribose pyrophosphatase [Anaerotruncus colihominis] 
gi|493928429|ref|WP_006873123.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928430|ref|WP_006873124.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928431|ref|WP_006873125.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928432|ref|WP_006873126.1|	preprotein translocase subunit SecA [Anaerotruncus colihominis] 
gi|493928433|ref|WP_006873127.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928435|ref|WP_006873128.1|	MULTISPECIES: nitrogen-fixing protein NifU [Clostridiales] 
gi|493928436|ref|WP_006873129.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928437|ref|WP_006873130.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928438|ref|WP_006873131.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928439|ref|WP_006873132.1|	GTP-binding protein [Anaerotruncus colihominis] 
gi|493928440|ref|WP_006873133.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928441|ref|WP_006873134.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928442|ref|WP_006873135.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928443|ref|WP_006873136.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928444|ref|WP_006873137.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928445|ref|WP_006873138.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928446|ref|WP_006873139.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928447|ref|WP_006873140.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928448|ref|WP_006873141.1|	MULTISPECIES: ATP synthase subunit A [Clostridiales] 
gi|493928449|ref|WP_006873142.1|	V-type ATP synthase subunit B [Anaerotruncus colihominis] 
gi|493928450|ref|WP_006873143.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|493928451|ref|WP_006873144.1|	2-hydroxyglutaryl-CoA dehydratase [Anaerotruncus colihominis] 
gi|493928452|ref|WP_006873145.1|	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase [Clostridiales] 
gi|493928453|ref|WP_006873146.1|	MULTISPECIES: molybdenum cofactor biosynthesis protein [Clostridiales] 
gi|493928454|ref|WP_006873147.1|	molybdenum cofactor biosynthesis protein MoeA [Anaerotruncus colihominis] 
gi|493928455|ref|WP_006873148.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928456|ref|WP_006873149.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928457|ref|WP_006873150.1|	membrane protein [Anaerotruncus colihominis] 
gi|493928458|ref|WP_006873151.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928459|ref|WP_006873152.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928460|ref|WP_006873153.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928461|ref|WP_006873154.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928463|ref|WP_006873155.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928464|ref|WP_006873156.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928465|ref|WP_006873157.1|	MULTISPECIES: ferredoxin [Clostridiales] 
gi|493928466|ref|WP_006873158.1|	anti-sigma regulatory factor [Anaerotruncus colihominis] 
gi|493928467|ref|WP_006873159.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928468|ref|WP_006873160.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928469|ref|WP_006873161.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928470|ref|WP_006873162.1|	recombinase [Anaerotruncus colihominis] 
gi|493928471|ref|WP_006873163.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928472|ref|WP_006873164.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928473|ref|WP_006873165.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928475|ref|WP_006873166.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928476|ref|WP_006873167.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928477|ref|WP_006873168.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928478|ref|WP_006873169.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928479|ref|WP_006873170.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928480|ref|WP_006873171.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928481|ref|WP_006873172.1|	XRE family transcriptional regulator [Anaerotruncus colihominis] 
gi|493928482|ref|WP_006873173.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928483|ref|WP_006873174.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928484|ref|WP_006873175.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928485|ref|WP_006873176.1|	GatB/Yqey domain protein [Anaerotruncus colihominis] 
gi|493622875|ref|WP_006575072.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928486|ref|WP_006873177.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928487|ref|WP_006873178.1|	conjugal transfer protein [Anaerotruncus colihominis] 
gi|493928488|ref|WP_006873179.1|	DNA primase [Anaerotruncus colihominis] 
gi|493928489|ref|WP_006873180.1|	virulence-associated protein E [Anaerotruncus colihominis] 
gi|490750454|ref|WP_004612762.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928491|ref|WP_006873181.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928492|ref|WP_006873182.1|	recombinase RecB [Anaerotruncus colihominis] 
gi|493928493|ref|WP_006873183.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928494|ref|WP_006873184.1|	GNAT family acetyltransferase [Anaerotruncus colihominis] 
gi|493928495|ref|WP_006873185.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928496|ref|WP_006873186.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928497|ref|WP_006873187.1|	resolvase [Anaerotruncus colihominis] 
gi|493928499|ref|WP_006873188.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928500|ref|WP_006873189.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928501|ref|WP_006873190.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928502|ref|WP_006873191.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928503|ref|WP_006873192.1|	xanthine permease [Anaerotruncus colihominis] 
gi|493928505|ref|WP_006873193.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928506|ref|WP_006873194.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928507|ref|WP_006873195.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928508|ref|WP_006873196.1|	multidrug transporter MatE [Anaerotruncus colihominis] 
gi|493928510|ref|WP_006873197.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928511|ref|WP_006873198.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928512|ref|WP_006873199.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928513|ref|WP_006873200.1|	glycerol kinase [Anaerotruncus colihominis] 
gi|493928514|ref|WP_006873201.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928515|ref|WP_006873202.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928516|ref|WP_006873203.1|	threonine synthase [Anaerotruncus colihominis] 
gi|493928517|ref|WP_006873204.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928518|ref|WP_006873205.1|	phosphoglycerate mutase [Anaerotruncus colihominis] 
gi|493928520|ref|WP_006873206.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928521|ref|WP_006873207.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928522|ref|WP_006873208.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928524|ref|WP_006873209.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928525|ref|WP_006873210.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928526|ref|WP_006873211.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928527|ref|WP_006873212.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928528|ref|WP_006873213.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928529|ref|WP_006873214.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928530|ref|WP_006873215.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928531|ref|WP_006873216.1|	sgc region protein SgcQ [Anaerotruncus colihominis] 
gi|493928533|ref|WP_006873217.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928534|ref|WP_006873218.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928535|ref|WP_006873219.1|	sugar aldolase [Anaerotruncus colihominis] 
gi|493928536|ref|WP_006873220.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928537|ref|WP_006873221.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928538|ref|WP_006873222.1|	MULTISPECIES: D-ribose transporter ATP binding protein [Clostridiales] 
gi|493928539|ref|WP_006873223.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928540|ref|WP_006873224.1|	branched-chain amino acid ABC transporter permease [Anaerotruncus colihominis] 
gi|493928541|ref|WP_006873225.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928542|ref|WP_006873226.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928544|ref|WP_006873227.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928545|ref|WP_006873228.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928546|ref|WP_006873229.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928547|ref|WP_006873230.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928548|ref|WP_006873231.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|493928549|ref|WP_006873232.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928550|ref|WP_006873233.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928551|ref|WP_006873234.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|493928552|ref|WP_006873235.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928553|ref|WP_006873236.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928554|ref|WP_006873237.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928555|ref|WP_006873238.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928556|ref|WP_006873239.1|	DNA-binding protein [Anaerotruncus colihominis] 
gi|493928557|ref|WP_006873240.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928558|ref|WP_006873241.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928559|ref|WP_006873242.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928560|ref|WP_006873243.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928561|ref|WP_006873244.1|	lactate dehydrogenase [Anaerotruncus colihominis] 
gi|493928562|ref|WP_006873245.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928563|ref|WP_006873246.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928564|ref|WP_006873247.1|	metal ABC transporter substrate-binding protein [Anaerotruncus colihominis] 
gi|493928565|ref|WP_006873248.1|	methionine ABC transporter permease [Anaerotruncus colihominis] 
gi|493928566|ref|WP_006873249.1|	ABC transporter [Anaerotruncus colihominis] 
gi|493928567|ref|WP_006873250.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928568|ref|WP_006873251.1|	prolyl-tRNA editing protein proX [Anaerotruncus colihominis] 
gi|493928569|ref|WP_006873252.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928570|ref|WP_006873253.1|	RNA helicase [Anaerotruncus colihominis] 
gi|493928572|ref|WP_006873254.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928573|ref|WP_006873255.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928574|ref|WP_006873256.1|	50S ribosomal protein L17 [Anaerotruncus colihominis] 
gi|493928575|ref|WP_006873257.1|	MULTISPECIES: DNA-directed RNA polymerase subunit alpha [Clostridiales] 
gi|493928576|ref|WP_006873258.1|	30S ribosomal protein S4 [Anaerotruncus colihominis] 
gi|493928577|ref|WP_006873259.1|	MULTISPECIES: 30S ribosomal protein S11 [Clostridiales] 
gi|493928578|ref|WP_006873260.1|	MULTISPECIES: 30S ribosomal protein S13 [Clostridiales] 
gi|493928579|ref|WP_006873261.1|	MULTISPECIES: translation initiation factor IF-1 [Clostridiales] 
gi|493928581|ref|WP_006873262.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928582|ref|WP_006873263.1|	methionine aminopeptidase [Anaerotruncus colihominis] 
gi|493928583|ref|WP_006873264.1|	MULTISPECIES: adenylate kinase [Clostridiales] 
gi|493928584|ref|WP_006873265.1|	MULTISPECIES: preprotein translocase subunit SecY [Clostridiales] 
