gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391084|ref|WP_008115785.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391085|ref|WP_008115786.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391087|ref|WP_008115788.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391089|ref|WP_008115790.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391091|ref|WP_008115792.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391093|ref|WP_008115794.1|	histidinol dehydrogenase [[Bacteroides] pectinophilus] 
gi|495391095|ref|WP_008115796.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391097|ref|WP_008115798.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391098|ref|WP_008115799.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391100|ref|WP_008115801.1|	tartrate dehydratase subunit alpha [[Bacteroides] pectinophilus] 
gi|495391102|ref|WP_008115803.1|	cation transporter [[Bacteroides] pectinophilus] 
gi|495391103|ref|WP_008115804.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391105|ref|WP_008115806.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391107|ref|WP_008115808.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391109|ref|WP_008115810.1|	transposase [[Bacteroides] pectinophilus] 
gi|495391111|ref|WP_008115812.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491791185|ref|WP_005601624.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|495391114|ref|WP_008115815.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391115|ref|WP_008115816.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391117|ref|WP_008115818.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391119|ref|WP_008115820.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391121|ref|WP_008115822.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391123|ref|WP_008115824.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391125|ref|WP_008115826.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391127|ref|WP_008115828.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391128|ref|WP_008115829.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391130|ref|WP_008115831.1|	ATPase AAA [[Bacteroides] pectinophilus] 
gi|495391132|ref|WP_008115833.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391134|ref|WP_008115835.1|	choloylglycine hydrolase [[Bacteroides] pectinophilus] 
gi|495391136|ref|WP_008115837.1|	cardiolipin synthetase [[Bacteroides] pectinophilus] 
gi|495162801|ref|WP_007887600.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391138|ref|WP_008115839.1|	phosphatidylglycerophosphate synthase [[Bacteroides] pectinophilus] 
gi|495391141|ref|WP_008115842.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391144|ref|WP_008115845.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391146|ref|WP_008115847.1|	histidine kinase [[Bacteroides] pectinophilus] 
gi|495391148|ref|WP_008115849.1|	heme response regulator HssR [[Bacteroides] pectinophilus] 
gi|495391150|ref|WP_008115851.1|	phospholipase [[Bacteroides] pectinophilus] 
gi|495391152|ref|WP_008115853.1|	cardiolipin synthetase [[Bacteroides] pectinophilus] 
gi|495391153|ref|WP_008115854.1|	cardiolipin synthase [[Bacteroides] pectinophilus] 
gi|495391154|ref|WP_008115855.1|	GTP pyrophosphokinase [[Bacteroides] pectinophilus] 
gi|495391156|ref|WP_008115857.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391157|ref|WP_008115858.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391158|ref|WP_008115859.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391159|ref|WP_008115860.1|	acetaldehyde dehydrogenase [[Bacteroides] pectinophilus] 
gi|495391160|ref|WP_008115861.1|	MULTISPECIES: aminoglycoside phosphotransferase [Bacteria] 
gi|495391161|ref|WP_008115862.1|	seryl-tRNA synthetase [[Bacteroides] pectinophilus] 
gi|495391162|ref|WP_008115863.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391163|ref|WP_008115864.1|	plasmid stablization protein ParB [[Bacteroides] pectinophilus] 
gi|495391164|ref|WP_008115865.1|	sporulation initiation inhibitor Soj [[Bacteroides] pectinophilus] 
gi|495391165|ref|WP_008115866.1|	MULTISPECIES: chemotaxis protein CheY [Bacteria] 
gi|495391166|ref|WP_008115867.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391168|ref|WP_008115869.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391171|ref|WP_008115872.1|	16S rRNA methyltransferase [[Bacteroides] pectinophilus] 
gi|495391172|ref|WP_008115873.1|	tRNA uridine 5-carboxymethylaminomethyl modification protein [[Bacteroides] pectinophilus] 
gi|495391174|ref|WP_008115875.1|	tRNA modification GTPase [[Bacteroides] pectinophilus] 
gi|495391176|ref|WP_008115877.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391178|ref|WP_008115879.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391180|ref|WP_008115881.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391181|ref|WP_008115882.1|	membrane protein insertion efficiency factor [[Bacteroides] pectinophilus] 
gi|495391182|ref|WP_008115883.1|	MULTISPECIES: ribonuclease P [Bacteria] 
gi|495391185|ref|WP_008115886.1|	MULTISPECIES: 50S ribosomal protein L34 [Bacteria] 
gi|495391186|ref|WP_008115887.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391188|ref|WP_008115889.1|	chromosomal replication initiator protein DnaA [[Bacteroides] pectinophilus] 
gi|495391190|ref|WP_008115891.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391192|ref|WP_008115893.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391195|ref|WP_008115896.1|	MULTISPECIES: RNA-binding protein [Bacteria] 
gi|495391196|ref|WP_008115897.1|	DNA replication protein RecF [[Bacteroides] pectinophilus] 
gi|495391198|ref|WP_008115899.1|	DNA gyrase subunit B [[Bacteroides] pectinophilus] 
gi|495391200|ref|WP_008115901.1|	DNA gyrase subunit A [[Bacteroides] pectinophilus] 
gi|495391202|ref|WP_008115903.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391203|ref|WP_008115904.1|	fumarate hydratase [[Bacteroides] pectinophilus] 
gi|495391205|ref|WP_008115906.1|	fumarate hydratase [[Bacteroides] pectinophilus] 
gi|495391206|ref|WP_008115907.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391208|ref|WP_008115909.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391209|ref|WP_008115910.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391211|ref|WP_008115912.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391213|ref|WP_008115914.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391215|ref|WP_008115916.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391216|ref|WP_008115917.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391217|ref|WP_008115918.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391219|ref|WP_008115920.1|	guanylate kinase [[Bacteroides] pectinophilus] 
gi|495391221|ref|WP_008115922.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391223|ref|WP_008115924.1|	DNA polymerase III subunit delta [[Bacteroides] pectinophilus] 
gi|495391224|ref|WP_008115925.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391226|ref|WP_008115927.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391228|ref|WP_008115929.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391230|ref|WP_008115931.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391232|ref|WP_008115933.1|	endonuclease IV [[Bacteroides] pectinophilus] 
gi|495391233|ref|WP_008115934.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391235|ref|WP_008115936.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391237|ref|WP_008115938.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391239|ref|WP_008115940.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391241|ref|WP_008115942.1|	MULTISPECIES: MarR family transcriptional regulator [Bacteria] 
gi|495391243|ref|WP_008115944.1|	MULTISPECIES: transporter [Bacteria] 
gi|495391245|ref|WP_008115946.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391248|ref|WP_008115949.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391249|ref|WP_008115950.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391250|ref|WP_008115951.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391252|ref|WP_008115953.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391253|ref|WP_008115954.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Bacteria] 
gi|495391256|ref|WP_008115957.1|	MULTISPECIES: spore coat protein [Bacteria] 
gi|495391257|ref|WP_008115958.1|	dTDP-4-dehydrorhamnose reductase [[Bacteroides] pectinophilus] 
gi|495391260|ref|WP_008115961.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Bacteria] 
gi|495391262|ref|WP_008115963.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391264|ref|WP_008115965.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391267|ref|WP_008115968.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391268|ref|WP_008115969.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391270|ref|WP_008115971.1|	sugar ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495391272|ref|WP_008115973.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391274|ref|WP_008115975.1|	glycosyltransferase [[Bacteroides] pectinophilus] 
gi|495391276|ref|WP_008115977.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391277|ref|WP_008115978.1|	hexosyltransferase [[Bacteroides] pectinophilus] 
gi|495391280|ref|WP_008115981.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391281|ref|WP_008115982.1|	O-acyltransferase [[Bacteroides] pectinophilus] 
gi|495391283|ref|WP_008115984.1|	MULTISPECIES: mannose-1-phosphate guanylyltransferase [Bacteria] 
gi|495391286|ref|WP_008115987.1|	MULTISPECIES: GDP-mannose 4,6-dehydratase [Bacteria] 
gi|495391290|ref|WP_008115991.1|	histidinol-phosphate aminotransferase [[Bacteroides] pectinophilus] 
gi|495391292|ref|WP_008115993.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391293|ref|WP_008115994.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391295|ref|WP_008115996.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391296|ref|WP_008115997.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391298|ref|WP_008115999.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391300|ref|WP_008116001.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391303|ref|WP_008116004.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391304|ref|WP_008116005.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391306|ref|WP_008116007.1|	glycosyl transferase family 2 [[Bacteroides] pectinophilus] 
gi|495391308|ref|WP_008116009.1|	teichoic acid ABC transporter permease [[Bacteroides] pectinophilus] 
gi|495391310|ref|WP_008116011.1|	MULTISPECIES: ABC transporter [Bacteria] 
gi|495391312|ref|WP_008116013.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391314|ref|WP_008116015.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391315|ref|WP_008116016.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391316|ref|WP_008116017.1|	MULTISPECIES: glycosyltransferase [Bacteria] 
gi|495391317|ref|WP_008116018.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391318|ref|WP_008116019.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391319|ref|WP_008116020.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391320|ref|WP_008116021.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391321|ref|WP_008116022.1|	glycosyl transferase [[Bacteroides] pectinophilus] 
gi|495391322|ref|WP_008116023.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391323|ref|WP_008116024.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391324|ref|WP_008116025.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391325|ref|WP_008116026.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391326|ref|WP_008116027.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391327|ref|WP_008116028.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391328|ref|WP_008116029.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391329|ref|WP_008116030.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391331|ref|WP_008116032.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391333|ref|WP_008116034.1|	asparagine synthase [[Bacteroides] pectinophilus] 
gi|495391335|ref|WP_008116036.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391337|ref|WP_008116038.1|	MULTISPECIES: cytidyltransferase [Bacteria] 
gi|495391339|ref|WP_008116040.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391341|ref|WP_008116042.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391342|ref|WP_008116043.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391344|ref|WP_008116045.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391346|ref|WP_008116047.1|	MULTISPECIES: NAD dependent epimerase/dehydratase [Bacteria] 
gi|495391347|ref|WP_008116048.1|	MULTISPECIES: phosphoheptose isomerase [Bacteria] 
gi|495391349|ref|WP_008116050.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391351|ref|WP_008116052.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391353|ref|WP_008116054.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391355|ref|WP_008116056.1|	UDP-glucose dehydrogenase [[Bacteroides] pectinophilus] 
gi|495391357|ref|WP_008116058.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391358|ref|WP_008116059.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391359|ref|WP_008116060.1|	glycosyl transferase family 2 [[Bacteroides] pectinophilus] 
gi|495391360|ref|WP_008116061.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391361|ref|WP_008116062.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391362|ref|WP_008116063.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391363|ref|WP_008116064.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391365|ref|WP_008116066.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391367|ref|WP_008116068.1|	UDP-galactopyranose mutase [[Bacteroides] pectinophilus] 
gi|495391370|ref|WP_008116071.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391372|ref|WP_008116073.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391374|ref|WP_008116075.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391377|ref|WP_008116078.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391379|ref|WP_008116080.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391381|ref|WP_008116082.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391383|ref|WP_008116084.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391385|ref|WP_008116086.1|	sugar transferase [[Bacteroides] pectinophilus] 
gi|495391388|ref|WP_008116089.1|	glycosyltransferase [[Bacteroides] pectinophilus] 
gi|495391390|ref|WP_008116091.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391392|ref|WP_008116093.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391393|ref|WP_008116094.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391395|ref|WP_008116096.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391398|ref|WP_008116099.1|	capsular polysaccharide biosynthesis protein [[Bacteroides] pectinophilus] 
gi|495391400|ref|WP_008116101.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391403|ref|WP_008116104.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391405|ref|WP_008116106.1|	capsular polysaccharide biosynthesis protein Cap8F [[Bacteroides] pectinophilus] 
gi|495391406|ref|WP_008116107.1|	UDP-N-acetylglucosamine 2-epimerase [[Bacteroides] pectinophilus] 
gi|495391408|ref|WP_008116109.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391411|ref|WP_008116112.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391413|ref|WP_008116114.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391415|ref|WP_008116116.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391416|ref|WP_008116117.1|	spore coat protein [[Bacteroides] pectinophilus] 
gi|495391418|ref|WP_008116119.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391420|ref|WP_008116121.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391421|ref|WP_008116122.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391423|ref|WP_008116124.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391425|ref|WP_008116126.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391427|ref|WP_008116128.1|	alginate O-acetyltransferase [[Bacteroides] pectinophilus] 
gi|495391429|ref|WP_008116130.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391432|ref|WP_008116133.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391434|ref|WP_008116135.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391436|ref|WP_008116137.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391438|ref|WP_008116139.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391440|ref|WP_008116141.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391442|ref|WP_008116143.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391445|ref|WP_008116146.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391446|ref|WP_008116147.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391448|ref|WP_008116149.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391450|ref|WP_008116151.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391451|ref|WP_008116152.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391453|ref|WP_008116154.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391455|ref|WP_008116156.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391457|ref|WP_008116158.1|	MULTISPECIES: ADP-L-glycero-D-manno-heptose-6-epimerase [Bacteria] 
gi|495391459|ref|WP_008116160.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391460|ref|WP_008116161.1|	aminotransferase DegT [[Bacteroides] pectinophilus] 
gi|495391463|ref|WP_008116164.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391465|ref|WP_008116166.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391467|ref|WP_008116168.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391469|ref|WP_008116170.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391471|ref|WP_008116172.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391474|ref|WP_008116175.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391476|ref|WP_008116177.1|	glycosyl transferase [[Bacteroides] pectinophilus] 
gi|495391478|ref|WP_008116179.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391480|ref|WP_008116181.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391482|ref|WP_008116183.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391484|ref|WP_008116185.1|	diaminopimelate decarboxylase [[Bacteroides] pectinophilus] 
gi|495391485|ref|WP_008116186.1|	AraC family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391487|ref|WP_008116188.1|	GDP-L-fucose synthase [[Bacteroides] pectinophilus] 
gi|495391489|ref|WP_008116190.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391491|ref|WP_008116192.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391493|ref|WP_008116194.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391495|ref|WP_008116196.1|	MULTISPECIES: glucose-1-phosphate cytidylyltransferase [Bacteria] 
gi|495391496|ref|WP_008116197.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391499|ref|WP_008116200.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391500|ref|WP_008116201.1|	glucose-1-phosphate cytidylyltransferase [[Bacteroides] pectinophilus] 
gi|495391503|ref|WP_008116204.1|	CDP-glucose 4,6-dehydratase [[Bacteroides] pectinophilus] 
gi|495391505|ref|WP_008116206.1|	lipopolysaccharide biosynthesis protein [[Bacteroides] pectinophilus] 
gi|495391507|ref|WP_008116208.1|	acetolactate synthase [[Bacteroides] pectinophilus] 
gi|495391508|ref|WP_008116209.1|	epimerase [[Bacteroides] pectinophilus] 
gi|495391510|ref|WP_008116211.1|	dolichol monophosphate mannose synthase [[Bacteroides] pectinophilus] 
gi|495391511|ref|WP_008116212.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391513|ref|WP_008116214.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391515|ref|WP_008116216.1|	aminotransferase [[Bacteroides] pectinophilus] 
gi|495391517|ref|WP_008116218.1|	mannose-1-phosphate guanylyltransferase [[Bacteroides] pectinophilus] 
gi|495391519|ref|WP_008116220.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391520|ref|WP_008116221.1|	phosphoribosylpyrophosphate synthetase [[Bacteroides] pectinophilus] 
gi|495391522|ref|WP_008116223.1|	DNA replication protein DnaC [[Bacteroides] pectinophilus] 
gi|495391524|ref|WP_008116225.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391526|ref|WP_008116227.1|	UDP-N-acetylmuramate--alanine ligase [[Bacteroides] pectinophilus] 
gi|495391528|ref|WP_008116229.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Bacteria] 
gi|495391530|ref|WP_008116231.1|	glucose-1-phosphate adenylyltransferase [[Bacteroides] pectinophilus] 
gi|495391532|ref|WP_008116233.1|	MULTISPECIES: septation protein spoVG [Bacteria] 
gi|495391535|ref|WP_008116236.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391538|ref|WP_008116239.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391539|ref|WP_008116240.1|	MULTISPECIES: peptidyl-tRNA hydrolase [Bacteria] 
gi|495391541|ref|WP_008116242.1|	transcription-repair coupling factor [[Bacteroides] pectinophilus] 
gi|495391543|ref|WP_008116244.1|	DNA-binding protein [[Bacteroides] pectinophilus] 
